rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,574,False,65,482,False,40,371,False,166,2010,2024
27-05-2024,507,False,81,454,False,40,363,False,174,2010,2024
20-05-2024,500,False,81,436,False,40,361,False,174,2010,2024
06-05-2024,499,False,81,410,False,40,332,False,190,2010,2024
22-04-2024,500,False,79,398,False,38,336,False,182,2010,2024
15-04-2024,502,False,79,380,False,38,331,False,182,2010,2024
08-04-2024,507,False,78,374,False,37,334,False,182,2010,2024
01-04-2024,504,False,78,356,False,37,334,False,182,2010,2024
18-03-2024,495,False,80,432,False,21,301,False,213,2010,2024
04-03-2024,498,False,78,425,False,19,295,False,224,2010,2024
26-02-2024,506,False,77,429,False,16,270,False,246,2010,2024
19-02-2024,511,False,77,409,False,16,273,False,246,2010,2024
12-02-2024,543,False,69,530,True,8,257,False,260,2010,2024
05-02-2024,580,False,61,0,False,0,255,False,258,2010,2024
29-01-2024,544,False,69,0,False,0,253,False,258,2010,2024
15-01-2024,533,False,72,0,False,0,255,False,261,2010,2024
08-01-2024,536,False,72,0,False,0,256,False,261,2010,2024
01-01-2024,535,False,72,0,False,0,256,False,261,2010,2024
25-12-2023,535,False,72,0,False,0,256,False,261,2010,2024
18-12-2023,533,False,72,0,False,0,256,False,261,2010,2024
11-12-2023,529,False,72,0,False,0,255,False,261,2010,2024
04-12-2023,529,False,72,0,False,0,255,False,261,2010,2024
27-11-2023,525,False,72,0,False,0,254,False,261,2010,2024
20-11-2023,523,False,72,0,False,0,255,False,261,2010,2024
13-11-2023,522,False,72,531,False,72,255,False,261,2010,2024
06-11-2023,505,False,77,516,False,72,258,False,261,2010,2024
30-10-2023,486,False,84,500,False,76,258,False,261,2010,2024
23-10-2023,486,False,84,498,False,76,258,False,261,2010,2024
16-10-2023,450,False,97,503,False,73,257,False,261,2010,2024
02-10-2023,434,False,105,487,False,73,250,False,286,2010,2024
25-09-2023,439,False,103,489,False,71,263,False,261,2010,2024
18-09-2023,410,False,112,553,False,55,264,False,261,2010,2024
11-09-2023,396,False,120,539,False,55,265,False,261,2010,2024
28-08-2023,348,False,145,522,False,55,296,False,211,2010,2024
