rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,186,False,333,217,False,133,247,False,265,2012,2024
27-05-2024,187,False,327,218,False,117,332,False,190,2012,2024
20-05-2024,187,False,327,211,False,117,331,False,190,2012,2024
06-05-2024,188,False,321,207,False,111,574,True,90,2012,2024
22-04-2024,170,False,361,193,False,111,575,True,90,2012,2024
15-04-2024,169,False,361,182,False,111,433,False,135,2012,2024
08-04-2024,170,False,355,182,False,105,429,False,135,2012,2024
01-04-2024,147,False,445,173,False,105,427,False,135,2012,2024
18-03-2024,113,False,535,152,False,105,422,False,135,2012,2024
04-03-2024,104,False,580,162,False,80,366,False,167,2012,2024
26-02-2024,103,False,590,147,False,80,365,False,167,2012,2024
19-02-2024,107,False,582,145,False,72,365,False,167,2012,2024
12-02-2024,111,False,570,165,False,50,365,False,167,2012,2024
05-02-2024,101,False,615,146,False,50,361,False,167,2012,2024
29-01-2024,100,False,615,136,False,50,356,False,167,2012,2024
15-01-2024,110,False,575,0,False,0,360,False,167,2012,2024
08-01-2024,101,False,620,0,False,0,361,False,167,2012,2024
01-01-2024,100,False,640,0,False,0,359,False,167,2012,2024
25-12-2023,100,False,640,0,False,0,360,False,167,2012,2024
18-12-2023,100,False,640,0,False,0,358,False,167,2012,2024
11-12-2023,100,False,640,0,False,0,359,False,167,2012,2024
04-12-2023,100,False,640,0,False,0,358,False,167,2012,2024
27-11-2023,99,False,640,0,False,0,353,False,167,2012,2024
20-11-2023,99,False,640,0,False,0,353,False,167,2012,2024
13-11-2023,96,False,640,96,False,640,353,False,167,2012,2024
06-11-2023,96,False,640,95,False,640,357,False,167,2012,2024
30-10-2023,92,False,675,91,False,640,353,False,167,2012,2024
23-10-2023,88,False,685,90,False,640,355,False,167,2012,2024
16-10-2023,87,False,685,85,False,640,355,False,167,2012,2024
02-10-2023,76,False,740,84,False,615,357,False,167,2012,2024
25-09-2023,70,False,805,83,False,615,354,False,167,2012,2024
18-09-2023,71,False,805,83,False,615,266,False,257,2012,2024
11-09-2023,71,False,805,81,False,615,266,False,257,2012,2024
28-08-2023,70,False,805,77,False,605,210,False,347,2012,2024
21-08-2023,69,False,805,77,False,605,210,False,347,2012,2024
14-08-2023,72,False,805,75,False,595,210,False,347,2012,2024
07-08-2023,72,False,811,74,False,585,208,False,347,2012,2024
31-07-2023,73,False,811,72,False,585,209,False,347,2012,2024
24-07-2023,66,False,811,65,False,585,207,False,347,2012,2024
17-07-2023,65,False,811,63,False,585,204,False,347,2012,2024
03-07-2023,79,False,741,67,False,495,202,False,347,2012,2024
26-06-2023,76,False,741,64,False,495,201,False,347,2012,2024
19-06-2023,85,False,676,74,False,430,194,False,347,2012,2024
12-06-2023,84,False,686,70,False,430,197,False,347,2012,2024
29-05-2023,88,False,686,65,False,420,200,False,347,2012,2024
22-05-2023,87,False,686,63,False,420,200,False,347,2012,2024
08-05-2023,71,False,761,52,False,420,205,False,347,2012,2024
24-04-2023,66,False,771,48,False,390,195,False,363,2012,2024
17-04-2023,65,False,771,42,False,390,208,False,318,2012,2024
10-04-2023,66,False,771,38,False,390,207,False,318,2012,2024
03-04-2023,80,False,691,50,False,300,207,False,318,2012,2024
20-03-2023,79,False,705,70,False,210,185,False,373,2012,2024
06-03-2023,81,False,661,101,False,140,204,False,341,2012,2024
27-02-2023,73,False,701,94,False,130,190,False,371,2012,2024
20-02-2023,64,False,785,80,False,130,192,False,371,2012,2024
13-02-2023,62,False,785,70,True,120,178,False,401,2012,2024
06-02-2023,70,False,756,112,True,75,159,False,481,2012,2024
30-01-2023,73,False,760,100,True,75,159,False,481,2012,2024
16-01-2023,61,False,800,67,True,65,149,False,497,2012,2024
09-01-2023,64,False,771,202,True,20,148,False,497,2012,2024
02-01-2023,64,False,767,0,False,0,152,False,497,2012,2024
26-12-2022,64,False,767,0,False,0,152,False,497,2012,2024
19-12-2022,64,False,767,0,False,0,152,False,497,2012,2024
12-12-2022,64,False,767,0,False,0,153,False,497,2012,2024
05-12-2022,64,False,767,0,False,0,153,False,497,2012,2024
28-11-2022,64,False,767,0,False,0,154,False,497,2012,2024
21-11-2022,64,False,767,0,False,0,152,False,497,2012,2024
14-11-2022,66,False,767,0,False,0,147,False,497,2012,2024
07-11-2022,67,False,767,67,False,767,147,False,497,2012,2024
31-10-2022,69,False,740,69,False,732,148,False,497,2012,2024
24-10-2022,69,False,749,68,False,720,146,False,497,2012,2024
17-10-2022,66,False,749,66,False,720,145,False,497,2012,2024
10-10-2022,78,False,686,76,False,647,132,False,587,2012,2024
03-10-2022,74,False,686,73,False,647,129,False,587,2012,2024
26-09-2022,84,False,621,82,False,579,130,False,612,2012,2024
19-09-2022,86,False,621,78,False,579,141,False,522,2012,2024
12-09-2022,82,False,642,78,False,579,140,False,522,2012,2024
29-08-2022,76,False,667,69,False,569,181,False,371,2012,2024
22-08-2022,76,False,667,67,False,569,183,False,371,2012,2024
15-08-2022,71,False,667,65,False,562,184,False,371,2012,2024
08-08-2022,75,False,659,67,False,546,180,False,371,2012,2024
01-08-2022,73,False,659,64,False,546,182,False,371,2012,2024
25-07-2022,74,False,659,63,False,539,185,False,371,2012,2024
18-07-2022,79,False,659,63,False,539,187,False,371,2012,2024
11-07-2022,86,False,646,64,False,526,192,False,371,2012,2024
27-06-2022,82,False,687,62,False,519,194,False,371,2012,2024
20-06-2022,84,False,687,58,False,519,194,False,371,2012,2024
13-06-2022,86,False,715,58,False,506,203,False,371,2012,2024
06-06-2022,88,False,723,55,False,506,210,False,371,2012,2024
23-05-2022,84,False,722,46,False,496,209,False,371,2012,2024
16-05-2022,86,False,722,43,False,496,206,False,371,2012,2024
09-05-2022,100,False,655,58,False,421,205,False,371,2012,2024
02-05-2022,101,False,673,54,False,401,208,False,371,2012,2024
25-04-2022,102,False,653,55,False,378,195,False,410,2012,2024
18-04-2022,102,False,653,52,False,378,193,False,410,2012,2024
11-04-2022,102,False,674,39,False,371,197,False,418,2012,2024
04-04-2022,102,False,674,35,False,371,196,False,418,2012,2024
21-03-2022,115,False,602,50,False,258,207,False,363,2012,2024
07-03-2022,113,False,602,47,False,251,185,False,458,2012,2024
28-02-2022,120,False,560,55,False,208,193,False,428,2012,2024
21-02-2022,142,False,478,87,False,108,197,False,428,2012,2024
14-02-2022,137,False,505,72,False,101,206,False,413,2012,2024
07-02-2022,139,False,511,61,False,94,237,False,333,2012,2024
31-01-2022,141,False,500,65,False,74,238,False,333,2012,2024
17-01-2022,148,False,457,97,True,16,243,False,317,2012,2024
10-01-2022,153,False,457,70,True,16,244,False,317,2012,2024
03-01-2022,151,False,448,0,False,0,247,False,317,2012,2024
27-12-2021,151,False,448,139,False,352,247,False,317,2012,2024
20-12-2021,151,False,448,139,False,352,247,False,317,2012,2024
13-12-2021,151,False,448,139,False,352,247,False,317,2012,2024
06-12-2021,151,False,448,139,False,352,245,False,317,2012,2024
29-11-2021,151,False,448,139,False,352,244,False,317,2012,2024
22-11-2021,151,False,448,139,False,352,242,False,317,2012,2024
15-11-2021,151,False,448,136,False,352,241,False,317,2012,2024
08-11-2021,150,False,448,134,False,345,242,False,317,2012,2024
01-11-2021,146,False,470,134,False,338,230,False,346,2012,2024
25-10-2021,148,False,448,140,True,309,232,False,346,2012,2024
18-10-2021,150,False,448,139,False,309,232,False,346,2012,2024
04-10-2021,158,False,444,141,True,292,236,False,358,2012,2024
27-09-2021,159,False,441,141,True,282,247,False,333,2012,2024
20-09-2021,162,False,441,139,True,282,246,False,333,2012,2024
13-09-2021,171,False,419,149,False,253,245,False,348,2012,2024
30-08-2021,183,False,394,151,False,218,239,False,373,2012,2024
23-08-2021,184,False,394,150,False,218,238,False,373,2012,2024
16-08-2021,184,False,394,148,False,218,241,False,373,2012,2024
09-08-2021,184,False,394,145,False,218,241,False,373,2012,2024
02-08-2021,185,False,394,143,False,218,238,False,373,2012,2024
26-07-2021,183,False,394,141,False,218,234,False,373,2012,2024
19-07-2021,181,False,394,133,True,218,230,False,373,2012,2024
12-07-2021,180,False,394,123,True,218,231,False,373,2012,2024
28-06-2021,197,False,354,141,False,170,230,False,373,2012,2024
21-06-2021,198,False,354,139,False,170,229,False,373,2012,2024
14-06-2021,219,False,313,162,True,122,228,False,373,2012,2024
31-05-2021,223,False,305,160,False,106,177,False,553,2012,2024
24-05-2021,222,False,305,156,False,106,177,False,553,2012,2024
17-05-2021,221,False,305,152,False,104,175,False,553,2012,2024
10-05-2021,222,False,305,145,True,104,173,False,553,2012,2024
03-05-2021,205,False,342,138,True,104,174,False,553,2012,2024
26-04-2021,198,False,352,130,False,104,170,False,608,2012,2024
19-04-2021,198,False,352,120,False,104,168,False,608,2012,2024
12-04-2021,210,False,330,154,False,75,167,False,615,2012,2024
05-04-2021,209,False,330,146,False,75,166,False,615,2012,2024
22-03-2021,214,False,317,181,False,42,161,False,615,2012,2024
15-03-2021,212,False,317,171,False,42,162,False,600,2012,2024
08-03-2021,215,False,310,170,True,35,184,False,520,2012,2024
01-03-2021,215,False,310,157,True,35,183,False,520,2012,2024
22-02-2021,213,False,310,131,True,35,181,False,520,2012,2024
08-02-2021,207,False,310,0,False,0,179,False,520,2012,2024
01-02-2021,206,False,310,0,False,0,171,False,520,2012,2024
25-01-2021,206,False,310,0,False,0,170,False,520,2012,2024
18-01-2021,206,False,310,0,False,0,169,False,520,2012,2024
11-01-2021,206,False,310,0,False,0,167,False,520,2012,2024
04-01-2021,206,False,310,0,False,128,167,False,520,2012,2024
28-12-2020,203,False,310,0,False,0,167,False,520,2012,2024
21-12-2020,203,False,310,0,False,0,167,False,520,2012,2024
14-12-2020,203,False,310,0,False,0,167,False,520,2012,2024
07-12-2020,203,False,310,0,False,0,167,False,520,2012,2024
30-11-2020,206,False,303,0,False,0,167,False,520,2012,2024
23-11-2020,206,False,303,0,False,0,167,False,520,2012,2024
16-11-2020,206,False,303,0,False,0,163,False,520,2012,2024
09-11-2020,204,False,303,0,False,0,162,False,520,2012,2024
02-11-2020,211,False,274,0,False,0,164,False,491,2012,2024
26-10-2020,210,False,274,0,False,0,162,False,491,2012,2024
19-10-2020,209,False,274,0,False,0,158,False,491,2012,2024
12-10-2020,209,False,274,0,False,0,158,False,491,2012,2024
28-09-2020,202,False,274,0,False,0,157,False,491,2012,2024
21-09-2020,201,False,274,0,False,0,156,False,491,2012,2024
14-09-2020,200,False,274,0,False,0,156,False,491,2012,2024
31-08-2020,197,False,264,0,False,0,158,False,466,2012,2024
24-08-2020,196,False,264,0,False,0,157,False,466,2012,2024
16-03-2020,194,False,264,146,False,82,157,False,466,2012,2024
09-03-2020,193,False,264,146,False,82,157,False,466,2012,2024
02-03-2020,192,False,264,139,False,82,156,False,466,2012,2024
24-02-2020,193,False,263,153,False,64,157,False,483,2012,2024
17-02-2020,193,False,256,145,False,57,158,False,468,2012,2024
10-02-2020,203,False,241,171,False,42,158,False,468,2012,2024
03-02-2020,199,False,247,149,False,42,156,False,468,2012,2024
20-01-2020,214,False,222,0,False,0,152,False,485,2012,2024
13-01-2020,215,False,222,0,False,0,152,False,485,2012,2024
06-01-2020,213,False,222,0,False,0,151,False,485,2012,2024
30-12-2019,220,False,222,0,False,0,154,False,485,2012,2024
