rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,98,False,619,89,False,353,153,False,540,2014,2024
27-05-2024,132,False,496,129,False,220,155,False,540,2014,2024
20-05-2024,128,False,508,126,False,220,154,False,540,2014,2024
06-05-2024,128,False,502,115,False,214,154,False,540,2014,2024
22-04-2024,149,False,427,158,False,139,154,False,540,2014,2024
15-04-2024,171,False,352,268,False,64,155,False,540,2014,2024
08-04-2024,183,False,336,315,False,48,153,False,540,2014,2024
01-04-2024,181,False,336,297,False,48,149,False,540,2014,2024
18-03-2024,182,False,336,271,False,48,148,False,540,2014,2024
04-03-2024,182,False,336,243,False,48,147,False,540,2014,2024
26-02-2024,180,False,336,228,False,48,149,False,540,2014,2024
19-02-2024,182,False,336,204,False,48,148,False,540,2014,2024
12-02-2024,182,False,336,185,False,48,148,False,540,2014,2024
05-02-2024,181,False,336,167,False,48,148,False,540,2014,2024
29-01-2024,168,False,366,153,False,48,152,False,520,2014,2024
15-01-2024,167,False,371,353,True,8,122,False,700,2014,2024
08-01-2024,149,False,421,314,True,8,124,False,700,2014,2024
01-01-2024,140,False,443,0,False,0,123,False,730,2014,2024
25-12-2023,140,False,443,0,False,0,123,False,730,2014,2024
18-12-2023,140,False,443,0,False,0,123,False,730,2014,2024
11-12-2023,140,False,443,0,False,0,123,False,730,2014,2024
04-12-2023,140,False,443,0,False,0,123,False,730,2014,2024
27-11-2023,139,False,443,0,False,0,124,False,730,2014,2024
20-11-2023,140,False,443,0,False,0,124,False,730,2014,2024
13-11-2023,140,False,443,142,False,443,122,False,730,2014,2024
06-11-2023,136,False,443,135,False,443,121,False,730,2014,2024
30-10-2023,138,False,443,134,False,443,121,False,730,2014,2024
23-10-2023,141,False,443,134,False,443,121,False,730,2014,2024
16-10-2023,141,False,432,134,False,432,119,False,730,2014,2024
02-10-2023,142,False,432,128,False,432,120,False,730,2014,2024
25-09-2023,149,False,412,128,False,412,119,False,730,2014,2024
18-09-2023,162,False,392,134,False,392,118,False,730,2014,2024
11-09-2023,159,False,392,129,False,392,118,False,730,2014,2024
28-08-2023,177,False,347,135,False,347,130,False,640,2014,2024
21-08-2023,178,False,347,135,False,347,130,False,640,2014,2024
14-08-2023,182,False,337,132,False,337,130,False,640,2014,2024
07-08-2023,188,False,321,135,False,321,131,False,640,2014,2024
31-07-2023,186,False,321,128,False,321,131,False,640,2014,2024
24-07-2023,204,False,289,139,False,289,134,False,640,2014,2024
17-07-2023,202,False,289,130,False,289,135,False,640,2014,2024
03-07-2023,208,False,279,126,False,279,167,False,460,2014,2024
26-06-2023,298,False,177,196,False,177,285,False,210,2014,2024
19-06-2023,291,False,177,190,False,177,283,False,210,2014,2024
12-06-2023,296,False,177,186,False,177,280,False,210,2014,2024
29-05-2023,294,False,177,180,False,167,282,False,210,2014,2024
22-05-2023,306,False,165,188,False,155,279,False,210,2014,2024
08-05-2023,297,False,175,171,False,155,280,False,210,2014,2024
24-04-2023,279,False,185,152,False,155,247,False,255,2014,2024
17-04-2023,242,False,230,142,False,155,202,False,345,2014,2024
10-04-2023,236,False,240,132,False,155,199,False,345,2014,2024
03-04-2023,234,False,240,122,False,155,198,False,345,2014,2024
20-03-2023,178,False,330,106,False,155,201,False,345,2014,2024
06-03-2023,161,False,375,89,False,155,201,False,345,2014,2024
27-02-2023,159,False,375,75,False,155,199,False,345,2014,2024
20-02-2023,157,False,375,60,False,155,202,False,345,2014,2024
13-02-2023,157,False,375,47,False,155,204,False,345,2014,2024
06-02-2023,155,False,375,41,False,155,128,False,645,2014,2024
30-01-2023,175,False,345,50,False,125,128,False,645,2014,2024
16-01-2023,186,False,310,57,False,80,154,False,465,2014,2024
09-01-2023,212,False,260,139,True,30,154,False,465,2014,2024
02-01-2023,237,False,230,0,False,0,166,False,435,2014,2024
26-12-2022,237,False,230,0,False,0,166,False,435,2014,2024
19-12-2022,237,False,230,0,False,0,166,False,435,2014,2024
12-12-2022,237,False,230,0,False,0,167,False,435,2014,2024
05-12-2022,239,False,230,0,False,0,167,False,435,2014,2024
28-11-2022,240,False,230,0,False,0,168,False,435,2014,2024
21-11-2022,237,False,230,0,False,0,169,False,435,2014,2024
14-11-2022,235,False,230,0,False,0,167,False,435,2014,2024
07-11-2022,233,False,230,233,False,230,161,False,435,2014,2024
31-10-2022,232,False,230,229,False,230,166,False,435,2014,2024
24-10-2022,229,False,230,223,False,230,163,False,435,2014,2024
17-10-2022,171,False,320,221,False,230,139,False,525,2014,2024
10-10-2022,156,False,365,215,False,230,143,False,525,2014,2024
03-10-2022,149,False,365,210,False,230,140,False,525,2014,2024
26-09-2022,142,False,385,206,False,230,141,False,525,2014,2024
19-09-2022,141,False,385,194,False,230,140,False,525,2014,2024
12-09-2022,140,False,385,190,False,230,139,False,525,2014,2024
29-08-2022,65,False,745,178,False,230,134,False,615,2014,2024
22-08-2022,64,False,745,176,False,230,131,False,615,2014,2024
15-08-2022,58,False,790,172,False,230,129,False,615,2014,2024
08-08-2022,51,False,880,168,False,230,129,False,615,2014,2024
