rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,16,False,2250,18,False,1285,1258,True,20,2015,2024
27-05-2024,16,False,2285,15,False,1275,1262,True,20,2015,2024
20-05-2024,17,False,2285,15,False,1275,1262,True,20,2015,2024
06-05-2024,15,False,2455,13,False,1275,1253,True,20,2015,2024
22-04-2024,14,False,2535,11,False,1225,1268,True,20,2015,2024
15-04-2024,13,False,2535,11,False,1225,1273,True,20,2015,2024
08-04-2024,15,False,2425,11,False,1025,1272,True,20,2015,2024
01-04-2024,14,False,2425,10,False,1025,1276,True,20,2015,2024
18-03-2024,15,False,2420,8,False,975,1268,True,20,2015,2024
04-03-2024,14,False,2415,7,False,925,1265,True,20,2015,2024
26-02-2024,18,False,1990,18,False,425,1260,True,20,2015,2024
19-02-2024,18,False,1990,15,False,375,1251,True,20,2015,2024
12-02-2024,18,False,1990,13,False,375,1241,False,20,2015,2024
05-02-2024,21,False,1775,55,False,125,1248,False,20,2015,2024
29-01-2024,21,False,1775,47,False,125,1247,False,20,2015,2024
15-01-2024,20,False,1765,171,True,25,1247,True,20,2015,2024
08-01-2024,21,False,1765,137,True,25,1247,True,20,2015,2024
01-01-2024,20,False,1765,0,False,0,0,False,0,2015,2024
25-12-2023,20,False,1765,0,False,0,0,False,0,2015,2024
18-12-2023,20,False,1765,0,False,0,0,False,0,2015,2024
11-12-2023,20,False,1765,0,False,0,0,False,0,2015,2024
04-12-2023,20,False,1765,0,False,0,0,False,0,2015,2024
27-11-2023,20,False,1765,0,False,0,0,False,0,2015,2024
20-11-2023,20,False,1765,0,False,0,0,False,0,2015,2024
13-11-2023,20,False,1765,20,False,1765,0,False,0,2015,2024
06-11-2023,23,False,1540,22,False,1540,0,False,0,2015,2024
30-10-2023,26,False,1515,24,False,1495,0,False,0,2015,2024
23-10-2023,28,False,1400,29,False,1335,0,False,0,2015,2024
16-10-2023,29,False,1400,29,False,1335,0,False,0,2015,2024
02-10-2023,34,False,1256,31,False,1155,0,False,0,2015,2024
25-09-2023,36,False,1198,33,False,1075,0,False,0,2015,2024
18-09-2023,36,False,1198,33,False,1075,0,False,0,2015,2024
11-09-2023,36,False,1268,33,False,1075,0,False,0,2015,2024
28-08-2023,33,False,1258,30,False,1065,0,False,0,2015,2024
21-08-2023,31,False,1258,28,False,1065,0,False,0,2015,2024
14-08-2023,33,False,1258,28,False,1020,0,False,0,2015,2024
07-08-2023,34,False,1233,31,False,975,0,False,0,2015,2024
31-07-2023,36,False,1159,30,False,895,0,False,0,2015,2024
24-07-2023,38,False,1102,30,False,805,0,False,0,2015,2024
17-07-2023,40,False,1036,40,False,715,0,False,0,2015,2024
03-07-2023,39,False,1042,37,False,705,0,False,0,2015,2024
26-06-2023,38,False,1042,35,False,705,0,False,0,2015,2024
19-06-2023,37,False,1042,31,False,705,846,True,45,2015,2024
12-06-2023,36,False,1061,31,False,685,845,True,45,2015,2024
29-05-2023,40,False,1026,32,False,640,855,False,45,2015,2024
22-05-2023,38,False,1026,30,False,640,844,False,45,2015,2024
08-05-2023,50,False,877,43,False,455,850,True,45,2015,2024
24-04-2023,77,False,718,86,False,270,854,False,45,2015,2024
17-04-2023,72,False,738,78,False,270,561,False,90,2015,2024
10-04-2023,79,False,713,83,False,235,560,False,90,2015,2024
03-04-2023,79,False,713,74,False,235,562,False,90,2015,2024
20-03-2023,78,False,713,68,False,210,564,False,90,2015,2024
06-03-2023,77,False,678,81,False,165,557,False,90,2015,2024
27-02-2023,89,False,603,137,False,90,554,False,90,2015,2024
20-02-2023,85,False,603,118,False,90,545,False,90,2015,2024
13-02-2023,86,False,603,104,False,90,537,False,90,2015,2024
06-02-2023,85,False,603,85,False,90,545,True,90,2015,2024
30-01-2023,86,False,603,79,False,90,542,True,90,2015,2024
16-01-2023,106,False,523,0,False,0,553,False,90,2015,2024
09-01-2023,108,False,523,0,False,0,554,False,90,2015,2024
02-01-2023,86,False,613,0,False,0,566,False,90,2015,2024
26-12-2022,86,False,613,0,False,0,567,False,90,2015,2024
19-12-2022,86,False,613,0,False,0,567,False,90,2015,2024
12-12-2022,86,False,613,0,False,0,568,False,90,2015,2024
05-12-2022,86,False,613,0,False,0,569,False,90,2015,2024
28-11-2022,85,False,613,0,False,0,573,False,90,2015,2024
21-11-2022,87,False,613,0,False,0,570,False,90,2015,2024
14-11-2022,88,False,613,0,False,0,570,False,90,2015,2024
07-11-2022,89,False,613,89,False,613,564,False,90,2015,2024
31-10-2022,88,False,613,88,False,603,563,False,90,2015,2024
24-10-2022,103,False,548,97,False,548,556,False,90,2015,2024
17-10-2022,100,False,548,94,False,548,550,False,90,2015,2024
10-10-2022,106,False,512,99,False,512,548,False,90,2015,2024
03-10-2022,104,False,512,96,False,512,536,False,90,2015,2024
26-09-2022,110,False,480,100,False,480,537,False,90,2015,2024
19-09-2022,110,False,480,99,False,480,544,False,90,2015,2024
12-09-2022,139,False,390,121,False,390,546,False,90,2015,2024
29-08-2022,138,False,400,109,False,390,543,False,90,2015,2024
22-08-2022,143,False,384,118,False,374,541,False,90,2015,2024
15-08-2022,155,False,349,125,False,329,536,False,90,2015,2024
08-08-2022,141,False,394,124,False,329,532,False,90,2015,2024
01-08-2022,144,False,394,121,False,329,531,False,90,2015,2024
25-07-2022,152,False,361,123,False,296,536,False,90,2015,2024
18-07-2022,157,False,341,132,False,266,542,False,90,2015,2024
11-07-2022,129,False,431,128,False,266,550,True,90,2015,2024
27-06-2022,112,False,521,121,False,266,541,False,90,2015,2024
20-06-2022,103,False,551,118,False,266,769,True,45,2015,2024
13-06-2022,50,False,1009,139,False,221,638,False,68,2015,2024
06-06-2022,48,False,1044,130,False,221,647,False,68,2015,2024
23-05-2022,46,False,1044,121,False,211,629,False,68,2015,2024
16-05-2022,45,False,1034,125,False,191,628,False,68,2015,2024
09-05-2022,44,False,1069,123,False,191,632,False,68,2015,2024
02-05-2022,46,False,1053,134,False,165,631,False,68,2015,2024
25-04-2022,45,False,1088,129,False,165,632,False,68,2015,2024
18-04-2022,46,False,1078,136,False,145,1038,False,23,2015,2024
11-04-2022,48,False,1078,124,False,135,1035,False,23,2015,2024
04-04-2022,47,False,1078,114,False,135,1038,False,23,2015,2024
21-03-2022,45,False,1098,112,False,110,1044,False,23,2015,2024
07-03-2022,42,False,1178,101,False,100,1074,False,23,2015,2024
28-02-2022,44,False,1178,99,False,100,1075,False,23,2015,2024
21-02-2022,41,False,1248,91,False,100,627,False,68,2015,2024
14-02-2022,42,False,1283,74,True,100,636,False,68,2015,2024
07-02-2022,41,False,1318,57,False,100,630,False,68,2015,2024
31-01-2022,40,False,1318,44,True,100,630,False,68,2015,2024
17-01-2022,40,False,1318,23,True,90,630,False,68,2015,2024
10-01-2022,31,False,1638,17,True,90,632,False,68,2015,2024
03-01-2022,35,False,1558,0,False,0,628,False,68,2015,2024
27-12-2021,35,False,1558,48,False,950,628,False,68,2015,2024
20-12-2021,35,False,1558,48,False,950,631,False,68,2015,2024
13-12-2021,35,False,1558,48,False,950,630,False,68,2015,2024
06-12-2021,35,False,1558,48,False,950,627,False,68,2015,2024
29-11-2021,35,False,1558,48,False,950,629,False,68,2015,2024
22-11-2021,35,False,1558,48,False,950,626,False,68,2015,2024
15-11-2021,35,False,1558,48,False,950,623,False,68,2015,2024
08-11-2021,35,False,1558,45,False,950,626,False,68,2015,2024
01-11-2021,29,False,1728,43,False,950,626,False,68,2015,2024
25-10-2021,29,False,1728,43,False,950,639,False,68,2015,2024
18-10-2021,28,False,2045,41,False,950,638,False,68,2015,2024
04-10-2021,25,False,2045,38,True,950,646,False,68,2015,2024
27-09-2021,25,False,2045,38,False,950,648,False,68,2015,2024
20-09-2021,26,False,2045,37,False,950,647,False,68,2015,2024
13-09-2021,26,False,2045,37,False,950,481,False,113,2015,2024
30-08-2021,26,False,2090,33,False,940,483,False,113,2015,2024
23-08-2021,26,False,2090,33,False,940,482,False,113,2015,2024
16-08-2021,29,False,2090,32,False,930,486,False,113,2015,2024
09-08-2021,27,False,2090,31,False,885,484,False,113,2015,2024
02-08-2021,28,False,2090,30,False,885,487,False,113,2015,2024
26-07-2021,28,False,2090,30,False,885,483,False,113,2015,2024
19-07-2021,28,False,2090,30,False,885,470,False,113,2015,2024
12-07-2021,27,False,2180,29,False,885,462,False,113,2015,2024
28-06-2021,25,False,2270,23,True,875,457,False,113,2015,2024
21-06-2021,25,False,2270,25,False,855,457,False,113,2015,2024
14-06-2021,31,False,1815,63,False,355,416,False,135,2015,2024
31-05-2021,32,False,1780,64,False,300,414,False,135,2015,2024
24-05-2021,32,False,1780,63,False,300,412,False,135,2015,2024
17-05-2021,33,False,1780,61,True,300,412,False,135,2015,2024
10-05-2021,32,False,1825,55,True,290,416,False,135,2015,2024
03-05-2021,32,False,1825,54,True,280,419,False,135,2015,2024
26-04-2021,31,False,1825,61,False,235,416,False,135,2015,2024
19-04-2021,31,False,1825,56,False,235,416,False,135,2015,2024
12-04-2021,32,False,1825,54,False,225,418,False,135,2015,2024
05-04-2021,31,False,1825,51,False,225,416,False,135,2015,2024
22-03-2021,30,False,1790,55,False,180,411,False,135,2015,2024
15-03-2021,29,False,1790,47,True,180,410,False,135,2015,2024
08-03-2021,31,False,1726,81,True,90,406,False,135,2015,2024
01-03-2021,31,False,1726,71,True,90,403,False,135,2015,2024
22-02-2021,32,False,1706,104,True,45,521,False,90,2015,2024
08-02-2021,34,False,1671,0,False,0,512,False,90,2015,2024
01-02-2021,32,False,1671,0,False,0,510,False,90,2015,2024
25-01-2021,32,False,1671,0,False,0,509,False,90,2015,2024
18-01-2021,32,False,1671,0,False,0,508,False,90,2015,2024
11-01-2021,31,False,1671,0,False,0,506,False,90,2015,2024
04-01-2021,31,False,1671,0,False,1160,506,False,90,2015,2024
28-12-2020,30,False,1646,0,False,0,504,False,90,2015,2024
21-12-2020,30,False,1646,0,False,0,504,False,90,2015,2024
14-12-2020,30,False,1646,0,False,0,504,False,90,2015,2024
07-12-2020,30,False,1646,0,False,0,502,False,90,2015,2024
30-11-2020,30,False,1646,0,False,0,502,False,90,2015,2024
23-11-2020,30,False,1646,0,False,0,499,False,90,2015,2024
16-11-2020,30,False,1646,0,False,0,497,False,90,2015,2024
09-11-2020,30,False,1646,0,False,0,492,False,90,2015,2024
02-11-2020,34,False,1466,0,False,0,490,False,90,2015,2024
26-10-2020,32,False,1466,0,False,0,487,False,90,2015,2024
19-10-2020,38,False,1306,0,False,0,482,False,90,2015,2024
12-10-2020,38,False,1286,0,False,0,480,False,90,2015,2024
28-09-2020,38,False,1286,0,False,0,474,False,90,2015,2024
21-09-2020,41,False,1216,0,False,0,472,False,90,2015,2024
14-09-2020,42,False,1146,0,False,0,468,False,90,2015,2024
31-08-2020,42,False,1111,0,False,0,467,False,90,2015,2024
24-08-2020,42,False,1111,0,False,0,465,False,90,2015,2024
16-03-2020,42,False,1111,18,False,450,464,False,90,2015,2024
09-03-2020,42,False,1111,18,False,450,460,False,90,2015,2024
02-03-2020,42,False,1111,18,False,450,452,False,90,2015,2024
24-02-2020,43,False,1086,18,False,405,455,False,90,2015,2024
17-02-2020,44,False,1086,24,False,315,454,False,90,2015,2024
10-02-2020,43,False,1121,21,False,270,369,False,119,2015,2024
03-02-2020,43,False,1121,17,False,270,369,False,119,2015,2024
20-01-2020,43,False,1130,6,False,260,370,False,119,2015,2024
13-01-2020,57,False,900,240,True,10,370,False,119,2015,2024
06-01-2020,56,False,912,0,False,0,366,False,119,2015,2024
30-12-2019,57,False,912,0,False,0,367,False,119,2015,2024
23-12-2019,57,False,912,0,False,0,367,False,119,2015,2024
16-12-2019,57,False,912,0,False,0,366,False,119,2015,2024
09-12-2019,57,False,912,0,False,0,367,False,119,2015,2024
02-12-2019,57,False,912,0,False,0,366,False,119,2015,2024
25-11-2019,57,False,912,0,False,0,369,False,119,2015,2024
18-11-2019,54,False,972,0,False,0,371,False,119,2015,2024
11-11-2019,54,False,972,0,False,0,368,False,119,2015,2024
04-11-2019,55,False,972,55,False,972,371,False,119,2015,2024
28-10-2019,56,False,972,52,False,972,371,False,119,2015,2024
21-10-2019,63,False,892,57,False,892,366,False,119,2015,2024
14-10-2019,70,False,831,64,False,822,361,False,119,2015,2024
07-10-2019,65,False,891,63,False,802,366,False,119,2015,2024
30-09-2019,63,False,891,62,False,802,367,False,119,2015,2024
23-09-2019,65,False,891,60,False,802,366,False,119,2015,2024
16-09-2019,65,False,891,60,False,802,512,False,74,2015,2024
09-09-2019,72,False,821,62,False,732,518,False,74,2015,2024
26-08-2019,63,False,909,60,False,722,518,False,74,2015,2024
19-08-2019,62,False,909,60,False,722,515,False,74,2015,2024
12-08-2019,62,False,909,56,False,702,517,False,74,2015,2024
05-08-2019,59,False,909,58,False,682,518,False,74,2015,2024
29-07-2019,50,False,989,56,False,682,389,True,74,2015,2024
22-07-2019,46,False,1019,51,False,682,392,True,74,2015,2024
15-07-2019,48,False,977,54,False,612,389,False,74,2015,2024
01-07-2019,66,False,822,74,False,432,377,False,80,2015,2024
24-06-2019,64,False,822,71,False,428,376,False,80,2015,2024
17-06-2019,64,False,817,71,False,415,490,False,35,2015,2024
10-06-2019,64,False,817,68,False,415,491,False,35,2015,2024
27-05-2019,61,False,827,65,False,405,480,False,35,2015,2024
20-05-2019,61,False,823,68,False,385,482,False,35,2015,2024
13-05-2019,62,False,823,60,False,385,482,False,35,2015,2024
06-05-2019,63,False,823,59,False,373,480,False,35,2015,2024
29-04-2019,64,False,823,58,False,373,479,False,35,2015,2024
22-04-2019,65,False,823,51,False,373,481,False,35,2015,2024
15-04-2019,64,False,819,46,False,369,481,False,35,2015,2024
08-04-2019,63,False,819,40,False,369,483,False,35,2015,2024
01-04-2019,63,False,819,39,False,369,481,False,35,2015,2024
18-03-2019,63,False,819,33,False,359,486,False,35,2015,2024
11-03-2019,66,False,801,32,False,333,485,False,35,2015,2024
04-03-2019,66,False,801,32,False,333,485,False,35,2015,2024
25-02-2019,63,False,801,24,False,333,487,False,35,2015,2024
18-02-2019,75,False,719,28,False,243,486,False,35,2015,2024
11-02-2019,88,False,646,37,False,163,686,False,6,2015,2024
04-02-2019,86,False,646,29,False,163,684,False,6,2015,2024
28-01-2019,91,False,620,38,False,134,685,False,6,2015,2024
14-01-2019,95,False,613,16,False,124,688,False,6,2015,2024
07-01-2019,98,False,584,14,False,92,688,False,6,2015,2024
31-12-2018,102,False,572,9,False,80,690,False,6,2015,2024
24-12-2018,102,False,572,9,False,80,690,False,6,2015,2024
17-12-2018,84,False,653,9,False,80,713,False,54,2015,2024
10-12-2018,84,False,653,9,False,80,712,False,54,2015,2024
03-12-2018,84,False,653,9,False,80,715,False,54,2015,2024
26-11-2018,84,False,653,9,False,80,715,False,54,2015,2024
19-11-2018,100,False,579,0,False,0,714,False,54,2015,2024
12-11-2018,98,False,579,0,False,0,713,False,54,2015,2024
05-11-2018,98,False,579,98,False,579,712,False,54,2015,2024
29-10-2018,99,False,595,96,False,579,708,False,54,2015,2024
22-10-2018,92,False,609,91,False,579,593,False,74,2015,2024
15-10-2018,99,False,586,95,False,553,595,False,74,2015,2024
08-10-2018,112,False,509,106,False,473,598,False,74,2015,2024
01-10-2018,109,False,512,102,False,473,598,False,74,2015,2024
24-09-2018,110,False,505,102,False,466,602,False,74,2015,2024
17-09-2018,108,False,491,103,False,448,603,False,74,2015,2024
10-09-2018,104,False,523,102,False,448,612,False,74,2015,2024
27-08-2018,139,False,411,131,False,331,618,False,74,2015,2024
20-08-2018,139,False,411,131,False,331,519,False,92,2015,2024
13-08-2018,142,False,411,128,False,330,514,False,92,2015,2024
06-08-2018,141,False,411,123,False,328,515,False,92,2015,2024
30-07-2018,184,False,313,169,False,230,468,False,107,2015,2024
23-07-2018,219,False,260,212,False,176,468,False,107,2015,2024
16-07-2018,257,False,213,257,False,128,444,False,117,2015,2024
02-07-2018,290,False,181,297,False,93,687,False,63,2015,2024
25-06-2018,294,False,181,293,False,93,692,False,63,2015,2024
18-06-2018,294,False,181,287,False,93,699,False,63,2015,2024
11-06-2018,298,False,174,296,False,85,705,False,63,2015,2024
28-05-2018,296,False,174,279,False,85,693,False,63,2015,2024
21-05-2018,293,False,174,278,False,85,688,False,63,2015,2024
14-05-2018,296,False,174,265,False,85,687,False,63,2015,2024
07-05-2018,296,False,174,254,False,85,687,False,63,2015,2024
30-04-2018,297,False,167,247,False,77,677,False,63,2015,2024
23-04-2018,308,False,159,256,False,69,672,False,63,2015,2024
16-04-2018,306,False,161,240,False,69,677,False,63,2015,2024
09-04-2018,303,False,161,230,False,69,682,False,63,2015,2024
02-04-2018,301,False,161,222,False,69,678,False,63,2015,2024
19-03-2018,311,False,156,210,False,63,675,False,63,2015,2024
05-03-2018,328,False,142,293,True,33,683,False,63,2015,2024
26-02-2018,331,False,142,277,True,33,681,False,63,2015,2024
19-02-2018,366,False,115,622,True,6,682,False,63,2015,2024
12-02-2018,368,False,114,631,False,5,681,False,63,2015,2024
05-02-2018,369,False,114,614,False,5,679,False,63,2015,2024
29-01-2018,372,False,114,594,False,5,677,False,63,2015,2024
15-01-2018,381,False,112,663,True,2,681,False,63,2015,2024
08-01-2018,378,False,112,630,True,2,681,False,63,2015,2024
01-01-2018,378,False,112,569,True,2,679,False,63,2015,2024
25-12-2017,381,False,110,0,False,0,677,False,63,2015,2024
18-12-2017,381,False,110,0,False,0,679,False,63,2015,2024
11-12-2017,380,False,111,0,False,0,683,False,63,2015,2024
04-12-2017,382,False,111,0,False,0,684,False,63,2015,2024
27-11-2017,374,False,113,0,False,0,686,False,63,2015,2024
20-11-2017,370,False,114,0,False,0,687,False,63,2015,2024
13-11-2017,369,False,114,0,False,0,691,False,63,2015,2024
06-11-2017,368,False,115,368,False,115,697,False,63,2015,2024
30-10-2017,404,False,100,401,False,99,697,False,63,2015,2024
23-10-2017,474,False,79,451,False,79,868,True,43,2015,2024
16-10-2017,477,False,79,445,False,79,870,True,43,2015,2024
09-10-2017,474,False,79,439,False,79,873,False,43,2015,2024
02-10-2017,487,False,73,455,False,73,870,False,43,2015,2024
25-09-2017,488,False,73,447,False,73,875,False,43,2015,2024
18-09-2017,505,False,67,458,False,67,874,False,43,2015,2024
11-09-2017,717,False,32,632,False,32,872,False,43,2015,2024
28-08-2017,717,False,32,617,False,32,879,True,43,2015,2024
21-08-2017,710,False,32,608,False,32,1076,False,25,2015,2024
14-08-2017,707,False,32,604,False,32,1075,False,25,2015,2024
07-08-2017,733,False,30,604,False,30,948,False,35,2015,2024
31-07-2017,722,False,30,590,False,30,1125,True,20,2015,2024
24-07-2017,724,False,29,584,False,29,1128,True,20,2015,2024
17-07-2017,724,False,29,577,False,29,1412,True,10,2015,2024
10-07-2017,766,False,26,570,False,26,1404,True,10,2015,2024
03-07-2017,766,False,26,570,False,26,1404,True,10,2015,2024
26-06-2017,754,False,26,555,False,26,1379,True,10,2015,2024
19-06-2017,756,False,26,542,False,26,1378,True,10,2015,2024
12-06-2017,758,False,26,534,False,26,1382,True,10,2015,2024
29-05-2017,771,False,26,506,False,26,1396,True,10,2015,2024
22-05-2017,761,False,26,491,False,26,1385,True,10,2015,2024
15-05-2017,764,False,26,478,False,26,1392,True,10,2015,2024
08-05-2017,764,False,26,465,False,26,1389,True,10,2015,2024
