rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,0,False,0,0,False,0,499,False,108,2001,2024
27-05-2024,0,False,0,0,False,0,505,False,108,2001,2024
20-05-2024,0,False,0,0,False,0,562,False,92,2001,2024
06-05-2024,0,False,0,0,False,0,559,False,92,2001,2024
22-04-2024,1509,True,2,0,False,0,594,False,85,2001,2024
15-04-2024,1509,True,2,0,False,0,637,False,77,2001,2024
08-04-2024,1510,True,2,0,False,0,638,False,77,2001,2024
01-04-2024,1507,True,2,0,False,0,641,False,77,2001,2024
18-03-2024,1502,True,2,0,False,0,656,False,75,2001,2024
04-03-2024,1489,True,2,0,False,0,653,False,75,2001,2024
26-02-2024,1492,True,2,0,False,0,641,False,75,2001,2024
19-02-2024,1490,True,2,0,False,0,650,False,75,2001,2024
12-02-2024,1489,True,2,0,False,0,658,False,75,2001,2024
05-02-2024,1488,True,2,0,False,0,659,False,75,2001,2024
29-01-2024,1491,True,2,0,False,0,666,False,75,2001,2024
15-01-2024,1491,True,2,0,False,0,668,False,73,2001,2024
08-01-2024,1489,True,2,0,False,0,668,False,73,2001,2024
01-01-2024,1488,True,2,0,False,0,667,False,73,2001,2024
25-12-2023,1490,True,2,0,False,0,668,False,73,2001,2024
18-12-2023,1487,True,2,0,False,0,666,False,73,2001,2024
11-12-2023,1489,True,2,0,False,0,664,False,73,2001,2024
04-12-2023,1485,True,2,0,False,0,659,False,73,2001,2024
27-11-2023,1171,False,6,0,False,0,658,False,73,2001,2024
20-11-2023,1165,False,6,0,False,0,660,False,73,2001,2024
13-11-2023,1165,False,6,1170,False,6,659,False,73,2001,2024
06-11-2023,1168,False,6,1157,False,6,654,False,73,2001,2024
30-10-2023,1172,False,6,1157,False,6,656,False,73,2001,2024
23-10-2023,1174,False,6,1149,False,6,394,False,144,2001,2024
16-10-2023,1179,False,6,1144,False,6,445,False,127,2001,2024
02-10-2023,1195,False,6,1132,False,6,453,False,124,2001,2024
25-09-2023,1191,False,6,1122,False,6,454,False,124,2001,2024
18-09-2023,1189,False,6,1107,False,6,448,False,124,2001,2024
11-09-2023,1181,False,6,1089,False,6,435,False,124,2001,2024
28-08-2023,1033,True,10,1063,False,6,413,False,133,2001,2024
21-08-2023,1036,True,10,1053,False,6,408,False,133,2001,2024
14-08-2023,1037,True,10,1041,False,6,409,False,133,2001,2024
07-08-2023,1040,True,10,1019,False,6,421,False,130,2001,2024
31-07-2023,1039,True,10,1010,False,6,420,False,130,2001,2024
24-07-2023,929,False,15,997,False,6,396,False,139,2001,2024
17-07-2023,740,False,31,990,False,6,439,False,123,2001,2024
03-07-2023,742,False,31,954,True,6,394,False,139,2001,2024
26-06-2023,734,False,31,931,False,6,431,False,123,2001,2024
19-06-2023,728,False,31,904,False,6,431,False,123,2001,2024
12-06-2023,725,False,31,879,False,6,430,False,123,2001,2024
29-05-2023,738,False,31,859,False,6,434,False,123,2001,2024
22-05-2023,733,False,31,849,False,6,430,False,123,2001,2024
08-05-2023,743,False,31,835,False,6,437,False,123,2001,2024
24-04-2023,760,False,29,874,True,4,438,False,123,2001,2024
17-04-2023,694,False,36,854,True,4,433,False,123,2001,2024
10-04-2023,646,False,43,836,True,4,434,False,123,2001,2024
03-04-2023,648,False,43,820,True,4,432,False,123,2001,2024
20-03-2023,642,False,43,788,True,4,430,False,123,2001,2024
06-03-2023,641,False,43,755,True,4,425,False,123,2001,2024
27-02-2023,638,False,43,739,True,4,424,False,123,2001,2024
20-02-2023,638,False,43,718,True,4,419,False,123,2001,2024
13-02-2023,495,False,75,696,True,4,422,False,123,2001,2024
06-02-2023,496,False,75,678,True,4,427,False,123,2001,2024
30-01-2023,492,False,75,643,True,4,392,False,139,2001,2024
16-01-2023,474,False,82,532,True,4,391,False,139,2001,2024
09-01-2023,472,False,82,504,True,4,392,False,139,2001,2024
02-01-2023,468,False,82,416,True,4,396,False,139,2001,2024
26-12-2022,467,False,82,408,True,4,396,False,139,2001,2024
19-12-2022,467,False,82,396,True,4,397,False,139,2001,2024
12-12-2022,471,False,82,382,True,4,399,False,139,2001,2024
05-12-2022,480,False,82,361,True,4,401,False,139,2001,2024
28-11-2022,481,False,78,0,False,0,401,False,139,2001,2024
21-11-2022,479,False,78,0,False,0,395,False,139,2001,2024
14-11-2022,478,False,78,0,False,0,361,False,154,2001,2024
07-11-2022,450,False,90,450,False,90,362,False,154,2001,2024
31-10-2022,447,False,90,444,False,90,364,False,154,2001,2024
24-10-2022,449,False,90,441,False,90,627,False,74,2001,2024
17-10-2022,445,False,90,430,False,90,621,False,74,2001,2024
10-10-2022,432,False,97,425,False,90,618,False,74,2001,2024
03-10-2022,424,False,97,418,False,90,608,False,74,2001,2024
26-09-2022,424,False,97,413,False,90,612,False,74,2001,2024
19-09-2022,424,False,97,406,False,90,617,False,74,2001,2024
12-09-2022,420,False,97,403,False,90,612,False,74,2001,2024
29-08-2022,435,False,93,401,False,86,514,False,94,2001,2024
22-08-2022,430,False,93,392,False,86,513,False,94,2001,2024
15-08-2022,428,False,93,390,False,86,510,False,94,2001,2024
08-08-2022,429,False,93,382,False,86,510,False,94,2001,2024
01-08-2022,427,False,93,372,False,86,512,False,94,2001,2024
25-07-2022,438,False,88,372,False,81,591,False,76,2001,2024
18-07-2022,449,False,82,407,False,65,593,False,76,2001,2024
11-07-2022,453,False,82,396,False,65,600,False,76,2001,2024
27-06-2022,381,False,109,380,False,65,568,False,83,2001,2024
20-06-2022,368,False,115,372,False,65,561,False,83,2001,2024
13-06-2022,373,False,115,361,False,65,470,False,112,2001,2024
06-06-2022,320,False,157,350,False,65,476,False,112,2001,2024
23-05-2022,310,False,161,322,False,65,465,False,112,2001,2024
16-05-2022,303,False,161,310,False,65,466,False,112,2001,2024
09-05-2022,299,False,161,288,False,65,458,False,112,2001,2024
02-05-2022,301,False,163,281,False,65,457,False,112,2001,2024
25-04-2022,283,False,176,268,False,65,460,False,112,2001,2024
18-04-2022,286,False,171,280,False,58,463,False,112,2001,2024
11-04-2022,296,False,164,289,False,39,468,False,112,2001,2024
04-04-2022,293,False,164,261,False,39,464,False,112,2001,2024
21-03-2022,285,False,168,222,False,39,453,False,112,2001,2024
07-03-2022,290,False,168,198,False,39,465,False,112,2001,2024
28-02-2022,279,False,178,191,False,39,556,False,83,2001,2024
21-02-2022,242,False,232,174,False,39,402,False,147,2001,2024
14-02-2022,267,False,208,362,True,7,411,False,147,2001,2024
07-02-2022,267,False,208,342,True,7,409,False,147,2001,2024
31-01-2022,266,False,214,309,True,7,505,False,102,2001,2024
17-01-2022,254,False,239,0,False,0,385,False,156,2001,2024
10-01-2022,253,False,241,0,False,0,436,False,127,2001,2024
03-01-2022,254,False,241,0,False,0,436,False,127,2001,2024
27-12-2021,254,False,241,303,False,121,436,False,127,2001,2024
20-12-2021,254,False,241,303,False,121,389,False,156,2001,2024
13-12-2021,254,False,241,299,False,121,389,False,156,2001,2024
06-12-2021,249,False,241,295,False,121,429,False,127,2001,2024
29-11-2021,245,False,241,289,False,121,432,False,127,2001,2024
22-11-2021,244,False,241,281,True,121,431,False,127,2001,2024
15-11-2021,244,False,241,277,True,121,470,False,112,2001,2024
08-11-2021,248,False,235,294,True,109,470,False,112,2001,2024
01-11-2021,249,False,235,290,False,109,467,False,112,2001,2024
25-10-2021,252,False,235,287,False,109,412,False,141,2001,2024
18-10-2021,231,False,277,283,False,109,308,False,221,2001,2024
04-10-2021,224,False,292,288,True,102,316,False,221,2001,2024
27-09-2021,224,False,293,284,True,102,304,False,236,2001,2024
20-09-2021,225,False,293,279,True,102,307,False,236,2001,2024
13-09-2021,226,False,293,273,True,102,303,False,236,2001,2024
30-08-2021,207,False,344,261,True,102,321,False,224,2001,2024
23-08-2021,207,False,344,257,True,102,317,False,224,2001,2024
16-08-2021,208,False,344,253,False,102,318,False,224,2001,2024
09-08-2021,208,False,344,243,False,102,316,False,224,2001,2024
