rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,207,False,295,165,False,177,546,False,95,2012,2024
27-05-2024,206,False,295,155,False,174,551,False,95,2012,2024
20-05-2024,208,False,295,153,False,174,553,False,95,2012,2024
06-05-2024,204,False,295,140,False,174,614,False,79,2012,2024
22-04-2024,212,False,289,136,False,162,615,False,79,2012,2024
15-04-2024,210,False,289,127,False,162,624,False,79,2012,2024
08-04-2024,207,False,289,121,False,162,625,False,79,2012,2024
01-04-2024,208,False,289,108,False,162,626,False,79,2012,2024
18-03-2024,208,False,289,97,False,162,630,False,79,2012,2024
04-03-2024,207,False,294,85,False,159,626,False,79,2012,2024
26-02-2024,225,False,269,91,False,134,620,False,79,2012,2024
19-02-2024,227,False,269,78,False,134,628,False,79,2012,2024
12-02-2024,224,False,269,69,False,134,635,False,79,2012,2024
05-02-2024,230,False,263,53,False,128,637,False,79,2012,2024
29-01-2024,293,False,188,134,False,53,639,False,79,2012,2024
15-01-2024,343,False,148,287,False,13,637,False,79,2012,2024
08-01-2024,341,False,148,252,False,13,637,False,79,2012,2024
01-01-2024,342,False,148,183,False,13,638,False,79,2012,2024
25-12-2023,343,False,148,180,False,13,637,False,79,2012,2024
18-12-2023,342,False,148,174,False,13,638,False,79,2012,2024
11-12-2023,341,False,148,167,False,13,638,False,79,2012,2024
04-12-2023,342,False,148,151,False,13,636,False,79,2012,2024
27-11-2023,320,False,164,227,True,4,630,False,79,2012,2024
20-11-2023,316,False,168,0,False,0,613,False,82,2012,2024
13-11-2023,320,False,168,322,False,168,611,False,82,2012,2024
06-11-2023,319,False,168,313,False,168,604,False,82,2012,2024
30-10-2023,320,False,168,314,False,168,539,False,98,2012,2024
23-10-2023,283,False,198,309,False,168,444,False,128,2012,2024
16-10-2023,310,False,173,339,False,143,442,False,128,2012,2024
02-10-2023,315,False,173,328,False,143,430,False,131,2012,2024
25-09-2023,298,False,189,323,False,143,435,False,131,2012,2024
18-09-2023,303,False,183,323,False,137,425,False,131,2012,2024
11-09-2023,319,False,167,337,False,121,464,False,115,2012,2024
28-08-2023,272,False,214,325,False,121,434,False,124,2012,2024
21-08-2023,265,False,223,320,False,121,431,False,124,2012,2024
14-08-2023,267,False,223,313,False,121,431,False,124,2012,2024
07-08-2023,264,False,223,307,False,121,436,False,124,2012,2024
31-07-2023,265,False,216,309,False,114,437,False,124,2012,2024
24-07-2023,275,False,200,331,False,98,546,False,94,2012,2024
17-07-2023,266,False,207,323,False,98,537,False,94,2012,2024
03-07-2023,286,False,189,369,False,74,696,False,64,2012,2024
26-06-2023,285,False,185,370,False,70,683,False,64,2012,2024
19-06-2023,301,False,170,412,False,55,683,False,64,2012,2024
12-06-2023,314,False,162,424,False,47,702,False,61,2012,2024
29-05-2023,279,False,192,407,False,47,695,False,65,2012,2024
22-05-2023,272,False,192,393,False,47,686,False,65,2012,2024
08-05-2023,272,False,192,381,False,47,598,False,81,2012,2024
24-04-2023,265,False,203,388,False,41,596,False,85,2012,2024
17-04-2023,266,False,203,376,False,41,586,False,85,2012,2024
10-04-2023,263,False,203,367,False,41,587,False,85,2012,2024
03-04-2023,252,False,219,355,False,41,538,False,93,2012,2024
20-03-2023,250,False,219,320,False,41,543,False,93,2012,2024
06-03-2023,232,False,239,340,False,33,505,False,101,2012,2024
27-02-2023,229,False,239,319,False,33,499,False,101,2012,2024
20-02-2023,229,False,239,292,False,33,492,False,101,2012,2024
13-02-2023,228,False,242,269,False,33,461,False,109,2012,2024
06-02-2023,227,False,242,250,False,33,465,False,109,2012,2024
30-01-2023,223,False,242,229,True,33,466,False,109,2012,2024
16-01-2023,226,False,242,156,False,33,472,False,109,2012,2024
09-01-2023,226,False,242,123,False,33,476,False,109,2012,2024
02-01-2023,228,False,242,69,False,33,483,False,109,2012,2024
26-12-2022,228,False,242,68,False,33,483,False,109,2012,2024
19-12-2022,228,False,242,66,False,33,484,False,109,2012,2024
12-12-2022,229,False,242,66,False,33,485,False,109,2012,2024
05-12-2022,230,False,242,61,False,33,489,False,109,2012,2024
28-11-2022,250,False,217,213,True,8,492,False,109,2012,2024
21-11-2022,257,False,209,0,False,0,499,False,106,2012,2024
14-11-2022,255,False,209,0,False,0,496,False,106,2012,2024
07-11-2022,250,False,209,250,False,209,492,False,106,2012,2024
31-10-2022,251,False,209,247,False,209,570,False,90,2012,2024
24-10-2022,280,False,179,272,False,179,717,False,60,2012,2024
17-10-2022,279,False,179,270,False,179,720,False,60,2012,2024
10-10-2022,282,False,179,262,False,179,732,False,57,2012,2024
03-10-2022,274,False,179,254,False,179,721,False,57,2012,2024
26-09-2022,300,False,163,275,False,163,722,False,57,2012,2024
19-09-2022,299,False,163,267,False,163,722,False,57,2012,2024
12-09-2022,300,False,163,262,False,163,715,False,57,2012,2024
29-08-2022,367,False,116,328,False,116,758,False,48,2012,2024
22-08-2022,388,False,107,334,False,107,758,False,48,2012,2024
15-08-2022,385,False,107,333,False,107,753,False,48,2012,2024
08-08-2022,386,False,107,324,False,107,752,False,48,2012,2024
01-08-2022,389,False,107,319,False,107,750,False,48,2012,2024
25-07-2022,388,False,107,311,False,107,745,False,48,2012,2024
18-07-2022,410,False,100,320,False,100,746,False,48,2012,2024
11-07-2022,411,False,100,309,False,100,752,False,48,2012,2024
27-06-2022,429,False,94,300,False,94,747,False,48,2012,2024
20-06-2022,424,False,94,295,False,94,739,False,48,2012,2024
13-06-2022,422,False,94,288,False,94,748,False,48,2012,2024
