rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,51,False,944,60,False,475,873,True,45,2015,2024
27-05-2024,56,False,892,75,False,375,743,False,61,2015,2024
20-05-2024,57,False,849,84,False,325,736,False,61,2015,2024
06-05-2024,63,False,819,85,False,295,731,False,61,2015,2024
22-04-2024,72,False,787,98,False,245,737,False,61,2015,2024
15-04-2024,69,False,817,87,False,245,744,False,61,2015,2024
08-04-2024,69,False,817,80,False,245,740,False,61,2015,2024
01-04-2024,68,False,807,120,False,145,740,False,61,2015,2024
18-03-2024,67,False,823,113,False,135,738,False,61,2015,2024
04-03-2024,67,False,819,105,False,125,742,False,61,2015,2024
26-02-2024,63,False,878,97,False,125,733,False,61,2015,2024
19-02-2024,64,False,859,95,False,100,735,False,61,2015,2024
12-02-2024,65,False,859,85,False,100,739,False,61,2015,2024
05-02-2024,61,False,859,74,True,100,739,False,61,2015,2024
29-01-2024,61,False,859,66,True,100,746,False,61,2015,2024
15-01-2024,65,False,835,72,True,50,737,False,61,2015,2024
08-01-2024,64,False,835,51,True,50,735,False,61,2015,2024
01-01-2024,67,False,791,0,False,0,727,False,61,2015,2024
25-12-2023,67,False,791,0,False,0,726,False,61,2015,2024
18-12-2023,67,False,791,0,False,0,725,False,61,2015,2024
11-12-2023,67,False,791,0,False,0,725,False,61,2015,2024
04-12-2023,67,False,791,0,False,0,723,False,61,2015,2024
27-11-2023,66,False,791,0,False,0,717,False,61,2015,2024
20-11-2023,67,False,791,0,False,0,721,False,61,2015,2024
13-11-2023,68,False,791,71,False,791,553,False,94,2015,2024
06-11-2023,80,False,721,81,False,701,552,False,94,2015,2024
30-10-2023,82,False,721,78,False,715,555,False,94,2015,2024
23-10-2023,81,False,721,74,False,715,551,False,94,2015,2024
16-10-2023,109,False,565,103,False,559,550,False,94,2015,2024
02-10-2023,103,False,610,101,False,549,558,False,94,2015,2024
25-09-2023,101,False,610,96,False,549,555,False,94,2015,2024
18-09-2023,106,False,578,100,False,517,552,False,94,2015,2024
11-09-2023,107,False,578,98,False,517,550,False,94,2015,2024
28-08-2023,98,False,603,89,False,507,556,False,94,2015,2024
21-08-2023,97,False,603,89,False,507,545,False,94,2015,2024
14-08-2023,98,False,603,88,False,507,546,False,94,2015,2024
07-08-2023,87,False,693,86,False,501,547,False,94,2015,2024
31-07-2023,87,False,693,84,False,501,543,False,94,2015,2024
24-07-2023,85,False,693,81,False,501,545,False,94,2015,2024
17-07-2023,89,False,667,83,False,475,538,False,94,2015,2024
03-07-2023,105,False,591,88,False,393,542,False,94,2015,2024
26-06-2023,116,False,540,98,False,342,532,False,94,2015,2024
19-06-2023,113,False,540,94,False,342,529,False,94,2015,2024
12-06-2023,112,False,540,92,False,342,527,False,94,2015,2024
29-05-2023,121,False,520,108,False,287,617,False,78,2015,2024
22-05-2023,121,False,520,106,False,287,609,False,78,2015,2024
08-05-2023,108,False,565,94,False,287,612,False,78,2015,2024
24-04-2023,101,False,583,88,False,269,618,False,78,2015,2024
17-04-2023,108,False,553,88,False,239,614,False,78,2015,2024
10-04-2023,103,False,560,81,False,239,617,False,78,2015,2024
03-04-2023,114,False,502,129,False,149,621,False,78,2015,2024
20-03-2023,117,False,490,136,False,123,540,False,94,2015,2024
06-03-2023,117,False,484,119,False,117,534,False,94,2015,2024
27-02-2023,138,False,419,221,False,52,529,False,94,2015,2024
20-02-2023,135,False,423,217,False,46,520,False,94,2015,2024
13-02-2023,126,False,429,197,False,46,514,False,94,2015,2024
06-02-2023,128,False,429,170,False,46,518,False,94,2015,2024
30-01-2023,131,False,429,153,False,46,514,False,94,2015,2024
16-01-2023,117,False,483,246,False,20,521,False,94,2015,2024
09-01-2023,118,False,483,218,False,20,522,False,94,2015,2024
02-01-2023,117,False,483,137,True,20,534,False,94,2015,2024
26-12-2022,117,False,483,137,True,20,535,False,94,2015,2024
19-12-2022,117,False,483,134,True,20,535,False,94,2015,2024
12-12-2022,117,False,483,128,True,20,535,False,94,2015,2024
05-12-2022,103,False,563,120,True,20,537,False,94,2015,2024
28-11-2022,99,False,570,101,True,20,491,False,109,2015,2024
21-11-2022,99,False,570,67,False,20,487,False,109,2015,2024
14-11-2022,98,False,572,30,True,20,621,False,76,2015,2024
07-11-2022,100,False,564,100,False,564,622,False,76,2015,2024
31-10-2022,98,False,564,98,False,558,547,False,91,2015,2024
24-10-2022,96,False,564,95,False,558,538,False,91,2015,2024
17-10-2022,96,False,564,92,False,558,535,False,91,2015,2024
10-10-2022,100,False,564,91,False,558,534,False,91,2015,2024
03-10-2022,103,False,513,97,False,509,522,False,91,2015,2024
26-09-2022,103,False,513,94,False,509,520,False,91,2015,2024
19-09-2022,105,False,515,92,False,509,531,False,91,2015,2024
12-09-2022,106,False,515,90,False,509,532,False,91,2015,2024
29-08-2022,113,False,484,93,False,474,528,False,91,2015,2024
22-08-2022,113,False,484,88,False,474,472,False,106,2015,2024
15-08-2022,115,False,487,85,False,468,471,False,106,2015,2024
08-08-2022,130,False,416,106,False,378,473,False,106,2015,2024
01-08-2022,132,False,416,101,False,378,466,False,106,2015,2024
25-07-2022,122,False,438,98,False,372,471,False,106,2015,2024
18-07-2022,117,False,461,96,False,372,482,False,106,2015,2024
11-07-2022,122,False,461,92,False,372,567,False,86,2015,2024
27-06-2022,128,False,461,91,False,366,556,False,86,2015,2024
20-06-2022,130,False,461,89,False,366,549,False,86,2015,2024
13-06-2022,134,False,472,87,False,366,465,False,115,2015,2024
06-06-2022,139,False,472,82,False,366,472,False,115,2015,2024
23-05-2022,140,False,443,85,False,331,461,False,115,2015,2024
16-05-2022,143,False,443,82,False,331,459,False,115,2015,2024
09-05-2022,156,False,404,85,False,286,416,False,130,2015,2024
02-05-2022,163,False,372,98,False,250,413,False,130,2015,2024
25-04-2022,162,False,372,96,False,250,417,False,130,2015,2024
18-04-2022,165,False,372,89,False,250,421,False,130,2015,2024
11-04-2022,169,False,369,118,False,142,421,False,130,2015,2024
04-04-2022,172,False,341,131,False,110,365,False,160,2015,2024
21-03-2022,177,False,335,123,False,96,385,False,151,2015,2024
07-03-2022,168,False,349,104,False,96,362,False,166,2015,2024
28-02-2022,172,False,349,102,False,96,356,False,173,2015,2024
21-02-2022,175,False,356,103,False,86,341,False,191,2015,2024
14-02-2022,181,False,354,93,False,80,346,False,191,2015,2024
07-02-2022,183,False,354,76,True,80,266,False,271,2015,2024
31-01-2022,181,False,354,60,True,80,266,False,271,2015,2024
17-01-2022,231,False,278,0,False,0,272,False,271,2015,2024
10-01-2022,225,False,286,0,False,0,275,False,271,2015,2024
03-01-2022,225,False,286,0,False,0,275,False,271,2015,2024
27-12-2021,225,False,286,205,False,227,275,False,271,2015,2024
20-12-2021,225,False,286,205,False,227,275,False,271,2015,2024
13-12-2021,223,False,286,204,False,227,275,False,271,2015,2024
06-12-2021,271,False,210,252,False,147,275,False,271,2015,2024
29-11-2021,270,False,209,259,False,140,274,False,271,2015,2024
22-11-2021,267,False,209,255,True,140,273,False,271,2015,2024
15-11-2021,266,False,212,261,True,132,252,False,300,2015,2024
08-11-2021,271,False,204,273,True,120,226,False,348,2015,2024
01-11-2021,272,False,204,274,False,116,239,False,333,2015,2024
25-10-2021,270,False,211,272,True,116,240,False,333,2015,2024
18-10-2021,274,False,212,266,False,116,240,False,333,2015,2024
