rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,141,False,424,116,False,271,1058,True,30,2015,2024
27-05-2024,150,False,416,109,False,263,1072,True,30,2015,2024
20-05-2024,150,False,416,106,False,263,1070,True,30,2015,2024
06-05-2024,150,False,410,100,False,257,1062,True,30,2015,2024
22-04-2024,144,False,440,91,False,257,1067,True,30,2015,2024
15-04-2024,143,False,451,82,False,257,1071,True,30,2015,2024
08-04-2024,144,False,451,75,False,257,1072,True,30,2015,2024
01-04-2024,133,False,472,72,False,244,1070,True,30,2015,2024
18-03-2024,140,False,473,62,False,244,1071,True,30,2015,2024
04-03-2024,151,False,443,60,False,214,1070,True,30,2015,2024
26-02-2024,150,False,443,53,False,214,1060,True,30,2015,2024
19-02-2024,144,False,454,46,False,214,1059,False,30,2015,2024
12-02-2024,155,False,404,54,False,164,1052,True,30,2015,2024
05-02-2024,158,False,404,40,False,164,1057,True,30,2015,2024
29-01-2024,185,False,330,75,False,89,1060,True,30,2015,2024
15-01-2024,183,False,330,33,False,89,1064,True,30,2015,2024
08-01-2024,186,False,323,29,False,82,1064,True,30,2015,2024
01-01-2024,191,False,316,11,True,75,1063,True,30,2015,2024
25-12-2023,191,False,316,11,True,75,1064,True,30,2015,2024
18-12-2023,191,False,316,11,True,75,1060,True,30,2015,2024
11-12-2023,192,False,316,11,True,75,1059,True,30,2015,2024
04-12-2023,193,False,316,11,True,75,1055,True,30,2015,2024
27-11-2023,192,False,316,5,True,75,1054,True,30,2015,2024
20-11-2023,192,False,316,2,True,75,1052,True,30,2015,2024
13-11-2023,239,False,252,237,False,263,1051,True,30,2015,2024
06-11-2023,241,False,254,237,False,252,1053,False,30,2015,2024
30-10-2023,254,False,232,255,False,224,1053,False,30,2015,2024
23-10-2023,257,False,232,251,False,224,1054,False,30,2015,2024
16-10-2023,258,False,232,249,False,224,1058,False,30,2015,2024
02-10-2023,256,False,234,239,False,224,0,False,0,2015,2024
25-09-2023,249,False,245,235,False,224,0,False,0,2015,2024
18-09-2023,246,False,249,232,False,224,0,False,0,2015,2024
11-09-2023,271,False,219,251,False,194,1346,True,16,2015,2024
28-08-2023,276,False,211,245,False,186,1346,True,16,2015,2024
21-08-2023,274,False,211,244,False,186,1343,True,16,2015,2024
14-08-2023,271,False,216,241,False,186,1343,True,16,2015,2024
07-08-2023,297,False,186,268,False,156,1334,True,16,2015,2024
31-07-2023,284,False,194,258,False,156,1328,True,16,2015,2024
24-07-2023,273,False,202,251,False,156,1320,True,16,2015,2024
17-07-2023,275,False,197,244,False,151,1312,True,16,2015,2024
03-07-2023,271,False,203,230,False,151,1301,True,16,2015,2024
26-06-2023,330,False,154,292,False,101,1274,True,16,2015,2024
19-06-2023,328,False,154,282,False,101,1276,True,16,2015,2024
12-06-2023,329,False,154,274,False,101,1273,True,16,2015,2024
29-05-2023,329,False,154,253,False,101,1288,True,16,2015,2024
22-05-2023,323,False,154,249,False,101,1274,True,16,2015,2024
08-05-2023,326,False,154,236,False,101,1273,True,16,2015,2024
24-04-2023,378,False,124,285,False,71,1265,True,16,2015,2024
17-04-2023,406,False,113,303,False,60,1262,True,16,2015,2024
10-04-2023,401,False,113,288,False,60,1261,True,16,2015,2024
03-04-2023,485,False,79,459,False,26,1262,True,16,2015,2024
20-03-2023,491,False,78,434,False,25,1263,True,16,2015,2024
06-03-2023,491,False,78,404,False,25,1260,True,16,2015,2024
27-02-2023,488,False,78,387,False,25,1250,True,16,2015,2024
20-02-2023,526,False,67,484,False,14,1240,True,16,2015,2024
13-02-2023,523,False,67,452,False,14,1244,True,16,2015,2024
06-02-2023,526,False,67,434,False,14,1252,True,16,2015,2024
30-01-2023,521,False,66,411,True,13,1234,True,16,2015,2024
16-01-2023,519,False,66,318,True,13,1237,True,16,2015,2024
09-01-2023,520,False,66,289,True,13,1238,True,16,2015,2024
02-01-2023,522,False,66,215,True,13,1249,True,16,2015,2024
26-12-2022,521,False,66,211,True,13,1246,True,16,2015,2024
19-12-2022,518,False,66,207,True,13,1244,True,16,2015,2024
12-12-2022,520,False,66,203,True,13,1241,True,16,2015,2024
05-12-2022,525,False,66,192,True,13,1244,True,16,2015,2024
28-11-2022,525,False,66,168,True,13,1245,True,16,2015,2024
21-11-2022,521,False,66,124,True,13,1237,True,16,2015,2024
14-11-2022,558,False,55,195,True,2,1236,True,16,2015,2024
07-11-2022,569,False,53,569,False,53,1235,True,16,2015,2024
31-10-2022,604,False,45,597,False,45,1233,True,16,2015,2024
24-10-2022,604,False,45,591,False,45,1233,True,16,2015,2024
17-10-2022,600,False,45,584,False,45,1234,True,16,2015,2024
10-10-2022,621,False,43,588,False,43,1236,True,16,2015,2024
03-10-2022,607,False,43,577,False,43,1225,True,16,2015,2024
26-09-2022,684,False,32,651,False,32,1223,True,16,2015,2024
19-09-2022,679,False,32,682,False,28,1212,True,16,2015,2024
12-09-2022,674,False,32,672,False,28,0,False,0,2015,2024
29-08-2022,611,False,41,646,False,28,0,False,0,2015,2024
22-08-2022,602,False,41,636,False,28,0,False,0,2015,2024
15-08-2022,628,False,36,672,False,23,0,False,0,2015,2024
08-08-2022,615,False,36,652,False,23,0,False,0,2015,2024
01-08-2022,676,False,30,730,False,15,2122,True,2,2015,2024
25-07-2022,666,False,32,919,False,7,2155,True,2,2015,2024
18-07-2022,666,False,32,902,False,7,2157,True,2,2015,2024
11-07-2022,709,False,28,1083,True,3,2189,True,2,2015,2024
27-06-2022,734,False,25,0,False,0,2208,True,2,2015,2024
20-06-2022,735,False,25,0,False,0,2198,True,2,2015,2024
13-06-2022,635,False,37,0,False,0,2195,True,2,2015,2024
06-06-2022,638,False,37,0,False,0,2281,True,2,2015,2024
23-05-2022,605,False,43,0,False,0,2261,True,2,2015,2024
16-05-2022,601,False,43,0,False,0,2254,True,2,2015,2024
09-05-2022,599,False,43,0,False,0,2268,True,2,2015,2024
02-05-2022,599,False,43,0,False,0,2281,True,2,2015,2024
25-04-2022,597,False,43,0,False,0,2281,True,2,2015,2024
18-04-2022,598,False,43,0,False,0,2298,True,2,2015,2024
11-04-2022,604,False,43,0,False,0,2302,True,2,2015,2024
04-04-2022,606,False,43,0,False,0,2307,True,2,2015,2024
21-03-2022,613,False,43,0,False,0,2312,True,2,2015,2024
07-03-2022,558,False,53,0,False,0,2355,True,2,2015,2024
28-02-2022,561,False,53,0,False,0,2360,True,2,2015,2024
21-02-2022,561,False,54,0,False,0,2357,True,2,2015,2024
14-02-2022,570,False,54,0,False,0,2360,True,2,2015,2024
07-02-2022,571,False,54,0,False,0,2360,True,2,2015,2024
31-01-2022,571,False,54,0,False,0,2362,True,2,2015,2024
17-01-2022,570,False,54,0,False,0,2363,True,2,2015,2024
10-01-2022,569,False,54,0,False,0,2358,True,2,2015,2024
03-01-2022,534,False,61,0,False,0,2357,True,2,2015,2024
27-12-2021,533,False,61,492,False,44,2355,True,2,2015,2024
20-12-2021,533,False,61,490,False,44,2347,True,2,2015,2024
13-12-2021,533,False,61,483,False,44,2344,True,2,2015,2024
06-12-2021,530,False,62,476,False,44,2345,True,2,2015,2024
29-11-2021,528,False,62,470,False,44,2329,True,2,2015,2024
22-11-2021,525,False,62,464,True,44,2368,True,2,2015,2024
15-11-2021,481,False,73,457,True,44,1711,True,6,2015,2024
08-11-2021,470,False,76,450,True,44,1708,True,6,2015,2024
01-11-2021,470,False,76,444,False,44,1704,True,6,2015,2024
25-10-2021,471,False,76,435,True,44,900,False,35,2015,2024
18-10-2021,473,False,76,428,False,44,909,False,35,2015,2024
04-10-2021,476,False,76,418,True,44,924,False,35,2015,2024
27-09-2021,479,False,76,401,True,44,922,False,35,2015,2024
20-09-2021,490,False,72,412,True,40,918,False,35,2015,2024
13-09-2021,492,False,72,405,True,40,927,False,35,2015,2024
30-08-2021,543,False,63,434,True,31,939,False,35,2015,2024
23-08-2021,540,False,63,418,True,31,935,False,35,2015,2024
16-08-2021,544,False,63,412,False,31,942,False,35,2015,2024
09-08-2021,544,False,63,403,False,31,941,False,35,2015,2024
02-08-2021,553,False,61,412,False,29,972,False,33,2015,2024
26-07-2021,590,False,51,470,False,19,974,False,33,2015,2024
19-07-2021,588,False,51,455,True,19,972,False,33,2015,2024
12-07-2021,592,False,51,447,True,19,963,False,33,2015,2024
28-06-2021,588,False,51,424,True,19,955,False,33,2015,2024
21-06-2021,589,False,51,420,True,19,954,False,33,2015,2024
14-06-2021,656,False,39,564,True,7,952,False,33,2015,2024
31-05-2021,655,False,39,536,True,7,950,False,33,2015,2024
24-05-2021,690,False,33,763,True,1,946,False,33,2015,2024
17-05-2021,690,False,33,754,True,1,944,False,33,2015,2024
10-05-2021,689,False,33,747,True,1,947,False,33,2015,2024
03-05-2021,689,False,33,738,True,1,951,False,33,2015,2024
26-04-2021,690,False,33,722,True,1,948,False,33,2015,2024
19-04-2021,687,False,33,696,True,1,951,False,33,2015,2024
12-04-2021,689,False,33,678,True,1,953,False,33,2015,2024
05-04-2021,684,False,33,661,True,1,952,False,33,2015,2024
22-03-2021,683,False,33,612,True,1,953,False,33,2015,2024
15-03-2021,680,False,33,561,True,1,948,False,33,2015,2024
08-03-2021,681,False,33,529,True,1,946,False,33,2015,2024
01-03-2021,678,False,33,493,True,1,939,False,33,2015,2024
22-02-2021,687,False,32,0,False,0,936,False,33,2015,2024
08-02-2021,682,False,32,0,False,0,926,False,33,2015,2024
01-02-2021,680,False,32,0,False,0,925,False,33,2015,2024
25-01-2021,680,False,32,0,False,0,920,False,33,2015,2024
18-01-2021,680,False,32,0,False,0,920,False,33,2015,2024
11-01-2021,676,False,32,0,False,0,920,False,33,2015,2024
04-01-2021,676,False,32,0,False,32,920,False,33,2015,2024
28-12-2020,674,False,32,0,False,0,917,False,33,2015,2024
21-12-2020,674,False,32,0,False,0,917,False,33,2015,2024
14-12-2020,672,False,32,0,False,0,916,False,33,2015,2024
07-12-2020,670,False,32,0,False,0,907,False,33,2015,2024
30-11-2020,667,False,32,0,False,0,903,False,33,2015,2024
23-11-2020,666,False,32,0,False,0,899,False,33,2015,2024
16-11-2020,736,False,25,0,False,0,895,False,33,2015,2024
09-11-2020,770,False,22,0,False,0,891,False,33,2015,2024
02-11-2020,770,False,22,0,False,0,892,False,33,2015,2024
26-10-2020,770,False,22,0,False,0,890,False,33,2015,2024
19-10-2020,770,False,22,0,False,0,889,False,33,2015,2024
12-10-2020,768,False,22,0,False,0,884,False,33,2015,2024
28-09-2020,764,False,22,0,False,0,879,False,33,2015,2024
21-09-2020,762,False,22,0,False,0,875,False,33,2015,2024
14-09-2020,760,False,22,0,False,0,873,False,33,2015,2024
31-08-2020,758,False,22,0,False,0,869,False,33,2015,2024
24-08-2020,757,False,22,0,False,0,865,False,33,2015,2024
16-03-2020,760,False,22,364,False,22,861,False,33,2015,2024
09-03-2020,929,False,12,468,False,12,852,False,33,2015,2024
02-03-2020,923,False,12,455,False,12,846,False,33,2015,2024
24-02-2020,919,False,12,432,False,12,848,False,33,2015,2024
17-02-2020,917,False,12,398,False,12,841,False,33,2015,2024
10-02-2020,916,False,12,370,True,12,842,False,33,2015,2024
03-02-2020,842,False,15,343,False,12,841,False,33,2015,2024
20-01-2020,848,False,15,254,False,12,848,False,33,2015,2024
13-01-2020,848,False,15,222,False,12,846,False,33,2015,2024
06-01-2020,865,True,14,321,True,5,760,False,39,2015,2024
30-12-2019,866,True,14,321,True,5,767,False,39,2015,2024
23-12-2019,866,True,14,315,True,5,770,False,39,2015,2024
16-12-2019,865,True,14,301,True,5,768,False,39,2015,2024
09-12-2019,881,False,13,293,True,4,768,False,39,2015,2024
02-12-2019,887,False,13,274,True,4,768,False,39,2015,2024
25-11-2019,888,False,13,247,True,4,766,False,39,2015,2024
18-11-2019,990,False,9,0,False,0,808,True,35,2015,2024
11-11-2019,989,False,9,0,False,0,803,True,35,2015,2024
04-11-2019,996,False,9,996,False,9,803,True,35,2015,2024
28-10-2019,993,False,9,988,False,9,1571,True,6,2015,2024
21-10-2019,962,False,10,981,False,9,1559,True,6,2015,2024
14-10-2019,907,False,13,973,False,9,1572,True,6,2015,2024
07-10-2019,901,False,13,961,False,9,1575,True,6,2015,2024
30-09-2019,796,False,18,943,False,9,1001,False,23,2015,2024
23-09-2019,787,False,18,936,False,9,999,False,23,2015,2024
16-09-2019,789,False,18,923,False,9,1006,False,23,2015,2024
09-09-2019,789,False,18,913,False,9,1004,False,23,2015,2024
26-08-2019,795,False,18,902,False,9,998,False,23,2015,2024
19-08-2019,795,False,18,889,False,9,997,False,23,2015,2024
12-08-2019,795,False,18,876,False,9,1000,False,23,2015,2024
05-08-2019,800,False,18,851,False,9,996,False,23,2015,2024
29-07-2019,583,False,5,0,False,0,600,True,17,2015,2024
22-07-2019,586,True,5,0,False,0,597,False,17,2015,2024
15-07-2019,585,False,5,0,False,0,591,False,17,2015,2024
01-07-2019,588,False,5,0,False,0,591,False,17,2015,2024
24-06-2019,588,False,5,0,False,0,592,False,17,2015,2024
17-06-2019,588,True,5,0,False,0,584,True,17,2015,2024
10-06-2019,587,False,5,0,False,0,583,True,17,2015,2024
27-05-2019,581,False,5,0,False,0,577,True,17,2015,2024
20-05-2019,580,True,5,0,False,0,584,True,17,2015,2024
13-05-2019,579,False,5,0,False,0,581,True,17,2015,2024
06-05-2019,582,False,5,0,False,0,581,True,17,2015,2024
29-04-2019,585,False,5,0,False,0,585,True,17,2015,2024
22-04-2019,585,True,5,0,False,0,588,True,17,2015,2024
15-04-2019,584,True,5,0,False,0,590,True,17,2015,2024
08-04-2019,586,True,5,0,False,0,591,True,17,2015,2024
01-04-2019,583,True,5,0,False,0,588,True,17,2015,2024
18-03-2019,480,False,13,0,False,0,594,True,17,2015,2024
11-03-2019,453,False,18,0,False,0,592,False,17,2015,2024
04-03-2019,453,False,18,0,False,0,592,False,17,2015,2024
25-02-2019,453,False,18,0,False,0,594,False,17,2015,2024
18-02-2019,449,False,18,0,False,0,591,False,17,2015,2024
11-02-2019,452,False,18,0,False,0,590,True,17,2015,2024
04-02-2019,454,False,18,0,False,0,590,True,17,2015,2024
28-01-2019,454,False,18,0,False,0,589,True,17,2015,2024
14-01-2019,453,False,18,0,False,0,591,True,17,2015,2024
07-01-2019,452,False,18,0,False,0,590,True,17,2015,2024
31-12-2018,452,False,18,0,False,0,591,True,17,2015,2024
24-12-2018,452,False,18,0,False,0,591,True,17,2015,2024
17-12-2018,829,False,22,0,False,0,1161,True,17,2015,2024
10-12-2018,831,False,22,0,False,0,1163,True,17,2015,2024
03-12-2018,819,False,23,0,False,0,1170,True,17,2015,2024
26-11-2018,826,False,23,0,False,0,1177,True,17,2015,2024
19-11-2018,816,False,24,0,False,0,1174,False,17,2015,2024
12-11-2018,640,False,42,0,False,0,1056,False,23,2015,2024
05-11-2018,640,False,42,640,False,42,1063,False,23,2015,2024
29-10-2018,640,False,42,636,False,42,1063,False,23,2015,2024
22-10-2018,649,False,41,639,False,41,1074,False,23,2015,2024
15-10-2018,664,False,38,649,False,38,1075,False,23,2015,2024
08-10-2018,656,False,38,637,False,38,1072,False,23,2015,2024
01-10-2018,691,False,34,672,False,33,1538,True,6,2015,2024
24-09-2018,695,False,34,664,False,33,1531,True,6,2015,2024
17-09-2018,696,False,34,656,False,33,1527,True,6,2015,2024
10-09-2018,692,False,34,646,False,33,1524,True,6,2015,2024
27-08-2018,693,False,34,629,False,33,1497,True,6,2015,2024
20-08-2018,692,False,34,620,False,33,1486,True,6,2015,2024
13-08-2018,693,False,34,607,False,33,1478,True,6,2015,2024
06-08-2018,688,False,34,593,False,33,1481,True,6,2015,2024
30-07-2018,687,False,34,580,False,33,1492,True,6,2015,2024
23-07-2018,689,False,34,568,False,33,1490,True,6,2015,2024
16-07-2018,692,False,34,559,False,33,1491,True,6,2015,2024
02-07-2018,696,False,34,531,False,33,1501,True,6,2015,2024
25-06-2018,696,False,34,524,False,33,1202,True,16,2015,2024
18-06-2018,690,False,34,510,False,33,1204,True,16,2015,2024
11-06-2018,689,False,34,505,False,33,1199,True,16,2015,2024
28-05-2018,679,False,34,477,False,33,1190,True,16,2015,2024
21-05-2018,675,False,34,461,False,33,1183,True,16,2015,2024
14-05-2018,674,False,34,444,False,33,1181,True,16,2015,2024
07-05-2018,670,False,34,429,False,33,1184,True,16,2015,2024
30-04-2018,665,False,35,409,False,33,1177,True,16,2015,2024
23-04-2018,662,False,35,396,False,33,1178,True,16,2015,2024
16-04-2018,663,False,35,393,False,33,1185,True,16,2015,2024
09-04-2018,659,False,35,383,False,33,1187,True,16,2015,2024
02-04-2018,662,False,35,373,False,33,1184,True,16,2015,2024
19-03-2018,729,False,27,399,False,25,1179,True,16,2015,2024
05-03-2018,781,False,22,410,False,20,1183,True,16,2015,2024
26-02-2018,772,False,23,395,False,20,1183,True,16,2015,2024
19-02-2018,774,False,23,373,False,20,1184,True,16,2015,2024
12-02-2018,772,False,23,353,False,20,1187,True,16,2015,2024
05-02-2018,776,False,23,323,False,20,1186,True,16,2015,2024
29-01-2018,774,False,23,300,False,20,1189,True,16,2015,2024
15-01-2018,707,False,29,236,False,20,1194,True,16,2015,2024
08-01-2018,706,False,29,200,False,20,1197,True,16,2015,2024
01-01-2018,706,False,29,148,False,20,1199,True,16,2015,2024
25-12-2017,705,False,29,142,False,20,1197,True,16,2015,2024
18-12-2017,702,False,29,131,False,20,1199,True,16,2015,2024
11-12-2017,707,False,29,119,True,20,1192,True,16,2015,2024
04-12-2017,719,False,28,107,True,19,1183,False,16,2015,2024
27-11-2017,718,False,28,95,True,19,1176,False,16,2015,2024
20-11-2017,672,False,33,64,True,18,1181,True,16,2015,2024
13-11-2017,895,False,15,0,False,0,1004,True,28,2015,2024
06-11-2017,899,False,15,899,False,15,1010,False,28,2015,2024
30-10-2017,899,False,15,889,False,15,1007,False,28,2015,2024
23-10-2017,901,False,15,882,False,15,1015,True,28,2015,2024
16-10-2017,901,False,15,879,False,15,1018,False,28,2015,2024
09-10-2017,899,False,15,872,False,15,1023,True,28,2015,2024
02-10-2017,920,False,14,880,False,14,1024,False,28,2015,2024
25-09-2017,918,False,14,873,False,14,1028,False,28,2015,2024
18-09-2017,923,False,14,865,False,14,1032,True,28,2015,2024
11-09-2017,926,False,14,851,False,14,1035,True,28,2015,2024
28-08-2017,923,False,14,830,False,14,1034,True,28,2015,2024
21-08-2017,917,False,14,820,False,14,1027,True,28,2015,2024
14-08-2017,917,False,14,805,False,14,1025,True,28,2015,2024
07-08-2017,922,True,14,791,False,14,1020,True,28,2015,2024
31-07-2017,915,False,14,775,False,14,1012,True,28,2015,2024
24-07-2017,918,False,14,752,False,14,1012,False,28,2015,2024
17-07-2017,921,False,14,743,False,14,1009,False,28,2015,2024
10-07-2017,915,False,14,711,False,14,1010,True,28,2015,2024
03-07-2017,915,False,14,711,False,14,1010,True,28,2015,2024
26-06-2017,900,False,14,680,False,14,1141,True,18,2015,2024
19-06-2017,899,True,14,663,True,14,1141,True,18,2015,2024
12-06-2017,900,False,14,655,True,14,1142,True,18,2015,2024
29-05-2017,910,False,14,636,False,14,1152,True,18,2015,2024
22-05-2017,903,False,14,618,True,14,1147,True,18,2015,2024
15-05-2017,904,True,14,604,True,14,1145,True,18,2015,2024
08-05-2017,908,True,14,595,True,14,1142,True,18,2015,2024
01-05-2017,933,False,13,603,False,13,1134,True,18,2015,2024
24-04-2017,937,False,13,591,False,13,1140,True,18,2015,2024
17-04-2017,941,False,13,577,False,13,1141,True,18,2015,2024
10-04-2017,943,False,13,561,False,13,1143,True,18,2015,2024
03-04-2017,942,False,13,551,False,13,1145,True,18,2015,2024
20-03-2017,941,False,13,515,False,13,1146,True,18,2015,2024
06-03-2017,948,False,13,486,True,13,1159,True,18,2015,2024
27-02-2017,946,False,13,491,False,12,1160,True,18,2015,2024
20-02-2017,945,False,13,470,False,12,1156,True,18,2015,2024
13-02-2017,949,False,13,449,True,12,1164,True,18,2015,2024
06-02-2017,950,False,13,426,True,12,1162,True,18,2015,2024
30-01-2017,956,False,13,405,False,12,1164,True,18,2015,2024
16-01-2017,1133,False,7,487,True,6,1160,True,18,2015,2024
09-01-2017,1134,False,7,446,True,6,1161,True,18,2015,2024
02-01-2017,1136,False,7,380,True,6,1159,True,18,2015,2024
26-12-2016,1135,False,7,371,True,6,1154,True,18,2015,2024
19-12-2016,1133,True,7,351,True,6,1156,True,18,2015,2024
12-12-2016,1128,True,7,331,True,6,1156,True,18,2015,2024
05-12-2016,1140,True,7,301,True,6,1159,True,18,2015,2024
28-11-2016,1151,True,7,284,True,6,1156,True,18,2015,2024
21-11-2016,2058,True,1,0,False,0,1146,True,18,2015,2024
14-11-2016,1593,True,2,0,False,0,0,False,0,2015,2024
07-11-2016,1593,True,2,1593,True,2,0,False,0,2015,2024
31-10-2016,1590,True,2,1443,True,2,0,False,0,2015,2024
24-10-2016,1586,True,2,1424,True,2,0,False,0,2015,2024
17-10-2016,1597,True,2,1415,True,2,0,False,0,2015,2024
10-10-2016,1598,True,2,1403,True,2,0,False,0,2015,2024
03-10-2016,1593,True,2,1392,True,2,0,False,0,2015,2024
26-09-2016,1589,True,2,1380,True,2,0,False,0,2015,2024
19-09-2016,1592,True,2,1366,True,2,0,False,0,2015,2024
12-09-2016,1606,True,2,1358,True,2,0,False,0,2015,2024
29-08-2016,1633,True,2,1338,True,2,0,False,0,2015,2024
22-08-2016,1637,True,2,1325,True,2,0,False,0,2015,2024
15-08-2016,1636,True,2,1308,True,2,0,False,0,2015,2024
08-08-2016,1634,True,2,1284,True,2,0,False,0,2015,2024
01-08-2016,1644,True,2,1261,True,2,0,False,0,2015,2024
25-07-2016,1651,True,2,1230,True,2,0,False,0,2015,2024
18-07-2016,1656,True,2,1215,True,2,0,False,0,2015,2024
11-07-2016,1647,True,2,1190,True,2,0,False,0,2015,2024
27-06-2016,1641,True,2,1155,True,2,0,False,0,2015,2024
20-06-2016,1625,True,2,1133,True,2,0,False,0,2015,2024
13-06-2016,1632,True,2,1121,True,2,0,False,0,2015,2024
06-06-2016,1643,True,2,1101,True,2,0,False,0,2015,2024
23-05-2016,1638,True,2,1059,True,2,0,False,0,2015,2024
16-05-2016,1643,True,2,1036,True,2,0,False,0,2015,2024
09-05-2016,1636,True,2,1011,True,2,0,False,0,2015,2024
02-05-2016,1636,True,2,993,True,2,0,False,0,2015,2024
