rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,26,False,1620,37,False,675,57,False,1380,2016,2024
27-05-2024,28,False,1565,40,False,575,57,False,1380,2016,2024
20-05-2024,28,False,1565,37,False,575,57,False,1380,2016,2024
06-05-2024,27,False,1525,38,False,525,57,False,1380,2016,2024
22-04-2024,26,False,1485,36,False,475,185,False,380,2016,2024
15-04-2024,26,False,1485,31,False,475,184,False,380,2016,2024
08-04-2024,27,False,1445,36,False,425,180,False,380,2016,2024
01-04-2024,27,False,1445,32,False,425,182,False,380,2016,2024
18-03-2024,29,False,1395,33,False,375,236,False,290,2016,2024
04-03-2024,29,False,1345,36,False,325,237,False,290,2016,2024
26-02-2024,33,False,1245,50,False,225,238,False,290,2016,2024
19-02-2024,33,False,1245,43,False,225,238,False,290,2016,2024
12-02-2024,33,False,1245,30,True,225,238,False,290,2016,2024
05-02-2024,34,False,1220,31,True,200,315,False,200,2016,2024
29-01-2024,33,False,1220,28,True,200,315,False,200,2016,2024
15-01-2024,26,False,1480,28,True,100,315,False,200,2016,2024
08-01-2024,29,False,1380,0,False,0,314,False,200,2016,2024
01-01-2024,24,False,1530,0,False,0,344,False,180,2016,2024
25-12-2023,24,False,1530,0,False,0,344,False,180,2016,2024
18-12-2023,24,False,1530,0,False,0,344,False,180,2016,2024
11-12-2023,24,False,1530,0,False,0,343,False,180,2016,2024
04-12-2023,24,False,1530,0,False,0,340,False,180,2016,2024
27-11-2023,24,False,1530,0,False,0,337,False,180,2016,2024
20-11-2023,24,False,1530,0,False,0,335,False,180,2016,2024
13-11-2023,24,False,1530,24,False,1530,336,False,180,2016,2024
06-11-2023,24,False,1530,23,False,1530,339,False,180,2016,2024
30-10-2023,24,False,1530,22,False,1520,578,True,90,2016,2024
23-10-2023,23,False,1530,21,False,1520,578,False,90,2016,2024
16-10-2023,23,False,1680,21,False,1520,571,False,90,2016,2024
02-10-2023,26,False,1470,30,False,1160,581,True,90,2016,2024
25-09-2023,28,False,1340,35,False,1010,578,True,90,2016,2024
18-09-2023,33,False,1295,40,False,920,0,False,0,2016,2024
11-09-2023,33,False,1295,40,False,920,0,False,0,2016,2024
28-08-2023,31,False,1330,38,False,910,0,False,0,2016,2024
21-08-2023,33,False,1240,43,False,820,0,False,0,2016,2024
14-08-2023,30,False,1320,40,False,810,0,False,0,2016,2024
07-08-2023,32,False,1275,42,False,765,0,False,0,2016,2024
31-07-2023,26,False,1365,40,False,765,0,False,0,2016,2024
24-07-2023,28,False,1365,37,False,765,0,False,0,2016,2024
17-07-2023,28,False,1365,33,False,765,0,False,0,2016,2024
03-07-2023,25,False,1355,29,False,755,0,False,0,2016,2024
26-06-2023,25,False,1355,29,False,755,0,False,0,2016,2024
19-06-2023,32,False,1175,47,False,575,0,False,0,2016,2024
12-06-2023,31,False,1220,45,False,575,0,False,0,2016,2024
29-05-2023,30,False,1265,41,False,530,0,False,0,2016,2024
22-05-2023,29,False,1265,39,False,530,0,False,0,2016,2024
08-05-2023,29,False,1265,36,False,520,0,False,0,2016,2024
24-04-2023,28,False,1390,28,False,510,0,False,0,2016,2024
17-04-2023,27,False,1390,22,False,510,850,True,45,2016,2024
10-04-2023,26,False,1480,21,False,510,400,False,135,2016,2024
03-04-2023,27,False,1480,20,False,510,402,True,135,2016,2024
20-03-2023,26,False,1525,20,False,510,404,True,135,2016,2024
06-03-2023,26,False,1550,17,False,510,403,False,135,2016,2024
27-02-2023,26,False,1550,14,False,510,405,False,135,2016,2024
20-02-2023,26,False,1550,11,False,510,400,False,135,2016,2024
13-02-2023,26,False,1595,6,False,510,401,True,135,2016,2024
06-02-2023,26,False,1595,6,False,510,402,True,135,2016,2024
30-01-2023,26,False,1595,6,False,510,401,True,135,2016,2024
16-01-2023,31,False,1325,16,False,150,401,True,135,2016,2024
09-01-2023,31,False,1325,13,True,150,403,True,135,2016,2024
02-01-2023,33,False,1175,0,False,0,408,False,135,2016,2024
26-12-2022,33,False,1175,0,False,0,408,False,135,2016,2024
19-12-2022,33,False,1175,0,False,0,408,False,135,2016,2024
12-12-2022,33,False,1175,0,False,0,408,False,135,2016,2024
05-12-2022,33,False,1175,0,False,0,411,False,135,2016,2024
28-11-2022,34,False,1175,0,False,0,414,False,135,2016,2024
21-11-2022,34,False,1175,0,False,0,407,False,135,2016,2024
14-11-2022,34,False,1175,0,False,0,401,False,135,2016,2024
07-11-2022,34,False,1175,34,False,1175,401,False,135,2016,2024
31-10-2022,33,False,1255,34,False,1165,404,False,135,2016,2024
24-10-2022,33,False,1275,34,False,1165,403,False,135,2016,2024
17-10-2022,36,False,1125,40,False,1015,399,False,135,2016,2024
10-10-2022,47,False,985,49,False,865,395,False,135,2016,2024
03-10-2022,45,False,985,47,False,865,385,False,135,2016,2024
26-09-2022,44,False,985,48,False,845,387,False,135,2016,2024
19-09-2022,49,False,940,48,False,800,391,False,135,2016,2024
12-09-2022,49,False,940,48,False,800,399,False,135,2016,2024
29-08-2022,52,False,905,51,False,755,393,False,135,2016,2024
22-08-2022,52,False,905,50,False,755,393,False,135,2016,2024
15-08-2022,52,False,860,52,False,665,393,False,135,2016,2024
08-08-2022,52,False,860,49,False,665,392,False,135,2016,2024
01-08-2022,54,False,815,59,False,575,207,False,315,2016,2024
25-07-2022,57,False,817,56,False,575,209,False,315,2016,2024
18-07-2022,57,False,817,55,False,575,213,False,315,2016,2024
11-07-2022,59,False,850,52,False,575,216,False,318,2016,2024
27-06-2022,46,False,1028,50,False,575,220,False,318,2016,2024
20-06-2022,46,False,1028,48,False,575,219,False,318,2016,2024
13-06-2022,41,False,1073,52,False,530,227,False,318,2016,2024
06-06-2022,38,False,1166,50,False,530,233,False,318,2016,2024
23-05-2022,30,False,1326,61,False,440,231,False,318,2016,2024
16-05-2022,30,False,1336,59,False,440,232,False,318,2016,2024
09-05-2022,30,False,1336,57,False,430,228,False,318,2016,2024
02-05-2022,30,False,1301,59,False,385,231,False,318,2016,2024
25-04-2022,37,False,1215,74,False,295,232,False,318,2016,2024
18-04-2022,37,False,1215,72,False,295,253,False,273,2016,2024
11-04-2022,42,False,1134,80,False,205,330,False,183,2016,2024
04-04-2022,41,False,1134,73,False,205,327,False,183,2016,2024
21-03-2022,38,False,1269,84,False,160,206,False,363,2016,2024
07-03-2022,38,False,1289,80,False,135,205,False,369,2016,2024
28-02-2022,40,False,1295,80,False,135,190,False,444,2016,2024
21-02-2022,40,False,1306,71,False,135,193,False,444,2016,2024
14-02-2022,43,False,1276,82,True,90,198,False,444,2016,2024
07-02-2022,44,False,1276,62,True,90,198,False,444,2016,2024
31-01-2022,43,False,1276,48,True,90,197,False,462,2016,2024
17-01-2022,43,False,1286,0,False,0,191,False,487,2016,2024
10-01-2022,40,False,1426,0,False,0,194,False,487,2016,2024
03-01-2022,41,False,1426,0,False,0,189,False,487,2016,2024
27-12-2021,41,False,1426,32,False,1285,189,False,487,2016,2024
20-12-2021,41,False,1426,32,False,1285,189,False,487,2016,2024
13-12-2021,41,False,1426,32,False,1285,190,False,487,2016,2024
06-12-2021,41,False,1426,32,False,1285,190,False,487,2016,2024
29-11-2021,41,False,1426,32,False,1285,188,False,487,2016,2024
22-11-2021,41,False,1426,32,False,1285,189,False,487,2016,2024
15-11-2021,41,False,1426,32,False,1285,188,False,487,2016,2024
08-11-2021,39,False,1464,31,False,1285,188,False,487,2016,2024
01-11-2021,39,False,1474,33,False,1195,187,False,487,2016,2024
25-10-2021,38,False,1464,32,False,1175,180,False,516,2016,2024
18-10-2021,38,False,1469,31,False,1175,181,False,531,2016,2024
04-10-2021,40,False,1469,26,False,1165,182,False,531,2016,2024
27-09-2021,42,False,1459,28,True,1145,176,False,531,2016,2024
20-09-2021,42,False,1459,27,True,1145,176,False,531,2016,2024
13-09-2021,42,False,1459,27,True,1145,177,False,531,2016,2024
30-08-2021,45,False,1459,24,True,1135,186,False,531,2016,2024
23-08-2021,45,False,1459,23,True,1135,186,False,531,2016,2024
16-08-2021,45,False,1449,24,False,1090,190,False,531,2016,2024
09-08-2021,45,False,1449,20,False,1090,191,False,531,2016,2024
02-08-2021,45,False,1413,25,False,1045,247,False,351,2016,2024
26-07-2021,47,False,1413,25,False,1045,245,False,351,2016,2024
19-07-2021,47,False,1413,24,False,1045,239,False,351,2016,2024
12-07-2021,46,False,1445,20,False,1045,240,False,354,2016,2024
28-06-2021,50,False,1272,25,True,865,241,False,354,2016,2024
21-06-2021,50,False,1272,23,True,865,241,False,354,2016,2024
14-06-2021,52,False,1187,25,False,775,238,False,354,2016,2024
31-05-2021,50,False,1289,16,False,765,237,False,354,2016,2024
24-05-2021,63,False,1043,35,False,515,235,False,354,2016,2024
17-05-2021,65,False,1027,35,True,495,234,False,354,2016,2024
10-05-2021,67,False,1027,31,True,495,234,False,354,2016,2024
03-05-2021,65,False,1027,26,False,495,237,False,354,2016,2024
26-04-2021,65,False,1030,23,False,495,237,False,354,2016,2024
19-04-2021,66,False,1030,21,False,495,235,False,354,2016,2024
12-04-2021,62,False,1041,15,False,495,231,False,354,2016,2024
