rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,83,False,681,71,False,424,544,False,95,2016,2024
27-05-2024,87,False,681,66,False,414,550,False,95,2016,2024
20-05-2024,88,False,668,68,False,401,552,False,95,2016,2024
06-05-2024,89,False,668,58,False,401,553,False,95,2016,2024
22-04-2024,97,False,638,58,False,371,551,False,95,2016,2024
15-04-2024,97,False,638,51,False,371,559,False,95,2016,2024
08-04-2024,96,False,638,44,False,371,557,False,95,2016,2024
01-04-2024,98,False,613,48,False,346,556,False,95,2016,2024
18-03-2024,98,False,616,40,False,316,549,False,95,2016,2024
04-03-2024,92,False,654,37,False,316,543,False,95,2016,2024
26-02-2024,93,False,654,47,False,241,495,False,111,2016,2024
19-02-2024,100,False,616,59,False,178,497,False,111,2016,2024
12-02-2024,102,False,616,49,False,178,492,False,111,2016,2024
05-02-2024,100,False,616,37,False,178,487,False,111,2016,2024
29-01-2024,85,False,691,33,False,178,449,False,127,2016,2024
15-01-2024,101,False,611,31,False,98,448,False,127,2016,2024
08-01-2024,103,False,611,24,False,98,447,False,127,2016,2024
01-01-2024,110,False,604,6,False,91,445,False,127,2016,2024
25-12-2023,110,False,604,6,False,91,443,False,127,2016,2024
18-12-2023,110,False,604,6,False,91,441,False,127,2016,2024
11-12-2023,110,False,604,6,False,91,440,False,127,2016,2024
04-12-2023,110,False,604,6,False,91,442,False,127,2016,2024
27-11-2023,123,False,529,82,True,16,639,False,77,2016,2024
20-11-2023,120,False,529,31,True,16,642,False,77,2016,2024
13-11-2023,117,False,543,112,False,573,557,False,93,2016,2024
06-11-2023,112,False,559,116,False,543,555,False,93,2016,2024
30-10-2023,109,False,566,109,False,559,557,False,93,2016,2024
23-10-2023,110,False,573,109,False,559,556,False,93,2016,2024
16-10-2023,112,False,543,111,False,529,411,False,138,2016,2024
02-10-2023,146,False,422,132,False,403,275,False,233,2016,2024
25-09-2023,117,False,518,131,False,403,279,False,233,2016,2024
18-09-2023,116,False,524,129,False,403,279,False,233,2016,2024
11-09-2023,115,False,524,126,False,403,276,False,233,2016,2024
28-08-2023,120,False,516,117,False,395,278,False,233,2016,2024
21-08-2023,122,False,516,116,False,395,279,False,233,2016,2024
14-08-2023,128,False,491,123,False,370,283,False,233,2016,2024
07-08-2023,129,False,491,119,False,370,279,False,233,2016,2024
31-07-2023,129,False,476,127,False,325,274,False,233,2016,2024
24-07-2023,135,False,476,122,False,325,266,False,233,2016,2024
17-07-2023,123,False,526,118,False,325,306,False,188,2016,2024
03-07-2023,120,False,519,115,False,302,279,False,220,2016,2024
26-06-2023,120,False,519,115,False,302,276,False,220,2016,2024
19-06-2023,120,False,519,111,False,302,276,False,220,2016,2024
12-06-2023,119,False,519,107,False,302,271,False,220,2016,2024
29-05-2023,114,False,545,105,False,292,255,False,240,2016,2024
22-05-2023,114,False,545,103,False,292,254,False,240,2016,2024
08-05-2023,113,False,545,88,False,292,256,False,240,2016,2024
24-04-2023,107,False,552,76,False,292,256,False,240,2016,2024
17-04-2023,104,False,568,70,False,292,255,False,240,2016,2024
10-04-2023,101,False,568,63,False,292,255,False,240,2016,2024
03-04-2023,101,False,568,57,False,292,254,False,240,2016,2024
20-03-2023,102,False,546,58,False,259,259,False,240,2016,2024
06-03-2023,107,False,527,55,False,221,260,False,248,2016,2024
27-02-2023,121,False,457,81,False,146,265,False,235,2016,2024
20-02-2023,124,False,435,85,False,121,265,False,235,2016,2024
13-02-2023,122,False,435,68,False,121,265,False,235,2016,2024
06-02-2023,125,False,435,55,False,121,270,False,235,2016,2024
30-01-2023,166,False,360,157,False,46,284,False,219,2016,2024
16-01-2023,163,False,360,92,False,46,286,False,219,2016,2024
09-01-2023,163,False,360,72,False,46,285,False,219,2016,2024
02-01-2023,158,False,360,35,True,46,290,False,219,2016,2024
26-12-2022,158,False,360,35,True,46,290,False,219,2016,2024
19-12-2022,158,False,360,35,True,46,290,False,219,2016,2024
12-12-2022,159,False,360,35,True,46,292,False,219,2016,2024
05-12-2022,160,False,360,32,True,46,291,False,219,2016,2024
28-11-2022,162,False,360,26,True,46,290,False,219,2016,2024
21-11-2022,158,False,360,21,True,46,288,False,219,2016,2024
14-11-2022,174,False,330,38,True,16,284,False,218,2016,2024
07-11-2022,177,False,314,177,False,314,281,False,218,2016,2024
31-10-2022,178,False,307,176,False,307,280,False,218,2016,2024
24-10-2022,165,False,329,176,False,300,279,False,218,2016,2024
17-10-2022,165,False,329,169,False,300,327,False,173,2016,2024
10-10-2022,172,False,324,170,False,295,470,False,108,2016,2024
03-10-2022,167,False,324,165,False,295,590,False,78,2016,2024
26-09-2022,222,False,228,228,False,199,589,False,78,2016,2024
19-09-2022,221,False,226,225,False,193,520,False,93,2016,2024
12-09-2022,220,False,237,221,False,193,522,False,93,2016,2024
29-08-2022,204,False,253,211,False,193,517,False,93,2016,2024
22-08-2022,201,False,253,206,False,193,517,False,93,2016,2024
15-08-2022,201,False,253,203,False,193,514,False,93,2016,2024
08-08-2022,205,False,253,198,False,193,512,False,93,2016,2024
01-08-2022,229,False,225,225,False,163,503,False,96,2016,2024
25-07-2022,227,False,228,218,False,163,502,False,96,2016,2024
18-07-2022,269,False,182,279,False,113,418,False,125,2016,2024
11-07-2022,295,False,166,314,False,97,483,False,109,2016,2024
27-06-2022,298,False,166,291,False,97,523,False,93,2016,2024
20-06-2022,292,False,167,286,False,97,516,False,95,2016,2024
13-06-2022,296,False,167,280,False,97,522,False,95,2016,2024
06-06-2022,303,False,167,269,False,97,528,False,95,2016,2024
23-05-2022,347,False,131,335,False,61,596,False,75,2016,2024
16-05-2022,345,False,131,324,False,61,589,False,75,2016,2024
09-05-2022,340,False,131,303,False,61,587,False,75,2016,2024
02-05-2022,340,False,131,295,False,61,589,False,75,2016,2024
25-04-2022,347,False,124,311,False,54,594,False,75,2016,2024
18-04-2022,382,False,108,369,False,38,593,False,75,2016,2024
11-04-2022,374,False,110,326,False,33,601,False,75,2016,2024
04-04-2022,369,False,110,305,False,33,601,False,75,2016,2024
21-03-2022,400,False,99,318,False,22,586,False,75,2016,2024
07-03-2022,367,False,110,0,False,0,631,False,67,2016,2024
28-02-2022,370,False,110,0,False,0,654,False,64,2016,2024
21-02-2022,369,False,114,0,False,0,658,False,64,2016,2024
14-02-2022,373,False,114,0,False,0,662,False,64,2016,2024
07-02-2022,370,False,118,0,False,0,655,False,64,2016,2024
31-01-2022,369,False,118,0,False,0,653,False,64,2016,2024
17-01-2022,368,False,118,0,False,0,662,False,64,2016,2024
10-01-2022,370,False,118,0,False,0,662,False,64,2016,2024
03-01-2022,356,False,125,0,False,0,658,False,64,2016,2024
27-12-2021,356,False,125,333,False,104,659,False,64,2016,2024
20-12-2021,356,False,125,332,False,104,663,False,64,2016,2024
13-12-2021,352,False,125,330,False,104,659,False,64,2016,2024
06-12-2021,354,False,125,320,False,104,655,False,64,2016,2024
29-11-2021,352,False,125,317,False,104,656,False,64,2016,2024
