rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,512,False,79,471,False,42,1097,False,28,2018,2024
27-05-2024,451,False,100,464,False,40,1105,False,28,2018,2024
20-05-2024,451,False,99,451,False,39,1107,False,28,2018,2024
06-05-2024,432,False,104,436,False,37,1100,False,28,2018,2024
22-04-2024,425,False,110,418,False,36,1167,False,25,2018,2024
15-04-2024,405,False,120,408,False,36,1167,True,25,2018,2024
08-04-2024,404,False,118,412,False,34,1163,True,25,2018,2024
01-04-2024,409,False,114,416,False,30,1643,False,9,2018,2024
18-03-2024,401,False,117,389,False,26,1625,False,9,2018,2024
04-03-2024,397,False,121,384,False,23,1631,False,9,2018,2024
26-02-2024,392,False,121,370,False,23,1637,False,9,2018,2024
19-02-2024,370,False,133,348,False,23,1636,False,9,2018,2024
12-02-2024,369,False,133,330,False,23,1623,False,9,2018,2024
05-02-2024,370,False,133,306,False,23,1625,False,9,2018,2024
29-01-2024,342,False,149,286,False,23,1623,False,9,2018,2024
15-01-2024,297,False,184,198,False,23,0,False,0,2018,2024
08-01-2024,298,False,180,190,False,19,0,False,0,2018,2024
01-01-2024,295,False,182,127,False,19,1253,False,20,2018,2024
25-12-2023,295,False,182,124,False,19,1251,False,20,2018,2024
18-12-2023,295,False,182,115,False,19,1250,False,20,2018,2024
11-12-2023,295,False,182,113,False,19,1252,False,20,2018,2024
04-12-2023,296,False,182,103,False,19,1253,False,20,2018,2024
27-11-2023,303,False,175,108,False,12,1248,False,20,2018,2024
20-11-2023,237,False,260,93,True,7,501,False,110,2018,2024
13-11-2023,236,False,258,235,False,263,499,False,110,2018,2024
06-11-2023,240,False,255,236,False,253,503,False,110,2018,2024
30-10-2023,241,False,255,235,False,255,498,False,110,2018,2024
23-10-2023,243,False,255,234,False,255,506,False,110,2018,2024
16-10-2023,244,False,255,229,False,255,500,False,110,2018,2024
02-10-2023,242,False,253,227,False,244,446,False,126,2018,2024
25-09-2023,244,False,251,222,False,242,447,False,126,2018,2024
18-09-2023,256,False,235,228,False,226,439,False,126,2018,2024
11-09-2023,253,False,235,223,False,226,428,False,126,2018,2024
28-08-2023,260,False,235,214,False,226,429,False,126,2018,2024
21-08-2023,219,False,285,213,False,226,405,False,135,2018,2024
14-08-2023,218,False,285,207,False,226,406,False,135,2018,2024
07-08-2023,210,False,292,204,False,224,409,False,135,2018,2024
31-07-2023,207,False,292,194,False,224,411,False,135,2018,2024
24-07-2023,201,False,292,188,False,224,412,False,135,2018,2024
17-07-2023,199,False,292,180,False,224,404,False,135,2018,2024
03-07-2023,182,False,320,162,False,222,370,False,151,2018,2024
26-06-2023,181,False,320,159,False,222,367,False,151,2018,2024
19-06-2023,178,False,320,153,False,222,364,False,151,2018,2024
12-06-2023,182,False,320,146,False,222,360,False,151,2018,2024
29-05-2023,185,False,324,151,False,200,370,False,151,2018,2024
22-05-2023,185,False,324,144,False,200,367,False,151,2018,2024
08-05-2023,177,False,331,136,False,193,378,False,151,2018,2024
24-04-2023,183,False,326,119,False,186,369,False,151,2018,2024
17-04-2023,180,False,327,121,False,176,366,False,151,2018,2024
10-04-2023,177,False,336,114,False,176,368,False,151,2018,2024
03-04-2023,174,False,338,106,False,176,340,False,167,2018,2024
20-03-2023,167,False,356,96,False,169,341,False,167,2018,2024
06-03-2023,162,False,365,83,False,162,310,False,192,2018,2024
27-02-2023,160,False,365,69,False,162,303,False,195,2018,2024
20-02-2023,167,False,355,65,False,150,299,False,203,2018,2024
13-02-2023,169,False,355,49,False,150,300,False,203,2018,2024
06-02-2023,170,False,355,42,False,150,301,False,203,2018,2024
30-01-2023,176,False,341,44,False,134,300,False,203,2018,2024
16-01-2023,188,False,308,34,False,99,299,False,203,2018,2024
09-01-2023,188,False,308,24,False,99,300,False,203,2018,2024
02-01-2023,185,False,307,11,False,97,321,False,183,2018,2024
26-12-2022,185,False,307,11,False,97,321,False,183,2018,2024
19-12-2022,185,False,307,11,False,97,322,False,183,2018,2024
12-12-2022,188,False,307,11,False,97,322,False,183,2018,2024
05-12-2022,188,False,307,11,False,97,275,False,233,2018,2024
28-11-2022,190,False,307,10,False,97,276,False,233,2018,2024
21-11-2022,252,False,217,205,True,7,389,False,143,2018,2024
14-11-2022,253,False,212,195,True,2,385,False,143,2018,2024
07-11-2022,249,False,210,249,False,210,382,False,143,2018,2024
31-10-2022,250,False,210,246,False,210,385,False,143,2018,2024
24-10-2022,247,False,211,241,False,210,386,False,143,2018,2024
17-10-2022,247,False,211,236,False,210,381,False,143,2018,2024
10-10-2022,246,False,211,236,False,201,376,False,143,2018,2024
03-10-2022,240,False,211,229,False,201,410,False,127,2018,2024
26-09-2022,239,False,211,226,False,201,376,False,142,2018,2024
19-09-2022,232,False,213,217,False,201,381,False,142,2018,2024
12-09-2022,236,False,213,215,False,201,386,False,142,2018,2024
29-08-2022,226,False,228,202,False,201,383,False,142,2018,2024
22-08-2022,271,False,181,259,False,151,400,False,133,2018,2024
15-08-2022,270,False,181,253,False,151,399,False,133,2018,2024
08-08-2022,277,False,174,261,False,144,397,False,135,2018,2024
01-08-2022,275,False,175,251,False,144,386,False,137,2018,2024
25-07-2022,275,False,175,237,False,144,393,False,137,2018,2024
18-07-2022,242,False,207,233,False,144,320,False,186,2018,2024
11-07-2022,249,False,202,236,False,135,314,False,198,2018,2024
27-06-2022,279,False,181,256,False,112,328,False,183,2018,2024
20-06-2022,277,False,181,250,False,112,329,False,183,2018,2024
13-06-2022,282,False,181,244,False,112,333,False,183,2018,2024
06-06-2022,301,False,168,288,False,89,334,False,185,2018,2024
23-05-2022,307,False,163,283,False,82,328,False,186,2018,2024
16-05-2022,299,False,163,268,False,82,323,False,186,2018,2024
