rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
12-06-2023,0,False,0,0,False,0,0,False,0,1998,2023
29-05-2023,0,False,0,0,False,0,0,False,0,1998,2023
22-05-2023,0,False,0,0,False,0,0,False,0,1998,2023
08-05-2023,0,False,0,0,False,0,0,False,0,1998,2023
24-04-2023,0,False,0,0,False,0,0,False,0,1998,2023
17-04-2023,0,False,0,0,False,0,0,False,0,1998,2023
10-04-2023,0,False,0,0,False,0,0,False,0,1998,2023
03-04-2023,0,False,0,0,False,0,0,False,0,1998,2023
20-03-2023,779,True,25,0,False,0,0,False,0,1998,2023
06-03-2023,593,False,51,0,False,0,0,False,0,1998,2023
27-02-2023,590,False,51,0,False,0,0,False,0,1998,2023
20-02-2023,590,False,51,0,False,0,0,False,0,1998,2023
13-02-2023,589,False,51,0,False,0,0,False,0,1998,2023
06-02-2023,552,False,61,0,False,0,0,False,0,1998,2023
30-01-2023,543,False,61,0,False,0,0,False,0,1998,2023
16-01-2023,420,False,106,0,False,0,0,False,0,1998,2023
09-01-2023,420,False,106,0,False,0,0,False,0,1998,2023
02-01-2023,417,False,106,0,False,0,0,False,0,1998,2023
26-12-2022,416,False,106,0,False,0,0,False,0,1998,2023
19-12-2022,416,False,106,0,False,0,0,False,0,1998,2023
12-12-2022,418,False,106,0,False,0,0,False,0,1998,2023
05-12-2022,420,False,106,0,False,0,0,False,0,1998,2023
28-11-2022,421,False,106,0,False,0,0,False,0,1998,2023
21-11-2022,418,False,106,0,False,0,0,False,0,1998,2023
14-11-2022,419,False,106,0,False,0,0,False,0,1998,2023
07-11-2022,416,False,106,416,False,106,0,False,0,1998,2023
31-10-2022,414,False,106,408,False,106,0,False,0,1998,2023
24-10-2022,411,False,106,402,False,106,0,False,0,1998,2023
17-10-2022,403,False,106,393,False,106,0,False,0,1998,2023
10-10-2022,390,False,116,388,False,106,0,False,0,1998,2023
03-10-2022,384,False,116,381,False,106,0,False,0,1998,2023
26-09-2022,381,False,116,375,False,106,0,False,0,1998,2023
19-09-2022,327,False,142,368,False,106,0,False,0,1998,2023
12-09-2022,327,False,142,362,False,106,0,False,0,1998,2023
29-08-2022,269,False,187,340,False,106,0,False,0,1998,2023
22-08-2022,265,False,187,336,False,106,0,False,0,1998,2023
15-08-2022,261,False,187,335,False,106,0,False,0,1998,2023
08-08-2022,260,False,187,327,False,106,0,False,0,1998,2023
01-08-2022,260,False,187,320,False,106,0,False,0,1998,2023
25-07-2022,258,False,187,314,False,106,0,False,0,1998,2023
18-07-2022,262,False,187,300,False,106,0,False,0,1998,2023
11-07-2022,233,False,232,286,False,106,0,False,0,1998,2023
27-06-2022,231,False,242,272,False,106,0,False,0,1998,2023
20-06-2022,230,False,242,269,False,106,0,False,0,1998,2023
13-06-2022,168,False,332,260,False,106,0,False,0,1998,2023
06-06-2022,153,False,422,251,False,106,0,False,0,1998,2023
23-05-2022,147,False,422,228,False,106,0,False,0,1998,2023
16-05-2022,148,False,422,221,False,106,0,False,0,1998,2023
09-05-2022,143,False,440,207,False,106,0,False,0,1998,2023
02-05-2022,140,False,463,195,False,106,0,False,0,1998,2023
25-04-2022,132,False,486,187,False,106,0,False,0,1998,2023
18-04-2022,132,False,486,177,False,106,0,False,0,1998,2023
11-04-2022,126,False,519,148,False,106,0,False,0,1998,2023
04-04-2022,126,False,529,137,False,106,0,False,0,1998,2023
21-03-2022,129,False,504,138,False,81,0,False,0,1998,2023
07-03-2022,136,False,478,155,False,55,0,False,0,1998,2023
28-02-2022,138,False,478,150,False,55,0,False,0,1998,2023
21-02-2022,127,False,523,138,False,55,0,False,0,1998,2023
14-02-2022,134,False,523,122,False,55,0,False,0,1998,2023
07-02-2022,136,False,533,121,True,45,0,False,0,1998,2023
31-01-2022,134,False,533,103,True,45,0,False,0,1998,2023
17-01-2022,134,False,533,0,False,0,0,False,0,1998,2023
10-01-2022,132,False,533,0,False,0,0,False,0,1998,2023
03-01-2022,114,False,658,0,False,0,0,False,0,1998,2023
27-12-2021,114,False,658,141,False,344,0,False,0,1998,2023
20-12-2021,114,False,658,141,False,344,0,False,0,1998,2023
13-12-2021,114,False,658,141,False,344,0,False,0,1998,2023
06-12-2021,114,False,658,140,False,344,0,False,0,1998,2023
29-11-2021,113,False,658,140,False,344,0,False,0,1998,2023
22-11-2021,114,False,658,140,True,344,0,False,0,1998,2023
15-11-2021,115,False,658,138,True,344,0,False,0,1998,2023
08-11-2021,116,False,658,135,False,344,0,False,0,1998,2023
01-11-2021,117,False,658,132,False,344,0,False,0,1998,2023
25-10-2021,119,False,658,131,False,344,0,False,0,1998,2023
18-10-2021,115,False,678,126,False,344,0,False,0,1998,2023
04-10-2021,107,False,733,127,False,334,0,False,0,1998,2023
27-09-2021,108,False,733,123,False,334,0,False,0,1998,2023
20-09-2021,107,False,736,128,False,308,0,False,0,1998,2023
13-09-2021,109,False,736,123,False,308,0,False,0,1998,2023
