rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,787,False,29,555,False,29,0,False,0,2008,2024
27-05-2024,768,False,31,594,False,21,0,False,0,2008,2024
20-05-2024,761,False,31,586,False,21,0,False,0,2008,2024
06-05-2024,696,False,41,562,False,21,0,False,0,2008,2024
22-04-2024,493,False,81,532,False,21,0,False,0,2008,2024
15-04-2024,495,False,81,513,False,21,0,False,0,2008,2024
08-04-2024,427,False,107,502,False,21,0,False,0,2008,2024
01-04-2024,426,False,107,484,False,21,0,False,0,2008,2024
18-03-2024,446,False,99,537,False,13,0,False,0,2008,2024
04-03-2024,417,False,107,531,False,11,0,False,0,2008,2024
26-02-2024,417,False,107,505,False,11,0,False,0,2008,2024
19-02-2024,415,False,107,484,False,11,0,False,0,2008,2024
12-02-2024,414,False,107,458,False,11,0,False,0,2008,2024
05-02-2024,380,False,127,432,True,11,0,False,0,2008,2024
29-01-2024,400,False,116,0,False,0,0,False,0,2008,2024
15-01-2024,381,False,126,0,False,0,0,False,0,2008,2024
08-01-2024,381,False,126,0,False,0,0,False,0,2008,2024
01-01-2024,311,False,171,0,False,0,0,False,0,2008,2024
25-12-2023,311,False,171,0,False,0,0,False,0,2008,2024
18-12-2023,311,False,171,0,False,0,0,False,0,2008,2024
11-12-2023,311,False,171,0,False,0,0,False,0,2008,2024
04-12-2023,312,False,171,0,False,0,0,False,0,2008,2024
27-11-2023,311,False,171,0,False,0,0,False,0,2008,2024
20-11-2023,313,False,171,0,False,0,0,False,0,2008,2024
13-11-2023,315,False,171,318,False,171,0,False,0,2008,2024
06-11-2023,312,False,171,308,False,171,0,False,0,2008,2024
30-10-2023,313,False,171,303,False,171,0,False,0,2008,2024
23-10-2023,313,False,171,299,False,171,0,False,0,2008,2024
16-10-2023,313,False,171,296,False,171,0,False,0,2008,2024
02-10-2023,316,False,171,286,False,171,0,False,0,2008,2024
25-09-2023,318,False,171,282,False,171,0,False,0,2008,2024
18-09-2023,315,False,171,277,False,171,0,False,0,2008,2024
11-09-2023,312,False,171,276,False,171,0,False,0,2008,2024
28-08-2023,302,False,181,264,False,171,0,False,0,2008,2024
21-08-2023,301,False,181,260,False,171,0,False,0,2008,2024
14-08-2023,265,False,226,257,False,171,0,False,0,2008,2024
07-08-2023,257,False,236,252,False,171,0,False,0,2008,2024
31-07-2023,247,False,236,238,False,171,0,False,0,2008,2024
24-07-2023,245,False,236,232,False,171,0,False,0,2008,2024
17-07-2023,207,False,281,223,False,171,0,False,0,2008,2024
03-07-2023,206,False,281,207,False,171,0,False,0,2008,2024
26-06-2023,204,False,281,203,False,171,0,False,0,2008,2024
19-06-2023,206,False,281,200,False,171,0,False,0,2008,2024
12-06-2023,105,False,581,193,False,171,0,False,0,2008,2024
29-05-2023,93,False,661,189,False,161,0,False,0,2008,2024
22-05-2023,92,False,661,182,False,161,0,False,0,2008,2024
08-05-2023,74,False,741,172,False,151,0,False,0,2008,2024
24-04-2023,79,False,711,202,False,111,0,False,0,2008,2024
17-04-2023,74,False,731,190,False,111,0,False,0,2008,2024
10-04-2023,78,False,715,232,False,85,0,False,0,2008,2024
03-04-2023,78,False,715,216,False,85,0,False,0,2008,2024
20-03-2023,77,False,715,182,False,85,0,False,0,2008,2024
06-03-2023,74,False,730,185,False,75,0,False,0,2008,2024
27-02-2023,70,False,730,170,False,75,0,False,0,2008,2024
20-02-2023,67,False,775,153,False,75,0,False,0,2008,2024
13-02-2023,69,False,775,133,False,75,0,False,0,2008,2024
06-02-2023,71,False,755,147,True,55,0,False,0,2008,2024
30-01-2023,56,False,845,131,True,55,0,False,0,2008,2024
16-01-2023,54,False,845,95,True,45,0,False,0,2008,2024
09-01-2023,56,False,845,74,True,45,0,False,0,2008,2024
02-01-2023,54,False,845,0,False,0,826,True,45,2008,2024
26-12-2022,54,False,845,0,False,0,825,True,45,2008,2024
19-12-2022,54,False,845,0,False,0,828,True,45,2008,2024
12-12-2022,54,False,845,0,False,0,829,True,45,2008,2024
05-12-2022,54,False,845,0,False,0,832,True,45,2008,2024
28-11-2022,54,False,845,0,False,0,829,True,45,2008,2024
21-11-2022,55,False,845,0,False,0,828,True,45,2008,2024
14-11-2022,55,False,845,0,False,0,827,True,45,2008,2024
07-11-2022,54,False,865,54,False,865,827,True,45,2008,2024
31-10-2022,53,False,875,53,False,865,403,False,135,2008,2024
24-10-2022,52,False,875,53,False,865,402,False,135,2008,2024
17-10-2022,53,False,875,52,False,865,398,False,135,2008,2024
10-10-2022,53,False,920,51,False,865,396,True,135,2008,2024
03-10-2022,52,False,920,49,False,865,386,True,135,2008,2024
26-09-2022,42,False,1010,46,False,865,388,False,135,2008,2024
19-09-2022,41,False,1010,44,False,865,392,False,135,2008,2024
12-09-2022,41,False,1010,44,False,865,400,False,135,2008,2024
29-08-2022,44,False,1010,42,False,855,395,False,135,2008,2024
22-08-2022,45,False,1010,41,False,855,395,False,135,2008,2024
15-08-2022,46,False,975,40,False,810,260,False,225,2008,2024
08-08-2022,47,False,965,37,False,800,260,False,225,2008,2024
01-08-2022,47,False,965,36,False,800,260,False,225,2008,2024
25-07-2022,44,False,1010,35,False,800,260,False,225,2008,2024
18-07-2022,43,False,1010,36,False,755,265,False,225,2008,2024
11-07-2022,30,False,1300,35,False,755,276,False,225,2008,2024
27-06-2022,31,False,1300,34,False,755,286,False,225,2008,2024
20-06-2022,31,False,1300,33,False,755,288,False,225,2008,2024
13-06-2022,48,False,1010,66,False,455,289,False,225,2008,2024
06-06-2022,47,False,1045,64,False,455,292,False,225,2008,2024
23-05-2022,55,False,965,69,False,365,282,False,225,2008,2024
16-05-2022,56,False,965,68,False,365,282,False,225,2008,2024
09-05-2022,54,False,960,89,False,275,282,False,225,2008,2024
02-05-2022,56,False,960,85,False,265,282,False,225,2008,2024
25-04-2022,49,False,995,84,False,265,286,False,225,2008,2024
18-04-2022,45,False,1091,90,False,245,286,False,225,2008,2024
11-04-2022,39,False,1171,77,False,215,284,False,225,2008,2024
04-04-2022,39,False,1171,68,False,215,280,False,225,2008,2024
21-03-2022,40,False,1192,64,False,215,284,False,225,2008,2024
07-03-2022,40,False,1212,60,False,190,285,False,225,2008,2024
28-02-2022,41,False,1212,60,False,190,292,False,225,2008,2024
21-02-2022,44,False,1187,64,True,145,297,False,225,2008,2024
14-02-2022,44,False,1257,48,True,145,304,False,225,2008,2024
07-02-2022,36,False,1414,38,True,145,305,False,225,2008,2024
31-01-2022,36,False,1414,82,True,55,263,False,275,2008,2024
17-01-2022,36,False,1427,47,True,45,268,False,275,2008,2024
10-01-2022,39,False,1427,34,True,45,270,False,275,2008,2024
03-01-2022,42,False,1402,0,False,0,297,False,230,2008,2024
27-12-2021,42,False,1402,45,False,965,297,False,230,2008,2024
20-12-2021,42,False,1402,45,False,965,298,False,230,2008,2024
13-12-2021,42,False,1402,45,False,965,298,False,230,2008,2024
06-12-2021,42,False,1402,45,False,965,294,False,230,2008,2024
29-11-2021,42,False,1402,45,False,965,293,False,230,2008,2024
22-11-2021,42,False,1402,45,True,965,290,False,230,2008,2024
15-11-2021,42,False,1402,45,True,965,292,False,230,2008,2024
08-11-2021,42,False,1402,46,False,945,296,False,230,2008,2024
01-11-2021,42,False,1402,46,False,935,407,False,140,2008,2024
25-10-2021,40,False,1402,44,False,935,415,False,140,2008,2024
18-10-2021,37,False,1472,42,False,935,416,False,140,2008,2024
04-10-2021,34,False,1589,42,True,890,305,False,230,2008,2024
27-09-2021,37,False,1527,48,False,800,308,False,230,2008,2024
20-09-2021,37,False,1527,48,False,800,309,False,230,2008,2024
13-09-2021,37,False,1544,47,False,800,307,False,230,2008,2024
30-08-2021,38,False,1589,46,False,790,313,False,230,2008,2024
23-08-2021,38,False,1589,44,False,790,311,False,230,2008,2024
16-08-2021,33,False,1724,41,False,780,434,False,140,2008,2024
09-08-2021,33,False,1724,40,False,780,426,False,140,2008,2024
02-08-2021,34,False,1724,37,False,780,422,False,140,2008,2024
26-07-2021,33,False,1724,38,False,735,428,False,140,2008,2024
19-07-2021,34,False,1724,40,False,690,423,False,140,2008,2024
12-07-2021,44,False,1514,66,True,390,412,False,140,2008,2024
28-06-2021,44,False,1479,62,False,380,406,True,140,2008,2024
21-06-2021,44,False,1479,62,False,380,405,True,140,2008,2024
14-06-2021,44,False,1479,56,True,380,409,True,140,2008,2024
31-05-2021,41,False,1524,57,True,335,408,True,140,2008,2024
24-05-2021,41,False,1524,54,True,335,405,True,140,2008,2024
17-05-2021,41,False,1524,51,True,335,403,True,140,2008,2024
10-05-2021,39,False,1619,51,True,325,403,True,140,2008,2024
03-05-2021,36,False,1619,47,False,315,405,True,140,2008,2024
26-04-2021,36,False,1619,55,False,270,403,True,140,2008,2024
19-04-2021,33,False,1683,60,False,225,402,True,140,2008,2024
12-04-2021,37,False,1616,87,False,135,400,True,140,2008,2024
05-04-2021,36,False,1616,83,False,135,396,True,140,2008,2024
22-03-2021,35,False,1665,70,False,135,395,True,140,2008,2024
15-03-2021,33,False,1665,91,True,90,393,True,140,2008,2024
08-03-2021,32,False,1718,73,False,90,392,False,140,2008,2024
01-03-2021,32,False,1718,61,False,90,389,False,140,2008,2024
22-02-2021,31,False,1718,47,False,90,386,False,140,2008,2024
08-02-2021,33,False,1673,0,False,0,377,False,140,2008,2024
01-02-2021,31,False,1673,0,False,0,506,False,90,2008,2024
25-01-2021,31,False,1673,0,False,0,505,False,90,2008,2024
18-01-2021,31,False,1673,0,False,0,504,False,90,2008,2024
11-01-2021,30,False,1673,0,False,0,502,False,90,2008,2024
04-01-2021,30,False,1673,0,False,760,502,False,90,2008,2024
28-12-2020,31,False,1628,0,False,0,500,False,90,2008,2024
