rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,92,False,645,420,False,50,494,False,110,2009,2024
27-05-2024,82,False,705,450,False,40,499,False,110,2009,2024
20-05-2024,82,False,705,433,False,40,502,False,110,2009,2024
06-05-2024,86,False,675,732,False,10,494,False,110,2009,2024
22-04-2024,48,False,1041,0,False,0,1257,True,20,2009,2024
15-04-2024,45,False,1073,0,False,0,1263,True,20,2009,2024
08-04-2024,43,False,1073,0,False,0,1263,True,20,2009,2024
01-04-2024,44,False,1073,0,False,0,1268,True,20,2009,2024
18-03-2024,41,False,1073,0,False,0,1261,True,20,2009,2024
04-03-2024,44,False,1073,0,False,0,1260,False,20,2009,2024
26-02-2024,40,False,1073,0,False,0,1255,False,20,2009,2024
19-02-2024,39,False,1073,0,False,0,1246,False,20,2009,2024
12-02-2024,37,False,1093,0,False,0,1234,True,20,2009,2024
05-02-2024,37,False,1093,0,False,0,1241,True,20,2009,2024
29-01-2024,39,False,1093,0,False,0,1240,True,20,2009,2024
15-01-2024,39,False,1103,0,False,0,1247,True,20,2009,2024
08-01-2024,38,False,1103,0,False,0,1247,True,20,2009,2024
01-01-2024,35,False,1193,0,False,0,0,False,0,2009,2024
25-12-2023,35,False,1193,0,False,0,0,False,0,2009,2024
18-12-2023,35,False,1193,0,False,0,0,False,0,2009,2024
11-12-2023,35,False,1193,0,False,0,0,False,0,2009,2024
04-12-2023,35,False,1193,0,False,0,0,False,0,2009,2024
27-11-2023,35,False,1193,0,False,0,0,False,0,2009,2024
20-11-2023,35,False,1193,0,False,0,0,False,0,2009,2024
13-11-2023,35,False,1193,35,False,1193,0,False,0,2009,2024
06-11-2023,35,False,1193,35,False,1193,0,False,0,2009,2024
30-10-2023,35,False,1203,35,False,1193,0,False,0,2009,2024
23-10-2023,37,False,1213,34,False,1193,0,False,0,2009,2024
16-10-2023,50,False,933,47,False,893,0,False,0,2009,2024
02-10-2023,52,False,943,45,False,883,0,False,0,2009,2024
25-09-2023,52,False,943,43,False,883,0,False,0,2009,2024
18-09-2023,63,False,853,51,False,793,0,False,0,2009,2024
11-09-2023,63,False,853,51,False,793,0,False,0,2009,2024
28-08-2023,77,False,773,59,False,703,585,False,90,2009,2024
21-08-2023,76,False,773,59,False,703,574,False,90,2009,2024
14-08-2023,69,False,818,55,False,703,571,True,90,2009,2024
07-08-2023,71,False,818,54,False,693,573,True,90,2009,2024
31-07-2023,75,False,798,51,False,673,567,True,90,2009,2024
24-07-2023,69,False,798,44,False,673,572,True,90,2009,2024
17-07-2023,52,False,888,43,False,673,565,True,90,2009,2024
03-07-2023,50,False,888,44,False,628,570,False,90,2009,2024
26-06-2023,47,False,888,42,False,628,558,False,90,2009,2024
19-06-2023,45,False,898,37,False,618,398,False,135,2009,2024
12-06-2023,48,False,878,39,False,598,393,False,135,2009,2024
29-05-2023,62,False,818,42,False,528,403,False,135,2009,2024
22-05-2023,62,False,818,41,False,528,398,False,135,2009,2024
08-05-2023,53,False,863,34,False,528,404,False,135,2009,2024
24-04-2023,121,False,497,158,False,152,402,False,135,2009,2024
17-04-2023,129,False,465,182,False,120,399,False,135,2009,2024
10-04-2023,126,False,475,168,False,120,263,False,225,2009,2024
03-04-2023,124,False,475,156,False,120,267,False,225,2009,2024
20-03-2023,107,False,520,140,False,120,268,False,225,2009,2024
06-03-2023,105,False,530,114,False,120,184,False,405,2009,2024
27-02-2023,102,False,530,103,False,120,180,False,405,2009,2024
20-02-2023,101,False,530,87,True,120,178,False,405,2009,2024
13-02-2023,98,False,555,93,False,100,174,False,405,2009,2024
06-02-2023,95,False,555,73,False,100,178,False,405,2009,2024
30-01-2023,98,False,555,69,False,100,180,False,405,2009,2024
16-01-2023,82,False,635,38,True,90,178,False,405,2009,2024
09-01-2023,52,False,875,26,True,90,178,False,405,2009,2024
02-01-2023,59,False,795,0,False,0,176,False,405,2009,2024
26-12-2022,59,False,795,0,False,0,176,False,405,2009,2024
