rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,94,False,633,80,False,398,220,False,302,2011,2024
27-05-2024,100,False,623,93,False,298,220,False,302,2011,2024
20-05-2024,98,False,623,92,False,298,218,False,302,2011,2024
06-05-2024,94,False,647,93,False,273,220,False,302,2011,2024
22-04-2024,93,False,650,100,False,243,225,False,302,2011,2024
15-04-2024,94,False,650,89,False,243,224,False,302,2011,2024
08-04-2024,106,False,584,117,False,168,224,False,302,2011,2024
01-04-2024,104,False,584,103,False,168,224,False,302,2011,2024
18-03-2024,101,False,608,92,False,168,302,False,212,2011,2024
04-03-2024,99,False,609,117,False,113,339,False,180,2011,2024
26-02-2024,94,False,645,107,False,113,342,False,180,2011,2024
19-02-2024,103,False,604,160,False,63,346,False,180,2011,2024
12-02-2024,79,False,716,166,True,50,346,False,180,2011,2024
05-02-2024,77,False,716,148,True,50,337,False,180,2011,2024
29-01-2024,78,False,716,139,True,50,339,False,180,2011,2024
15-01-2024,80,False,711,0,False,0,338,False,180,2011,2024
08-01-2024,68,False,792,0,False,0,339,False,180,2011,2024
01-01-2024,65,False,802,0,False,0,337,True,180,2011,2024
25-12-2023,65,False,802,0,False,0,337,True,180,2011,2024
18-12-2023,65,False,802,0,False,0,337,True,180,2011,2024
11-12-2023,65,False,802,0,False,0,336,True,180,2011,2024
04-12-2023,65,False,802,0,False,0,333,True,180,2011,2024
27-11-2023,65,False,802,0,False,0,330,True,180,2011,2024
20-11-2023,65,False,802,0,False,0,328,True,180,2011,2024
13-11-2023,65,False,802,68,False,802,329,True,180,2011,2024
06-11-2023,65,False,802,63,False,802,186,False,380,2011,2024
30-10-2023,67,False,782,66,False,772,185,False,380,2011,2024
23-10-2023,68,False,782,62,False,772,185,False,380,2011,2024
16-10-2023,68,False,782,61,False,772,188,False,380,2011,2024
02-10-2023,69,False,766,61,False,747,146,False,560,2011,2024
25-09-2023,71,False,766,61,False,747,146,False,560,2011,2024
18-09-2023,73,False,766,59,False,747,148,False,560,2011,2024
11-09-2023,74,False,766,59,False,747,148,False,560,2011,2024
28-08-2023,78,False,766,55,False,737,143,False,560,2011,2024
21-08-2023,77,False,766,55,False,737,147,False,560,2011,2024
14-08-2023,78,False,766,56,False,702,127,False,650,2011,2024
07-08-2023,86,False,696,62,False,632,129,False,650,2011,2024
31-07-2023,86,False,696,60,False,622,128,False,650,2011,2024
24-07-2023,86,False,676,58,False,611,95,False,900,2011,2024
17-07-2023,88,False,667,57,False,602,95,False,900,2011,2024
03-07-2023,90,False,667,47,False,602,96,False,900,2011,2024
26-06-2023,89,False,667,44,False,602,96,False,900,2011,2024
19-06-2023,88,False,667,39,False,602,95,False,900,2011,2024
12-06-2023,88,False,667,37,False,602,94,False,900,2011,2024
29-05-2023,108,False,587,46,False,512,81,False,1080,2011,2024
22-05-2023,107,False,587,45,False,512,80,False,1080,2011,2024
08-05-2023,104,False,576,42,False,456,76,False,1170,2011,2024
24-04-2023,111,False,534,41,False,414,79,False,1170,2011,2024
17-04-2023,111,False,534,37,False,414,75,False,1170,2011,2024
10-04-2023,109,False,534,31,False,414,73,False,1170,2011,2024
03-04-2023,105,False,534,28,False,414,74,False,1170,2011,2024
20-03-2023,94,False,607,25,False,381,56,False,1530,2011,2024
06-03-2023,94,False,577,29,False,325,55,False,1620,2011,2024
27-02-2023,101,False,532,34,False,280,50,False,1620,2011,2024
20-02-2023,100,False,532,25,False,280,48,False,1620,2011,2024
13-02-2023,141,False,407,46,False,155,48,False,1620,2011,2024
06-02-2023,140,False,407,40,False,155,46,False,1620,2011,2024
30-01-2023,141,False,407,38,False,155,47,False,1620,2011,2024
16-01-2023,159,False,362,22,True,110,17,False,3620,2011,2024
09-01-2023,110,False,522,202,True,20,16,False,3620,2011,2024
02-01-2023,93,False,592,0,False,0,15,False,3620,2011,2024
26-12-2022,93,False,592,0,False,0,15,False,3620,2011,2024
19-12-2022,93,False,592,0,False,0,15,False,3620,2011,2024
12-12-2022,93,False,592,0,False,0,15,False,3620,2011,2024
05-12-2022,94,False,592,0,False,0,15,False,3620,2011,2024
28-11-2022,94,False,592,0,False,0,15,False,3620,2011,2024
21-11-2022,95,False,592,0,False,0,15,False,3620,2011,2024
14-11-2022,95,False,592,0,False,0,18,False,3420,2011,2024
07-11-2022,95,False,592,95,False,592,18,False,3420,2011,2024
31-10-2022,95,False,592,92,False,592,17,False,3420,2011,2024
24-10-2022,91,False,592,87,False,592,17,False,3420,2011,2024
17-10-2022,90,False,592,86,False,592,17,False,3420,2011,2024
10-10-2022,92,False,592,84,False,592,18,False,3420,2011,2024
03-10-2022,91,False,592,83,False,592,22,False,3240,2011,2024
26-09-2022,80,False,640,77,False,592,21,False,3240,2011,2024
19-09-2022,81,False,655,74,False,592,20,False,3240,2011,2024
12-09-2022,81,False,655,73,False,592,20,False,3240,2011,2024
29-08-2022,70,False,697,66,False,582,22,False,3060,2011,2024
22-08-2022,70,False,697,64,False,582,23,False,3060,2011,2024
15-08-2022,75,False,662,69,False,547,26,False,2970,2011,2024
08-08-2022,71,False,671,66,False,547,25,False,2970,2011,2024
01-08-2022,75,False,654,67,False,527,24,False,2970,2011,2024
25-07-2022,69,False,706,66,False,527,27,False,2720,2011,2024
18-07-2022,73,False,706,65,False,527,26,False,2720,2011,2024
11-07-2022,75,False,706,63,False,527,26,False,2720,2011,2024
27-06-2022,79,False,728,60,False,527,27,False,2720,2011,2024
20-06-2022,82,False,728,56,False,527,27,False,2720,2011,2024
13-06-2022,84,False,728,54,False,527,27,False,2720,2011,2024
06-06-2022,86,False,728,52,False,527,32,False,2745,2011,2024
23-05-2022,86,False,718,41,False,517,33,False,2578,2011,2024
16-05-2022,85,False,723,51,False,472,34,False,2578,2011,2024
09-05-2022,88,False,723,44,False,472,34,False,2488,2011,2024
