rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,445,False,103,271,False,97,859,False,46,2012,2024
27-05-2024,454,False,97,259,False,91,871,True,46,2012,2024
20-05-2024,455,False,97,247,False,91,862,True,46,2012,2024
06-05-2024,454,False,97,231,False,91,861,True,46,2012,2024
22-04-2024,451,False,97,219,False,91,859,True,46,2012,2024
15-04-2024,515,False,75,251,False,69,857,True,46,2012,2024
08-04-2024,594,False,59,295,False,53,1072,True,30,2012,2024
01-04-2024,597,False,59,279,False,53,1070,True,30,2012,2024
18-03-2024,653,False,49,289,False,43,0,False,0,2012,2024
04-03-2024,706,False,38,324,False,32,0,False,0,2012,2024
26-02-2024,816,False,24,415,False,18,0,False,0,2012,2024
19-02-2024,816,False,24,391,False,18,0,False,0,2012,2024
12-02-2024,815,False,24,370,False,18,0,False,0,2012,2024
05-02-2024,766,False,30,342,False,18,0,False,0,2012,2024
29-01-2024,722,False,36,499,True,8,0,False,0,2012,2024
15-01-2024,786,False,28,0,False,0,0,False,0,2012,2024
08-01-2024,787,False,28,0,False,0,0,False,0,2012,2024
01-01-2024,788,False,28,0,False,0,0,False,0,2012,2024
25-12-2023,787,False,28,0,False,0,0,False,0,2012,2024
18-12-2023,788,False,28,0,False,0,0,False,0,2012,2024
11-12-2023,786,False,28,0,False,0,0,False,0,2012,2024
04-12-2023,780,False,28,0,False,0,0,False,0,2012,2024
27-11-2023,779,False,28,0,False,0,0,False,0,2012,2024
20-11-2023,780,False,28,0,False,0,0,False,0,2012,2024
13-11-2023,779,False,28,785,False,28,0,False,0,2012,2024
06-11-2023,670,False,44,771,False,28,0,False,0,2012,2024
30-10-2023,655,False,47,683,False,40,0,False,0,2012,2024
23-10-2023,445,False,97,674,False,40,0,False,0,2012,2024
16-10-2023,448,False,97,668,False,40,0,False,0,2012,2024
02-10-2023,435,False,104,654,False,40,0,False,0,2012,2024
25-09-2023,441,False,102,664,False,38,0,False,0,2012,2024
18-09-2023,438,False,102,654,False,38,0,False,0,2012,2024
11-09-2023,418,False,109,643,False,38,0,False,0,2012,2024
28-08-2023,396,False,119,619,False,38,0,False,0,2012,2024
21-08-2023,396,False,119,605,False,38,0,False,0,2012,2024
14-08-2023,396,False,119,592,False,38,0,False,0,2012,2024
07-08-2023,393,False,119,583,False,38,1322,True,16,2012,2024
31-07-2023,389,False,119,574,False,38,1315,True,16,2012,2024
24-07-2023,384,False,119,562,False,38,1309,True,16,2012,2024
17-07-2023,382,False,119,552,False,38,1299,True,16,2012,2024
03-07-2023,389,False,119,523,False,38,1288,True,16,2012,2024
26-06-2023,387,False,119,511,False,38,1263,True,16,2012,2024
