rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,370,False,135,228,False,125,1390,True,16,2013,2024
27-05-2024,494,False,85,298,False,75,1391,True,16,2013,2024
20-05-2024,491,False,85,291,False,75,1397,True,16,2013,2024
06-05-2024,487,False,85,266,False,75,1390,True,16,2013,2024
22-04-2024,479,False,85,251,False,75,1391,True,16,2013,2024
15-04-2024,480,False,85,229,False,75,1394,True,16,2013,2024
08-04-2024,645,False,50,348,False,40,1384,True,16,2013,2024
01-04-2024,648,False,50,325,False,40,1387,True,16,2013,2024
18-03-2024,863,False,20,598,False,10,1375,True,16,2013,2024
04-03-2024,864,False,20,560,False,10,1377,True,16,2013,2024
26-02-2024,865,False,20,532,False,10,1364,True,16,2013,2024
19-02-2024,697,False,40,505,False,10,1366,True,16,2013,2024
12-02-2024,699,False,40,476,True,10,1355,True,16,2013,2024
05-02-2024,699,False,40,453,True,10,1352,True,16,2013,2024
29-01-2024,700,False,40,416,True,10,1351,True,16,2013,2024
15-01-2024,697,False,40,0,False,0,1342,True,16,2013,2024
08-01-2024,206,False,296,0,False,0,1343,True,16,2013,2024
01-01-2024,196,False,308,0,False,0,1339,True,16,2013,2024
25-12-2023,196,False,308,0,False,0,1337,True,16,2013,2024
18-12-2023,197,False,308,0,False,0,1336,True,16,2013,2024
11-12-2023,197,False,308,0,False,0,1346,True,16,2013,2024
04-12-2023,198,False,308,0,False,0,1338,True,16,2013,2024
27-11-2023,199,False,308,0,False,0,1331,True,16,2013,2024
20-11-2023,197,False,308,0,False,0,1336,True,16,2013,2024
13-11-2023,200,False,308,202,False,308,1334,True,16,2013,2024
06-11-2023,202,False,308,197,False,308,1342,True,16,2013,2024
30-10-2023,201,False,308,197,False,308,1348,True,16,2013,2024
23-10-2023,200,False,308,194,False,308,1349,True,16,2013,2024
16-10-2023,193,False,333,190,False,308,1345,True,16,2013,2024
02-10-2023,117,False,513,182,False,308,1335,True,16,2013,2024
25-09-2023,112,False,533,179,False,308,515,False,106,2013,2024
18-09-2023,112,False,533,172,False,308,511,False,106,2013,2024
11-09-2023,112,False,533,169,False,308,503,False,106,2013,2024
28-08-2023,104,False,568,157,False,298,581,True,90,2013,2024
21-08-2023,104,False,578,157,False,298,570,True,90,2013,2024
14-08-2023,107,False,578,153,False,298,567,True,90,2013,2024
07-08-2023,105,False,594,147,False,298,568,True,90,2013,2024
31-07-2023,105,False,594,138,False,298,561,True,90,2013,2024
24-07-2023,99,False,614,130,False,298,567,False,90,2013,2024
17-07-2023,101,False,614,124,False,298,559,True,90,2013,2024
03-07-2023,99,False,614,116,False,298,565,True,90,2013,2024
26-06-2023,99,False,614,116,False,298,553,True,90,2013,2024
19-06-2023,98,False,614,114,False,298,552,True,90,2013,2024
12-06-2023,98,False,614,110,False,298,550,True,90,2013,2024
29-05-2023,102,False,624,100,False,298,554,True,90,2013,2024
22-05-2023,101,False,624,98,False,298,547,True,90,2013,2024
08-05-2023,95,False,644,83,False,298,552,True,90,2013,2024
24-04-2023,82,False,699,72,False,298,561,True,90,2013,2024
17-04-2023,77,False,719,66,False,298,557,True,90,2013,2024
10-04-2023,77,False,719,58,False,298,556,True,90,2013,2024
03-04-2023,77,False,719,53,False,298,559,True,90,2013,2024
20-03-2023,75,False,729,47,False,298,561,True,90,2013,2024
06-03-2023,70,False,739,38,False,298,554,True,90,2013,2024
27-02-2023,68,False,739,31,False,298,551,True,90,2013,2024
20-02-2023,68,False,764,26,False,278,542,False,90,2013,2024
13-02-2023,63,False,784,18,False,278,535,False,90,2013,2024
06-02-2023,60,False,819,15,False,278,542,False,90,2013,2024
30-01-2023,61,False,827,15,False,278,539,False,90,2013,2024
16-01-2023,52,False,862,3,False,268,239,False,270,2013,2024
09-01-2023,84,False,626,298,False,12,238,False,270,2013,2024
02-01-2023,83,False,630,0,False,0,224,False,290,2013,2024
26-12-2022,83,False,630,0,False,0,224,False,290,2013,2024
19-12-2022,83,False,630,0,False,0,224,False,290,2013,2024
12-12-2022,83,False,630,0,False,0,226,False,290,2013,2024
05-12-2022,83,False,630,0,False,0,231,False,290,2013,2024
28-11-2022,82,False,630,0,False,0,231,False,290,2013,2024
21-11-2022,83,False,630,0,False,0,232,False,290,2013,2024
14-11-2022,83,False,630,0,False,0,230,False,290,2013,2024
07-11-2022,83,False,630,83,False,630,232,False,290,2013,2024
31-10-2022,85,False,630,86,False,610,228,False,290,2013,2024
24-10-2022,84,False,630,84,False,610,232,False,290,2013,2024
17-10-2022,84,False,621,83,False,605,230,False,290,2013,2024
10-10-2022,86,False,621,81,False,605,229,False,290,2013,2024
03-10-2022,120,False,451,114,False,441,227,False,290,2013,2024
26-09-2022,121,False,441,114,False,431,288,False,200,2013,2024
19-09-2022,74,False,681,109,False,431,289,False,200,2013,2024
12-09-2022,74,False,681,106,False,431,290,False,200,2013,2024
29-08-2022,81,False,646,113,False,386,292,False,200,2013,2024
22-08-2022,81,False,646,117,False,376,293,False,200,2013,2024
15-08-2022,79,False,646,112,False,376,292,False,200,2013,2024
08-08-2022,81,False,640,114,False,360,288,False,200,2013,2024
01-08-2022,77,False,648,111,False,360,294,False,200,2013,2024
25-07-2022,76,False,657,112,False,340,297,False,200,2013,2024
18-07-2022,77,False,663,107,False,340,301,False,200,2013,2024
11-07-2022,80,False,663,103,False,340,310,False,200,2013,2024
27-06-2022,81,False,698,104,False,320,311,False,200,2013,2024
20-06-2022,75,False,772,103,False,320,308,False,200,2013,2024
13-06-2022,78,False,772,99,False,320,313,False,200,2013,2024
06-06-2022,75,False,844,94,False,320,319,False,200,2013,2024
23-05-2022,71,False,852,91,False,310,269,False,238,2013,2024
16-05-2022,71,False,848,88,False,310,272,False,238,2013,2024
09-05-2022,72,False,848,83,False,290,272,False,238,2013,2024
02-05-2022,73,False,828,90,False,255,275,False,238,2013,2024
25-04-2022,71,False,858,89,False,255,274,False,238,2013,2024
18-04-2022,71,False,858,95,False,235,274,False,238,2013,2024
11-04-2022,70,False,858,70,False,235,275,False,238,2013,2024
04-04-2022,64,False,895,64,False,235,275,False,238,2013,2024
21-03-2022,63,False,901,62,False,225,273,False,238,2013,2024
07-03-2022,64,False,906,53,False,215,274,False,238,2013,2024
28-02-2022,65,False,916,52,False,215,279,False,238,2013,2024
21-02-2022,60,False,990,53,False,170,287,False,238,2013,2024
14-02-2022,55,False,1095,44,False,150,295,False,238,2013,2024
07-02-2022,53,False,1095,55,False,105,295,False,238,2013,2024
31-01-2022,55,False,1120,57,False,85,298,False,238,2013,2024
17-01-2022,54,False,1085,60,True,40,699,False,58,2013,2024
10-01-2022,53,False,1110,56,True,20,700,False,58,2013,2024
03-01-2022,53,False,1115,0,False,0,861,False,38,2013,2024
27-12-2021,53,False,1115,59,False,805,858,False,38,2013,2024
20-12-2021,53,False,1115,59,False,805,856,False,38,2013,2024
13-12-2021,53,False,1115,59,False,805,857,False,38,2013,2024
06-12-2021,53,False,1115,59,False,805,853,False,38,2013,2024
29-11-2021,53,False,1115,59,False,805,855,False,38,2013,2024
22-11-2021,53,False,1115,59,False,805,851,False,38,2013,2024
15-11-2021,53,False,1115,59,False,805,859,False,38,2013,2024
08-11-2021,53,False,1115,58,True,805,860,False,38,2013,2024
01-11-2021,52,False,1115,53,False,805,864,False,38,2013,2024
25-10-2021,55,False,1115,52,False,805,866,False,38,2013,2024
18-10-2021,56,False,1115,51,False,805,869,False,38,2013,2024
04-10-2021,56,False,1117,49,False,795,878,False,38,2013,2024
27-09-2021,57,False,1117,49,False,795,881,False,38,2013,2024
20-09-2021,82,False,899,75,False,545,445,False,128,2013,2024
13-09-2021,83,False,899,72,False,545,447,False,128,2013,2024
