rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,297,False,188,278,False,92,140,False,624,2013,2024
27-05-2024,289,False,188,280,False,84,134,False,660,2013,2024
20-05-2024,290,False,188,271,False,84,133,False,660,2013,2024
06-05-2024,294,False,188,250,False,84,130,False,676,2013,2024
22-04-2024,225,False,267,265,False,72,123,False,722,2013,2024
15-04-2024,224,False,266,267,False,65,122,False,722,2013,2024
08-04-2024,226,False,266,259,False,65,121,False,722,2013,2024
01-04-2024,229,False,267,264,False,59,123,False,697,2013,2024
18-03-2024,233,False,261,259,False,53,123,False,683,2013,2024
04-03-2024,236,False,256,278,False,41,119,False,713,2013,2024
26-02-2024,235,False,256,260,False,41,119,False,713,2013,2024
19-02-2024,225,False,272,237,False,41,119,False,743,2013,2024
12-02-2024,223,False,272,214,False,41,120,False,727,2013,2024
05-02-2024,192,False,320,257,True,29,120,False,727,2013,2024
29-01-2024,180,False,342,358,False,15,119,False,747,2013,2024
15-01-2024,176,False,351,268,False,15,120,False,747,2013,2024
08-01-2024,175,False,351,235,False,15,120,False,747,2013,2024
01-01-2024,174,False,351,224,True,9,120,False,747,2013,2024
25-12-2023,174,False,351,221,True,9,120,False,747,2013,2024
18-12-2023,175,False,351,217,True,9,120,False,747,2013,2024
11-12-2023,175,False,351,208,True,9,120,False,747,2013,2024
04-12-2023,176,False,351,186,True,9,120,False,747,2013,2024
27-11-2023,181,False,342,0,False,0,120,False,747,2013,2024
20-11-2023,181,False,342,0,False,0,122,False,731,2013,2024
13-11-2023,179,False,349,176,False,356,121,False,731,2013,2024
06-11-2023,175,False,349,175,False,349,127,False,656,2013,2024
30-10-2023,177,False,349,176,False,343,125,False,686,2013,2024
23-10-2023,177,False,349,174,False,343,125,False,686,2013,2024
16-10-2023,175,False,359,172,False,343,127,False,641,2013,2024
02-10-2023,171,False,364,165,False,337,140,False,591,2013,2024
25-09-2023,172,False,364,162,False,337,128,False,655,2013,2024
18-09-2023,171,False,360,159,False,332,127,False,660,2013,2024
11-09-2023,171,False,360,157,False,332,142,False,585,2013,2024
28-08-2023,175,False,350,150,False,316,145,False,545,2013,2024
21-08-2023,176,False,350,150,False,316,149,False,545,2013,2024
14-08-2023,174,False,350,149,False,310,148,False,545,2013,2024
07-08-2023,169,False,350,145,False,304,147,False,545,2013,2024
31-07-2023,171,False,350,136,False,304,148,False,545,2013,2024
24-07-2023,168,False,350,128,False,304,128,False,670,2013,2024
17-07-2023,172,False,341,123,False,301,129,False,670,2013,2024
03-07-2023,173,False,332,120,False,292,135,False,634,2013,2024
26-06-2023,172,False,332,119,False,292,133,False,634,2013,2024
19-06-2023,194,False,296,131,False,262,130,False,634,2013,2024
12-06-2023,199,False,287,132,False,253,133,False,614,2013,2024
29-05-2023,171,False,349,116,False,245,142,False,578,2013,2024
22-05-2023,171,False,349,115,False,245,142,False,578,2013,2024
08-05-2023,169,False,349,110,False,245,145,False,562,2013,2024
24-04-2023,206,False,283,157,False,154,149,False,536,2013,2024
17-04-2023,206,False,277,153,False,148,150,False,536,2013,2024
10-04-2023,188,False,307,141,False,148,145,False,566,2013,2024
03-04-2023,177,False,330,136,False,141,145,False,566,2013,2024
20-03-2023,174,False,337,122,False,141,134,False,610,2013,2024
06-03-2023,178,False,330,106,False,134,139,False,580,2013,2024
27-02-2023,174,False,330,90,False,134,140,False,580,2013,2024
20-02-2023,190,False,314,91,False,118,138,False,595,2013,2024
13-02-2023,192,False,314,74,False,118,141,False,595,2013,2024
