rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,53,False,920,46,False,575,430,False,135,2015,2024
27-05-2024,57,False,880,45,False,525,433,False,135,2015,2024
20-05-2024,55,False,890,41,False,525,437,False,135,2015,2024
06-05-2024,58,False,850,45,False,475,436,False,135,2015,2024
22-04-2024,66,False,830,44,False,445,436,True,135,2015,2024
15-04-2024,60,False,895,40,False,420,339,False,180,2015,2024
08-04-2024,66,False,855,45,False,370,343,False,180,2015,2024
01-04-2024,50,False,995,40,False,370,207,False,330,2015,2024
18-03-2024,46,False,1030,35,False,360,171,False,420,2015,2024
04-03-2024,47,False,1030,32,False,350,171,False,420,2015,2024
26-02-2024,53,False,940,44,False,250,173,False,420,2015,2024
19-02-2024,54,False,940,36,False,250,172,False,420,2015,2024
12-02-2024,40,False,1080,27,False,250,176,False,420,2015,2024
05-02-2024,40,False,1080,20,False,250,161,False,465,2015,2024
29-01-2024,41,False,1080,16,False,250,160,False,465,2015,2024
15-01-2024,60,False,890,80,True,50,160,False,465,2015,2024
08-01-2024,55,False,910,137,True,25,161,False,465,2015,2024
01-01-2024,54,False,905,0,False,0,161,False,465,2015,2024
25-12-2023,54,False,905,0,False,0,161,False,465,2015,2024
18-12-2023,54,False,905,0,False,0,161,False,465,2015,2024
11-12-2023,54,False,905,0,False,0,161,False,465,2015,2024
04-12-2023,54,False,905,0,False,0,162,False,465,2015,2024
27-11-2023,54,False,905,0,False,0,159,False,465,2015,2024
20-11-2023,55,False,905,0,False,0,158,False,465,2015,2024
13-11-2023,55,False,905,56,False,905,159,False,465,2015,2024
06-11-2023,56,False,905,53,False,905,161,False,465,2015,2024
30-10-2023,53,False,905,52,False,895,162,False,465,2015,2024
23-10-2023,55,False,930,51,False,895,164,False,465,2015,2024
16-10-2023,53,False,930,56,False,815,164,False,465,2015,2024
02-10-2023,45,False,1010,54,False,805,166,False,465,2015,2024
25-09-2023,46,False,1010,54,False,805,165,False,465,2015,2024
18-09-2023,47,False,985,56,False,770,184,False,420,2015,2024
11-09-2023,48,False,985,56,False,770,184,False,420,2015,2024
28-08-2023,46,False,1020,52,False,760,218,False,330,2015,2024
21-08-2023,45,False,1020,52,False,760,219,False,330,2015,2024
14-08-2023,41,False,1055,46,False,750,218,False,330,2015,2024
07-08-2023,44,False,1020,52,False,705,216,False,330,2015,2024
31-07-2023,42,False,1090,48,False,705,140,False,580,2015,2024
24-07-2023,40,False,1090,42,False,705,146,False,580,2015,2024
17-07-2023,44,False,1020,48,False,625,147,False,580,2015,2024
03-07-2023,41,False,1020,46,False,615,142,False,580,2015,2024
26-06-2023,41,False,985,50,False,580,142,False,580,2015,2024
19-06-2023,40,False,985,46,False,580,139,False,580,2015,2024
12-06-2023,39,False,985,44,False,580,138,False,580,2015,2024
29-05-2023,37,False,1065,35,False,570,127,False,670,2015,2024
22-05-2023,36,False,1055,36,False,550,127,False,670,2015,2024
08-05-2023,37,False,1055,31,False,540,128,False,670,2015,2024
24-04-2023,33,False,1170,27,False,530,127,False,670,2015,2024
17-04-2023,33,False,1125,34,False,440,135,False,625,2015,2024
10-04-2023,34,False,1125,30,False,430,135,False,625,2015,2024
03-04-2023,40,False,985,63,True,280,161,False,475,2015,2024
20-03-2023,35,False,1120,60,False,235,182,False,385,2015,2024
06-03-2023,31,False,1290,54,False,225,189,False,385,2015,2024
27-02-2023,31,False,1290,47,False,225,185,False,385,2015,2024
20-02-2023,30,False,1315,39,False,225,186,False,385,2015,2024
13-02-2023,33,False,1275,134,False,75,186,False,385,2015,2024
06-02-2023,33,False,1275,112,True,75,186,False,385,2015,2024
30-01-2023,34,False,1275,100,True,75,187,False,385,2015,2024
16-01-2023,27,False,1445,67,True,65,187,False,385,2015,2024
09-01-2023,28,False,1420,202,True,20,186,False,385,2015,2024
02-01-2023,29,False,1420,0,False,0,187,False,385,2015,2024
26-12-2022,29,False,1420,0,False,0,187,False,385,2015,2024
19-12-2022,29,False,1420,0,False,0,187,False,385,2015,2024
12-12-2022,29,False,1420,0,False,0,189,False,385,2015,2024
05-12-2022,29,False,1420,0,False,0,190,False,385,2015,2024
28-11-2022,29,False,1420,0,False,0,189,False,385,2015,2024
21-11-2022,29,False,1420,0,False,0,184,False,385,2015,2024
14-11-2022,30,False,1420,0,False,0,185,False,385,2015,2024
07-11-2022,31,False,1420,31,False,1420,181,False,385,2015,2024
31-10-2022,29,False,1445,29,False,1410,183,False,385,2015,2024
24-10-2022,28,False,1420,29,False,1385,182,False,385,2015,2024
17-10-2022,30,False,1336,29,False,1295,179,False,385,2015,2024
10-10-2022,32,False,1340,29,False,1295,178,False,385,2015,2024
03-10-2022,33,False,1256,32,False,1205,172,False,385,2015,2024
26-09-2022,32,False,1270,31,False,1205,172,False,385,2015,2024
19-09-2022,33,False,1280,30,False,1205,174,False,385,2015,2024
12-09-2022,33,False,1280,30,False,1205,173,False,385,2015,2024
29-08-2022,36,False,1245,27,False,1160,175,False,385,2015,2024
22-08-2022,36,False,1245,26,False,1160,173,False,385,2015,2024
15-08-2022,36,False,1210,28,False,1115,174,False,385,2015,2024
08-08-2022,35,False,1210,23,False,1105,171,False,385,2015,2024
01-08-2022,38,False,1130,28,False,1015,393,False,135,2015,2024
25-07-2022,33,False,1258,28,False,1015,402,False,135,2015,2024
18-07-2022,31,False,1271,25,False,1015,400,False,135,2015,2024
11-07-2022,31,False,1271,22,False,1015,403,False,135,2015,2024
27-06-2022,30,False,1306,22,False,1015,409,False,135,2015,2024
20-06-2022,30,False,1361,22,False,1015,411,False,135,2015,2024
13-06-2022,30,False,1361,19,False,1015,413,False,135,2015,2024
06-06-2022,31,False,1386,18,False,1015,422,False,135,2015,2024
23-05-2022,31,False,1316,20,False,925,774,True,45,2015,2024
16-05-2022,31,False,1316,19,False,925,772,False,45,2015,2024
09-05-2022,31,False,1326,18,False,915,766,True,45,2015,2024
02-05-2022,32,False,1291,18,False,870,769,True,45,2015,2024
25-04-2022,38,False,1211,19,False,780,775,True,45,2015,2024
18-04-2022,38,False,1211,21,False,735,776,True,45,2015,2024
11-04-2022,38,False,1211,18,False,735,777,False,45,2015,2024
04-04-2022,38,False,1211,17,False,735,767,False,45,2015,2024
21-03-2022,48,False,1056,16,False,555,283,False,225,2015,2024
07-03-2022,61,False,921,26,False,375,284,False,225,2015,2024
28-02-2022,56,False,1001,26,False,375,291,False,225,2015,2024
21-02-2022,63,False,966,26,False,330,296,False,225,2015,2024
14-02-2022,70,False,901,33,False,220,242,False,315,2015,2024
07-02-2022,64,False,971,29,False,200,268,False,270,2015,2024
31-01-2022,63,False,1006,21,False,200,268,False,270,2015,2024
17-01-2022,77,False,836,81,True,20,273,False,270,2015,2024
10-01-2022,78,False,836,0,False,0,276,False,270,2015,2024
03-01-2022,69,False,916,0,False,0,276,False,270,2015,2024
27-12-2021,69,False,916,97,False,536,276,False,270,2015,2024
20-12-2021,69,False,916,97,False,536,276,False,270,2015,2024
13-12-2021,69,False,916,97,False,536,276,False,270,2015,2024
06-12-2021,69,False,916,96,False,536,276,False,270,2015,2024
29-11-2021,69,False,916,96,False,536,275,False,270,2015,2024
22-11-2021,68,False,916,95,False,536,274,False,270,2015,2024
15-11-2021,68,False,916,93,False,536,276,False,270,2015,2024
08-11-2021,68,False,916,91,False,536,273,False,270,2015,2024
01-11-2021,69,False,926,96,False,501,269,False,270,2015,2024
25-10-2021,73,False,926,94,False,495,272,False,270,2015,2024
