rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,25,False,1630,22,False,1035,203,False,345,2017,2024
27-05-2024,23,False,1685,22,False,1035,203,False,345,2017,2024
20-05-2024,24,False,1685,21,False,1035,200,False,345,2017,2024
06-05-2024,23,False,1695,17,False,1035,206,False,345,2017,2024
22-04-2024,31,False,1305,25,False,635,204,False,345,2017,2024
15-04-2024,29,False,1330,22,False,635,201,False,345,2017,2024
08-04-2024,28,False,1400,20,False,635,200,False,345,2017,2024
01-04-2024,29,False,1400,18,False,635,197,False,345,2017,2024
18-03-2024,27,False,1435,17,False,625,197,False,345,2017,2024
04-03-2024,32,False,1260,22,False,425,205,False,345,2017,2024
26-02-2024,36,False,1180,28,False,325,208,False,345,2017,2024
19-02-2024,32,False,1250,21,False,325,210,False,345,2017,2024
12-02-2024,32,False,1250,18,False,325,211,False,345,2017,2024
05-02-2024,32,False,1245,16,False,300,209,False,345,2017,2024
29-01-2024,31,False,1245,14,False,300,206,False,345,2017,2024
15-01-2024,23,False,1555,6,False,250,144,False,525,2017,2024
08-01-2024,32,False,1337,0,False,0,146,False,525,2017,2024
01-01-2024,31,False,1372,0,False,0,147,False,525,2017,2024
25-12-2023,31,False,1372,0,False,0,147,False,525,2017,2024
18-12-2023,31,False,1372,0,False,0,147,False,525,2017,2024
11-12-2023,31,False,1372,0,False,0,147,False,525,2017,2024
04-12-2023,31,False,1372,0,False,0,147,False,525,2017,2024
27-11-2023,31,False,1372,0,False,0,147,False,525,2017,2024
20-11-2023,31,False,1372,0,False,0,147,False,525,2017,2024
13-11-2023,31,False,1372,31,False,1372,148,False,525,2017,2024
06-11-2023,31,False,1372,31,False,1372,149,False,525,2017,2024
30-10-2023,30,False,1382,31,False,1362,151,False,525,2017,2024
23-10-2023,31,False,1357,28,False,1337,151,False,525,2017,2024
16-10-2023,30,False,1357,28,False,1337,151,False,525,2017,2024
02-10-2023,30,False,1367,27,False,1327,152,False,525,2017,2024
25-09-2023,29,False,1338,26,False,1302,154,False,525,2017,2024
18-09-2023,30,False,1338,26,False,1302,152,False,525,2017,2024
11-09-2023,30,False,1338,26,False,1302,149,False,525,2017,2024
28-08-2023,29,False,1338,24,False,1292,150,False,525,2017,2024
21-08-2023,35,False,1198,26,False,1152,153,False,525,2017,2024
14-08-2023,35,False,1198,26,False,1142,154,False,525,2017,2024
07-08-2023,36,False,1163,25,False,1097,154,False,525,2017,2024
31-07-2023,33,False,1233,23,False,1097,153,False,525,2017,2024
24-07-2023,33,False,1233,25,False,1062,164,False,480,2017,2024
17-07-2023,33,False,1243,25,False,1062,164,False,480,2017,2024
03-07-2023,37,False,1083,24,False,882,154,False,505,2017,2024
26-06-2023,36,False,1083,24,False,882,154,False,505,2017,2024
19-06-2023,36,False,1048,25,False,847,290,False,205,2017,2024
12-06-2023,37,False,1038,24,False,827,290,False,205,2017,2024
29-05-2023,41,False,994,20,False,762,294,False,205,2017,2024
22-05-2023,40,False,994,19,False,762,290,False,205,2017,2024
08-05-2023,39,False,992,16,False,752,289,False,205,2017,2024
24-04-2023,37,False,1046,15,False,742,287,False,205,2017,2024
17-04-2023,36,False,1033,15,False,697,287,False,205,2017,2024
10-04-2023,42,False,978,17,False,607,287,False,205,2017,2024
03-04-2023,41,False,978,17,False,607,291,False,205,2017,2024
20-03-2023,44,False,941,17,False,562,298,False,205,2017,2024
06-03-2023,47,False,932,15,False,537,298,False,205,2017,2024
27-02-2023,47,False,932,13,False,537,293,False,205,2017,2024
20-02-2023,52,False,842,12,False,447,293,False,205,2017,2024
13-02-2023,53,False,842,9,False,447,296,False,205,2017,2024
06-02-2023,37,False,1042,7,False,447,297,False,205,2017,2024
30-01-2023,39,False,1042,7,False,447,297,False,205,2017,2024
16-01-2023,71,False,717,45,False,87,1057,True,25,2017,2024
09-01-2023,78,False,685,58,True,55,1058,True,25,2017,2024
02-01-2023,81,False,646,0,False,0,867,True,41,2017,2024
26-12-2022,81,False,646,0,False,0,867,True,41,2017,2024
19-12-2022,81,False,646,0,False,0,871,True,41,2017,2024
12-12-2022,81,False,646,0,False,0,872,True,41,2017,2024
05-12-2022,81,False,646,0,False,0,874,True,41,2017,2024
28-11-2022,80,False,646,0,False,0,875,True,41,2017,2024
21-11-2022,81,False,646,0,False,0,868,True,41,2017,2024
14-11-2022,75,False,706,0,False,0,869,False,41,2017,2024
07-11-2022,74,False,715,74,False,715,870,True,41,2017,2024
31-10-2022,75,False,707,73,False,699,437,False,121,2017,2024
24-10-2022,78,False,707,72,False,699,437,False,121,2017,2024
17-10-2022,77,False,694,70,False,687,434,False,121,2017,2024
10-10-2022,76,False,694,67,False,687,431,False,121,2017,2024
03-10-2022,73,False,686,68,False,679,421,False,121,2017,2024
26-09-2022,74,False,693,65,False,679,419,False,121,2017,2024
19-09-2022,63,False,766,61,False,679,423,False,121,2017,2024
12-09-2022,63,False,766,60,False,679,430,False,121,2017,2024
29-08-2022,61,False,773,59,False,669,430,False,121,2017,2024
22-08-2022,60,False,773,58,False,669,423,False,121,2017,2024
15-08-2022,60,False,773,51,False,669,423,False,121,2017,2024
08-08-2022,59,False,773,50,False,658,419,False,121,2017,2024
01-08-2022,65,False,700,58,False,589,419,False,121,2017,2024
25-07-2022,68,False,710,61,False,544,284,False,211,2017,2024
18-07-2022,65,False,770,66,False,524,290,False,211,2017,2024
11-07-2022,70,False,757,66,False,504,294,False,211,2017,2024
27-06-2022,72,False,776,64,False,493,327,False,186,2017,2024
20-06-2022,74,False,776,62,False,493,249,False,266,2017,2024
13-06-2022,77,False,776,60,False,493,246,False,284,2017,2024
06-06-2022,79,False,791,57,False,493,247,False,284,2017,2024
23-05-2022,77,False,801,52,False,483,234,False,314,2017,2024
16-05-2022,77,False,801,48,False,483,234,False,314,2017,2024
09-05-2022,79,False,801,42,False,483,233,False,314,2017,2024
02-05-2022,88,False,748,50,False,423,237,False,314,2017,2024
25-04-2022,88,False,743,47,False,411,237,False,314,2017,2024
18-04-2022,93,False,718,51,False,379,224,False,334,2017,2024
11-04-2022,99,False,690,61,False,267,225,False,334,2017,2024
04-04-2022,98,False,695,56,False,267,218,False,340,2017,2024
21-03-2022,98,False,695,47,False,267,216,False,340,2017,2024
07-03-2022,91,False,712,46,False,251,214,False,343,2017,2024
28-02-2022,94,False,712,45,False,251,217,False,343,2017,2024
21-02-2022,92,False,715,37,False,251,219,False,347,2017,2024
14-02-2022,95,False,715,29,False,251,227,False,350,2017,2024
07-02-2022,137,False,522,108,False,51,227,False,350,2017,2024
31-01-2022,138,False,522,93,False,51,231,False,350,2017,2024
17-01-2022,142,False,494,97,True,16,232,False,350,2017,2024
10-01-2022,143,False,494,70,True,16,230,False,350,2017,2024
03-01-2022,141,False,484,0,False,0,234,False,334,2017,2024
27-12-2021,141,False,484,105,False,482,234,False,334,2017,2024
20-12-2021,141,False,484,105,False,482,234,False,334,2017,2024
13-12-2021,141,False,484,105,False,482,233,False,334,2017,2024
06-12-2021,141,False,484,104,False,482,231,False,334,2017,2024
29-11-2021,140,False,484,103,False,482,232,False,334,2017,2024
22-11-2021,138,False,484,102,True,482,232,False,334,2017,2024
15-11-2021,159,False,430,111,True,425,232,False,334,2017,2024
08-11-2021,164,False,417,112,True,411,233,False,334,2017,2024
01-11-2021,164,False,414,113,False,405,284,False,254,2017,2024
25-10-2021,167,False,414,111,False,405,285,False,254,2017,2024
18-10-2021,171,False,414,110,False,405,285,False,254,2017,2024
04-10-2021,175,False,414,106,False,405,290,False,254,2017,2024
27-09-2021,177,False,410,106,False,398,290,False,254,2017,2024
20-09-2021,195,False,350,123,True,318,290,False,254,2017,2024
13-09-2021,201,False,350,119,True,318,289,False,254,2017,2024
30-08-2021,192,False,374,121,True,294,294,False,254,2017,2024
23-08-2021,192,False,374,118,True,294,292,False,254,2017,2024
16-08-2021,189,False,384,119,False,293,283,False,285,2017,2024
09-08-2021,188,False,384,117,False,293,280,False,285,2017,2024
02-08-2021,188,False,384,114,False,293,281,False,285,2017,2024
26-07-2021,213,False,332,133,False,239,348,False,195,2017,2024
19-07-2021,254,False,255,166,False,159,343,False,195,2017,2024
12-07-2021,257,False,255,158,False,159,337,False,195,2017,2024
28-06-2021,267,False,228,168,True,129,339,False,195,2017,2024
21-06-2021,266,False,224,174,False,122,452,False,115,2017,2024
14-06-2021,263,False,224,162,True,122,499,False,97,2017,2024
31-05-2021,278,False,213,163,True,100,430,False,127,2017,2024
24-05-2021,288,False,194,187,True,80,427,False,127,2017,2024
17-05-2021,290,False,192,184,True,77,425,False,127,2017,2024
10-05-2021,290,False,192,179,True,77,428,False,127,2017,2024
03-05-2021,294,False,186,188,False,70,431,False,127,2017,2024
26-04-2021,299,False,183,191,False,63,430,False,127,2017,2024
19-04-2021,297,False,183,184,False,63,471,False,107,2017,2024
12-04-2021,298,False,183,178,False,63,469,False,107,2017,2024
05-04-2021,305,False,171,185,False,51,486,False,101,2017,2024
22-03-2021,306,False,171,164,False,51,485,False,101,2017,2024
15-03-2021,306,False,171,155,False,51,483,False,101,2017,2024
08-03-2021,332,False,138,247,False,18,480,False,102,2017,2024
01-03-2021,328,False,137,230,False,17,478,False,102,2017,2024
22-02-2021,346,False,127,304,False,7,491,False,98,2017,2024
08-02-2021,355,False,120,0,False,0,493,False,95,2017,2024
01-02-2021,355,False,120,0,False,0,488,False,95,2017,2024
25-01-2021,355,False,120,0,False,0,486,False,95,2017,2024
18-01-2021,355,False,120,0,False,0,485,False,95,2017,2024
