rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,683,False,45,0,False,0,0,False,0,1996,2024
27-05-2024,682,False,45,0,False,0,0,False,0,1996,2024
20-05-2024,681,False,45,0,False,0,0,False,0,1996,2024
06-05-2024,673,False,45,0,False,0,0,False,0,1996,2024
22-04-2024,672,False,45,0,False,0,0,False,0,1996,2024
15-04-2024,675,False,45,0,False,0,0,False,0,1996,2024
08-04-2024,672,False,45,0,False,0,0,False,0,1996,2024
01-04-2024,675,False,45,0,False,0,0,False,0,1996,2024
18-03-2024,677,False,45,0,False,0,0,False,0,1996,2024
04-03-2024,676,False,45,0,False,0,0,False,0,1996,2024
26-02-2024,467,False,90,0,False,0,0,False,0,1996,2024
19-02-2024,467,False,90,0,False,0,0,False,0,1996,2024
12-02-2024,466,False,90,0,False,0,0,False,0,1996,2024
05-02-2024,465,False,90,0,False,0,0,False,0,1996,2024
29-01-2024,467,False,90,0,False,0,0,False,0,1996,2024
15-01-2024,467,False,90,0,False,0,0,False,0,1996,2024
08-01-2024,467,False,90,0,False,0,0,False,0,1996,2024
01-01-2024,469,False,90,0,False,0,0,False,0,1996,2024
25-12-2023,468,False,90,0,False,0,0,False,0,1996,2024
18-12-2023,468,False,90,0,False,0,0,False,0,1996,2024
11-12-2023,466,False,90,0,False,0,0,False,0,1996,2024
04-12-2023,463,False,90,0,False,0,0,False,0,1996,2024
27-11-2023,460,False,90,0,False,0,0,False,0,1996,2024
20-11-2023,460,False,90,0,False,0,0,False,0,1996,2024
13-11-2023,460,False,90,465,False,90,0,False,0,1996,2024
06-11-2023,461,False,90,455,False,90,0,False,0,1996,2024
30-10-2023,465,False,90,455,False,90,0,False,0,1996,2024
23-10-2023,467,False,90,452,False,90,0,False,0,1996,2024
16-10-2023,468,False,90,445,False,90,0,False,0,1996,2024
02-10-2023,469,False,90,432,False,90,0,False,0,1996,2024
25-09-2023,468,False,90,426,False,90,0,False,0,1996,2024
18-09-2023,471,False,90,421,False,90,0,False,0,1996,2024
11-09-2023,468,False,90,415,False,90,0,False,0,1996,2024
28-08-2023,474,False,90,400,False,90,578,True,90,1996,2024
21-08-2023,473,False,90,389,False,90,567,True,90,1996,2024
14-08-2023,474,False,90,380,False,90,562,True,90,1996,2024
07-08-2023,464,False,90,365,False,90,565,True,90,1996,2024
31-07-2023,466,False,90,355,False,90,559,True,90,1996,2024
24-07-2023,465,False,90,350,False,90,565,True,90,1996,2024
17-07-2023,465,False,90,340,False,90,557,True,90,1996,2024
03-07-2023,460,False,90,322,False,90,561,True,90,1996,2024
26-06-2023,634,False,45,468,False,45,546,True,90,1996,2024
19-06-2023,630,False,45,456,False,45,545,True,90,1996,2024
12-06-2023,580,False,55,440,False,45,542,True,90,1996,2024
29-05-2023,594,False,55,417,False,45,235,False,270,1996,2024
22-05-2023,590,False,55,405,False,45,234,False,270,1996,2024
08-05-2023,593,False,55,390,False,45,237,False,270,1996,2024
24-04-2023,594,False,55,365,False,45,236,False,270,1996,2024
17-04-2023,593,False,55,360,False,45,193,False,360,1996,2024
10-04-2023,590,False,55,350,False,45,193,False,360,1996,2024
03-04-2023,588,False,55,337,False,45,190,False,360,1996,2024
20-03-2023,583,False,55,303,False,45,162,False,450,1996,2024
06-03-2023,580,False,55,269,False,45,132,False,630,1996,2024
27-02-2023,1035,False,10,0,False,0,132,False,630,1996,2024
20-02-2023,1039,False,10,0,False,0,74,False,1130,1996,2024
13-02-2023,1040,False,10,0,False,0,74,False,1130,1996,2024
06-02-2023,1042,False,10,0,False,0,74,False,1130,1996,2024
30-01-2023,1036,False,10,0,False,0,77,False,1130,1996,2024
16-01-2023,824,False,20,0,False,0,71,False,1130,1996,2024
09-01-2023,826,False,20,0,False,0,71,False,1130,1996,2024
02-01-2023,827,False,20,0,False,0,72,False,1130,1996,2024
26-12-2022,830,False,20,0,False,0,72,False,1130,1996,2024
19-12-2022,829,False,20,0,False,0,72,False,1130,1996,2024
12-12-2022,830,False,20,0,False,0,72,False,1130,1996,2024
05-12-2022,832,False,20,0,False,0,72,False,1130,1996,2024
28-11-2022,828,False,20,0,False,0,70,False,1130,1996,2024
21-11-2022,825,False,20,0,False,0,70,False,1130,1996,2024
14-11-2022,662,False,38,0,False,0,70,False,1130,1996,2024
07-11-2022,657,False,38,657,False,38,71,False,1130,1996,2024
31-10-2022,459,False,86,646,False,38,73,False,1145,1996,2024
24-10-2022,458,False,86,637,False,38,67,False,1235,1996,2024
17-10-2022,453,False,86,631,False,38,66,False,1235,1996,2024
10-10-2022,415,False,103,625,False,38,67,False,1235,1996,2024
03-10-2022,407,False,103,616,False,38,65,False,1235,1996,2024
26-09-2022,406,False,103,609,False,38,63,False,1235,1996,2024
19-09-2022,406,False,103,604,False,38,62,False,1235,1996,2024
12-09-2022,407,False,103,593,False,38,61,False,1235,1996,2024
29-08-2022,373,False,113,569,False,38,70,False,1145,1996,2024
22-08-2022,369,False,113,558,False,38,72,False,1145,1996,2024
15-08-2022,369,False,113,547,False,38,67,False,1145,1996,2024
08-08-2022,330,False,139,533,False,38,71,False,1145,1996,2024
01-08-2022,329,False,139,525,False,38,67,False,1190,1996,2024
25-07-2022,267,False,179,513,False,38,68,False,1190,1996,2024
18-07-2022,246,False,199,508,False,38,69,False,1190,1996,2024
11-07-2022,252,False,199,503,False,38,71,False,1190,1996,2024
27-06-2022,240,False,222,481,False,38,69,False,1235,1996,2024
20-06-2022,214,False,267,471,False,38,70,False,1235,1996,2024
13-06-2022,122,False,507,526,False,28,60,False,1485,1996,2024
06-06-2022,113,False,537,514,False,28,63,False,1575,1996,2024
23-05-2022,113,False,542,489,False,28,67,False,1395,1996,2024
16-05-2022,111,False,562,472,False,28,67,False,1395,1996,2024
09-05-2022,108,False,562,460,False,28,67,False,1395,1996,2024
02-05-2022,114,False,562,450,False,28,69,False,1395,1996,2024
25-04-2022,116,False,562,432,False,28,67,False,1395,1996,2024
18-04-2022,120,False,562,420,False,28,66,False,1395,1996,2024
11-04-2022,119,False,562,502,False,10,65,False,1440,1996,2024
04-04-2022,118,False,582,481,False,10,65,False,1440,1996,2024
