rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,696,False,43,0,False,0,0,False,0,2010,2024
27-05-2024,694,False,43,0,False,0,0,False,0,2010,2024
20-05-2024,693,False,43,0,False,0,0,False,0,2010,2024
06-05-2024,683,False,43,0,False,0,0,False,0,2010,2024
22-04-2024,688,False,43,0,False,0,0,False,0,2010,2024
15-04-2024,687,False,43,0,False,0,0,False,0,2010,2024
08-04-2024,687,False,43,0,False,0,0,False,0,2010,2024
01-04-2024,687,False,43,0,False,0,0,False,0,2010,2024
18-03-2024,657,False,48,0,False,0,0,False,0,2010,2024
04-03-2024,659,False,48,0,False,0,0,False,0,2010,2024
26-02-2024,661,False,48,0,False,0,0,False,0,2010,2024
19-02-2024,659,False,48,0,False,0,0,False,0,2010,2024
12-02-2024,654,False,48,0,False,0,0,False,0,2010,2024
05-02-2024,655,False,48,0,False,0,0,False,0,2010,2024
29-01-2024,656,False,48,0,False,0,0,False,0,2010,2024
15-01-2024,657,False,48,0,False,0,0,False,0,2010,2024
08-01-2024,657,False,48,0,False,0,0,False,0,2010,2024
01-01-2024,604,False,57,0,False,0,0,False,0,2010,2024
25-12-2023,603,False,57,0,False,0,0,False,0,2010,2024
18-12-2023,603,False,57,0,False,0,0,False,0,2010,2024
11-12-2023,603,False,57,0,False,0,0,False,0,2010,2024
04-12-2023,600,False,57,0,False,0,0,False,0,2010,2024
27-11-2023,593,False,57,0,False,0,0,False,0,2010,2024
20-11-2023,595,False,57,0,False,0,0,False,0,2010,2024
13-11-2023,596,False,57,603,False,57,0,False,0,2010,2024
06-11-2023,598,False,57,587,False,57,0,False,0,2010,2024
30-10-2023,598,False,57,590,False,57,0,False,0,2010,2024
23-10-2023,596,False,57,583,False,57,0,False,0,2010,2024
16-10-2023,599,False,57,578,False,57,0,False,0,2010,2024
02-10-2023,597,False,57,557,False,57,0,False,0,2010,2024
25-09-2023,593,False,57,550,False,57,0,False,0,2010,2024
18-09-2023,591,False,57,541,False,57,0,False,0,2010,2024
11-09-2023,630,False,50,567,False,50,0,False,0,2010,2024
28-08-2023,626,False,50,541,False,50,0,False,0,2010,2024
21-08-2023,623,False,50,533,False,50,0,False,0,2010,2024
14-08-2023,618,False,50,520,False,50,0,False,0,2010,2024
07-08-2023,624,False,50,514,False,50,0,False,0,2010,2024
31-07-2023,621,False,50,503,False,50,0,False,0,2010,2024
24-07-2023,618,False,50,488,False,50,0,False,0,2010,2024
17-07-2023,618,False,50,473,False,50,0,False,0,2010,2024
03-07-2023,804,False,25,631,False,25,0,False,0,2010,2024
26-06-2023,793,False,25,620,False,25,0,False,0,2010,2024
19-06-2023,927,False,14,737,False,14,0,False,0,2010,2024
12-06-2023,925,False,14,715,False,14,0,False,0,2010,2024
29-05-2023,671,False,40,695,False,14,0,False,0,2010,2024
22-05-2023,666,False,40,683,False,14,0,False,0,2010,2024
08-05-2023,671,False,40,667,False,14,0,False,0,2010,2024
24-04-2023,673,False,40,636,False,14,0,False,0,2010,2024
17-04-2023,671,False,40,618,False,14,0,False,0,2010,2024
10-04-2023,664,False,40,604,False,14,0,False,0,2010,2024
03-04-2023,604,False,51,591,False,14,0,False,0,2010,2024
20-03-2023,625,False,46,634,False,9,0,False,0,2010,2024
06-03-2023,585,False,53,601,False,9,1249,True,16,2010,2024
27-02-2023,581,False,53,588,False,9,1240,True,16,2010,2024
20-02-2023,474,False,85,566,False,9,1251,True,16,2010,2024
13-02-2023,421,False,105,540,False,9,1254,True,16,2010,2024
06-02-2023,423,False,105,522,False,9,1262,True,16,2010,2024
30-01-2023,272,False,195,480,True,9,1253,True,16,2010,2024
16-01-2023,272,False,195,370,True,9,1255,True,16,2010,2024
09-01-2023,271,False,195,335,True,9,1256,True,16,2010,2024
02-01-2023,276,False,186,0,False,0,1269,True,16,2010,2024
26-12-2022,276,False,186,0,False,0,1266,True,16,2010,2024
19-12-2022,276,False,186,0,False,0,1264,True,16,2010,2024
12-12-2022,278,False,186,0,False,0,1261,True,16,2010,2024
05-12-2022,253,False,215,0,False,0,1269,True,16,2010,2024
28-11-2022,252,False,215,0,False,0,1277,True,16,2010,2024
21-11-2022,238,False,230,0,False,0,982,False,31,2010,2024
14-11-2022,236,False,230,0,False,0,983,False,31,2010,2024
07-11-2022,194,False,278,194,False,278,982,False,31,2010,2024
31-10-2022,196,False,278,193,False,278,983,False,31,2010,2024
24-10-2022,193,False,278,188,False,278,985,False,31,2010,2024
17-10-2022,189,False,285,184,False,278,981,False,31,2010,2024
10-10-2022,188,False,292,181,False,278,977,False,31,2010,2024
03-10-2022,182,False,292,177,False,278,963,False,31,2010,2024
26-09-2022,182,False,292,172,False,278,954,False,31,2010,2024
19-09-2022,184,False,292,166,False,278,946,False,31,2010,2024
12-09-2022,183,False,292,160,False,278,939,False,31,2010,2024
29-08-2022,183,False,292,153,False,278,925,False,31,2010,2024
22-08-2022,186,False,292,153,False,278,919,False,31,2010,2024
15-08-2022,184,False,292,151,False,278,910,False,31,2010,2024
08-08-2022,180,False,292,147,False,278,913,False,31,2010,2024
01-08-2022,185,False,292,141,False,278,919,False,31,2010,2024
25-07-2022,173,False,302,130,False,278,926,False,31,2010,2024
18-07-2022,170,False,302,122,False,278,926,False,31,2010,2024
11-07-2022,150,False,377,120,False,278,929,False,31,2010,2024
27-06-2022,138,False,432,114,False,278,929,False,31,2010,2024
20-06-2022,137,False,445,113,False,278,920,False,31,2010,2024
13-06-2022,141,False,445,109,False,278,928,False,31,2010,2024
06-06-2022,140,False,468,103,False,278,927,False,31,2010,2024
23-05-2022,141,False,442,104,False,252,926,False,31,2010,2024
16-05-2022,141,False,452,103,False,252,923,False,31,2010,2024
09-05-2022,141,False,452,100,False,252,928,False,31,2010,2024
02-05-2022,139,False,468,94,False,252,920,False,31,2010,2024
25-04-2022,134,False,478,92,False,252,701,False,54,2010,2024
18-04-2022,134,False,478,86,False,252,702,False,54,2010,2024
11-04-2022,132,False,497,104,False,160,706,False,54,2010,2024
04-04-2022,131,False,496,102,False,149,697,False,54,2010,2024
