rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,443,False,103,541,False,32,0,False,0,2010,2024
27-05-2024,406,False,115,544,False,28,0,False,0,2010,2024
20-05-2024,406,False,115,528,False,28,0,False,0,2010,2024
06-05-2024,409,False,115,495,False,28,0,False,0,2010,2024
22-04-2024,382,False,130,467,False,28,0,False,0,2010,2024
15-04-2024,382,False,130,456,False,28,0,False,0,2010,2024
08-04-2024,381,False,130,447,False,28,0,False,0,2010,2024
01-04-2024,347,False,146,430,False,28,0,False,0,2010,2024
18-03-2024,350,False,143,399,False,25,1387,True,16,2010,2024
04-03-2024,351,False,143,367,False,25,1391,True,16,2010,2024
26-02-2024,320,False,166,365,False,23,1392,True,16,2010,2024
19-02-2024,307,False,176,359,False,21,1393,True,16,2010,2024
12-02-2024,322,False,163,549,False,8,1380,True,16,2010,2024
05-02-2024,314,False,172,532,False,8,1377,True,16,2010,2024
29-01-2024,316,False,172,501,False,8,1376,True,16,2010,2024
15-01-2024,280,False,207,375,False,8,1373,True,16,2010,2024
08-01-2024,277,False,207,336,False,8,1375,True,16,2010,2024
01-01-2024,239,False,261,541,True,2,1370,True,16,2010,2024
25-12-2023,239,False,261,530,True,2,1368,True,16,2010,2024
18-12-2023,239,False,261,512,True,2,1367,True,16,2010,2024
11-12-2023,239,False,261,503,True,2,1376,True,16,2010,2024
04-12-2023,239,False,260,481,True,1,1369,True,16,2010,2024
27-11-2023,239,False,259,0,False,0,1362,True,16,2010,2024
20-11-2023,238,False,259,0,False,0,1367,True,16,2010,2024
13-11-2023,235,False,259,242,False,259,1364,True,16,2010,2024
06-11-2023,236,False,258,232,False,258,1372,True,16,2010,2024
30-10-2023,235,False,258,231,False,258,1380,False,16,2010,2024
23-10-2023,238,False,258,230,False,258,1383,True,16,2010,2024
16-10-2023,223,False,274,225,False,258,1382,True,16,2010,2024
02-10-2023,228,False,274,218,False,258,1363,True,16,2010,2024
25-09-2023,225,False,278,216,False,251,1355,True,16,2010,2024
18-09-2023,229,False,271,213,False,244,1355,True,16,2010,2024
11-09-2023,216,False,287,209,False,244,851,True,46,2010,2024
28-08-2023,222,False,280,209,False,230,852,False,46,2010,2024
21-08-2023,224,False,280,208,False,230,852,False,46,2010,2024
14-08-2023,217,False,285,203,False,230,846,False,46,2010,2024
07-08-2023,214,False,285,193,False,230,844,False,46,2010,2024
31-07-2023,212,False,285,185,False,230,839,False,46,2010,2024
24-07-2023,207,False,285,181,False,230,839,False,46,2010,2024
17-07-2023,186,False,315,172,False,230,833,False,46,2010,2024
03-07-2023,199,False,290,183,False,195,832,False,46,2010,2024
26-06-2023,198,False,290,181,False,195,825,False,46,2010,2024
19-06-2023,199,False,286,179,False,190,825,False,46,2010,2024
12-06-2023,186,False,309,174,False,188,826,True,46,2010,2024
29-05-2023,198,False,309,173,False,172,838,True,46,2010,2024
22-05-2023,198,False,309,168,False,172,829,True,46,2010,2024
08-05-2023,195,False,309,156,False,172,835,True,46,2010,2024
24-04-2023,187,False,320,149,False,157,837,True,46,2010,2024
17-04-2023,171,False,344,137,False,157,835,True,46,2010,2024
10-04-2023,175,False,344,128,False,157,829,False,46,2010,2024
03-04-2023,178,False,329,135,False,141,835,False,46,2010,2024
20-03-2023,172,False,341,120,False,141,999,True,30,2010,2024
06-03-2023,168,False,348,99,False,141,996,True,30,2010,2024
27-02-2023,167,False,348,108,False,116,994,True,30,2010,2024
20-02-2023,173,False,339,103,False,104,994,True,30,2010,2024
13-02-2023,175,False,339,87,False,104,990,True,30,2010,2024
06-02-2023,174,False,345,78,False,95,988,True,30,2010,2024
30-01-2023,169,False,358,73,False,95,977,True,30,2010,2024
16-01-2023,175,False,326,76,False,60,977,True,30,2010,2024
09-01-2023,176,False,326,52,False,60,977,True,30,2010,2024
02-01-2023,204,False,269,0,False,0,988,True,30,2010,2024
26-12-2022,204,False,269,0,False,0,989,True,30,2010,2024
19-12-2022,204,False,269,0,False,0,987,True,30,2010,2024
12-12-2022,205,False,269,0,False,0,987,True,30,2010,2024
05-12-2022,207,False,269,0,False,0,990,True,30,2010,2024
28-11-2022,208,False,269,0,False,0,991,True,30,2010,2024
21-11-2022,206,False,269,0,False,0,992,True,30,2010,2024
14-11-2022,204,False,269,0,False,0,991,True,30,2010,2024
07-11-2022,200,False,269,200,False,269,993,False,30,2010,2024
31-10-2022,200,False,272,197,False,266,991,False,30,2010,2024
24-10-2022,198,False,272,194,False,266,994,False,30,2010,2024
17-10-2022,204,False,259,202,False,253,991,False,30,2010,2024
10-10-2022,204,False,262,198,False,253,986,False,30,2010,2024
03-10-2022,199,False,262,190,False,253,975,False,30,2010,2024
26-09-2022,205,False,254,190,False,243,964,False,30,2010,2024
19-09-2022,202,False,254,184,False,243,956,False,30,2010,2024
12-09-2022,215,False,242,193,False,228,0,False,0,2010,2024
29-08-2022,217,False,237,187,False,221,0,False,0,2010,2024
22-08-2022,213,False,238,184,False,221,0,False,0,2010,2024
