rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,42,False,1122,43,False,590,572,True,90,2016,2024
27-05-2024,43,False,1083,43,False,540,575,False,90,2016,2024
20-05-2024,41,False,1083,40,False,540,572,False,90,2016,2024
06-05-2024,36,False,1179,37,False,530,569,True,90,2016,2024
22-04-2024,37,False,1164,33,False,500,569,True,90,2016,2024
15-04-2024,39,False,1122,34,False,450,574,True,90,2016,2024
08-04-2024,37,False,1122,32,False,450,571,True,90,2016,2024
01-04-2024,38,False,1122,28,False,450,573,True,90,2016,2024
18-03-2024,57,False,929,59,False,250,513,False,106,2016,2024
04-03-2024,58,False,914,90,False,150,513,False,106,2016,2024
26-02-2024,59,False,914,81,False,150,508,False,106,2016,2024
19-02-2024,60,False,896,81,False,125,510,False,106,2016,2024
12-02-2024,61,False,896,71,False,125,509,False,106,2016,2024
05-02-2024,58,False,896,56,False,125,505,False,106,2016,2024
29-01-2024,57,False,896,48,False,125,512,False,106,2016,2024
15-01-2024,67,False,823,179,True,25,1373,True,16,2016,2024
08-01-2024,65,False,805,0,False,0,1375,True,16,2016,2024
01-01-2024,64,False,805,0,False,0,1027,False,32,2016,2024
25-12-2023,64,False,805,0,False,0,1028,False,32,2016,2024
18-12-2023,64,False,805,0,False,0,1030,False,32,2016,2024
11-12-2023,64,False,805,0,False,0,1025,False,32,2016,2024
04-12-2023,64,False,805,0,False,0,1023,False,32,2016,2024
27-11-2023,64,False,805,0,False,0,1021,False,32,2016,2024
20-11-2023,64,False,805,0,False,0,1019,True,32,2016,2024
13-11-2023,64,False,805,67,False,805,1016,False,32,2016,2024
06-11-2023,62,False,815,67,False,767,808,False,50,2016,2024
30-10-2023,61,False,815,60,False,808,806,False,50,2016,2024
23-10-2023,62,False,812,59,False,805,812,False,50,2016,2024
16-10-2023,65,False,812,57,False,805,805,False,50,2016,2024
02-10-2023,91,False,662,81,False,625,808,False,50,2016,2024
25-09-2023,92,False,662,80,False,625,809,False,50,2016,2024
18-09-2023,92,False,662,80,False,625,813,False,50,2016,2024
11-09-2023,92,False,662,77,False,625,810,True,50,2016,2024
28-08-2023,92,False,635,82,False,580,819,True,50,2016,2024
21-08-2023,83,False,708,82,False,580,816,True,50,2016,2024
14-08-2023,82,False,708,81,False,573,809,True,50,2016,2024
07-08-2023,89,False,690,82,False,537,808,True,50,2016,2024
31-07-2023,89,False,688,78,False,535,802,True,50,2016,2024
24-07-2023,87,False,675,76,False,522,519,False,100,2016,2024
17-07-2023,93,False,646,78,False,492,452,False,116,2016,2024
03-07-2023,96,False,626,72,False,466,455,False,116,2016,2024
26-06-2023,95,False,626,72,False,466,450,False,116,2016,2024
19-06-2023,91,False,654,67,False,466,450,False,116,2016,2024
12-06-2023,113,False,535,93,False,341,451,False,116,2016,2024
29-05-2023,115,False,543,83,False,322,453,False,116,2016,2024
22-05-2023,115,False,543,82,False,322,451,False,116,2016,2024
08-05-2023,135,False,441,122,False,216,465,False,116,2016,2024
24-04-2023,137,False,428,114,False,201,462,False,116,2016,2024
17-04-2023,133,False,428,104,False,201,458,False,116,2016,2024
10-04-2023,136,False,428,97,False,201,456,False,116,2016,2024
03-04-2023,133,False,433,91,False,195,453,False,116,2016,2024
20-03-2023,128,False,453,82,False,188,517,False,100,2016,2024
