rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,30,False,1290,35,False,700,147,False,555,2017,2024
27-05-2024,30,False,1370,39,False,600,150,False,555,2017,2024
20-05-2024,31,False,1370,36,False,600,151,False,555,2017,2024
06-05-2024,29,False,1405,39,False,500,150,False,555,2017,2024
22-04-2024,29,False,1355,53,False,400,148,False,555,2017,2024
15-04-2024,24,False,1510,45,False,400,149,False,555,2017,2024
08-04-2024,24,False,1590,61,False,300,145,False,555,2017,2024
01-04-2024,24,False,1610,58,False,300,142,False,555,2017,2024
18-03-2024,24,False,1520,79,False,200,144,False,555,2017,2024
04-03-2024,26,False,1480,91,False,150,163,False,465,2017,2024
26-02-2024,26,False,1480,83,False,150,163,False,465,2017,2024
19-02-2024,26,False,1480,70,False,150,223,False,315,2017,2024
12-02-2024,26,False,1480,61,False,150,290,False,225,2017,2024
05-02-2024,27,False,1480,57,True,125,284,False,225,2017,2024
29-01-2024,26,False,1480,49,True,125,279,False,225,2017,2024
15-01-2024,28,False,1440,47,True,75,276,False,225,2017,2024
08-01-2024,25,False,1435,137,True,25,276,False,225,2017,2024
01-01-2024,27,False,1470,0,False,0,276,False,225,2017,2024
25-12-2023,27,False,1470,0,False,0,276,False,225,2017,2024
18-12-2023,27,False,1470,0,False,0,274,False,225,2017,2024
11-12-2023,27,False,1470,0,False,0,273,False,225,2017,2024
04-12-2023,27,False,1470,0,False,0,275,False,225,2017,2024
27-11-2023,27,False,1470,0,False,0,276,False,225,2017,2024
20-11-2023,27,False,1470,0,False,0,280,False,225,2017,2024
13-11-2023,27,False,1470,27,False,1470,284,False,225,2017,2024
06-11-2023,27,False,1470,26,False,1470,280,False,225,2017,2024
30-10-2023,22,False,1640,25,False,1460,280,False,225,2017,2024
23-10-2023,22,False,1640,24,False,1460,280,False,225,2017,2024
16-10-2023,20,False,1845,23,False,1460,281,False,225,2017,2024
02-10-2023,18,False,1925,21,False,1450,283,False,225,2017,2024
25-09-2023,18,False,1970,20,False,1450,286,False,225,2017,2024
18-09-2023,18,False,1925,23,False,1370,286,False,225,2017,2024
11-09-2023,18,False,1925,23,False,1370,284,False,225,2017,2024
28-08-2023,18,False,2005,21,False,1360,284,True,225,2017,2024
21-08-2023,18,False,2005,21,False,1360,286,True,225,2017,2024
14-08-2023,18,False,1995,21,False,1315,873,True,45,2017,2024
07-08-2023,19,False,1950,22,False,1225,877,True,45,2017,2024
31-07-2023,18,False,1950,20,False,1225,871,False,45,2017,2024
24-07-2023,18,False,1880,21,False,1145,867,False,45,2017,2024
17-07-2023,16,False,2290,24,False,1065,854,False,45,2017,2024
03-07-2023,16,False,2210,23,False,975,858,True,45,2017,2024
26-06-2023,15,False,2210,23,False,975,850,True,45,2017,2024
19-06-2023,16,False,2130,23,False,885,850,True,45,2017,2024
12-06-2023,17,False,2095,23,False,840,0,False,0,2017,2024
29-05-2023,18,False,2040,31,False,660,0,False,0,2017,2024
22-05-2023,18,False,2040,25,False,660,0,False,0,2017,2024
08-05-2023,19,False,1960,28,False,570,0,False,0,2017,2024
24-04-2023,18,False,2065,25,False,560,0,False,0,2017,2024
17-04-2023,20,False,1930,44,False,380,0,False,0,2017,2024
10-04-2023,21,False,1840,98,False,200,0,False,0,2017,2024
03-04-2023,21,False,1840,123,False,155,849,True,45,2017,2024
20-03-2023,21,False,1840,115,False,145,850,False,45,2017,2024
06-03-2023,21,False,1855,104,False,135,839,True,45,2017,2024
27-02-2023,18,False,1855,88,False,135,835,True,45,2017,2024
20-02-2023,18,False,1855,76,False,135,830,True,45,2017,2024
13-02-2023,20,False,1821,106,False,90,830,True,45,2017,2024
06-02-2023,18,False,1900,87,False,90,828,True,45,2017,2024
30-01-2023,18,False,1925,81,False,90,546,False,90,2017,2024
16-01-2023,19,False,1925,52,True,80,555,False,90,2017,2024
09-01-2023,19,False,1925,34,True,80,557,False,90,2017,2024
02-01-2023,23,False,1865,0,False,0,569,False,90,2017,2024
26-12-2022,23,False,1865,0,False,0,570,False,90,2017,2024
19-12-2022,23,False,1865,0,False,0,570,False,90,2017,2024
12-12-2022,23,False,1865,0,False,0,572,False,90,2017,2024
05-12-2022,23,False,1865,0,False,0,573,False,90,2017,2024
