rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,33,False,1225,31,False,763,56,False,1555,2017,2024
27-05-2024,34,False,1185,34,False,663,65,False,1195,2017,2024
20-05-2024,44,False,1029,47,False,498,65,False,1195,2017,2024
06-05-2024,45,False,1036,41,False,498,65,False,1195,2017,2024
22-04-2024,50,False,1013,38,False,468,66,False,1195,2017,2024
15-04-2024,50,False,988,36,False,443,86,False,970,2017,2024
08-04-2024,47,False,1033,35,False,443,87,False,970,2017,2024
01-04-2024,43,False,1083,31,False,443,87,False,970,2017,2024
18-03-2024,60,False,891,63,False,243,86,False,970,2017,2024
04-03-2024,63,False,868,61,False,213,87,False,970,2017,2024
26-02-2024,65,False,863,61,False,188,88,False,970,2017,2024
19-02-2024,63,False,863,57,False,188,88,False,970,2017,2024
12-02-2024,62,False,881,46,False,188,86,False,970,2017,2024
05-02-2024,66,False,838,49,False,138,122,True,720,2017,2024
29-01-2024,66,False,838,42,False,138,121,True,720,2017,2024
15-01-2024,75,False,748,110,True,38,0,False,0,2017,2024
08-01-2024,73,False,753,79,True,38,0,False,0,2017,2024
01-01-2024,78,False,722,0,False,0,0,False,0,2017,2024
25-12-2023,78,False,722,0,False,0,0,False,0,2017,2024
18-12-2023,78,False,722,0,False,0,0,False,0,2017,2024
11-12-2023,78,False,722,0,False,0,0,False,0,2017,2024
04-12-2023,78,False,722,0,False,0,0,False,0,2017,2024
27-11-2023,79,False,722,0,False,0,0,False,0,2017,2024
20-11-2023,78,False,731,0,False,0,0,False,0,2017,2024
13-11-2023,70,False,779,64,False,834,0,False,0,2017,2024
06-11-2023,64,False,804,65,False,779,0,False,0,2017,2024
30-10-2023,64,False,804,63,False,795,0,False,0,2017,2024
23-10-2023,74,False,755,69,False,739,0,False,0,2017,2024
16-10-2023,81,False,712,74,False,696,0,False,0,2017,2024
02-10-2023,96,False,630,92,False,596,0,False,0,2017,2024
25-09-2023,118,False,512,110,False,478,0,False,0,2017,2024
18-09-2023,119,False,512,108,False,478,0,False,0,2017,2024
11-09-2023,119,False,512,107,False,478,0,False,0,2017,2024
28-08-2023,121,False,511,112,False,419,0,False,0,2017,2024
21-08-2023,123,False,511,110,False,419,0,False,0,2017,2024
14-08-2023,102,False,592,112,False,410,0,False,0,2017,2024
07-08-2023,106,False,592,109,False,403,0,False,0,2017,2024
31-07-2023,104,False,601,105,False,403,0,False,0,2017,2024
24-07-2023,109,False,601,103,False,403,0,False,0,2017,2024
17-07-2023,108,False,601,97,False,403,0,False,0,2017,2024
03-07-2023,108,False,573,94,False,368,0,False,0,2017,2024
26-06-2023,107,False,573,91,False,368,0,False,0,2017,2024
19-06-2023,106,False,573,90,False,368,0,False,0,2017,2024
12-06-2023,110,False,559,86,False,354,0,False,0,2017,2024
29-05-2023,127,False,499,102,False,294,0,False,0,2017,2024
22-05-2023,127,False,499,100,False,294,0,False,0,2017,2024
08-05-2023,125,False,499,93,False,288,0,False,0,2017,2024
24-04-2023,123,False,492,81,False,281,0,False,0,2017,2024
17-04-2023,114,False,522,75,False,281,0,False,0,2017,2024
10-04-2023,125,False,477,79,False,242,0,False,0,2017,2024
03-04-2023,138,False,420,96,False,185,0,False,0,2017,2024
20-03-2023,143,False,412,90,False,177,0,False,0,2017,2024
06-03-2023,127,False,455,73,False,177,0,False,0,2017,2024
27-02-2023,130,False,435,73,False,157,0,False,0,2017,2024
20-02-2023,120,False,445,64,False,151,0,False,0,2017,2024
13-02-2023,115,False,452,63,False,126,0,False,0,2017,2024
06-02-2023,117,False,452,52,False,126,0,False,0,2017,2024
30-01-2023,122,False,452,47,False,126,0,False,0,2017,2024
16-01-2023,110,False,512,19,False,116,0,False,0,2017,2024
09-01-2023,115,False,500,20,False,104,0,False,0,2017,2024
02-01-2023,97,False,580,9,False,104,1260,True,16,2017,2024
26-12-2022,97,False,580,9,False,104,1257,True,16,2017,2024
19-12-2022,97,False,580,9,False,104,1255,True,16,2017,2024
12-12-2022,97,False,580,9,False,104,1252,True,16,2017,2024
05-12-2022,98,False,580,9,False,104,1255,True,16,2017,2024
28-11-2022,98,False,580,7,False,104,1256,True,16,2017,2024
21-11-2022,104,False,564,7,False,88,1248,True,16,2017,2024
14-11-2022,112,False,509,18,False,33,1247,True,16,2017,2024
07-11-2022,117,False,476,117,False,476,1245,True,16,2017,2024
31-10-2022,114,False,505,116,False,476,1242,True,16,2017,2024
24-10-2022,115,False,496,117,False,460,685,False,64,2017,2024
17-10-2022,112,False,496,116,False,460,688,False,64,2017,2024
10-10-2022,108,False,504,111,False,460,688,False,64,2017,2024
03-10-2022,110,False,486,113,False,442,674,False,64,2017,2024
26-09-2022,107,False,492,108,False,442,672,False,64,2017,2024
19-09-2022,109,False,492,105,False,442,678,False,64,2017,2024
12-09-2022,109,False,500,103,False,442,439,False,119,2017,2024
29-08-2022,126,False,435,118,False,377,435,False,119,2017,2024
22-08-2022,126,False,435,116,False,377,432,False,119,2017,2024
15-08-2022,158,False,345,143,False,287,431,False,119,2017,2024
08-08-2022,160,False,346,140,False,287,427,False,119,2017,2024
01-08-2022,149,False,378,145,False,271,427,False,119,2017,2024
25-07-2022,138,False,393,135,False,271,431,False,119,2017,2024
18-07-2022,140,False,394,126,False,271,438,False,119,2017,2024
11-07-2022,142,False,395,125,False,271,442,False,119,2017,2024
27-06-2022,142,False,419,117,False,271,448,False,119,2017,2024
20-06-2022,144,False,419,116,False,271,450,False,119,2017,2024
13-06-2022,146,False,419,110,False,271,449,False,119,2017,2024
06-06-2022,147,False,436,104,False,271,458,False,119,2017,2024
23-05-2022,142,False,436,97,False,271,451,False,119,2017,2024
16-05-2022,144,False,436,92,False,271,447,False,119,2017,2024
09-05-2022,145,False,436,90,False,271,440,False,119,2017,2024
02-05-2022,142,False,436,81,False,271,441,False,119,2017,2024
25-04-2022,144,False,443,81,False,271,441,False,119,2017,2024
18-04-2022,150,False,415,92,False,241,436,False,122,2017,2024
11-04-2022,152,False,416,66,False,241,436,False,123,2017,2024
04-04-2022,151,False,416,62,False,241,438,False,123,2017,2024
21-03-2022,149,False,419,57,False,241,428,False,127,2017,2024
07-03-2022,158,False,379,57,False,198,431,False,127,2017,2024
28-02-2022,131,False,503,57,False,198,434,False,127,2017,2024
21-02-2022,132,False,505,48,False,182,440,False,127,2017,2024
14-02-2022,115,False,621,43,False,150,451,False,127,2017,2024
07-02-2022,117,False,621,35,False,150,445,False,127,2017,2024
31-01-2022,116,False,621,27,False,150,442,False,127,2017,2024
17-01-2022,132,False,555,29,True,80,436,False,127,2017,2024
10-01-2022,130,False,555,23,True,80,435,False,127,2017,2024
03-01-2022,143,False,477,0,False,0,474,False,111,2017,2024
27-12-2021,143,False,477,143,False,343,474,False,111,2017,2024
20-12-2021,143,False,477,143,False,343,476,False,111,2017,2024
13-12-2021,143,False,477,143,False,343,474,False,111,2017,2024
06-12-2021,143,False,477,142,False,343,471,False,111,2017,2024
29-11-2021,143,False,477,142,False,343,468,False,111,2017,2024
22-11-2021,143,False,477,142,True,343,472,False,111,2017,2024
15-11-2021,138,False,490,140,True,343,474,False,111,2017,2024
08-11-2021,131,False,540,136,True,343,474,False,111,2017,2024
01-11-2021,134,False,513,142,False,314,470,False,111,2017,2024
25-10-2021,136,False,509,143,True,307,667,False,63,2017,2024
18-10-2021,140,False,509,143,False,307,668,False,63,2017,2024
04-10-2021,141,False,529,140,False,299,673,False,63,2017,2024
27-09-2021,138,False,552,137,False,293,674,False,63,2017,2024
20-09-2021,138,False,552,135,False,293,684,False,63,2017,2024
13-09-2021,143,False,547,135,True,285,1607,True,8,2017,2024
30-08-2021,143,False,547,127,False,285,1621,False,8,2017,2024
23-08-2021,143,False,549,126,False,285,1612,False,8,2017,2024
16-08-2021,143,False,556,125,False,285,979,False,33,2017,2024
09-08-2021,141,False,556,122,False,285,978,False,33,2017,2024
02-08-2021,150,False,511,135,False,237,975,False,33,2017,2024
26-07-2021,148,False,525,134,False,237,978,False,33,2017,2024
19-07-2021,145,False,525,127,False,237,975,False,33,2017,2024
12-07-2021,145,False,525,116,False,237,966,False,33,2017,2024
28-06-2021,144,False,507,114,False,213,956,False,33,2017,2024
21-06-2021,143,False,507,113,False,213,955,False,33,2017,2024
14-06-2021,145,False,507,104,False,213,953,False,33,2017,2024
31-05-2021,144,False,524,89,False,213,952,False,33,2017,2024
24-05-2021,144,False,524,85,False,213,948,False,33,2017,2024
17-05-2021,143,False,524,81,False,213,946,False,33,2017,2024
10-05-2021,143,False,524,74,False,213,949,False,33,2017,2024
03-05-2021,142,False,524,72,False,213,953,False,33,2017,2024
26-04-2021,140,False,531,70,False,213,950,False,33,2017,2024
19-04-2021,140,False,532,66,False,213,909,False,36,2017,2024
12-04-2021,137,False,533,58,False,213,902,False,37,2017,2024
05-04-2021,138,False,533,56,False,213,901,False,37,2017,2024
22-03-2021,138,False,538,48,False,213,853,False,41,2017,2024
15-03-2021,138,False,538,41,False,213,845,False,41,2017,2024
08-03-2021,137,False,538,36,False,213,844,False,41,2017,2024
01-03-2021,166,False,416,75,False,88,839,False,41,2017,2024
22-02-2021,173,False,401,70,True,70,838,False,41,2017,2024
08-02-2021,199,False,333,0,False,0,822,False,41,2017,2024
01-02-2021,197,False,333,0,False,0,820,False,41,2017,2024
25-01-2021,197,False,333,0,False,0,817,False,41,2017,2024
18-01-2021,197,False,333,0,False,0,817,False,41,2017,2024
11-01-2021,197,False,333,0,False,0,816,False,41,2017,2024
04-01-2021,197,False,333,0,False,227,815,False,41,2017,2024
28-12-2020,195,False,331,0,False,0,815,False,41,2017,2024
21-12-2020,195,False,331,0,False,0,815,False,41,2017,2024
14-12-2020,195,False,331,0,False,0,812,False,41,2017,2024
07-12-2020,195,False,331,0,False,0,811,False,41,2017,2024
30-11-2020,194,False,331,0,False,0,808,False,41,2017,2024
23-11-2020,193,False,331,0,False,0,807,False,41,2017,2024
16-11-2020,197,False,318,0,False,0,805,False,41,2017,2024
09-11-2020,215,False,267,0,False,0,804,False,41,2017,2024
02-11-2020,215,False,267,0,False,0,801,False,41,2017,2024
26-10-2020,214,False,267,0,False,0,800,False,41,2017,2024
19-10-2020,213,False,267,0,False,0,797,False,41,2017,2024
12-10-2020,218,False,253,0,False,0,792,False,41,2017,2024
28-09-2020,253,False,205,0,False,0,786,False,41,2017,2024
21-09-2020,252,False,204,0,False,0,781,False,41,2017,2024
14-09-2020,251,False,204,0,False,0,780,False,41,2017,2024
31-08-2020,246,False,204,0,False,0,775,False,41,2017,2024
