rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,142,False,422,173,False,164,928,True,41,2018,2024
27-05-2024,162,False,366,233,False,108,930,True,41,2018,2024
20-05-2024,163,False,366,227,False,108,926,True,41,2018,2024
06-05-2024,157,False,386,213,False,108,763,True,57,2018,2024
22-04-2024,163,False,387,238,False,79,762,True,57,2018,2024
15-04-2024,164,False,387,225,False,79,770,True,57,2018,2024
08-04-2024,161,False,394,220,False,79,771,True,57,2018,2024
01-04-2024,137,False,469,209,False,79,772,True,57,2018,2024
18-03-2024,143,False,469,186,False,79,776,True,57,2018,2024
04-03-2024,149,False,448,240,False,49,788,False,57,2018,2024
26-02-2024,138,False,468,222,False,49,788,False,57,2018,2024
19-02-2024,138,False,468,198,False,49,785,False,57,2018,2024
12-02-2024,142,False,461,205,False,42,781,False,57,2018,2024
05-02-2024,142,False,465,190,False,42,778,False,57,2018,2024
29-01-2024,138,False,476,169,False,42,433,False,132,2018,2024
15-01-2024,136,False,457,246,True,16,434,False,132,2018,2024
08-01-2024,138,False,457,213,True,16,434,False,132,2018,2024
01-01-2024,137,False,457,139,True,16,430,False,132,2018,2024
25-12-2023,137,False,457,137,True,16,429,False,132,2018,2024
18-12-2023,137,False,457,129,True,16,427,False,132,2018,2024
11-12-2023,137,False,457,124,True,16,427,False,132,2018,2024
04-12-2023,137,False,457,108,True,16,427,False,132,2018,2024
27-11-2023,136,False,457,65,True,16,421,False,132,2018,2024
20-11-2023,136,False,464,31,True,16,427,False,132,2018,2024
13-11-2023,137,False,452,138,False,456,424,False,132,2018,2024
06-11-2023,129,False,475,133,False,445,424,False,132,2018,2024
30-10-2023,133,False,459,131,False,459,380,False,148,2018,2024
23-10-2023,131,False,459,129,False,459,388,False,148,2018,2024
16-10-2023,215,False,284,211,False,279,455,False,123,2018,2024
02-10-2023,201,False,311,201,False,279,456,False,123,2018,2024
25-09-2023,195,False,315,200,False,279,456,False,123,2018,2024
18-09-2023,193,False,315,190,False,279,452,False,123,2018,2024
11-09-2023,193,False,315,186,False,279,439,False,123,2018,2024
28-08-2023,197,False,309,180,False,271,437,False,123,2018,2024
21-08-2023,202,False,310,179,False,271,435,False,123,2018,2024
14-08-2023,203,False,310,171,False,269,493,False,107,2018,2024
07-08-2023,198,False,310,167,False,265,499,False,107,2018,2024
31-07-2023,200,False,304,164,False,259,497,False,107,2018,2024
24-07-2023,196,False,304,157,False,259,496,False,107,2018,2024
17-07-2023,192,False,304,150,False,259,494,False,107,2018,2024
03-07-2023,212,False,276,161,False,224,493,False,107,2018,2024
26-06-2023,209,False,276,158,False,224,488,False,107,2018,2024
19-06-2023,197,False,291,152,False,224,488,False,107,2018,2024
12-06-2023,198,False,291,145,False,224,488,False,107,2018,2024
29-05-2023,207,False,291,131,False,220,486,False,107,2018,2024
22-05-2023,207,False,291,129,False,220,482,False,107,2018,2024
08-05-2023,213,False,279,129,False,204,539,False,91,2018,2024
24-04-2023,222,False,260,133,False,174,493,False,107,2018,2024
17-04-2023,217,False,267,123,False,174,492,False,107,2018,2024
10-04-2023,216,False,264,120,False,167,490,False,107,2018,2024
03-04-2023,276,False,192,199,False,92,488,False,107,2018,2024
20-03-2023,271,False,197,171,False,92,489,False,107,2018,2024
06-03-2023,274,False,191,168,False,83,480,False,107,2018,2024
27-02-2023,299,False,173,189,False,63,471,False,107,2018,2024
20-02-2023,302,False,173,171,False,63,417,False,123,2018,2024
13-02-2023,299,False,173,153,False,63,421,False,123,2018,2024
06-02-2023,300,False,171,138,False,59,422,False,127,2018,2024
30-01-2023,311,False,162,152,False,48,760,False,52,2018,2024
16-01-2023,323,False,159,114,False,41,753,False,52,2018,2024
09-01-2023,319,False,159,92,False,41,758,False,52,2018,2024
02-01-2023,319,False,159,48,False,41,767,False,52,2018,2024
26-12-2022,319,False,159,47,False,41,766,False,52,2018,2024
19-12-2022,320,False,159,46,False,41,766,False,52,2018,2024
12-12-2022,322,False,159,46,False,41,769,False,52,2018,2024
05-12-2022,324,False,159,41,False,41,774,False,52,2018,2024
28-11-2022,319,False,159,34,False,41,771,False,52,2018,2024
21-11-2022,324,False,154,32,False,34,769,False,52,2018,2024
14-11-2022,314,False,161,19,True,30,766,False,52,2018,2024
07-11-2022,355,False,133,355,False,133,771,False,52,2018,2024
31-10-2022,360,False,133,351,False,131,918,False,36,2018,2024
24-10-2022,355,False,135,346,False,131,919,False,36,2018,2024
17-10-2022,355,False,132,346,False,128,917,False,36,2018,2024
10-10-2022,407,False,106,397,False,102,912,False,36,2018,2024
03-10-2022,401,False,106,392,False,102,900,False,36,2018,2024
26-09-2022,417,False,100,397,False,96,888,False,36,2018,2024
19-09-2022,412,False,102,392,False,96,883,False,36,2018,2024
12-09-2022,387,False,112,390,False,96,744,False,51,2018,2024
29-08-2022,368,False,116,376,False,94,740,False,51,2018,2024
22-08-2022,368,False,114,382,False,91,737,False,51,2018,2024
15-08-2022,367,False,114,374,False,91,733,False,51,2018,2024
08-08-2022,351,False,125,367,False,91,709,False,54,2018,2024
01-08-2022,353,False,122,366,False,87,601,False,74,2018,2024
25-07-2022,353,False,122,358,False,87,604,False,74,2018,2024
18-07-2022,348,False,124,353,False,85,606,False,74,2018,2024
11-07-2022,360,False,118,363,False,78,605,False,74,2018,2024
27-06-2022,350,False,125,345,False,78,609,False,74,2018,2024
20-06-2022,386,False,108,384,False,60,607,False,74,2018,2024
13-06-2022,401,False,104,388,False,56,591,False,77,2018,2024
06-06-2022,404,False,105,382,False,56,604,False,77,2018,2024
23-05-2022,398,False,104,377,False,52,591,False,77,2018,2024
16-05-2022,403,False,102,371,False,50,584,False,77,2018,2024
09-05-2022,400,False,102,361,False,50,580,False,77,2018,2024
02-05-2022,400,False,103,351,False,50,582,False,77,2018,2024
25-04-2022,416,False,94,377,False,39,645,False,65,2018,2024
18-04-2022,431,False,89,422,False,28,642,False,65,2018,2024
