rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,79,False,708,54,False,510,0,False,0,2021,2024
27-05-2024,76,False,728,49,False,510,983,True,36,2021,2024
20-05-2024,76,False,728,45,False,510,981,True,36,2021,2024
06-05-2024,65,False,809,40,False,500,686,False,66,2021,2024
22-04-2024,74,False,766,43,False,450,543,False,96,2021,2024
15-04-2024,74,False,766,35,False,450,551,False,96,2021,2024
08-04-2024,74,False,766,34,False,450,548,False,96,2021,2024
01-04-2024,69,False,791,30,False,450,547,False,96,2021,2024
18-03-2024,70,False,781,26,False,440,540,False,96,2021,2024
04-03-2024,81,False,751,25,False,410,538,False,96,2021,2024
26-02-2024,87,False,701,25,False,360,540,False,96,2021,2024
19-02-2024,116,False,536,54,False,195,542,False,96,2021,2024
12-02-2024,129,False,503,55,False,160,544,False,96,2021,2024
05-02-2024,130,False,503,41,False,160,541,False,96,2021,2024
29-01-2024,127,False,506,37,False,160,552,False,96,2021,2024
15-01-2024,142,False,433,41,False,80,549,False,96,2021,2024
08-01-2024,144,False,433,32,False,80,547,False,96,2021,2024
01-01-2024,167,False,369,139,True,16,546,False,96,2021,2024
25-12-2023,167,False,369,137,True,16,547,False,96,2021,2024
18-12-2023,167,False,369,129,True,16,548,False,96,2021,2024
11-12-2023,168,False,369,124,True,16,551,False,96,2021,2024
04-12-2023,166,False,384,108,True,16,549,False,96,2021,2024
27-11-2023,156,False,399,65,True,16,549,False,96,2021,2024
20-11-2023,147,False,424,31,True,16,546,False,96,2021,2024
13-11-2023,152,False,408,154,False,408,545,False,96,2021,2024
06-11-2023,154,False,397,152,False,397,547,False,96,2021,2024
30-10-2023,157,False,400,151,False,397,536,False,99,2021,2024
23-10-2023,158,False,400,149,False,397,539,False,99,2021,2024
16-10-2023,155,False,400,146,False,397,536,False,99,2021,2024
02-10-2023,151,False,402,136,False,397,533,False,101,2021,2024
25-09-2023,152,False,405,135,False,397,520,False,104,2021,2024
18-09-2023,153,False,405,133,False,397,518,False,104,2021,2024
11-09-2023,151,False,405,128,False,397,514,False,104,2021,2024
28-08-2023,206,False,305,169,False,282,494,False,108,2021,2024
21-08-2023,191,False,320,168,False,282,456,False,117,2021,2024
14-08-2023,192,False,320,162,False,282,454,False,117,2021,2024
07-08-2023,189,False,320,155,False,280,454,False,117,2021,2024
31-07-2023,187,False,320,151,False,280,455,False,117,2021,2024
24-07-2023,200,False,297,159,False,257,453,False,117,2021,2024
17-07-2023,201,False,290,155,False,250,449,False,117,2021,2024
03-07-2023,217,False,270,154,False,230,453,False,117,2021,2024
26-06-2023,215,False,270,150,False,230,448,False,117,2021,2024
19-06-2023,217,False,270,145,False,230,447,False,117,2021,2024
12-06-2023,228,False,252,158,False,210,402,False,132,2021,2024
29-05-2023,240,False,241,159,False,190,525,False,96,2021,2024
22-05-2023,237,False,241,154,False,190,519,False,96,2021,2024
08-05-2023,333,False,150,239,False,99,690,False,66,2021,2024
24-04-2023,341,False,143,241,False,92,947,False,36,2021,2024
17-04-2023,338,False,143,223,False,92,941,False,36,2021,2024
10-04-2023,338,False,143,212,False,92,941,False,36,2021,2024
03-04-2023,392,False,119,263,False,67,949,False,36,2021,2024
20-03-2023,390,False,119,220,False,67,939,False,36,2021,2024
06-03-2023,391,False,120,200,False,67,927,False,36,2021,2024
27-02-2023,386,False,121,180,False,67,922,False,36,2021,2024
20-02-2023,385,False,121,166,False,67,921,False,36,2021,2024
13-02-2023,389,False,119,151,False,65,914,False,36,2021,2024
06-02-2023,389,False,119,127,False,65,917,False,36,2021,2024
30-01-2023,396,False,116,121,False,62,906,False,36,2021,2024
16-01-2023,415,False,109,82,False,55,901,False,36,2021,2024
09-01-2023,413,False,109,61,False,55,903,False,36,2021,2024
02-01-2023,408,False,109,28,False,55,917,False,36,2021,2024
26-12-2022,407,False,109,28,False,55,914,False,36,2021,2024
19-12-2022,407,False,109,28,False,55,916,False,36,2021,2024
12-12-2022,411,False,109,28,False,55,918,False,36,2021,2024
05-12-2022,449,False,94,43,True,40,924,False,36,2021,2024
28-11-2022,478,False,79,81,True,25,922,False,36,2021,2024
21-11-2022,573,False,54,0,False,0,927,False,36,2021,2024
14-11-2022,566,False,54,0,False,0,923,False,36,2021,2024
07-11-2022,563,False,54,563,False,54,922,False,36,2021,2024
31-10-2022,572,False,51,569,False,51,956,False,33,2021,2024
24-10-2022,576,False,51,562,False,51,954,False,33,2021,2024
17-10-2022,573,False,51,558,False,51,952,False,33,2021,2024
10-10-2022,570,False,51,546,False,51,950,False,33,2021,2024
03-10-2022,573,False,49,551,False,49,965,False,31,2021,2024
26-09-2022,589,False,46,555,False,46,999,False,28,2021,2024
19-09-2022,589,False,46,550,False,46,992,False,28,2021,2024
12-09-2022,583,False,46,539,False,46,980,False,28,2021,2024
29-08-2022,676,False,31,615,False,31,1038,False,24,2021,2024
22-08-2022,882,False,14,795,False,14,1230,False,15,2021,2024
15-08-2022,872,True,14,784,False,14,1209,False,15,2021,2024
08-08-2022,881,False,14,764,False,14,1200,False,15,2021,2024
01-08-2022,876,False,14,749,False,14,1213,False,15,2021,2024
25-07-2022,887,False,14,741,False,14,1218,True,15,2021,2024
18-07-2022,886,False,14,728,False,14,1223,True,15,2021,2024
11-07-2022,895,False,14,711,False,14,1242,True,15,2021,2024
27-06-2022,897,False,14,689,True,14,1250,True,15,2021,2024
20-06-2022,901,False,14,679,False,14,1247,True,15,2021,2024
13-06-2022,944,False,12,703,True,12,0,False,0,2021,2024
06-06-2022,948,False,12,690,False,12,0,False,0,2021,2024
23-05-2022,1444,True,3,988,True,3,0,False,0,2021,2024
16-05-2022,1435,True,3,963,True,3,0,False,0,2021,2024
09-05-2022,1444,True,3,949,True,3,0,False,0,2021,2024
02-05-2022,1451,True,3,936,True,3,0,False,0,2021,2024
25-04-2022,1443,True,3,914,False,3,0,False,0,2021,2024
18-04-2022,1444,True,3,902,True,3,0,False,0,2021,2024
11-04-2022,1448,True,3,731,True,3,0,False,0,2021,2024
04-04-2022,1624,True,2,805,True,2,0,False,0,2021,2024
21-03-2022,1589,True,2,692,True,2,0,False,0,2021,2024
07-03-2022,1881,True,1,699,True,1,0,False,0,2021,2024
28-02-2022,0,False,0,0,False,0,0,False,0,2021,2024
21-02-2022,0,False,0,0,False,0,0,False,0,2021,2024
14-02-2022,0,False,0,0,False,0,0,False,0,2021,2024
07-02-2022,0,False,0,0,False,0,0,False,0,2021,2024
31-01-2022,0,False,0,0,False,0,0,False,0,2021,2024
17-01-2022,0,False,0,0,False,0,0,False,0,2021,2024
10-01-2022,0,False,0,0,False,0,0,False,0,2021,2024
03-01-2022,0,False,0,0,False,0,0,False,0,2021,2024
27-12-2021,0,False,0,0,False,0,0,False,0,2021,2024
20-12-2021,0,False,0,0,False,0,0,False,0,2021,2024
13-12-2021,0,False,0,0,False,0,0,False,0,2021,2024
06-12-2021,0,False,0,0,False,0,0,False,0,2021,2024
29-11-2021,0,False,0,0,False,0,0,False,0,2021,2024
22-11-2021,0,False,0,0,False,0,0,False,0,2021,2024
15-11-2021,0,False,0,0,False,0,0,False,0,2021,2024
08-11-2021,0,False,0,0,False,0,0,False,0,2021,2024
01-11-2021,0,False,0,0,False,0,0,False,0,2021,2024
25-10-2021,0,False,0,0,False,0,0,False,0,2021,2024
18-10-2021,0,False,0,0,False,0,0,False,0,2021,2024
04-10-2021,0,False,0,0,False,0,0,False,0,2021,2024
27-09-2021,0,False,0,0,False,0,0,False,0,2021,2024
20-09-2021,0,False,0,0,False,0,0,False,0,2021,2024
13-09-2021,0,False,0,0,False,0,0,False,0,2021,2024
30-08-2021,0,False,0,0,False,0,0,False,0,2021,2024
23-08-2021,0,False,0,0,False,0,0,False,0,2021,2024
16-08-2021,0,False,0,0,False,0,0,False,0,2021,2024
09-08-2021,0,False,0,0,False,0,0,False,0,2021,2024
02-08-2021,0,False,0,0,False,0,0,False,0,2021,2024
26-07-2021,0,False,0,0,False,0,0,False,0,2021,2024
19-07-2021,0,False,0,0,False,0,0,False,0,2021,2024
12-07-2021,0,False,0,0,False,0,0,False,0,2021,2024
28-06-2021,0,False,0,0,False,0,0,False,0,2021,2024
21-06-2021,0,False,0,0,False,0,0,False,0,2021,2024
