rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,348,False,147,356,False,69,989,False,36,2021,2024
27-05-2024,342,False,149,332,False,69,987,False,36,2021,2024
20-05-2024,346,False,149,321,False,69,984,True,36,2021,2024
06-05-2024,351,False,147,302,False,65,579,False,90,2021,2024
22-04-2024,365,False,137,319,False,55,579,False,90,2021,2024
15-04-2024,364,False,138,343,False,45,499,False,115,2021,2024
08-04-2024,370,False,135,339,False,42,493,False,115,2021,2024
01-04-2024,366,False,135,318,False,42,492,False,115,2021,2024
18-03-2024,378,False,128,335,False,33,486,False,115,2021,2024
04-03-2024,317,False,169,319,False,33,482,False,115,2021,2024
26-02-2024,330,False,161,351,False,25,480,False,115,2021,2024
19-02-2024,280,False,202,329,True,25,481,False,115,2021,2024
12-02-2024,264,False,216,307,True,25,481,False,115,2021,2024
05-02-2024,276,False,204,410,False,13,475,False,115,2021,2024
29-01-2024,270,False,214,525,False,7,436,False,131,2021,2024
15-01-2024,269,False,214,402,True,7,435,False,131,2021,2024
08-01-2024,278,False,207,0,False,0,435,False,131,2021,2024
01-01-2024,272,False,216,0,False,0,432,False,131,2021,2024
25-12-2023,272,False,216,0,False,0,431,False,131,2021,2024
18-12-2023,272,False,216,0,False,0,429,False,131,2021,2024
11-12-2023,272,False,216,0,False,0,429,False,131,2021,2024
04-12-2023,272,False,216,0,False,0,429,False,131,2021,2024
27-11-2023,271,False,216,0,False,0,424,False,131,2021,2024
20-11-2023,271,False,216,0,False,0,430,False,131,2021,2024
13-11-2023,268,False,216,270,False,216,428,False,131,2021,2024
06-11-2023,277,False,209,269,False,209,427,False,131,2021,2024
30-10-2023,259,False,225,267,False,209,382,False,147,2021,2024
23-10-2023,267,False,225,266,False,209,341,False,177,2021,2024
16-10-2023,265,False,225,262,False,209,341,False,177,2021,2024
02-10-2023,268,False,220,260,False,201,319,False,193,2021,2024
25-09-2023,266,False,223,256,False,201,318,False,193,2021,2024
18-09-2023,258,False,231,251,False,201,320,False,193,2021,2024
11-09-2023,259,False,231,246,False,201,316,False,193,2021,2024
28-08-2023,281,False,202,266,False,171,309,False,202,2021,2024
21-08-2023,281,False,203,261,False,171,304,False,202,2021,2024
14-08-2023,281,False,203,258,False,171,305,False,202,2021,2024
07-08-2023,280,False,203,253,False,171,303,False,202,2021,2024
31-07-2023,278,False,203,239,False,171,302,False,202,2021,2024
24-07-2023,272,False,203,233,False,171,303,False,202,2021,2024
17-07-2023,288,False,183,245,False,151,311,False,182,2021,2024
03-07-2023,277,False,197,238,False,144,314,False,185,2021,2024
26-06-2023,278,False,191,241,False,138,314,False,185,2021,2024
19-06-2023,274,False,194,230,False,138,309,False,188,2021,2024
12-06-2023,273,False,194,220,False,138,308,False,188,2021,2024
29-05-2023,280,False,192,208,False,136,313,False,188,2021,2024
22-05-2023,271,False,192,205,False,136,312,False,188,2021,2024
08-05-2023,271,False,194,190,False,134,456,False,118,2021,2024
24-04-2023,270,False,194,180,False,134,456,False,118,2021,2024
17-04-2023,282,False,183,179,False,123,534,False,93,2021,2024
10-04-2023,280,False,183,167,False,123,535,False,93,2021,2024
03-04-2023,282,False,186,154,False,123,526,False,96,2021,2024
20-03-2023,277,False,192,139,False,121,521,False,99,2021,2024
06-03-2023,308,False,167,176,False,80,513,False,99,2021,2024
27-02-2023,306,False,167,164,False,80,508,False,99,2021,2024
20-02-2023,346,False,142,261,False,39,487,False,102,2021,2024
13-02-2023,356,False,136,329,False,25,485,False,102,2021,2024
06-02-2023,354,False,136,312,False,25,489,False,102,2021,2024
30-01-2023,386,False,120,480,True,9,565,False,86,2021,2024
16-01-2023,386,False,120,370,True,9,570,False,86,2021,2024
09-01-2023,386,False,120,341,True,9,575,False,86,2021,2024
02-01-2023,406,False,111,0,False,0,503,False,102,2021,2024
26-12-2022,405,False,111,0,False,0,503,False,102,2021,2024
19-12-2022,405,False,111,0,False,0,503,False,102,2021,2024
12-12-2022,408,False,111,0,False,0,506,False,102,2021,2024
05-12-2022,412,False,111,0,False,0,506,False,102,2021,2024
28-11-2022,410,False,112,0,False,0,508,False,104,2021,2024
21-11-2022,404,False,114,0,False,0,503,False,104,2021,2024
14-11-2022,403,False,114,0,False,0,500,False,104,2021,2024
07-11-2022,402,False,115,402,False,115,497,False,104,2021,2024
31-10-2022,426,False,101,427,False,99,577,False,88,2021,2024
24-10-2022,425,False,101,417,False,99,729,False,58,2021,2024
17-10-2022,425,False,101,410,False,99,728,False,58,2021,2024
10-10-2022,431,False,98,412,False,96,857,False,42,2021,2024
03-10-2022,423,False,98,404,False,96,841,False,42,2021,2024
26-09-2022,430,False,95,405,False,93,837,False,42,2021,2024
19-09-2022,442,False,87,415,False,85,834,False,42,2021,2024
12-09-2022,443,False,87,415,False,85,824,False,42,2021,2024
29-08-2022,448,False,86,405,False,84,909,False,33,2021,2024
22-08-2022,449,False,85,398,False,83,899,False,33,2021,2024
15-08-2022,445,False,85,396,False,83,893,False,33,2021,2024
08-08-2022,448,False,85,389,False,83,896,False,33,2021,2024
01-08-2022,443,False,85,381,False,83,904,False,33,2021,2024
25-07-2022,445,False,85,370,False,83,905,False,33,2021,2024
18-07-2022,443,False,85,359,False,83,900,False,33,2021,2024
11-07-2022,445,False,84,352,False,82,948,False,30,2021,2024
27-06-2022,520,False,64,388,False,62,945,False,30,2021,2024
20-06-2022,521,False,61,391,False,59,982,True,27,2021,2024
13-06-2022,523,False,61,380,False,59,986,False,27,2021,2024
06-06-2022,525,False,61,371,False,59,992,False,27,2021,2024
23-05-2022,522,False,61,347,False,59,980,False,27,2021,2024
16-05-2022,534,False,57,352,False,55,979,False,27,2021,2024
09-05-2022,533,False,57,335,False,55,979,False,27,2021,2024
02-05-2022,537,False,57,328,False,55,975,False,27,2021,2024
25-04-2022,534,False,57,307,False,55,975,False,27,2021,2024
18-04-2022,536,False,57,295,False,55,980,False,27,2021,2024
11-04-2022,533,False,57,239,False,51,975,False,27,2021,2024
04-04-2022,546,False,54,223,False,48,1018,False,24,2021,2024
21-03-2022,588,False,46,215,False,40,1095,False,21,2021,2024
07-03-2022,715,False,30,254,True,24,1117,False,21,2021,2024
28-02-2022,720,False,30,242,True,24,1119,False,21,2021,2024
21-02-2022,944,False,14,363,True,8,1192,False,18,2021,2024
14-02-2022,1216,True,6,0,False,0,1200,False,18,2021,2024
07-02-2022,1212,True,6,0,False,0,1205,False,18,2021,2024
31-01-2022,1211,True,6,0,False,0,1205,False,18,2021,2024
17-01-2022,1208,True,6,0,False,0,1204,False,18,2021,2024
10-01-2022,1211,True,6,0,False,0,1206,False,18,2021,2024
03-01-2022,1208,False,6,0,False,0,2357,True,2,2021,2024
27-12-2021,1209,False,6,934,False,6,2355,True,2,2021,2024
20-12-2021,1209,False,6,930,False,6,2347,True,2,2021,2024
13-12-2021,1209,False,6,927,False,6,2344,True,2,2021,2024
06-12-2021,1212,False,6,917,False,6,2345,True,2,2021,2024
29-11-2021,1259,False,5,943,False,5,0,False,0,2021,2024
22-11-2021,1415,True,3,1031,True,3,0,False,0,2021,2024
15-11-2021,1414,True,3,1020,True,3,0,False,0,2021,2024
08-11-2021,1519,True,2,1079,True,2,0,False,0,2021,2024
