rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,61,False,832,67,False,431,1063,False,30,2022,2024
27-05-2024,60,False,835,60,False,421,1075,False,30,2022,2024
20-05-2024,65,False,795,72,False,381,1073,False,30,2022,2024
06-05-2024,69,False,798,67,False,371,1065,False,30,2022,2024
22-04-2024,70,False,799,60,False,361,1070,False,30,2022,2024
15-04-2024,70,False,790,59,False,336,859,False,46,2022,2024
08-04-2024,70,False,790,52,False,336,863,False,46,2022,2024
01-04-2024,70,False,790,50,False,336,868,False,46,2022,2024
18-03-2024,73,False,776,46,False,306,773,False,57,2022,2024
04-03-2024,80,False,754,47,False,276,784,False,57,2022,2024
26-02-2024,76,False,776,38,False,276,783,False,57,2022,2024
19-02-2024,74,False,776,41,False,226,659,False,73,2022,2024
12-02-2024,75,False,759,38,False,201,670,False,73,2022,2024
05-02-2024,75,False,741,38,False,176,669,False,73,2022,2024
29-01-2024,73,False,749,34,False,176,516,False,105,2022,2024
15-01-2024,91,False,656,44,False,76,517,False,105,2022,2024
08-01-2024,92,False,659,39,False,63,516,False,105,2022,2024
01-01-2024,97,False,653,30,True,50,514,False,105,2022,2024
25-12-2023,97,False,653,30,True,50,514,False,105,2022,2024
18-12-2023,97,False,653,30,True,50,516,False,105,2022,2024
11-12-2023,97,False,653,29,True,50,516,False,105,2022,2024
04-12-2023,97,False,653,29,True,50,514,False,105,2022,2024
27-11-2023,97,False,653,14,True,50,517,False,105,2022,2024
20-11-2023,94,False,661,7,True,50,466,False,120,2022,2024
13-11-2023,99,False,619,98,False,627,453,False,122,2022,2024
06-11-2023,114,False,551,113,False,551,456,False,122,2022,2024
30-10-2023,112,False,551,113,False,544,457,False,122,2022,2024
23-10-2023,112,False,551,111,False,544,460,False,122,2022,2024
16-10-2023,110,False,551,106,False,544,459,False,122,2022,2024
02-10-2023,110,False,546,105,False,528,461,False,122,2022,2024
25-09-2023,110,False,546,99,False,528,462,False,122,2022,2024
18-09-2023,111,False,546,97,False,528,457,False,122,2022,2024
11-09-2023,117,False,522,101,False,505,446,False,122,2022,2024
28-08-2023,127,False,481,101,False,460,445,False,122,2022,2024
21-08-2023,133,False,465,103,False,446,416,False,130,2022,2024
14-08-2023,138,False,456,103,False,435,414,False,130,2022,2024
07-08-2023,137,False,456,100,False,429,422,False,130,2022,2024
31-07-2023,134,False,456,97,False,429,421,False,130,2022,2024
24-07-2023,140,False,456,96,False,429,422,False,130,2022,2024
17-07-2023,190,False,308,133,False,285,422,False,130,2022,2024
03-07-2023,250,False,233,171,False,210,516,False,100,2022,2024
26-06-2023,250,False,227,171,False,208,507,False,100,2022,2024
19-06-2023,246,False,227,170,False,204,501,False,104,2022,2024
12-06-2023,257,False,211,175,False,188,497,False,104,2022,2024
29-05-2023,262,False,204,164,False,181,498,False,104,2022,2024
22-05-2023,260,False,204,160,False,181,495,False,104,2022,2024
08-05-2023,262,False,204,145,False,181,505,False,104,2022,2024
24-04-2023,263,False,204,124,False,181,509,False,104,2022,2024
17-04-2023,274,False,188,133,False,165,574,False,88,2022,2024
10-04-2023,275,False,188,124,False,165,575,False,88,2022,2024
03-04-2023,278,False,188,114,False,165,578,False,88,2022,2024
20-03-2023,312,False,167,121,False,141,630,False,77,2022,2024
