rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,36,False,1160,55,False,495,0,False,0,2003,2024
27-05-2024,37,False,1155,55,False,445,0,False,0,2003,2024
20-05-2024,38,False,1155,53,False,445,0,False,0,2003,2024
06-05-2024,38,False,1145,50,False,435,0,False,0,2003,2024
22-04-2024,40,False,1142,47,False,425,0,False,0,2003,2024
15-04-2024,37,False,1142,37,False,425,0,False,0,2003,2024
08-04-2024,40,False,1092,43,False,375,0,False,0,2003,2024
01-04-2024,45,False,1067,45,False,350,0,False,0,2003,2024
18-03-2024,47,False,1027,48,False,300,0,False,0,2003,2024
04-03-2024,54,False,937,66,False,200,0,False,0,2003,2024
26-02-2024,54,False,937,58,True,200,0,False,0,2003,2024
19-02-2024,68,False,837,96,True,100,0,False,0,2003,2024
12-02-2024,70,False,787,166,True,50,0,False,0,2003,2024
05-02-2024,70,False,787,148,True,50,0,False,0,2003,2024
29-01-2024,70,False,787,137,True,50,0,False,0,2003,2024
15-01-2024,76,False,737,0,False,0,0,False,0,2003,2024
08-01-2024,75,False,737,0,False,0,0,False,0,2003,2024
01-01-2024,74,False,737,0,False,0,0,False,0,2003,2024
25-12-2023,74,False,737,0,False,0,0,False,0,2003,2024
18-12-2023,74,False,737,0,False,0,0,False,0,2003,2024
11-12-2023,74,False,737,0,False,0,0,False,0,2003,2024
04-12-2023,74,False,737,0,False,0,0,False,0,2003,2024
27-11-2023,74,False,737,0,False,0,0,False,0,2003,2024
20-11-2023,74,False,737,0,False,0,0,False,0,2003,2024
13-11-2023,77,False,737,78,False,737,0,False,0,2003,2024
06-11-2023,76,False,737,75,False,737,0,False,0,2003,2024
30-10-2023,79,False,727,76,False,727,0,False,0,2003,2024
23-10-2023,89,False,682,81,False,682,0,False,0,2003,2024
16-10-2023,140,False,432,133,False,432,0,False,0,2003,2024
02-10-2023,141,False,432,127,False,432,0,False,0,2003,2024
25-09-2023,141,False,432,125,False,432,0,False,0,2003,2024
18-09-2023,142,False,432,119,False,432,0,False,0,2003,2024
11-09-2023,140,False,432,116,False,432,0,False,0,2003,2024
28-08-2023,162,False,387,119,False,387,0,False,0,2003,2024
21-08-2023,163,False,387,119,False,387,0,False,0,2003,2024
14-08-2023,211,False,297,154,False,297,0,False,0,2003,2024
07-08-2023,276,False,207,317,False,117,561,True,90,2003,2024
31-07-2023,323,False,162,419,False,72,556,True,90,2003,2024
24-07-2023,322,False,162,408,False,72,561,True,90,2003,2024
17-07-2023,315,False,162,397,False,72,553,True,90,2003,2024
03-07-2023,318,False,162,373,False,72,558,False,90,2003,2024
26-06-2023,314,False,162,361,False,72,546,True,90,2003,2024
19-06-2023,314,False,162,350,False,72,545,True,90,2003,2024
12-06-2023,311,False,162,340,False,72,542,True,90,2003,2024
29-05-2023,394,False,117,549,False,27,547,False,90,2003,2024
22-05-2023,386,False,117,542,False,27,540,False,90,2003,2024
08-05-2023,389,False,117,521,False,27,544,False,90,2003,2024
24-04-2023,322,False,155,551,False,20,553,True,90,2003,2024
17-04-2023,322,False,155,535,False,20,550,True,90,2003,2024
10-04-2023,321,False,155,517,False,20,549,True,90,2003,2024
03-04-2023,324,False,155,507,False,20,552,True,90,2003,2024
20-03-2023,280,False,190,606,False,10,554,True,90,2003,2024
06-03-2023,210,False,270,0,False,0,548,False,90,2003,2024
27-02-2023,208,False,270,0,False,0,546,False,90,2003,2024
20-02-2023,208,False,270,0,False,0,537,False,90,2003,2024
13-02-2023,210,False,270,0,False,0,531,False,90,2003,2024
06-02-2023,207,False,270,0,False,0,538,False,90,2003,2024
30-01-2023,209,False,270,0,False,0,534,False,90,2003,2024
16-01-2023,85,False,630,0,False,0,539,True,90,2003,2024
09-01-2023,83,False,630,0,False,0,541,False,90,2003,2024
02-01-2023,52,False,880,0,False,0,555,False,90,2003,2024
26-12-2022,52,False,880,0,False,0,556,False,90,2003,2024
19-12-2022,52,False,880,0,False,0,556,False,90,2003,2024
12-12-2022,52,False,880,0,False,0,557,False,90,2003,2024
05-12-2022,52,False,880,0,False,0,558,False,90,2003,2024
28-11-2022,52,False,880,0,False,0,562,False,90,2003,2024
21-11-2022,52,False,880,0,False,0,559,False,90,2003,2024
14-11-2022,52,False,880,0,False,0,559,False,90,2003,2024
07-11-2022,52,False,880,52,False,880,552,False,90,2003,2024
31-10-2022,46,False,970,51,False,880,551,True,90,2003,2024
24-10-2022,41,False,1015,51,False,880,544,True,90,2003,2024
17-10-2022,44,False,1015,51,False,880,538,True,90,2003,2024
10-10-2022,38,False,1105,47,False,880,537,True,90,2003,2024
03-10-2022,38,False,1105,45,False,880,525,True,90,2003,2024
26-09-2022,33,False,1255,43,False,880,527,True,90,2003,2024
19-09-2022,32,False,1345,41,False,880,535,True,90,2003,2024
12-09-2022,32,False,1345,41,False,880,537,True,90,2003,2024
29-08-2022,24,False,1435,39,False,880,532,True,90,2003,2024
22-08-2022,25,False,1435,39,False,880,530,True,90,2003,2024
15-08-2022,22,False,1525,37,False,880,525,True,90,2003,2024
08-08-2022,20,False,1615,38,False,790,0,False,0,2003,2024
01-08-2022,20,False,1615,37,False,790,0,False,0,2003,2024
25-07-2022,19,False,1615,36,False,790,0,False,0,2003,2024
18-07-2022,20,False,1615,33,False,790,0,False,0,2003,2024
