rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
19-06-2023,0,False,0,0,False,0,0,False,0,2003,2023
12-06-2023,0,False,0,0,False,0,1503,False,9,2003,2023
29-05-2023,0,False,0,0,False,0,1518,False,9,2003,2023
22-05-2023,0,False,0,0,False,0,1506,False,9,2003,2023
08-05-2023,0,False,0,0,False,0,1513,False,9,2003,2023
24-04-2023,0,False,0,0,False,0,1498,False,9,2003,2023
17-04-2023,0,False,0,0,False,0,1498,False,9,2003,2023
10-04-2023,0,False,0,0,False,0,1491,False,9,2003,2023
03-04-2023,0,False,0,0,False,0,1491,False,9,2003,2023
20-03-2023,0,False,0,0,False,0,1481,False,9,2003,2023
06-03-2023,0,False,0,0,False,0,1476,False,9,2003,2023
27-02-2023,0,False,0,0,False,0,1475,False,9,2003,2023
20-02-2023,0,False,0,0,False,0,1476,False,9,2003,2023
13-02-2023,0,False,0,0,False,0,1476,False,9,2003,2023
06-02-2023,0,False,0,0,False,0,1484,False,9,2003,2023
30-01-2023,0,False,0,0,False,0,1479,False,9,2003,2023
16-01-2023,0,False,0,0,False,0,1472,False,9,2003,2023
09-01-2023,0,False,0,0,False,0,1476,False,9,2003,2023
02-01-2023,0,False,0,0,False,0,1484,False,9,2003,2023
26-12-2022,0,False,0,0,False,0,1481,False,9,2003,2023
19-12-2022,0,False,0,0,False,0,1482,False,9,2003,2023
12-12-2022,0,False,0,0,False,0,1483,False,9,2003,2023
05-12-2022,0,False,0,0,False,0,1488,False,9,2003,2023
28-11-2022,0,False,0,0,False,0,1486,False,9,2003,2023
21-11-2022,0,False,0,0,False,0,1483,False,9,2003,2023
14-11-2022,0,False,0,0,False,0,1489,False,9,2003,2023
07-11-2022,0,False,0,0,False,0,1484,False,9,2003,2023
31-10-2022,0,False,0,0,False,0,1477,False,9,2003,2023
24-10-2022,0,False,0,0,False,0,1476,False,9,2003,2023
17-10-2022,0,False,0,0,False,0,1472,False,9,2003,2023
10-10-2022,0,False,0,0,False,0,1483,False,9,2003,2023
03-10-2022,0,False,0,0,False,0,1469,False,9,2003,2023
26-09-2022,0,False,0,0,False,0,1468,False,9,2003,2023
19-09-2022,0,False,0,0,False,0,1457,False,9,2003,2023
12-09-2022,0,False,0,0,False,0,1449,False,9,2003,2023
29-08-2022,0,False,0,0,False,0,1433,False,9,2003,2023
22-08-2022,0,False,0,0,False,0,1428,False,9,2003,2023
15-08-2022,0,False,0,0,False,0,1403,False,9,2003,2023
08-08-2022,0,False,0,0,False,0,1388,True,9,2003,2023
01-08-2022,0,False,0,0,False,0,1408,True,9,2003,2023
25-07-2022,0,False,0,0,False,0,1415,True,9,2003,2023
18-07-2022,0,False,0,0,False,0,1424,True,9,2003,2023
11-07-2022,748,False,23,0,False,0,706,False,54,2003,2023
27-06-2022,580,False,46,0,False,0,502,False,99,2003,2023
20-06-2022,581,False,46,0,False,0,500,False,99,2003,2023
13-06-2022,587,False,46,0,False,0,536,True,90,2003,2023
06-06-2022,552,False,54,0,False,0,420,False,135,2003,2023
23-05-2022,546,False,54,0,False,0,408,False,135,2003,2023
16-05-2022,509,False,64,0,False,0,408,False,135,2003,2023
09-05-2022,470,False,75,0,False,0,403,False,135,2003,2023
02-05-2022,431,False,90,0,False,0,400,False,135,2003,2023
25-04-2022,401,False,100,0,False,0,370,False,158,2003,2023
18-04-2022,376,False,110,0,False,0,374,False,158,2003,2023
11-04-2022,372,False,110,0,False,0,371,False,158,2003,2023
04-04-2022,368,False,110,0,False,0,368,False,158,2003,2023
21-03-2022,328,False,133,0,False,0,373,False,158,2003,2023
07-03-2022,332,False,133,0,False,0,308,False,203,2003,2023
28-02-2022,334,False,133,0,False,0,315,False,203,2003,2023
21-02-2022,337,False,133,0,False,0,321,False,203,2003,2023
14-02-2022,343,False,133,0,False,0,331,False,203,2003,2023
07-02-2022,346,False,133,0,False,0,333,False,203,2003,2023
31-01-2022,324,False,148,0,False,0,230,False,353,2003,2023
17-01-2022,313,False,165,0,False,0,203,False,443,2003,2023
10-01-2022,305,False,171,0,False,0,204,False,443,2003,2023
03-01-2022,309,False,171,0,False,0,203,False,443,2003,2023
27-12-2021,309,False,171,444,False,54,203,False,443,2003,2023
20-12-2021,309,False,171,442,False,54,203,False,443,2003,2023
13-12-2021,306,False,171,438,False,54,203,False,443,2003,2023
06-12-2021,304,False,171,432,False,54,202,False,443,2003,2023
29-11-2021,301,False,171,427,False,54,201,False,443,2003,2023
22-11-2021,300,False,171,426,True,54,200,False,443,2003,2023
15-11-2021,300,False,171,419,True,54,201,False,443,2003,2023
08-11-2021,298,False,171,410,True,54,201,False,443,2003,2023
01-11-2021,297,False,171,402,False,54,199,False,443,2003,2023
25-10-2021,286,False,186,392,True,54,202,False,443,2003,2023
18-10-2021,285,False,193,386,False,54,195,False,458,2003,2023
