rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,21,False,1865,70,False,425,296,False,225,2004,2024
27-05-2024,22,False,1865,65,False,415,291,False,225,2004,2024
20-05-2024,22,False,1865,62,False,415,290,False,225,2004,2024
06-05-2024,21,False,1875,55,False,405,284,False,225,2004,2024
22-04-2024,20,False,1875,55,False,395,279,False,225,2004,2024
15-04-2024,20,False,1875,47,False,395,285,False,225,2004,2024
08-04-2024,20,False,1875,42,False,395,284,False,225,2004,2024
01-04-2024,20,False,1875,36,False,395,290,False,225,2004,2024
18-03-2024,20,False,1955,32,False,385,296,False,225,2004,2024
04-03-2024,21,False,1950,35,False,335,293,False,225,2004,2024
26-02-2024,19,False,1950,26,False,335,292,False,225,2004,2024
19-02-2024,20,False,1950,19,False,335,294,False,225,2004,2024
12-02-2024,19,False,1975,15,False,335,293,False,225,2004,2024
05-02-2024,17,False,1920,21,False,235,288,False,225,2004,2024
29-01-2024,17,False,1920,17,False,235,283,False,225,2004,2024
15-01-2024,19,False,1765,128,True,35,280,False,225,2004,2024
08-01-2024,20,False,1765,95,True,35,280,False,225,2004,2024
01-01-2024,22,False,1755,0,False,0,279,False,225,2004,2024
25-12-2023,22,False,1755,0,False,0,279,False,225,2004,2024
18-12-2023,22,False,1755,0,False,0,277,False,225,2004,2024
11-12-2023,22,False,1755,0,False,0,276,False,225,2004,2024
04-12-2023,22,False,1755,0,False,0,278,False,225,2004,2024
27-11-2023,22,False,1755,0,False,0,278,False,225,2004,2024
20-11-2023,22,False,1755,0,False,0,282,False,225,2004,2024
13-11-2023,22,False,1755,22,False,1755,286,False,225,2004,2024
06-11-2023,25,False,1525,24,False,1525,282,False,225,2004,2024
30-10-2023,25,False,1515,23,False,1515,282,False,225,2004,2024
23-10-2023,24,False,1515,22,False,1515,281,False,225,2004,2024
16-10-2023,24,False,1481,22,False,1481,251,False,270,2004,2024
02-10-2023,23,False,1526,24,False,1436,145,False,570,2004,2024
25-09-2023,34,False,1286,29,False,1196,144,False,570,2004,2024
18-09-2023,34,False,1286,29,False,1196,147,False,570,2004,2024
11-09-2023,34,False,1286,29,False,1196,147,False,570,2004,2024
28-08-2023,35,False,1206,29,False,1106,124,False,660,2004,2024
21-08-2023,23,False,1445,27,False,1106,125,False,660,2004,2024
14-08-2023,32,False,1276,34,False,926,124,False,660,2004,2024
07-08-2023,30,False,1336,33,False,916,126,False,660,2004,2024
31-07-2023,27,False,1345,29,False,916,126,False,660,2004,2024
24-07-2023,27,False,1376,27,False,916,130,False,660,2004,2024
17-07-2023,38,False,1146,42,False,676,141,False,615,2004,2024
03-07-2023,35,False,1112,43,False,631,150,False,525,2004,2024
26-06-2023,43,False,972,65,False,491,149,False,525,2004,2024
19-06-2023,46,False,892,81,False,401,151,False,525,2004,2024
12-06-2023,52,False,847,84,False,356,149,False,525,2004,2024
29-05-2023,47,False,937,75,False,346,137,False,615,2004,2024
22-05-2023,47,False,917,78,False,326,137,False,615,2004,2024
