rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,0,False,0,0,False,0,0,False,0,2005,2024
24-07-2023,0,False,0,0,False,0,0,False,0,2005,2024
17-07-2023,0,False,0,0,False,0,0,False,0,2005,2024
03-07-2023,0,False,0,0,False,0,0,False,0,2005,2024
26-06-2023,0,False,0,0,False,0,0,False,0,2005,2024
19-06-2023,0,False,0,0,False,0,0,False,0,2005,2024
12-06-2023,1479,True,2,0,False,0,0,False,0,2005,2024
29-05-2023,1569,True,2,0,False,0,722,False,60,2005,2024
22-05-2023,1558,True,2,0,False,0,715,False,60,2005,2024
08-05-2023,553,False,62,0,False,0,523,False,96,2005,2024
24-04-2023,554,False,62,0,False,0,534,False,96,2005,2024
17-04-2023,555,False,62,0,False,0,425,False,126,2005,2024
10-04-2023,487,False,78,0,False,0,355,False,156,2005,2024
03-04-2023,488,False,78,0,False,0,357,False,156,2005,2024
20-03-2023,476,False,85,0,False,0,357,False,156,2005,2024
06-03-2023,473,False,85,0,False,0,301,False,202,2005,2024
27-02-2023,452,False,92,0,False,0,278,False,218,2005,2024
20-02-2023,454,False,92,0,False,0,283,False,218,2005,2024
13-02-2023,455,False,92,0,False,0,285,False,218,2005,2024
06-02-2023,455,False,92,0,False,0,285,False,218,2005,2024
30-01-2023,449,False,92,0,False,0,192,False,368,2005,2024
16-01-2023,447,False,92,0,False,0,168,False,434,2005,2024
09-01-2023,446,False,92,0,False,0,169,False,434,2005,2024
02-01-2023,445,False,92,0,False,0,167,False,434,2005,2024
26-12-2022,444,False,92,0,False,0,167,False,434,2005,2024
19-12-2022,445,False,92,0,False,0,167,False,434,2005,2024
12-12-2022,384,False,121,0,False,0,158,False,449,2005,2024
05-12-2022,334,False,150,0,False,0,154,False,497,2005,2024
28-11-2022,333,False,150,0,False,0,155,False,497,2005,2024
21-11-2022,330,False,150,0,False,0,153,False,497,2005,2024
14-11-2022,331,False,150,0,False,0,148,False,497,2005,2024
07-11-2022,326,False,150,326,False,150,148,False,497,2005,2024
31-10-2022,327,False,150,322,False,150,149,False,497,2005,2024
24-10-2022,324,False,150,315,False,150,147,False,497,2005,2024
17-10-2022,318,False,157,312,False,150,130,False,577,2005,2024
10-10-2022,291,False,171,307,False,150,130,False,621,2005,2024
03-10-2022,282,False,171,298,False,150,127,False,621,2005,2024
26-09-2022,248,False,200,290,False,150,128,False,621,2005,2024
19-09-2022,243,False,207,283,False,150,120,False,650,2005,2024
12-09-2022,244,False,207,279,False,150,115,False,679,2005,2024
29-08-2022,210,False,243,271,False,150,118,False,708,2005,2024
22-08-2022,204,False,250,260,False,150,118,False,708,2005,2024
15-08-2022,203,False,250,254,False,150,118,False,708,2005,2024
08-08-2022,203,False,254,249,False,150,115,False,708,2005,2024
01-08-2022,204,False,254,239,False,150,116,False,708,2005,2024
25-07-2022,203,False,260,229,False,150,116,False,708,2005,2024
18-07-2022,191,False,280,224,False,150,120,False,708,2005,2024
11-07-2022,176,False,299,217,False,150,121,False,708,2005,2024
27-06-2022,182,False,303,205,False,150,122,False,708,2005,2024
20-06-2022,187,False,303,201,False,150,122,False,708,2005,2024
13-06-2022,169,False,329,199,False,148,118,False,723,2005,2024
06-06-2022,158,False,386,195,False,148,129,False,723,2005,2024
23-05-2022,127,False,482,163,False,148,133,False,703,2005,2024
16-05-2022,130,False,482,158,False,148,135,False,703,2005,2024
09-05-2022,144,False,438,241,False,88,138,False,682,2005,2024
