rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
03-04-2023,0,False,0,0,False,0,0,False,0,2007,2023
20-03-2023,0,False,0,0,False,0,0,False,0,2007,2023
06-03-2023,0,False,0,0,False,0,0,False,0,2007,2023
27-02-2023,0,False,0,0,False,0,0,False,0,2007,2023
20-02-2023,1474,True,2,0,False,0,0,False,0,2007,2023
13-02-2023,1482,True,2,0,False,0,0,False,0,2007,2023
06-02-2023,1478,True,2,0,False,0,0,False,0,2007,2023
30-01-2023,1471,True,2,0,False,0,0,False,0,2007,2023
16-01-2023,1475,True,2,0,False,0,0,False,0,2007,2023
09-01-2023,1486,True,2,0,False,0,0,False,0,2007,2023
02-01-2023,1488,True,2,0,False,0,1160,True,20,2007,2023
26-12-2022,1487,True,2,0,False,0,1159,True,20,2007,2023
19-12-2022,1487,True,2,0,False,0,1158,True,20,2007,2023
12-12-2022,1495,True,2,0,False,0,1154,True,20,2007,2023
05-12-2022,1490,True,2,0,False,0,1159,True,20,2007,2023
28-11-2022,1517,True,2,0,False,0,1154,True,20,2007,2023
21-11-2022,1550,True,2,0,False,0,1146,True,20,2007,2023
14-11-2022,1553,True,2,0,False,0,1144,True,20,2007,2023
07-11-2022,1551,True,2,1551,True,2,1143,True,20,2007,2023
31-10-2022,1569,True,2,1535,True,2,1143,True,20,2007,2023
24-10-2022,1035,False,9,1514,True,2,1146,True,20,2007,2023
17-10-2022,1032,False,9,1496,True,2,1141,True,20,2007,2023
10-10-2022,1036,False,9,1482,True,2,1145,True,20,2007,2023
03-10-2022,1027,False,9,1460,True,2,1132,True,20,2007,2023
26-09-2022,1024,False,9,1445,True,2,1133,True,20,2007,2023
19-09-2022,1022,False,9,1439,True,2,1127,True,20,2007,2023
12-09-2022,1022,False,9,1420,True,2,1110,False,20,2007,2023
29-08-2022,1011,False,9,1391,True,2,1088,False,20,2007,2023
22-08-2022,1002,False,9,1366,True,2,1080,True,20,2007,2023
15-08-2022,992,False,9,1344,True,2,1068,True,20,2007,2023
08-08-2022,988,False,9,1328,True,2,1058,True,20,2007,2023
01-08-2022,990,False,9,1310,True,2,1069,False,20,2007,2023
25-07-2022,1000,False,9,1290,True,2,1075,True,20,2007,2023
18-07-2022,1012,False,9,1266,True,2,1077,False,20,2007,2023
11-07-2022,1024,False,9,1247,True,2,1091,False,20,2007,2023
27-06-2022,1037,False,9,1216,True,2,1093,True,20,2007,2023
20-06-2022,1037,False,9,1198,True,2,1089,True,20,2007,2023
13-06-2022,1043,False,9,1174,True,2,1081,True,20,2007,2023
06-06-2022,784,False,22,1153,True,2,1100,False,20,2007,2023
23-05-2022,781,False,22,1104,True,2,1082,False,20,2007,2023
16-05-2022,782,False,22,1084,True,2,1077,False,20,2007,2023
09-05-2022,785,False,22,1068,True,2,1076,False,20,2007,2023
02-05-2022,712,False,29,1052,True,2,1082,False,20,2007,2023
25-04-2022,659,False,35,1032,True,2,1083,True,20,2007,2023
18-04-2022,616,False,41,1026,True,2,1093,True,20,2007,2023
11-04-2022,619,False,41,778,True,2,1096,True,20,2007,2023
04-04-2022,625,False,41,761,True,2,1095,True,20,2007,2023
21-03-2022,496,False,65,680,True,2,1114,True,20,2007,2023
07-03-2022,406,False,96,596,True,2,1135,False,20,2007,2023
28-02-2022,406,False,96,571,True,2,1142,False,20,2007,2023
21-02-2022,410,False,94,0,False,0,1143,False,20,2007,2023
14-02-2022,332,False,142,0,False,0,635,False,68,2007,2023
07-02-2022,321,False,152,0,False,0,629,False,68,2007,2023
31-01-2022,321,False,152,0,False,0,513,False,97,2007,2023
17-01-2022,310,False,167,0,False,0,472,False,112,2007,2023
10-01-2022,310,False,167,0,False,0,472,False,112,2007,2023
03-01-2022,307,False,172,0,False,0,521,False,92,2007,2023
27-12-2021,307,False,172,395,False,70,521,False,92,2007,2023
20-12-2021,307,False,172,394,False,70,521,False,92,2007,2023
13-12-2021,305,False,172,389,False,70,520,False,92,2007,2023
06-12-2021,303,False,172,384,False,70,521,False,92,2007,2023
29-11-2021,300,False,172,382,False,70,520,False,92,2007,2023
22-11-2021,299,False,172,374,True,70,522,False,92,2007,2023
15-11-2021,299,False,172,367,True,70,518,False,92,2007,2023
08-11-2021,296,False,172,364,True,70,517,False,92,2007,2023
01-11-2021,288,False,181,357,False,70,514,False,92,2007,2023
25-10-2021,291,False,181,368,True,63,516,False,92,2007,2023
18-10-2021,292,False,181,365,False,63,514,False,92,2007,2023
04-10-2021,292,False,193,350,True,63,528,False,92,2007,2023
27-09-2021,263,False,241,349,True,63,527,False,92,2007,2023
20-09-2021,256,False,246,339,True,63,531,False,92,2007,2023
13-09-2021,240,False,273,328,True,63,538,False,92,2007,2023
30-08-2021,245,False,275,320,True,63,550,False,92,2007,2023
23-08-2021,244,False,278,316,True,63,544,False,92,2007,2023
16-08-2021,243,False,281,317,False,63,548,False,92,2007,2023
09-08-2021,241,False,281,312,False,63,547,False,92,2007,2023
02-08-2021,240,False,281,310,False,63,546,False,92,2007,2023
26-07-2021,241,False,281,300,False,63,549,False,92,2007,2023
19-07-2021,239,False,281,285,True,63,542,False,92,2007,2023
12-07-2021,241,False,281,273,True,63,532,False,92,2007,2023
28-06-2021,245,False,281,261,True,63,531,False,92,2007,2023
21-06-2021,243,False,281,254,True,63,532,False,92,2007,2023
14-06-2021,242,False,281,245,True,63,528,False,92,2007,2023
31-05-2021,202,False,346,229,True,55,526,False,92,2007,2023
24-05-2021,201,False,346,226,True,55,523,False,92,2007,2023
17-05-2021,201,False,346,222,True,55,524,False,92,2007,2023
10-05-2021,203,False,346,219,True,55,526,False,92,2007,2023
03-05-2021,203,False,346,230,True,48,524,False,92,2007,2023
26-04-2021,201,False,351,224,False,48,527,False,92,2007,2023
19-04-2021,195,False,356,213,False,48,529,False,92,2007,2023
12-04-2021,195,False,356,205,False,48,526,False,92,2007,2023
05-04-2021,198,False,356,195,False,48,526,False,92,2007,2023
22-03-2021,186,False,380,173,False,48,531,False,92,2007,2023
15-03-2021,186,False,380,173,False,41,523,False,92,2007,2023
08-03-2021,175,False,404,157,False,41,522,False,92,2007,2023
01-03-2021,173,False,404,145,False,41,516,False,92,2007,2023
22-02-2021,171,False,404,120,True,41,512,False,92,2007,2023
08-02-2021,175,False,386,157,True,8,505,False,92,2007,2023
01-02-2021,173,False,386,78,True,8,644,False,63,2007,2023
25-01-2021,172,False,385,0,False,0,642,False,63,2007,2023
18-01-2021,171,False,385,0,False,0,640,False,63,2007,2023
11-01-2021,171,False,385,0,False,0,638,False,63,2007,2023
04-01-2021,171,False,385,0,False,68,638,False,63,2007,2023
28-12-2020,173,False,378,0,False,0,638,False,63,2007,2023
21-12-2020,173,False,378,0,False,0,638,False,63,2007,2023
14-12-2020,173,False,378,0,False,0,637,False,63,2007,2023
07-12-2020,173,False,378,0,False,0,637,False,63,2007,2023
30-11-2020,171,False,378,0,False,0,632,False,63,2007,2023
23-11-2020,171,False,378,0,False,0,625,False,63,2007,2023
16-11-2020,169,False,378,0,False,0,623,False,63,2007,2023
09-11-2020,169,False,378,0,False,0,622,False,63,2007,2023
02-11-2020,167,False,378,0,False,0,620,False,63,2007,2023
26-10-2020,166,False,378,0,False,0,619,False,63,2007,2023
19-10-2020,163,False,378,0,False,0,616,True,63,2007,2023
12-10-2020,161,False,378,0,False,0,611,True,63,2007,2023
28-09-2020,154,False,378,0,False,0,601,True,63,2007,2023
21-09-2020,153,False,378,0,False,0,596,True,63,2007,2023
14-09-2020,152,False,378,0,False,0,595,True,63,2007,2023
31-08-2020,149,False,378,0,False,0,592,False,63,2007,2023
24-08-2020,148,False,375,0,False,0,590,False,63,2007,2023
16-03-2020,149,False,370,207,False,54,591,False,63,2007,2023
09-03-2020,149,False,370,204,False,54,577,False,63,2007,2023
02-03-2020,149,False,370,198,False,54,572,False,63,2007,2023
24-02-2020,139,False,390,177,False,54,571,True,63,2007,2023
17-02-2020,144,False,380,192,False,39,1190,True,15,2007,2023
10-02-2020,143,False,377,218,False,29,1191,True,15,2007,2023
03-02-2020,131,False,404,198,False,29,1196,True,15,2007,2023
20-01-2020,125,False,429,225,False,14,0,False,0,2007,2023
13-01-2020,124,False,429,194,False,14,0,False,0,2007,2023
06-01-2020,124,False,429,188,False,9,0,False,0,2007,2023
30-12-2019,126,False,429,188,False,9,0,False,0,2007,2023
23-12-2019,126,False,429,184,False,9,0,False,0,2007,2023
16-12-2019,126,False,429,173,False,9,0,False,0,2007,2023
09-12-2019,126,False,429,160,False,9,0,False,0,2007,2023
02-12-2019,127,False,429,147,False,9,0,False,0,2007,2023
25-11-2019,127,False,429,133,False,9,0,False,0,2007,2023
18-11-2019,127,False,429,112,False,9,0,False,0,2007,2023
11-11-2019,129,False,429,44,True,9,0,False,0,2007,2023
04-11-2019,117,False,480,117,False,480,0,False,0,2007,2023
28-10-2019,116,False,480,114,False,473,0,False,0,2007,2023
21-10-2019,117,False,480,112,False,473,0,False,0,2007,2023
14-10-2019,118,False,468,112,False,468,0,False,0,2007,2023
07-10-2019,121,False,468,111,False,461,0,False,0,2007,2023
30-09-2019,130,False,420,118,False,420,0,False,0,2007,2023
23-09-2019,136,False,410,120,False,410,504,False,75,2007,2023
16-09-2019,129,False,429,123,False,378,507,False,75,2007,2023
09-09-2019,130,False,429,121,False,378,510,False,75,2007,2023
26-08-2019,121,False,450,115,False,364,513,False,75,2007,2023
19-08-2019,122,False,450,114,False,364,513,False,75,2007,2023
12-08-2019,120,False,467,112,False,364,515,False,75,2007,2023
05-08-2019,120,False,467,107,False,364,515,False,75,2007,2023
29-07-2019,121,False,473,104,False,364,386,False,75,2007,2023
22-07-2019,119,False,480,103,False,364,390,False,75,2007,2023
15-07-2019,106,False,535,98,False,364,387,False,75,2007,2023
01-07-2019,98,False,567,91,False,364,387,False,75,2007,2023
24-06-2019,96,False,567,89,False,364,386,False,75,2007,2023
17-06-2019,97,False,570,84,False,364,382,False,75,2007,2023
10-06-2019,99,False,567,83,False,354,383,False,75,2007,2023
27-05-2019,114,False,504,87,False,284,379,False,75,2007,2023
20-05-2019,115,False,504,85,False,284,380,False,75,2007,2023
13-05-2019,114,False,505,84,False,284,381,False,75,2007,2023
06-05-2019,116,False,505,82,False,277,376,False,75,2007,2023
29-04-2019,114,False,513,78,False,272,380,False,75,2007,2023
22-04-2019,109,False,552,80,False,260,378,True,75,2007,2023
15-04-2019,108,False,552,73,False,260,375,False,75,2007,2023
08-04-2019,106,False,552,69,False,260,377,False,75,2007,2023
01-04-2019,104,False,552,67,False,260,378,False,75,2007,2023
18-03-2019,108,False,533,73,False,212,381,False,75,2007,2023
11-03-2019,119,False,493,72,False,164,382,False,75,2007,2023
04-03-2019,119,False,493,72,False,164,382,False,75,2007,2023
25-02-2019,119,False,488,70,False,139,382,True,75,2007,2023
18-02-2019,116,False,488,54,False,139,383,True,75,2007,2023
11-02-2019,112,False,488,55,False,132,384,True,75,2007,2023
04-02-2019,121,False,468,61,False,100,389,True,75,2007,2023
28-01-2019,122,False,468,54,False,100,389,True,75,2007,2023
14-01-2019,124,False,460,48,False,60,384,True,75,2007,2023
07-01-2019,125,False,460,32,False,60,381,True,75,2007,2023
31-12-2018,126,False,460,14,False,60,383,False,75,2007,2023
24-12-2018,126,False,460,14,False,60,383,False,75,2007,2023
17-12-2018,127,False,460,14,False,60,583,False,75,2007,2023
10-12-2018,127,False,460,14,False,60,583,False,75,2007,2023
03-12-2018,127,False,460,14,False,60,585,False,75,2007,2023
26-11-2018,127,False,460,14,False,60,585,False,75,2007,2023
19-11-2018,127,False,460,12,False,60,589,False,75,2007,2023
12-11-2018,129,False,460,6,False,60,590,False,75,2007,2023
05-11-2018,126,False,460,126,False,460,583,False,75,2007,2023
29-10-2018,128,False,460,124,False,453,583,False,75,2007,2023
22-10-2018,118,False,493,122,False,453,582,False,75,2007,2023
15-10-2018,117,False,493,120,False,453,586,False,75,2007,2023
08-10-2018,116,False,493,116,False,445,589,False,75,2007,2023
01-10-2018,114,False,493,111,False,445,591,False,75,2007,2023
24-09-2018,112,False,495,107,False,445,0,False,0,2007,2023
17-09-2018,120,False,470,116,False,402,0,False,0,2007,2023
10-09-2018,116,False,472,114,False,402,0,False,0,2007,2023
27-08-2018,125,False,452,117,False,367,0,False,0,2007,2023
20-08-2018,125,False,452,117,False,367,0,False,0,2007,2023
13-08-2018,131,False,443,119,False,350,0,False,0,2007,2023
06-08-2018,131,False,443,117,False,342,0,False,0,2007,2023
30-07-2018,133,False,443,111,False,342,0,False,0,2007,2023
23-07-2018,123,False,483,108,False,342,0,False,0,2007,2023
16-07-2018,132,False,436,120,False,295,0,False,0,2007,2023
02-07-2018,134,False,424,126,False,257,0,False,0,2007,2023
25-06-2018,134,False,424,125,False,257,0,False,0,2007,2023
18-06-2018,134,False,421,119,False,253,0,False,0,2007,2023
11-06-2018,135,False,421,115,False,253,0,False,0,2007,2023
28-05-2018,126,False,441,107,False,247,0,False,0,2007,2023
21-05-2018,128,False,441,104,False,247,0,False,0,2007,2023
14-05-2018,128,False,440,104,False,239,0,False,0,2007,2023
07-05-2018,118,False,471,105,False,232,0,False,0,2007,2023
30-04-2018,119,False,458,101,False,219,0,False,0,2007,2023
23-04-2018,134,False,415,120,False,174,0,False,0,2007,2023
16-04-2018,132,False,426,110,False,174,0,False,0,2007,2023
09-04-2018,131,False,426,103,False,174,0,False,0,2007,2023
02-04-2018,128,False,433,101,False,174,0,False,0,2007,2023
19-03-2018,137,False,412,109,False,145,0,False,0,2007,2023
05-03-2018,136,False,410,99,False,136,0,False,0,2007,2023
26-02-2018,138,False,396,97,False,122,0,False,0,2007,2023
19-02-2018,142,False,396,84,False,116,0,False,0,2007,2023
12-02-2018,144,False,396,76,False,116,0,False,0,2007,2023
05-02-2018,142,False,399,63,False,104,0,False,0,2007,2023
