rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,76,False,715,66,False,437,0,False,0,2008,2024
27-05-2024,86,False,685,74,False,397,0,False,0,2008,2024
20-05-2024,84,False,685,70,False,397,0,False,0,2008,2024
06-05-2024,106,False,590,88,False,277,0,False,0,2008,2024
22-04-2024,118,False,545,109,False,207,0,False,0,2008,2024
15-04-2024,113,False,545,104,False,207,0,False,0,2008,2024
08-04-2024,113,False,545,95,False,207,0,False,0,2008,2024
01-04-2024,110,False,545,85,False,201,0,False,0,2008,2024
18-03-2024,110,False,564,77,False,201,0,False,0,2008,2024
04-03-2024,113,False,552,76,False,179,0,False,0,2008,2024
26-02-2024,102,False,591,65,False,179,0,False,0,2008,2024
19-02-2024,117,False,536,132,False,79,0,False,0,2008,2024
12-02-2024,118,False,535,124,False,72,0,False,0,2008,2024
05-02-2024,119,False,535,107,False,72,0,False,0,2008,2024
29-01-2024,119,False,535,97,False,72,0,False,0,2008,2024
15-01-2024,120,False,533,56,True,60,0,False,0,2008,2024
08-01-2024,120,False,539,41,True,60,0,False,0,2008,2024
01-01-2024,122,False,539,18,True,60,0,False,0,2008,2024
25-12-2023,122,False,539,18,False,60,0,False,0,2008,2024
18-12-2023,122,False,539,18,False,60,0,False,0,2008,2024
11-12-2023,122,False,539,18,False,60,0,False,0,2008,2024
04-12-2023,122,False,539,18,False,60,0,False,0,2008,2024
27-11-2023,120,False,539,10,False,60,0,False,0,2008,2024
20-11-2023,117,False,539,6,False,60,0,False,0,2008,2024
13-11-2023,131,False,485,132,False,485,0,False,0,2008,2024
06-11-2023,127,False,485,126,False,485,0,False,0,2008,2024
30-10-2023,127,False,495,128,False,479,0,False,0,2008,2024
23-10-2023,119,False,508,124,False,479,0,False,0,2008,2024
16-10-2023,126,False,485,125,False,455,0,False,0,2008,2024
02-10-2023,150,False,405,150,False,355,0,False,0,2008,2024
25-09-2023,153,False,405,148,False,355,0,False,0,2008,2024
18-09-2023,117,False,523,144,False,355,0,False,0,2008,2024
11-09-2023,116,False,523,142,False,355,0,False,0,2008,2024
28-08-2023,118,False,523,152,False,310,0,False,0,2008,2024
21-08-2023,115,False,533,152,False,310,0,False,0,2008,2024
14-08-2023,116,False,539,151,False,304,0,False,0,2008,2024
07-08-2023,119,False,539,148,False,297,0,False,0,2008,2024
31-07-2023,118,False,539,139,False,297,0,False,0,2008,2024
24-07-2023,121,False,539,133,False,294,0,False,0,2008,2024
17-07-2023,122,False,529,136,False,280,0,False,0,2008,2024
03-07-2023,95,False,626,143,False,245,0,False,0,2008,2024
26-06-2023,96,False,625,143,False,238,0,False,0,2008,2024
19-06-2023,95,False,632,162,False,213,0,False,0,2008,2024
12-06-2023,94,False,637,154,False,213,0,False,0,2008,2024
29-05-2023,98,False,652,146,False,203,0,False,0,2008,2024
22-05-2023,96,False,652,149,False,197,0,False,0,2008,2024
08-05-2023,98,False,627,155,False,172,0,False,0,2008,2024
24-04-2023,97,False,608,165,False,147,0,False,0,2008,2024
17-04-2023,89,False,665,154,False,147,0,False,0,2008,2024
10-04-2023,80,False,689,142,False,147,0,False,0,2008,2024
03-04-2023,81,False,689,130,False,147,0,False,0,2008,2024
20-03-2023,81,False,680,138,False,122,0,False,0,2008,2024
06-03-2023,78,False,676,125,False,112,0,False,0,2008,2024
27-02-2023,84,False,631,179,False,67,0,False,0,2008,2024
20-02-2023,83,False,631,388,False,22,833,True,45,2008,2024
13-02-2023,78,False,676,361,False,22,834,True,45,2008,2024
06-02-2023,78,False,690,336,False,22,833,False,45,2008,2024
30-01-2023,78,False,690,309,False,22,827,False,45,2008,2024
16-01-2023,77,False,690,327,False,12,404,False,135,2008,2024
09-01-2023,69,False,729,0,False,0,406,False,135,2008,2024
02-01-2023,71,False,738,0,False,0,411,False,135,2008,2024
26-12-2022,71,False,738,0,False,0,411,False,135,2008,2024
19-12-2022,71,False,738,0,False,0,411,False,135,2008,2024
12-12-2022,71,False,738,0,False,0,411,False,135,2008,2024
05-12-2022,71,False,738,0,False,0,414,False,135,2008,2024
28-11-2022,71,False,738,0,False,0,417,False,135,2008,2024
21-11-2022,73,False,738,0,False,0,410,False,135,2008,2024
14-11-2022,64,False,770,0,False,0,404,False,135,2008,2024
07-11-2022,65,False,770,65,False,770,405,False,135,2008,2024
31-10-2022,66,False,770,65,False,754,408,False,135,2008,2024
24-10-2022,66,False,765,64,False,750,407,False,135,2008,2024
17-10-2022,61,False,798,63,False,750,404,False,135,2008,2024
10-10-2022,65,False,793,61,False,745,401,False,135,2008,2024
03-10-2022,63,False,793,60,False,745,391,False,135,2008,2024
26-09-2022,62,False,793,59,False,745,392,False,135,2008,2024
19-09-2022,66,False,748,70,False,631,397,False,135,2008,2024
12-09-2022,65,False,748,68,False,631,405,False,135,2008,2024
29-08-2022,67,False,721,65,False,586,264,False,225,2008,2024
22-08-2022,67,False,721,66,False,572,265,False,225,2008,2024
15-08-2022,65,False,716,66,False,556,262,False,225,2008,2024
08-08-2022,64,False,716,65,False,550,261,False,225,2008,2024
01-08-2022,62,False,716,63,False,550,261,False,225,2008,2024
25-07-2022,67,False,716,64,False,539,261,False,225,2008,2024
18-07-2022,72,False,716,62,False,539,266,False,225,2008,2024
11-07-2022,73,False,716,60,False,539,277,False,225,2008,2024
27-06-2022,89,False,643,79,False,414,222,False,315,2008,2024
20-06-2022,94,False,622,83,False,393,223,False,315,2008,2024
13-06-2022,96,False,621,82,False,388,232,False,315,2008,2024
06-06-2022,99,False,641,84,False,363,238,False,315,2008,2024
23-05-2022,100,False,651,72,False,363,233,False,315,2008,2024
16-05-2022,100,False,651,71,False,363,233,False,315,2008,2024
09-05-2022,101,False,652,66,False,357,231,False,315,2008,2024
02-05-2022,103,False,652,65,False,342,235,False,315,2008,2024
25-04-2022,103,False,652,63,False,342,236,False,315,2008,2024
18-04-2022,110,False,611,69,False,300,235,False,315,2008,2024
11-04-2022,114,False,596,78,False,207,234,False,315,2008,2024
04-04-2022,116,False,596,71,False,207,231,False,315,2008,2024
21-03-2022,116,False,593,70,False,191,229,False,315,2008,2024
07-03-2022,116,False,593,59,False,191,227,False,323,2008,2024
28-02-2022,114,False,600,59,False,191,208,False,368,2008,2024
21-02-2022,107,False,630,63,False,146,234,False,323,2008,2024
14-02-2022,106,False,659,71,False,101,150,False,683,2008,2024
07-02-2022,104,False,680,75,False,81,150,False,683,2008,2024
31-01-2022,92,False,754,59,False,81,144,False,728,2008,2024
17-01-2022,79,False,824,34,False,71,161,False,638,2008,2024
10-01-2022,83,False,809,56,True,20,161,False,638,2008,2024
03-01-2022,89,False,805,0,False,0,160,False,638,2008,2024
27-12-2021,89,False,805,90,False,577,160,False,638,2008,2024
20-12-2021,89,False,805,90,False,577,160,False,638,2008,2024
13-12-2021,89,False,805,90,False,577,157,False,638,2008,2024
06-12-2021,89,False,805,90,False,577,157,False,638,2008,2024
29-11-2021,89,False,805,90,False,577,157,False,638,2008,2024
22-11-2021,88,False,805,90,False,577,157,False,638,2008,2024
15-11-2021,94,False,773,95,False,529,158,False,638,2008,2024
08-11-2021,95,False,773,96,False,514,159,False,638,2008,2024
01-11-2021,94,False,773,93,False,514,158,False,638,2008,2024
25-10-2021,97,False,773,92,False,514,159,False,638,2008,2024
18-10-2021,92,False,805,97,False,466,162,False,638,2008,2024
04-10-2021,92,False,834,94,False,456,159,False,663,2008,2024
27-09-2021,90,False,834,95,False,449,159,False,663,2008,2024
20-09-2021,90,False,832,108,False,369,159,False,663,2008,2024
13-09-2021,92,False,832,110,False,359,158,False,663,2008,2024
30-08-2021,93,False,831,109,False,331,176,False,573,2008,2024
23-08-2021,93,False,829,112,False,311,176,False,573,2008,2024
16-08-2021,94,False,829,110,False,311,181,False,573,2008,2024
09-08-2021,94,False,829,107,False,311,180,False,573,2008,2024
02-08-2021,93,False,829,106,False,311,180,False,573,2008,2024
26-07-2021,95,False,829,102,False,311,180,False,573,2008,2024
19-07-2021,95,False,829,96,False,311,175,False,573,2008,2024
12-07-2021,93,False,831,91,False,311,177,False,573,2008,2024
28-06-2021,81,False,891,80,False,301,188,False,483,2008,2024
21-06-2021,81,False,891,76,False,301,188,False,483,2008,2024
14-06-2021,83,False,891,72,False,301,189,False,483,2008,2024
31-05-2021,80,False,936,74,False,256,194,False,483,2008,2024
24-05-2021,79,False,936,80,False,236,194,False,483,2008,2024
17-05-2021,78,False,936,76,False,236,194,False,483,2008,2024
10-05-2021,79,False,936,71,False,220,196,False,483,2008,2024
03-05-2021,78,False,936,67,True,220,196,False,483,2008,2024
26-04-2021,78,False,948,66,False,220,194,False,483,2008,2024
19-04-2021,76,False,948,63,False,220,192,False,483,2008,2024
12-04-2021,77,False,948,55,False,220,192,False,483,2008,2024
05-04-2021,78,False,948,53,False,220,190,False,483,2008,2024
22-03-2021,76,False,954,46,False,220,192,False,483,2008,2024
15-03-2021,75,False,954,39,False,220,191,False,483,2008,2024
08-03-2021,74,False,954,34,False,220,192,False,490,2008,2024
01-03-2021,74,False,954,28,False,200,191,False,490,2008,2024
22-02-2021,74,False,929,31,False,155,189,False,490,2008,2024
08-02-2021,74,False,894,21,False,110,234,False,310,2008,2024
01-02-2021,83,False,824,37,True,20,235,False,310,2008,2024
25-01-2021,83,False,824,27,True,20,234,False,310,2008,2024
18-01-2021,83,False,824,19,True,20,234,False,310,2008,2024
11-01-2021,84,False,820,0,False,0,230,False,310,2008,2024
04-01-2021,84,False,820,0,False,438,230,False,310,2008,2024
28-12-2020,84,False,804,0,False,0,230,False,310,2008,2024
21-12-2020,84,False,804,0,False,0,230,False,310,2008,2024
14-12-2020,84,False,804,0,False,0,230,False,310,2008,2024
07-12-2020,84,False,804,0,False,0,230,False,310,2008,2024
30-11-2020,84,False,804,0,False,0,230,False,310,2008,2024
23-11-2020,84,False,804,0,False,0,230,False,310,2008,2024
16-11-2020,84,False,804,0,False,0,229,False,310,2008,2024
09-11-2020,84,False,804,0,False,0,229,False,310,2008,2024
02-11-2020,80,False,804,0,False,0,227,False,310,2008,2024
26-10-2020,78,False,804,0,False,0,226,False,310,2008,2024
19-10-2020,78,False,804,0,False,0,225,False,310,2008,2024
12-10-2020,76,False,804,0,False,0,220,False,310,2008,2024
28-09-2020,84,False,749,0,False,0,217,False,310,2008,2024
21-09-2020,89,False,700,0,False,0,217,False,310,2008,2024
14-09-2020,88,False,700,0,False,0,216,False,310,2008,2024
31-08-2020,83,False,700,0,False,0,214,False,310,2008,2024
24-08-2020,82,False,699,0,False,0,213,False,310,2008,2024
16-03-2020,82,False,699,49,False,263,212,False,310,2008,2024
09-03-2020,82,False,699,49,False,263,212,False,310,2008,2024
02-03-2020,82,False,699,47,False,263,211,False,310,2008,2024
24-02-2020,88,False,669,50,False,218,215,False,310,2008,2024
17-02-2020,88,False,669,59,False,173,351,False,130,2008,2024
10-02-2020,92,False,634,64,False,128,467,False,85,2008,2024
03-02-2020,89,False,634,50,False,128,755,False,40,2008,2024
20-01-2020,86,False,640,98,False,38,538,False,69,2008,2024
13-01-2020,86,False,616,355,True,6,538,False,69,2008,2024
06-01-2020,87,False,616,0,False,0,533,False,69,2008,2024
30-12-2019,89,False,616,0,False,0,540,False,69,2008,2024
23-12-2019,89,False,616,0,False,0,543,False,69,2008,2024
16-12-2019,89,False,616,0,False,0,544,False,69,2008,2024
09-12-2019,89,False,616,0,False,0,545,False,69,2008,2024
02-12-2019,89,False,616,0,False,0,544,False,69,2008,2024
25-11-2019,89,False,616,0,False,0,548,False,69,2008,2024
18-11-2019,89,False,616,0,False,0,548,False,69,2008,2024
11-11-2019,90,False,616,0,False,0,550,False,69,2008,2024
04-11-2019,88,False,616,88,False,616,549,False,69,2008,2024
28-10-2019,89,False,616,88,False,608,378,False,117,2008,2024
21-10-2019,97,False,565,101,False,536,374,False,117,2008,2024
14-10-2019,100,False,565,96,False,536,369,False,117,2008,2024
07-10-2019,106,False,528,102,False,491,423,False,92,2008,2024
30-09-2019,105,False,549,99,False,491,397,False,107,2008,2024
23-09-2019,108,False,528,102,False,470,393,False,107,2008,2024
16-09-2019,103,False,549,100,False,470,390,False,107,2008,2024
09-09-2019,101,False,551,99,False,470,388,False,107,2008,2024
26-08-2019,101,False,532,95,False,443,360,False,122,2008,2024
19-08-2019,100,False,532,95,False,443,356,False,122,2008,2024
12-08-2019,102,False,532,95,False,435,354,False,122,2008,2024
05-08-2019,106,False,532,92,False,427,357,False,122,2008,2024
29-07-2019,106,False,532,89,False,427,303,False,122,2008,2024
22-07-2019,91,False,612,91,False,415,300,False,122,2008,2024
15-07-2019,88,False,624,87,False,415,297,False,122,2008,2024
