rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,74,False,735,499,False,38,135,False,660,2009,2024
27-05-2024,74,False,735,609,False,20,133,False,660,2009,2024
20-05-2024,74,False,735,601,False,20,132,False,660,2009,2024
06-05-2024,76,False,735,733,False,10,99,False,840,2009,2024
22-04-2024,76,False,745,707,False,10,102,False,840,2009,2024
15-04-2024,76,False,745,698,False,10,104,False,840,2009,2024
08-04-2024,78,False,745,682,False,10,104,False,840,2009,2024
01-04-2024,76,False,745,660,False,10,105,False,840,2009,2024
18-03-2024,69,False,790,600,True,10,92,False,930,2009,2024
04-03-2024,68,False,815,561,True,10,78,False,1020,2009,2024
26-02-2024,61,False,895,533,True,10,74,False,1110,2009,2024
19-02-2024,61,False,895,506,True,10,75,False,1110,2009,2024
12-02-2024,49,False,975,483,True,10,76,False,1110,2009,2024
05-02-2024,48,False,975,462,True,10,74,False,1110,2009,2024
29-01-2024,48,False,975,427,True,10,74,False,1110,2009,2024
15-01-2024,42,False,1055,0,False,0,74,False,1110,2009,2024
08-01-2024,42,False,1055,0,False,0,74,False,1130,2009,2024
01-01-2024,41,False,1055,0,False,0,71,False,1220,2009,2024
25-12-2023,41,False,1055,0,False,0,71,False,1220,2009,2024
18-12-2023,41,False,1055,0,False,0,71,False,1220,2009,2024
11-12-2023,41,False,1055,0,False,0,71,False,1220,2009,2024
04-12-2023,41,False,1055,0,False,0,71,False,1220,2009,2024
27-11-2023,41,False,1055,0,False,0,71,False,1220,2009,2024
20-11-2023,41,False,1055,0,False,0,68,False,1220,2009,2024
13-11-2023,41,False,1055,41,False,1055,68,False,1220,2009,2024
06-11-2023,41,False,1055,41,False,1055,66,False,1220,2009,2024
30-10-2023,42,False,1030,42,False,1010,67,False,1220,2009,2024
23-10-2023,42,False,1030,39,False,1010,65,False,1220,2009,2024
16-10-2023,37,False,1075,41,False,985,64,False,1220,2009,2024
02-10-2023,38,False,1120,40,False,960,49,False,1720,2009,2024
25-09-2023,39,False,1145,40,False,960,50,False,1720,2009,2024
18-09-2023,39,False,1120,39,False,935,50,False,1630,2009,2024
11-09-2023,39,False,1120,39,False,935,50,False,1630,2009,2024
28-08-2023,40,False,1085,39,False,890,57,False,1450,2009,2024
21-08-2023,39,False,1085,38,False,890,58,False,1450,2009,2024
14-08-2023,43,False,1040,42,False,800,57,False,1450,2009,2024
07-08-2023,59,False,870,65,False,620,56,False,1450,2009,2024
31-07-2023,60,False,870,61,False,620,81,False,1150,2009,2024
24-07-2023,55,False,870,54,False,620,73,False,1240,2009,2024
17-07-2023,59,False,845,64,False,585,75,False,1240,2009,2024
03-07-2023,54,False,855,54,False,575,73,False,1240,2009,2024
26-06-2023,64,False,785,63,False,495,72,False,1240,2009,2024
19-06-2023,67,False,775,61,False,485,72,False,1240,2009,2024
12-06-2023,68,False,765,67,False,440,72,False,1240,2009,2024
29-05-2023,59,False,845,62,False,430,60,False,1375,2009,2024
22-05-2023,56,False,845,61,False,430,59,False,1375,2009,2024
08-05-2023,55,False,855,50,False,420,72,False,1195,2009,2024
24-04-2023,54,False,865,42,False,410,75,False,1195,2009,2024
17-04-2023,54,False,865,38,False,410,73,False,1195,2009,2024
10-04-2023,52,False,865,33,False,400,71,False,1195,2009,2024
03-04-2023,55,False,865,29,False,400,71,False,1195,2009,2024
20-03-2023,55,False,865,31,False,355,79,False,1105,2009,2024
06-03-2023,53,False,865,28,False,330,83,False,1015,2009,2024
27-02-2023,62,False,795,44,False,240,91,False,925,2009,2024
20-02-2023,49,False,865,37,False,240,92,False,925,2009,2024
13-02-2023,56,False,795,48,False,150,83,False,1015,2009,2024
06-02-2023,59,False,820,50,False,130,83,False,1015,2009,2024
30-01-2023,63,False,820,45,False,130,84,False,1015,2009,2024
