rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,299,False,185,171,False,165,0,False,0,2010,2024
27-05-2024,294,False,185,161,False,165,0,False,0,2010,2024
20-05-2024,294,False,185,159,False,165,0,False,0,2010,2024
06-05-2024,266,False,216,148,False,165,0,False,0,2010,2024
22-04-2024,257,False,229,134,False,165,0,False,0,2010,2024
15-04-2024,253,False,228,134,False,157,0,False,0,2010,2024
08-04-2024,252,False,228,126,False,157,0,False,0,2010,2024
01-04-2024,275,False,206,138,False,135,0,False,0,2010,2024
18-03-2024,266,False,213,136,False,117,0,False,0,2010,2024
04-03-2024,255,False,225,138,False,99,1352,True,16,2010,2024
26-02-2024,257,False,225,123,False,99,1353,True,16,2010,2024
19-02-2024,262,False,225,99,False,99,1356,True,16,2010,2024
12-02-2024,260,False,225,88,False,99,1344,True,16,2010,2024
05-02-2024,257,False,232,77,False,99,1342,True,16,2010,2024
29-01-2024,263,False,220,79,False,87,1025,False,32,2010,2024
15-01-2024,327,False,158,353,True,8,1027,False,32,2010,2024
08-01-2024,335,False,150,0,False,0,1027,False,32,2010,2024
01-01-2024,337,False,150,0,False,0,1024,False,32,2010,2024
25-12-2023,338,False,150,0,False,0,1025,False,32,2010,2024
18-12-2023,337,False,150,0,False,0,1027,False,32,2010,2024
11-12-2023,336,False,150,0,False,0,1022,False,32,2010,2024
04-12-2023,337,False,150,0,False,0,1020,False,32,2010,2024
27-11-2023,339,False,150,0,False,0,1018,False,32,2010,2024
20-11-2023,339,False,150,0,False,0,1016,False,32,2010,2024
13-11-2023,337,False,150,340,False,150,1013,False,32,2010,2024
06-11-2023,337,False,150,332,False,150,1020,False,32,2010,2024
30-10-2023,343,False,150,333,False,150,1020,False,32,2010,2024
23-10-2023,344,False,150,331,False,150,1019,False,32,2010,2024
16-10-2023,332,False,157,328,False,150,1026,False,32,2010,2024
02-10-2023,280,False,202,314,False,150,1024,False,32,2010,2024
25-09-2023,277,False,209,312,False,150,1021,True,32,2010,2024
18-09-2023,279,False,209,306,False,150,1023,True,32,2010,2024
11-09-2023,270,False,220,302,False,150,1016,True,32,2010,2024
28-08-2023,257,False,236,291,False,150,801,False,52,2010,2024
21-08-2023,258,False,236,285,False,150,794,False,52,2010,2024
14-08-2023,257,False,236,279,False,150,786,False,52,2010,2024
07-08-2023,258,False,236,274,False,150,783,False,52,2010,2024
31-07-2023,248,False,236,267,False,150,778,False,52,2010,2024
24-07-2023,246,False,236,258,False,150,780,False,52,2010,2024
17-07-2023,248,False,236,247,False,150,774,False,52,2010,2024
03-07-2023,251,False,232,235,False,146,775,False,52,2010,2024
26-06-2023,245,False,232,228,False,146,764,False,52,2010,2024
19-06-2023,250,False,225,227,False,139,770,False,52,2010,2024
12-06-2023,253,False,216,232,False,130,774,False,52,2010,2024
29-05-2023,247,False,232,217,False,130,626,False,77,2010,2024
22-05-2023,245,False,232,214,False,130,619,False,77,2010,2024
08-05-2023,265,False,201,241,False,99,622,False,77,2010,2024
