rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,86,False,679,143,False,212,986,False,36,2011,2024
27-05-2024,101,False,622,171,False,155,983,True,36,2011,2024
20-05-2024,99,False,622,170,False,155,981,True,36,2011,2024
06-05-2024,98,False,616,192,False,125,977,False,36,2011,2024
22-04-2024,100,False,616,176,False,125,981,False,36,2011,2024
15-04-2024,101,False,616,165,False,125,986,False,36,2011,2024
08-04-2024,100,False,616,158,False,125,989,False,36,2011,2024
01-04-2024,97,False,616,148,False,125,988,False,36,2011,2024
18-03-2024,102,False,608,135,False,117,986,False,36,2011,2024
04-03-2024,95,False,637,116,False,117,984,False,36,2011,2024
26-02-2024,96,False,612,131,False,92,983,False,36,2011,2024
19-02-2024,99,False,616,120,False,85,734,False,61,2011,2024
12-02-2024,101,False,616,108,False,85,737,False,61,2011,2024
05-02-2024,99,False,616,88,False,85,737,False,61,2011,2024
29-01-2024,92,False,636,81,False,85,744,False,61,2011,2024
15-01-2024,96,False,626,45,False,75,735,False,61,2011,2024
08-01-2024,98,False,626,34,False,75,733,False,61,2011,2024
01-01-2024,91,False,683,11,True,75,725,False,61,2011,2024
25-12-2023,91,False,683,11,True,75,724,False,61,2011,2024
18-12-2023,91,False,683,11,True,75,723,False,61,2011,2024
11-12-2023,91,False,683,11,True,75,723,False,61,2011,2024
04-12-2023,91,False,683,11,True,75,721,False,61,2011,2024
27-11-2023,90,False,683,5,True,75,715,False,61,2011,2024
20-11-2023,89,False,683,2,True,75,719,False,61,2011,2024
13-11-2023,100,False,616,100,False,624,715,False,61,2011,2024
06-11-2023,97,False,634,99,False,616,717,False,61,2011,2024
30-10-2023,105,False,584,103,False,584,716,False,61,2011,2024
23-10-2023,106,False,584,102,False,584,706,False,61,2011,2024
16-10-2023,127,False,482,120,False,482,710,False,61,2011,2024
02-10-2023,125,False,484,121,False,446,429,False,131,2011,2024
