rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,47,False,975,33,False,734,326,False,195,2012,2024
27-05-2024,48,False,995,31,False,684,274,False,240,2012,2024
20-05-2024,49,False,995,29,False,684,275,False,240,2012,2024
06-05-2024,51,False,937,32,False,584,254,False,256,2012,2024
22-04-2024,55,False,937,27,False,584,255,False,256,2012,2024
15-04-2024,57,False,897,26,False,534,253,False,256,2012,2024
08-04-2024,60,False,897,24,False,534,254,False,256,2012,2024
01-04-2024,77,False,741,41,False,369,258,False,256,2012,2024
18-03-2024,88,False,671,57,False,259,261,False,256,2012,2024
04-03-2024,89,False,687,51,False,259,224,False,316,2012,2024
26-02-2024,101,False,596,75,False,159,176,False,406,2012,2024
19-02-2024,95,False,632,65,False,159,177,False,406,2012,2024
12-02-2024,96,False,632,56,False,159,165,False,451,2012,2024
05-02-2024,97,False,632,43,False,159,158,False,496,2012,2024
29-01-2024,99,False,616,45,False,134,164,False,451,2012,2024
15-01-2024,109,False,576,37,False,84,164,False,451,2012,2024
08-01-2024,114,False,576,27,True,84,164,False,451,2012,2024
01-01-2024,106,False,612,8,True,84,151,False,496,2012,2024
25-12-2023,106,False,612,8,True,84,151,False,496,2012,2024
18-12-2023,106,False,612,8,True,84,151,False,496,2012,2024
11-12-2023,106,False,612,8,True,84,151,False,496,2012,2024
04-12-2023,106,False,612,8,True,84,151,False,496,2012,2024
27-11-2023,117,False,546,119,True,9,152,False,496,2012,2024
20-11-2023,114,False,546,0,False,0,152,False,496,2012,2024
13-11-2023,115,False,546,116,False,546,152,False,496,2012,2024
06-11-2023,115,False,546,114,False,546,153,False,496,2012,2024
30-10-2023,114,False,546,115,False,537,155,False,496,2012,2024
23-10-2023,136,False,453,133,False,446,155,False,496,2012,2024
16-10-2023,136,False,449,129,False,442,156,False,496,2012,2024
02-10-2023,116,False,519,129,False,429,141,False,586,2012,2024
25-09-2023,116,False,519,127,False,429,142,False,586,2012,2024
18-09-2023,118,False,519,124,False,429,143,False,586,2012,2024
11-09-2023,118,False,519,119,False,429,141,False,586,2012,2024
28-08-2023,132,False,468,129,False,368,164,False,461,2012,2024
21-08-2023,131,False,468,129,False,368,167,False,461,2012,2024
14-08-2023,135,False,468,125,False,368,165,False,461,2012,2024
07-08-2023,131,False,478,122,False,361,166,False,461,2012,2024
31-07-2023,133,False,458,118,False,348,169,False,461,2012,2024
24-07-2023,130,False,503,115,False,348,121,False,711,2012,2024
17-07-2023,127,False,512,120,False,312,115,False,756,2012,2024
03-07-2023,122,False,505,118,False,294,120,False,731,2012,2024
26-06-2023,122,False,505,117,False,294,116,False,731,2012,2024
19-06-2023,121,False,518,117,False,287,114,False,731,2012,2024
12-06-2023,120,False,518,114,False,287,115,False,731,2012,2024
29-05-2023,135,False,448,140,False,207,126,False,686,2012,2024
22-05-2023,135,False,448,137,False,207,126,False,686,2012,2024
08-05-2023,142,False,416,163,False,165,129,False,670,2012,2024
24-04-2023,139,False,426,144,False,165,116,False,760,2012,2024
17-04-2023,136,False,426,131,False,165,101,False,850,2012,2024
10-04-2023,127,False,471,122,False,165,99,False,850,2012,2024
03-04-2023,125,False,471,112,False,165,101,False,850,2012,2024
20-03-2023,121,False,476,133,False,125,92,False,940,2012,2024
06-03-2023,120,False,476,137,False,100,99,False,880,2012,2024
27-02-2023,117,False,476,122,False,100,106,False,790,2012,2024
20-02-2023,76,False,681,192,False,55,104,False,790,2012,2024
13-02-2023,73,False,726,171,False,55,96,False,880,2012,2024
06-02-2023,72,False,746,147,True,55,102,False,835,2012,2024
30-01-2023,72,False,766,131,True,55,102,False,835,2012,2024
16-01-2023,60,False,801,95,True,45,85,False,1015,2012,2024
09-01-2023,58,False,810,74,True,45,82,False,1015,2012,2024
02-01-2023,62,False,776,0,False,0,81,False,1060,2012,2024
26-12-2022,62,False,776,0,False,0,81,False,1060,2012,2024
19-12-2022,62,False,776,0,False,0,81,False,1060,2012,2024
12-12-2022,62,False,776,0,False,0,81,False,1060,2012,2024
05-12-2022,62,False,776,0,False,0,81,False,1060,2012,2024
28-11-2022,62,False,776,0,False,0,81,False,1060,2012,2024
21-11-2022,62,False,776,0,False,0,78,False,1060,2012,2024
14-11-2022,62,False,776,0,False,0,78,False,1060,2012,2024
07-11-2022,61,False,785,61,False,785,74,False,1105,2012,2024
31-10-2022,60,False,785,61,False,765,77,False,1105,2012,2024
24-10-2022,61,False,785,60,False,765,77,False,1105,2012,2024
17-10-2022,59,False,810,57,False,765,68,False,1195,2012,2024
10-10-2022,60,False,815,57,False,765,71,False,1195,2012,2024
03-10-2022,68,False,745,66,False,695,76,False,1105,2012,2024
26-09-2022,67,False,745,63,False,695,74,False,1105,2012,2024
19-09-2022,68,False,745,59,False,695,75,False,1105,2012,2024
12-09-2022,67,False,745,58,False,695,76,False,1105,2012,2024
29-08-2022,54,False,850,57,False,685,74,False,1122,2012,2024
22-08-2022,54,False,850,55,False,685,75,False,1122,2012,2024
15-08-2022,53,False,850,53,False,665,74,False,1122,2012,2024
08-08-2022,53,False,860,51,False,655,76,False,1122,2012,2024
01-08-2022,52,False,860,48,False,655,76,False,1122,2012,2024
25-07-2022,49,False,965,51,False,610,91,False,971,2012,2024
18-07-2022,52,False,940,52,False,585,89,False,1016,2012,2024
11-07-2022,51,False,940,50,False,585,88,False,1016,2012,2024
27-06-2022,50,False,1010,52,False,565,91,False,1016,2012,2024
20-06-2022,49,False,1010,50,False,565,90,False,1016,2012,2024
13-06-2022,49,False,1010,46,False,565,90,False,1024,2012,2024
06-06-2022,45,False,1048,41,False,565,55,False,1744,2012,2024
23-05-2022,43,False,1070,38,False,555,51,False,1772,2012,2024
16-05-2022,43,False,1070,35,False,555,51,False,1772,2012,2024
09-05-2022,40,False,1095,35,False,545,53,False,1772,2012,2024
02-05-2022,44,False,1105,31,False,535,55,False,1682,2012,2024
25-04-2022,42,False,1117,28,False,535,55,False,1682,2012,2024
18-04-2022,43,False,1117,26,False,535,58,False,1592,2012,2024
11-04-2022,45,False,1098,24,False,470,58,False,1600,2012,2024
04-04-2022,46,False,1098,24,False,470,57,False,1600,2012,2024
21-03-2022,47,False,1077,21,False,425,61,False,1534,2012,2024
07-03-2022,49,False,1072,21,False,400,64,False,1534,2012,2024
28-02-2022,50,False,1072,21,False,400,64,False,1534,2012,2024
21-02-2022,72,False,867,61,False,150,64,False,1534,2012,2024
14-02-2022,62,False,1002,68,False,105,71,False,1399,2012,2024
07-02-2022,61,False,1014,73,False,85,73,False,1399,2012,2024
31-01-2022,61,False,1026,72,False,65,72,False,1464,2012,2024
17-01-2022,61,False,1001,81,True,20,80,False,1284,2012,2024
10-01-2022,61,False,1001,0,False,0,83,False,1284,2012,2024
03-01-2022,60,False,1001,0,False,0,88,False,1194,2012,2024
27-12-2021,60,False,1001,66,False,757,88,False,1194,2012,2024
20-12-2021,60,False,1001,66,False,757,88,False,1194,2012,2024
13-12-2021,60,False,1001,66,False,757,88,False,1194,2012,2024
06-12-2021,60,False,1001,66,False,757,88,False,1194,2012,2024
29-11-2021,60,False,1001,66,False,757,88,False,1194,2012,2024
22-11-2021,60,False,1001,65,False,757,88,False,1194,2012,2024
15-11-2021,60,False,1001,64,False,757,87,False,1194,2012,2024
08-11-2021,62,False,996,64,False,737,91,False,1149,2012,2024
01-11-2021,64,False,996,59,False,737,92,False,1149,2012,2024
25-10-2021,58,False,1061,58,False,737,87,False,1229,2012,2024
18-10-2021,61,False,1031,64,False,692,97,False,1139,2012,2024
04-10-2021,61,False,1054,63,False,667,94,False,1193,2012,2024
27-09-2021,60,False,1054,61,False,655,92,False,1208,2012,2024
20-09-2021,59,False,1054,59,False,655,89,False,1256,2012,2024
13-09-2021,59,False,1054,59,False,655,88,False,1285,2012,2024
30-08-2021,75,False,950,67,False,520,87,False,1358,2012,2024
23-08-2021,73,False,950,66,False,520,87,False,1358,2012,2024
16-08-2021,77,False,951,65,False,520,89,False,1358,2012,2024
09-08-2021,76,False,951,64,False,520,88,False,1358,2012,2024
02-08-2021,76,False,951,62,False,520,88,False,1358,2012,2024
26-07-2021,97,False,816,82,False,370,91,False,1277,2012,2024
