rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,78,False,710,79,False,400,333,False,192,2013,2024
27-05-2024,90,False,670,79,False,350,329,False,192,2013,2024
20-05-2024,90,False,656,83,False,325,329,False,192,2013,2024
06-05-2024,109,False,577,122,False,205,330,False,192,2013,2024
22-04-2024,109,False,574,119,False,192,383,False,160,2013,2024
15-04-2024,110,False,560,125,False,167,377,False,160,2013,2024
08-04-2024,112,False,554,133,False,151,377,False,160,2013,2024
01-04-2024,86,False,694,117,False,151,378,False,160,2013,2024
18-03-2024,85,False,709,107,False,141,379,False,160,2013,2024
04-03-2024,88,False,689,120,False,111,379,False,160,2013,2024
26-02-2024,81,False,729,110,False,111,376,False,160,2013,2024
19-02-2024,75,False,773,100,False,98,376,False,160,2013,2024
12-02-2024,73,False,773,89,False,98,338,False,185,2013,2024
05-02-2024,72,False,773,78,False,98,332,False,185,2013,2024
29-01-2024,71,False,768,96,False,73,411,False,140,2013,2024
15-01-2024,73,False,774,53,False,63,837,False,50,2013,2024
08-01-2024,79,False,711,0,False,0,834,False,50,2013,2024
01-01-2024,81,False,714,0,False,0,833,False,50,2013,2024
25-12-2023,81,False,714,0,False,0,834,False,50,2013,2024
18-12-2023,81,False,714,0,False,0,832,False,50,2013,2024
11-12-2023,81,False,714,0,False,0,828,False,50,2013,2024
04-12-2023,81,False,714,0,False,0,820,False,50,2013,2024
27-11-2023,82,False,714,0,False,0,809,False,50,2013,2024
20-11-2023,82,False,714,0,False,0,814,False,50,2013,2024
13-11-2023,84,False,714,84,False,714,809,False,50,2013,2024
06-11-2023,84,False,700,82,False,700,813,False,50,2013,2024
30-10-2023,83,False,711,82,False,700,810,False,50,2013,2024
23-10-2023,84,False,701,79,False,690,814,False,50,2013,2024
16-10-2023,85,False,698,75,False,690,807,False,50,2013,2024
02-10-2023,81,False,726,73,False,680,811,False,50,2013,2024
25-09-2023,80,False,731,73,False,680,812,False,50,2013,2024
18-09-2023,84,False,722,72,False,668,816,False,50,2013,2024
11-09-2023,83,False,722,72,False,668,814,False,50,2013,2024
28-08-2023,84,False,697,71,False,628,822,False,50,2013,2024
