rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,295,False,189,154,False,189,1545,True,11,2013,2024
27-05-2024,290,False,187,141,False,187,1548,True,11,2013,2024
20-05-2024,351,False,143,179,False,143,1546,True,11,2013,2024
06-05-2024,357,False,143,167,False,143,1535,True,11,2013,2024
22-04-2024,359,False,143,155,False,143,1533,True,11,2013,2024
15-04-2024,354,False,142,147,False,142,2090,True,3,2013,2024
08-04-2024,406,False,117,165,False,117,2084,True,3,2013,2024
01-04-2024,405,False,117,157,False,117,2082,True,3,2013,2024
18-03-2024,399,False,117,137,False,117,2069,True,3,2013,2024
04-03-2024,440,False,100,136,False,100,2071,True,3,2013,2024
26-02-2024,652,False,50,218,False,50,2076,True,3,2013,2024
19-02-2024,650,False,50,194,False,50,2015,True,3,2013,2024
12-02-2024,801,False,25,302,True,25,0,False,0,2013,2024
05-02-2024,802,False,25,283,False,25,0,False,0,2013,2024
29-01-2024,807,False,25,261,False,25,0,False,0,2013,2024
15-01-2024,944,False,15,258,True,15,0,False,0,2013,2024
08-01-2024,0,False,0,0,False,0,0,False,0,2013,2024
06-11-2023,0,False,0,0,False,0,0,False,0,2013,2024
30-10-2023,0,False,0,0,False,0,0,False,0,2013,2024
23-10-2023,0,False,0,0,False,0,0,False,0,2013,2024
16-10-2023,382,False,125,0,False,0,0,False,0,2013,2024
02-10-2023,274,False,210,0,False,0,0,False,0,2013,2024
25-09-2023,241,False,255,0,False,0,0,False,0,2013,2024
18-09-2023,238,False,255,0,False,0,0,False,0,2013,2024
11-09-2023,240,False,255,0,False,0,0,False,0,2013,2024
28-08-2023,239,False,265,0,False,0,0,False,0,2013,2024
21-08-2023,239,False,265,0,False,0,0,False,0,2013,2024
14-08-2023,234,False,265,0,False,0,0,False,0,2013,2024
07-08-2023,232,False,265,0,False,0,0,False,0,2013,2024
31-07-2023,230,False,265,0,False,0,0,False,0,2013,2024
24-07-2023,223,False,265,0,False,0,0,False,0,2013,2024
17-07-2023,224,False,265,0,False,0,0,False,0,2013,2024
03-07-2023,220,False,265,0,False,0,0,False,0,2013,2024
26-06-2023,218,False,265,0,False,0,0,False,0,2013,2024
19-06-2023,218,False,265,0,False,0,0,False,0,2013,2024
12-06-2023,218,False,265,0,False,0,0,False,0,2013,2024
29-05-2023,203,False,295,0,False,0,0,False,0,2013,2024
22-05-2023,203,False,295,0,False,0,0,False,0,2013,2024
08-05-2023,166,False,356,0,False,0,0,False,0,2013,2024
24-04-2023,168,False,356,0,False,0,0,False,0,2013,2024
17-04-2023,166,False,356,0,False,0,0,False,0,2013,2024
10-04-2023,157,False,372,0,False,0,0,False,0,2013,2024
03-04-2023,160,False,372,0,False,0,0,False,0,2013,2024
20-03-2023,147,False,397,0,False,0,0,False,0,2013,2024
06-03-2023,138,False,433,0,False,0,0,False,0,2013,2024
27-02-2023,132,False,433,0,False,0,0,False,0,2013,2024
