rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,60,False,850,53,False,510,879,True,45,2014,2024
27-05-2024,64,False,810,54,False,460,431,True,135,2014,2024
20-05-2024,63,False,810,52,False,460,435,True,135,2014,2024
06-05-2024,68,False,805,52,False,430,433,True,135,2014,2024
22-04-2024,73,False,785,72,False,317,434,True,135,2014,2024
15-04-2024,73,False,770,71,False,292,434,False,135,2014,2024
08-04-2024,72,False,775,77,False,252,430,False,135,2014,2024
01-04-2024,73,False,770,75,False,227,428,True,135,2014,2024
18-03-2024,72,False,776,69,False,217,425,False,135,2014,2024
04-03-2024,75,False,776,63,False,207,430,False,135,2014,2024
26-02-2024,70,False,816,77,False,157,291,False,225,2014,2024
19-02-2024,73,False,776,93,False,107,293,False,225,2014,2024
12-02-2024,71,False,786,79,False,107,292,False,225,2014,2024
05-02-2024,74,False,746,133,False,57,287,False,225,2014,2024
29-01-2024,75,False,746,123,False,57,282,False,225,2014,2024
15-01-2024,82,False,706,386,True,7,279,False,225,2014,2024
08-01-2024,83,False,706,0,False,0,279,False,225,2014,2024
01-01-2024,86,False,706,0,False,0,250,False,270,2014,2024
25-12-2023,86,False,706,0,False,0,250,False,270,2014,2024
18-12-2023,86,False,706,0,False,0,250,False,270,2014,2024
11-12-2023,86,False,706,0,False,0,250,False,270,2014,2024
04-12-2023,86,False,706,0,False,0,249,False,270,2014,2024
27-11-2023,87,False,706,0,False,0,248,False,270,2014,2024
20-11-2023,85,False,706,0,False,0,252,False,270,2014,2024
13-11-2023,86,False,706,86,False,706,252,False,270,2014,2024
06-11-2023,89,False,691,87,False,691,254,False,270,2014,2024
30-10-2023,87,False,691,86,False,681,253,False,270,2014,2024
23-10-2023,86,False,691,83,False,681,253,False,270,2014,2024
16-10-2023,83,False,701,79,False,681,248,False,270,2014,2024
02-10-2023,82,False,721,76,False,656,254,False,270,2014,2024
25-09-2023,79,False,731,75,False,656,255,False,270,2014,2024
18-09-2023,83,False,731,75,False,656,256,False,270,2014,2024
11-09-2023,85,False,716,75,False,641,258,False,270,2014,2024
28-08-2023,82,False,716,69,False,631,206,False,360,2014,2024
21-08-2023,81,False,726,69,False,631,205,False,360,2014,2024
14-08-2023,80,False,745,69,False,621,206,False,360,2014,2024
07-08-2023,80,False,745,68,False,611,206,False,360,2014,2024
31-07-2023,91,False,636,86,False,496,203,False,360,2014,2024
24-07-2023,104,False,605,90,False,461,199,False,360,2014,2024
17-07-2023,110,False,595,91,False,426,182,False,405,2014,2024
03-07-2023,109,False,570,91,False,381,186,False,405,2014,2024
26-06-2023,108,False,570,89,False,381,184,False,405,2014,2024
19-06-2023,108,False,570,87,False,381,165,False,450,2014,2024
12-06-2023,108,False,561,85,False,356,164,False,450,2014,2024
29-05-2023,81,False,725,84,False,321,196,False,360,2014,2024
22-05-2023,77,False,725,83,False,321,195,False,360,2014,2024
08-05-2023,75,False,740,78,False,311,201,False,360,2014,2024
24-04-2023,88,False,666,102,False,221,201,False,360,2014,2024
17-04-2023,83,False,695,94,False,221,199,False,360,2014,2024
10-04-2023,83,False,685,115,False,176,198,False,360,2014,2024
03-04-2023,83,False,675,120,False,156,195,False,360,2014,2024
20-03-2023,66,False,796,130,False,130,194,False,360,2014,2024
06-03-2023,58,False,847,115,False,120,198,False,360,2014,2024
27-02-2023,66,False,777,341,True,30,237,False,270,2014,2024
20-02-2023,66,False,777,316,True,30,212,False,315,2014,2024
13-02-2023,67,False,777,510,True,10,239,False,270,2014,2024
06-02-2023,65,False,777,493,True,10,207,False,315,2014,2024
30-01-2023,67,False,777,453,True,10,179,False,405,2014,2024
16-01-2023,64,False,777,0,False,0,177,False,405,2014,2024
09-01-2023,62,False,777,0,False,0,177,False,405,2014,2024
02-01-2023,58,False,802,0,False,0,189,False,380,2014,2024
26-12-2022,58,False,802,0,False,0,189,False,380,2014,2024
19-12-2022,58,False,802,0,False,0,189,False,380,2014,2024
12-12-2022,58,False,802,0,False,0,191,False,380,2014,2024
05-12-2022,58,False,802,0,False,0,192,False,380,2014,2024
28-11-2022,58,False,802,0,False,0,191,False,380,2014,2024
21-11-2022,57,False,830,0,False,0,187,False,380,2014,2024
14-11-2022,57,False,830,0,False,0,188,False,380,2014,2024
07-11-2022,57,False,839,57,False,839,186,False,380,2014,2024
31-10-2022,56,False,839,55,False,819,189,False,380,2014,2024
24-10-2022,57,False,839,55,False,819,186,False,380,2014,2024
17-10-2022,55,False,839,55,False,819,181,False,380,2014,2024
10-10-2022,57,False,839,53,False,819,182,False,380,2014,2024
03-10-2022,58,False,814,55,False,794,175,False,380,2014,2024
26-09-2022,59,False,814,52,False,794,175,False,380,2014,2024
19-09-2022,56,False,814,49,False,794,158,False,425,2014,2024
12-09-2022,57,False,814,49,False,794,159,False,425,2014,2024
29-08-2022,57,False,824,46,False,784,197,False,335,2014,2024
22-08-2022,57,False,824,45,False,784,197,False,335,2014,2024
15-08-2022,57,False,809,45,False,749,198,False,335,2014,2024
08-08-2022,56,False,809,45,False,729,198,False,335,2014,2024
01-08-2022,57,False,809,43,False,729,195,False,335,2014,2024
25-07-2022,59,False,809,43,False,709,201,False,335,2014,2024
18-07-2022,63,False,780,43,False,684,215,False,313,2014,2024
11-07-2022,68,False,780,41,False,684,206,False,336,2014,2024
