rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,249,False,243,382,False,61,0,False,0,2014,2024
27-05-2024,212,False,288,360,False,61,0,False,0,2014,2024
20-05-2024,216,False,288,352,False,61,0,False,0,2014,2024
06-05-2024,210,False,291,417,False,39,0,False,0,2014,2024
22-04-2024,192,False,316,394,False,39,0,False,0,2014,2024
15-04-2024,160,False,406,373,False,39,0,False,0,2014,2024
08-04-2024,157,False,406,362,False,39,0,False,0,2014,2024
01-04-2024,162,False,406,335,False,39,0,False,0,2014,2024
18-03-2024,147,False,451,308,False,39,0,False,0,2014,2024
04-03-2024,130,False,486,339,False,29,0,False,0,2014,2024
26-02-2024,135,False,473,430,True,16,0,False,0,2014,2024
19-02-2024,127,False,518,410,True,16,0,False,0,2014,2024
12-02-2024,122,False,518,389,True,16,0,False,0,2014,2024
05-02-2024,122,False,518,365,True,16,0,False,0,2014,2024
29-01-2024,122,False,518,334,True,16,0,False,0,2014,2024
15-01-2024,116,False,547,0,False,0,339,True,180,2014,2024
08-01-2024,118,False,547,0,False,0,340,True,180,2014,2024
01-01-2024,119,False,547,0,False,0,337,True,180,2014,2024
25-12-2023,119,False,547,0,False,0,337,True,180,2014,2024
18-12-2023,119,False,547,0,False,0,337,True,180,2014,2024
11-12-2023,119,False,547,0,False,0,336,True,180,2014,2024
04-12-2023,119,False,547,0,False,0,333,True,180,2014,2024
27-11-2023,116,False,547,0,False,0,330,True,180,2014,2024
20-11-2023,113,False,547,0,False,0,328,True,180,2014,2024
13-11-2023,114,False,547,115,False,547,329,True,180,2014,2024
06-11-2023,118,False,536,118,False,536,333,True,180,2014,2024
30-10-2023,119,False,530,117,False,520,334,True,180,2014,2024
23-10-2023,108,False,575,114,False,520,331,True,180,2014,2024
16-10-2023,115,False,530,121,False,475,331,False,180,2014,2024
02-10-2023,113,False,530,114,False,475,333,False,180,2014,2024
25-09-2023,113,False,530,111,False,475,331,False,180,2014,2024
18-09-2023,113,False,530,109,False,475,332,False,180,2014,2024
11-09-2023,113,False,530,108,False,475,329,False,180,2014,2024
28-08-2023,115,False,530,99,False,465,327,False,180,2014,2024
21-08-2023,117,False,530,99,False,465,326,False,180,2014,2024
14-08-2023,115,False,540,97,False,465,323,False,180,2014,2024
07-08-2023,113,False,576,95,False,456,324,False,180,2014,2024
31-07-2023,120,False,531,100,False,411,322,False,180,2014,2024
24-07-2023,118,False,551,98,False,411,325,False,180,2014,2024
17-07-2023,81,False,731,94,False,411,317,False,180,2014,2024
03-07-2023,83,False,721,86,False,401,319,False,180,2014,2024
26-06-2023,81,False,721,85,False,401,317,False,180,2014,2024
19-06-2023,73,False,741,80,False,401,315,False,180,2014,2024
12-06-2023,80,False,705,83,False,365,316,False,180,2014,2024
29-05-2023,86,False,705,85,False,320,320,False,180,2014,2024
22-05-2023,83,False,705,84,False,320,320,False,180,2014,2024
08-05-2023,59,False,830,86,False,295,323,False,180,2014,2024
