rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,128,False,503,141,False,219,500,False,107,2015,2024
27-05-2024,137,False,490,150,False,179,508,False,107,2015,2024
20-05-2024,136,False,490,148,False,179,508,False,107,2015,2024
06-05-2024,132,False,487,169,False,138,507,False,107,2015,2024
22-04-2024,128,False,476,182,False,119,639,False,75,2015,2024
15-04-2024,131,False,476,169,False,119,648,False,75,2015,2024
08-04-2024,130,False,476,163,False,119,650,False,75,2015,2024
01-04-2024,130,False,476,155,False,119,651,False,75,2015,2024
18-03-2024,134,False,484,164,False,97,652,False,75,2015,2024
04-03-2024,132,False,484,139,False,97,649,False,75,2015,2024
26-02-2024,130,False,484,125,False,97,637,False,75,2015,2024
19-02-2024,153,False,416,353,False,22,645,False,75,2015,2024
12-02-2024,151,False,416,409,False,15,654,False,75,2015,2024
05-02-2024,153,False,416,384,False,15,655,False,75,2015,2024
29-01-2024,153,False,416,359,False,15,662,False,75,2015,2024
15-01-2024,150,False,414,0,False,0,1062,True,30,2015,2024
08-01-2024,153,False,414,0,False,0,1062,True,30,2015,2024
01-01-2024,148,False,423,0,False,0,1061,False,30,2015,2024
25-12-2023,148,False,423,0,False,0,1063,False,30,2015,2024
18-12-2023,148,False,423,0,False,0,1059,False,30,2015,2024
11-12-2023,148,False,423,0,False,0,1058,False,30,2015,2024
04-12-2023,148,False,423,0,False,0,1054,False,30,2015,2024
27-11-2023,146,False,423,0,False,0,1053,False,30,2015,2024
20-11-2023,149,False,423,0,False,0,1051,False,30,2015,2024
13-11-2023,139,False,446,135,False,476,623,False,80,2015,2024
06-11-2023,135,False,446,132,False,446,617,False,80,2015,2024
30-10-2023,147,False,423,142,False,416,614,False,80,2015,2024
23-10-2023,144,False,432,141,False,416,622,False,80,2015,2024
16-10-2023,142,False,432,137,False,416,624,False,80,2015,2024
02-10-2023,143,False,430,131,False,407,620,False,80,2015,2024
25-09-2023,142,False,430,130,False,407,629,False,80,2015,2024
18-09-2023,144,False,430,127,False,407,627,False,80,2015,2024
11-09-2023,142,False,430,124,False,407,631,False,80,2015,2024
28-08-2023,168,False,369,140,False,337,631,False,80,2015,2024
21-08-2023,170,False,369,139,False,337,620,False,80,2015,2024
14-08-2023,166,False,369,138,False,330,619,False,80,2015,2024
07-08-2023,168,False,350,143,False,305,619,False,80,2015,2024
31-07-2023,177,False,336,144,False,292,614,False,80,2015,2024
24-07-2023,176,False,336,136,False,292,620,False,80,2015,2024
17-07-2023,168,False,350,128,False,292,657,False,70,2015,2024
03-07-2023,134,False,453,128,False,276,572,False,90,2015,2024
26-06-2023,134,False,453,125,False,276,560,False,90,2015,2024
19-06-2023,129,False,463,123,False,276,560,False,90,2015,2024
12-06-2023,156,False,370,183,False,182,559,False,90,2015,2024
