rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,70,False,750,45,False,580,240,False,270,2016,2024
27-05-2024,84,False,700,47,False,525,262,False,245,2016,2024
20-05-2024,68,False,765,43,False,525,261,False,245,2016,2024
06-05-2024,72,False,760,43,False,495,264,False,245,2016,2024
22-04-2024,81,False,725,39,False,465,264,False,245,2016,2024
15-04-2024,87,False,695,39,False,421,264,False,245,2016,2024
08-04-2024,88,False,695,37,False,421,266,False,245,2016,2024
01-04-2024,92,False,655,39,False,371,270,False,245,2016,2024
18-03-2024,92,False,650,38,False,341,270,False,245,2016,2024
04-03-2024,93,False,645,38,False,311,273,False,245,2016,2024
26-02-2024,89,False,670,30,False,311,272,False,245,2016,2024
19-02-2024,90,False,655,28,False,276,469,False,120,2016,2024
12-02-2024,92,False,655,24,False,270,470,False,120,2016,2024
05-02-2024,91,False,655,19,False,270,465,False,120,2016,2024
29-01-2024,96,False,625,19,False,220,469,False,120,2016,2024
15-01-2024,127,False,510,35,False,85,466,False,120,2016,2024
08-01-2024,128,False,510,26,False,85,467,False,120,2016,2024
01-01-2024,134,False,484,30,True,50,465,False,120,2016,2024
25-12-2023,134,False,484,33,False,50,465,False,120,2016,2024
18-12-2023,134,False,484,33,False,50,465,False,120,2016,2024
11-12-2023,134,False,484,32,False,50,465,False,120,2016,2024
04-12-2023,134,False,484,31,False,50,463,False,120,2016,2024
27-11-2023,133,False,484,17,False,50,463,False,120,2016,2024
20-11-2023,133,False,484,10,False,50,465,False,120,2016,2024
13-11-2023,143,False,434,145,False,434,461,False,120,2016,2024
06-11-2023,139,False,434,137,False,434,465,False,120,2016,2024
30-10-2023,151,False,414,147,False,404,847,True,45,2016,2024
23-10-2023,139,False,450,151,False,395,848,True,45,2016,2024
16-10-2023,134,False,450,148,False,395,847,True,45,2016,2024
02-10-2023,122,False,495,153,False,350,411,False,135,2016,2024
25-09-2023,123,False,495,151,False,350,417,False,135,2016,2024
18-09-2023,81,False,735,148,False,350,408,False,135,2016,2024
11-09-2023,80,False,735,147,False,350,399,False,135,2016,2024
28-08-2023,68,False,815,138,False,340,403,False,135,2016,2024
21-08-2023,72,False,795,149,False,320,398,False,135,2016,2024
14-08-2023,73,False,805,143,False,320,399,False,135,2016,2024
07-08-2023,74,False,805,140,False,310,402,False,135,2016,2024
31-07-2023,70,False,830,147,False,290,405,False,135,2016,2024
24-07-2023,58,False,855,149,False,270,407,False,135,2016,2024
17-07-2023,57,False,855,140,False,270,400,False,135,2016,2024
03-07-2023,55,False,855,135,False,260,408,False,135,2016,2024
26-06-2023,51,False,855,133,False,260,397,False,135,2016,2024
19-06-2023,54,False,842,161,False,215,396,False,135,2016,2024
12-06-2023,54,False,842,153,False,215,544,True,90,2016,2024
29-05-2023,45,False,957,143,False,205,458,False,115,2016,2024
22-05-2023,52,False,877,234,False,115,456,False,115,2016,2024
08-05-2023,47,False,902,229,False,105,468,False,115,2016,2024
24-04-2023,44,False,927,213,False,105,469,False,115,2016,2024
17-04-2023,43,False,927,200,False,105,465,False,115,2016,2024
10-04-2023,44,False,927,186,False,105,464,False,115,2016,2024
03-04-2023,44,False,927,174,False,105,461,False,115,2016,2024
20-03-2023,45,False,927,191,False,80,457,False,115,2016,2024
06-03-2023,48,False,927,232,False,55,449,False,115,2016,2024
27-02-2023,49,False,902,562,False,10,450,False,115,2016,2024
20-02-2023,46,False,902,539,False,10,443,False,115,2016,2024
13-02-2023,46,False,902,507,True,10,445,False,115,2016,2024
06-02-2023,46,False,902,486,True,10,353,False,160,2016,2024
30-01-2023,50,False,902,445,True,10,353,False,160,2016,2024
16-01-2023,49,False,902,0,False,0,354,False,160,2016,2024
09-01-2023,47,False,927,0,False,0,354,False,160,2016,2024
02-01-2023,47,False,927,0,False,0,356,False,160,2016,2024
26-12-2022,47,False,927,0,False,0,356,False,160,2016,2024
19-12-2022,47,False,927,0,False,0,354,False,160,2016,2024
12-12-2022,47,False,927,0,False,0,357,False,160,2016,2024
05-12-2022,47,False,927,0,False,0,357,False,160,2016,2024
28-11-2022,47,False,927,0,False,0,359,False,160,2016,2024
21-11-2022,47,False,927,0,False,0,358,False,160,2016,2024
14-11-2022,48,False,927,0,False,0,354,False,160,2016,2024
07-11-2022,49,False,927,49,False,927,356,False,160,2016,2024
31-10-2022,50,False,937,49,False,917,358,False,160,2016,2024
24-10-2022,44,False,982,49,False,892,328,False,177,2016,2024
17-10-2022,43,False,1019,49,False,892,316,False,177,2016,2024
10-10-2022,46,False,999,48,False,867,318,False,177,2016,2024
03-10-2022,47,False,974,51,False,842,552,False,87,2016,2024
26-09-2022,48,False,974,49,False,842,400,False,132,2016,2024
19-09-2022,69,False,744,73,False,592,404,False,132,2016,2024
12-09-2022,68,False,744,72,False,592,412,False,132,2016,2024
29-08-2022,69,False,699,82,False,502,402,False,132,2016,2024
22-08-2022,69,False,699,81,False,502,401,False,132,2016,2024
15-08-2022,66,False,709,78,False,492,401,False,132,2016,2024
08-08-2022,63,False,719,78,False,482,401,False,132,2016,2024
01-08-2022,61,False,719,83,False,437,403,False,132,2016,2024
25-07-2022,56,False,824,92,False,392,406,False,132,2016,2024
18-07-2022,49,False,954,91,False,392,403,False,132,2016,2024
11-07-2022,49,False,954,88,False,392,409,False,132,2016,2024
27-06-2022,56,False,969,86,False,392,417,False,132,2016,2024
20-06-2022,54,False,957,92,False,360,417,False,132,2016,2024
13-06-2022,54,False,957,90,False,360,347,False,177,2016,2024
06-06-2022,64,False,932,95,False,315,425,False,132,2016,2024
23-05-2022,75,False,827,126,False,200,481,False,107,2016,2024
16-05-2022,74,False,837,124,False,200,480,False,107,2016,2024
09-05-2022,76,False,810,138,False,165,476,False,107,2016,2024
02-05-2022,74,False,810,133,False,165,475,False,107,2016,2024
25-04-2022,76,False,810,128,False,165,476,False,107,2016,2024
18-04-2022,81,False,790,135,False,145,477,False,107,2016,2024
