rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,73,False,742,69,False,426,1396,True,16,2018,2024
27-05-2024,72,False,748,64,False,416,1396,True,16,2018,2024
20-05-2024,70,False,748,61,False,416,1402,True,16,2018,2024
06-05-2024,81,False,718,65,False,386,1397,True,16,2018,2024
22-04-2024,84,False,718,56,False,386,1397,True,16,2018,2024
15-04-2024,81,False,718,48,False,386,1400,True,16,2018,2024
08-04-2024,76,False,748,50,False,346,1399,True,16,2018,2024
01-04-2024,75,False,748,47,False,346,1401,True,16,2018,2024
18-03-2024,96,False,623,68,False,221,739,False,61,2018,2024
04-03-2024,123,False,513,121,False,111,743,False,61,2018,2024
26-02-2024,106,False,573,111,False,111,736,False,61,2018,2024
19-02-2024,106,False,593,89,False,111,740,False,61,2018,2024
12-02-2024,108,False,586,81,False,104,622,False,81,2018,2024
05-02-2024,114,False,548,141,False,54,621,True,81,2018,2024
29-01-2024,114,False,548,133,False,54,628,False,81,2018,2024
15-01-2024,117,False,540,90,False,46,628,False,81,2018,2024
08-01-2024,119,False,540,64,False,46,627,False,81,2018,2024
01-01-2024,118,False,549,37,False,46,631,False,81,2018,2024
25-12-2023,118,False,549,36,False,46,631,False,81,2018,2024
18-12-2023,118,False,549,36,False,46,630,False,81,2018,2024
11-12-2023,118,False,549,35,False,46,631,False,81,2018,2024
04-12-2023,118,False,549,33,False,46,627,False,81,2018,2024
27-11-2023,115,False,549,19,True,46,618,False,81,2018,2024
20-11-2023,118,False,533,14,True,30,621,False,81,2018,2024
13-11-2023,128,False,503,128,False,503,618,False,81,2018,2024
06-11-2023,143,False,428,139,False,428,611,False,81,2018,2024
30-10-2023,141,False,435,141,False,428,610,False,81,2018,2024
23-10-2023,138,False,451,140,False,428,617,False,81,2018,2024
16-10-2023,133,False,451,136,False,428,616,False,81,2018,2024
02-10-2023,133,False,451,148,False,363,611,False,81,2018,2024
25-09-2023,135,False,446,150,False,352,620,False,81,2018,2024
18-09-2023,140,False,446,147,False,352,615,False,81,2018,2024
11-09-2023,137,False,446,146,False,352,621,False,81,2018,2024
28-08-2023,116,False,526,133,False,352,622,False,81,2018,2024
21-08-2023,119,False,526,133,False,352,616,False,81,2018,2024
14-08-2023,122,False,519,129,False,345,704,False,65,2018,2024
07-08-2023,126,False,519,127,False,345,703,False,65,2018,2024
31-07-2023,153,False,394,199,False,220,703,False,65,2018,2024
24-07-2023,154,False,394,193,False,220,695,False,65,2018,2024
17-07-2023,147,False,414,185,False,220,693,False,65,2018,2024
03-07-2023,154,False,381,192,False,187,690,False,65,2018,2024
26-06-2023,154,False,381,189,False,187,675,False,65,2018,2024
19-06-2023,153,False,381,184,False,187,676,False,65,2018,2024
12-06-2023,154,False,381,178,False,187,672,False,65,2018,2024
29-05-2023,151,False,392,177,False,171,565,False,90,2018,2024
22-05-2023,151,False,392,172,False,171,558,False,90,2018,2024
08-05-2023,151,False,392,158,False,171,324,False,180,2018,2024
24-04-2023,152,False,392,136,False,171,322,False,180,2018,2024
17-04-2023,143,False,412,126,False,171,320,False,180,2018,2024
10-04-2023,159,False,372,193,False,101,299,False,196,2018,2024
03-04-2023,161,False,372,179,False,101,302,False,196,2018,2024
20-03-2023,130,False,452,153,False,101,368,False,151,2018,2024
06-03-2023,128,False,452,135,False,101,363,False,151,2018,2024
27-02-2023,151,False,392,268,False,41,361,False,151,2018,2024
20-02-2023,158,False,372,404,False,21,358,False,151,2018,2024
13-02-2023,158,False,372,373,False,21,407,False,131,2018,2024
06-02-2023,164,False,360,538,True,9,409,False,131,2018,2024
30-01-2023,165,False,360,489,True,9,410,False,131,2018,2024
16-01-2023,162,False,360,366,True,9,412,False,131,2018,2024
09-01-2023,160,False,367,335,True,9,415,False,131,2018,2024
02-01-2023,135,False,408,0,False,0,423,False,131,2018,2024
26-12-2022,135,False,408,0,False,0,423,False,131,2018,2024
19-12-2022,135,False,408,0,False,0,423,False,131,2018,2024
12-12-2022,135,False,408,0,False,0,422,False,131,2018,2024
05-12-2022,129,False,437,0,False,0,383,False,146,2018,2024
28-11-2022,130,False,437,0,False,0,357,False,161,2018,2024
21-11-2022,127,False,452,0,False,0,328,False,176,2018,2024
14-11-2022,127,False,452,0,False,0,327,False,176,2018,2024
07-11-2022,126,False,452,126,False,452,323,False,176,2018,2024
31-10-2022,129,False,445,124,False,445,329,False,176,2018,2024
24-10-2022,131,False,429,128,False,429,332,False,176,2018,2024
17-10-2022,130,False,429,124,False,429,319,False,176,2018,2024
10-10-2022,132,False,429,120,False,429,319,False,176,2018,2024
03-10-2022,152,False,364,135,False,364,313,False,176,2018,2024
26-09-2022,151,False,361,132,False,358,320,False,176,2018,2024
19-09-2022,143,False,381,129,False,358,319,False,176,2018,2024
12-09-2022,142,False,381,126,False,358,324,False,176,2018,2024
29-08-2022,175,False,301,154,False,278,323,False,176,2018,2024
22-08-2022,173,False,308,154,False,278,322,False,176,2018,2024
15-08-2022,171,False,308,152,False,278,319,False,176,2018,2024
08-08-2022,168,False,316,148,False,278,323,False,176,2018,2024
01-08-2022,168,False,316,142,False,278,327,False,176,2018,2024
25-07-2022,167,False,322,131,False,278,326,False,176,2018,2024
18-07-2022,169,False,303,139,False,258,333,False,176,2018,2024
11-07-2022,174,False,303,136,False,258,337,False,176,2018,2024
27-06-2022,181,False,305,128,False,258,340,False,176,2018,2024
20-06-2022,180,False,315,124,False,258,344,False,176,2018,2024
13-06-2022,186,False,315,118,False,258,348,False,176,2018,2024
06-06-2022,199,False,304,117,False,247,355,False,176,2018,2024
23-05-2022,196,False,290,110,False,231,379,False,153,2018,2024
16-05-2022,200,False,290,109,False,231,379,False,153,2018,2024
09-05-2022,201,False,290,106,False,231,653,False,63,2018,2024
02-05-2022,198,False,290,103,False,231,653,False,63,2018,2024
25-04-2022,200,False,290,100,False,231,654,False,63,2018,2024
18-04-2022,209,False,270,101,False,211,652,False,63,2018,2024
11-04-2022,232,False,240,122,False,137,754,False,47,2018,2024
04-04-2022,231,False,240,113,False,137,748,False,47,2018,2024
21-03-2022,297,False,160,176,False,57,755,False,47,2018,2024
07-03-2022,276,False,178,151,False,57,686,False,57,2018,2024
28-02-2022,280,False,178,146,False,57,695,False,57,2018,2024
21-02-2022,283,False,178,134,False,57,702,False,57,2018,2024
14-02-2022,289,False,178,116,False,57,571,False,82,2018,2024
07-02-2022,290,False,178,96,False,57,570,False,82,2018,2024
31-01-2022,291,False,178,79,False,57,572,False,82,2018,2024
17-01-2022,296,False,178,40,False,57,568,False,82,2018,2024
10-01-2022,306,False,171,30,True,50,564,False,82,2018,2024
03-01-2022,364,False,121,0,False,0,561,False,82,2018,2024
27-12-2021,364,False,121,320,False,111,560,False,82,2018,2024
20-12-2021,364,False,121,320,False,111,561,False,82,2018,2024
13-12-2021,356,False,123,316,False,111,544,False,86,2018,2024
06-12-2021,418,False,94,367,False,82,610,False,71,2018,2024
29-11-2021,419,False,94,366,False,82,710,False,56,2018,2024
22-11-2021,460,False,79,382,True,67,829,False,41,2018,2024
15-11-2021,460,False,79,375,True,67,829,False,41,2018,2024
08-11-2021,458,False,79,372,True,67,827,False,41,2018,2024
01-11-2021,437,False,86,367,False,67,831,False,41,2018,2024
25-10-2021,437,False,86,361,True,67,839,False,41,2018,2024
18-10-2021,442,False,86,356,False,67,844,False,41,2018,2024
04-10-2021,440,False,87,346,True,67,810,False,44,2018,2024
27-09-2021,447,False,85,347,True,64,781,False,47,2018,2024
20-09-2021,526,False,65,390,True,44,786,False,47,2018,2024
13-09-2021,530,False,65,384,True,44,785,False,47,2018,2024
30-08-2021,536,False,65,362,True,44,799,False,47,2018,2024
23-08-2021,559,False,59,383,True,37,799,False,47,2018,2024
16-08-2021,561,False,59,384,False,37,809,False,47,2018,2024
09-08-2021,595,False,51,425,False,29,807,False,47,2018,2024
02-08-2021,591,False,51,417,False,29,807,False,47,2018,2024
26-07-2021,625,False,45,449,False,23,806,False,47,2018,2024
19-07-2021,633,False,44,438,True,22,809,False,47,2018,2024
12-07-2021,634,False,44,428,True,22,804,False,47,2018,2024
28-06-2021,643,False,42,420,True,20,801,False,47,2018,2024
21-06-2021,708,False,32,512,True,10,798,False,47,2018,2024
14-06-2021,706,False,32,497,True,10,793,False,47,2018,2024
31-05-2021,702,False,32,470,True,10,786,False,47,2018,2024
24-05-2021,722,False,30,494,True,8,810,False,45,2018,2024
17-05-2021,722,False,30,487,True,8,812,False,45,2018,2024
10-05-2021,726,False,30,479,True,8,821,False,45,2018,2024
03-05-2021,726,False,30,467,True,8,823,False,45,2018,2024
26-04-2021,727,False,30,467,False,8,819,False,45,2018,2024
19-04-2021,726,False,30,450,False,8,818,False,45,2018,2024
12-04-2021,722,False,30,438,True,8,816,False,45,2018,2024
05-04-2021,718,False,30,424,False,8,819,False,45,2018,2024
22-03-2021,721,False,30,396,False,8,819,False,45,2018,2024
15-03-2021,716,False,30,366,False,8,812,False,45,2018,2024
08-03-2021,800,False,22,0,False,0,923,False,35,2018,2024
01-03-2021,800,False,22,0,False,0,917,False,35,2018,2024
22-02-2021,798,False,22,0,False,0,914,False,35,2018,2024
08-02-2021,795,False,22,0,False,0,1456,False,10,2018,2024
01-02-2021,794,False,22,0,False,0,1453,False,10,2018,2024
25-01-2021,793,False,22,0,False,0,1452,False,10,2018,2024
18-01-2021,791,False,22,0,False,0,1453,False,10,2018,2024
11-01-2021,790,False,22,0,False,0,1449,False,10,2018,2024
04-01-2021,790,False,22,0,False,20,1448,False,10,2018,2024
28-12-2020,787,False,22,0,False,0,1445,False,10,2018,2024
21-12-2020,785,False,22,0,False,0,1445,False,10,2018,2024
14-12-2020,807,False,20,0,False,0,1703,False,6,2018,2024
07-12-2020,806,False,20,0,False,0,1702,False,6,2018,2024
30-11-2020,802,False,20,0,False,0,1696,False,6,2018,2024
23-11-2020,800,False,20,0,False,0,1695,False,6,2018,2024
16-11-2020,798,False,20,0,False,0,1684,False,6,2018,2024
09-11-2020,797,False,20,0,False,0,1679,False,6,2018,2024
02-11-2020,921,False,13,0,False,0,1670,True,6,2018,2024
26-10-2020,919,False,13,0,False,0,1664,True,6,2018,2024
19-10-2020,917,True,13,0,False,0,1646,False,6,2018,2024
12-10-2020,917,True,13,0,False,0,1644,False,6,2018,2024
28-09-2020,916,True,13,0,False,0,1637,False,6,2018,2024
21-09-2020,912,True,13,0,False,0,1630,False,6,2018,2024
14-09-2020,911,True,13,0,False,0,1629,False,6,2018,2024
31-08-2020,906,False,13,0,False,0,1606,True,6,2018,2024
24-08-2020,929,False,12,0,False,0,1588,True,6,2018,2024
16-03-2020,935,False,12,528,True,10,1591,True,6,2018,2024
09-03-2020,1481,True,2,0,False,0,1580,True,6,2018,2024
02-03-2020,1464,True,2,0,False,0,1560,True,6,2018,2024
24-02-2020,1459,True,2,0,False,0,1560,True,6,2018,2024
17-02-2020,1437,True,2,0,False,0,1541,True,6,2018,2024
10-02-2020,1445,True,2,0,False,0,1540,True,6,2018,2024
03-02-2020,1442,True,2,0,False,0,1542,True,6,2018,2024
20-01-2020,1440,True,2,0,False,0,1541,True,6,2018,2024
13-01-2020,1437,True,2,0,False,0,1535,True,6,2018,2024
06-01-2020,1438,True,2,0,False,0,1532,True,6,2018,2024
30-12-2019,1438,True,2,0,False,0,1538,True,6,2018,2024
23-12-2019,1438,True,2,0,False,0,1536,True,6,2018,2024
16-12-2019,1438,True,2,0,False,0,1536,True,6,2018,2024
09-12-2019,1436,True,2,0,False,0,1538,True,6,2018,2024
02-12-2019,1443,True,2,0,False,0,1536,True,6,2018,2024
25-11-2019,1443,True,2,0,False,0,1542,True,6,2018,2024
18-11-2019,1452,True,2,0,False,0,1550,True,6,2018,2024
11-11-2019,1452,True,2,0,False,0,1555,True,6,2018,2024
04-11-2019,1459,True,2,1459,True,2,1566,True,6,2018,2024
28-10-2019,1460,True,2,1449,True,2,1564,True,6,2018,2024
21-10-2019,1456,True,2,1439,True,2,1552,True,6,2018,2024
14-10-2019,1450,True,2,1420,True,2,1547,True,6,2018,2024
07-10-2019,1609,True,1,1554,True,1,1847,True,3,2018,2024
01-07-2019,0,False,0,0,False,0,0,False,0,2018,2024
24-06-2019,0,False,0,0,False,0,0,False,0,2018,2024
17-06-2019,0,False,0,0,False,0,0,False,0,2018,2024
10-06-2019,0,False,0,0,False,0,0,False,0,2018,2024
27-05-2019,0,False,0,0,False,0,0,False,0,2018,2024
20-05-2019,0,False,0,0,False,0,0,False,0,2018,2024
13-05-2019,0,False,0,0,False,0,0,False,0,2018,2024
06-05-2019,0,False,0,0,False,0,0,False,0,2018,2024
29-04-2019,0,False,0,0,False,0,0,False,0,2018,2024
22-04-2019,0,False,0,0,False,0,0,False,0,2018,2024
15-04-2019,0,False,0,0,False,0,0,False,0,2018,2024
08-04-2019,0,False,0,0,False,0,0,False,0,2018,2024
01-04-2019,0,False,0,0,False,0,0,False,0,2018,2024
