rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,77,False,713,62,False,464,710,True,65,2013,2024
27-05-2024,95,False,635,78,False,354,716,False,65,2013,2024
20-05-2024,94,False,646,76,False,354,710,False,65,2013,2024
06-05-2024,93,False,648,70,False,354,699,True,65,2013,2024
22-04-2024,82,False,725,64,False,354,703,True,65,2013,2024
15-04-2024,80,False,729,54,False,354,712,True,65,2013,2024
08-04-2024,93,False,656,71,False,274,710,True,65,2013,2024
01-04-2024,95,False,633,71,False,249,710,True,65,2013,2024
18-03-2024,97,False,623,66,False,239,715,True,65,2013,2024
04-03-2024,101,False,603,58,False,219,717,True,65,2013,2024
26-02-2024,97,False,612,51,False,219,708,True,65,2013,2024
19-02-2024,101,False,614,48,False,212,710,True,65,2013,2024
12-02-2024,98,False,630,47,False,187,606,False,85,2013,2024
05-02-2024,121,False,530,86,False,87,602,False,85,2013,2024
29-01-2024,121,False,530,78,False,87,608,False,85,2013,2024
15-01-2024,137,False,450,412,False,7,602,False,85,2013,2024
08-01-2024,139,False,450,371,True,7,601,False,85,2013,2024
01-01-2024,138,False,450,284,True,7,603,False,85,2013,2024
25-12-2023,138,False,450,279,True,7,603,False,85,2013,2024
18-12-2023,138,False,450,269,True,7,603,False,85,2013,2024
11-12-2023,138,False,450,261,True,7,602,False,85,2013,2024
04-12-2023,138,False,450,229,True,7,603,False,85,2013,2024
27-11-2023,140,False,443,0,False,0,597,False,85,2013,2024
20-11-2023,141,False,443,0,False,0,599,False,85,2013,2024
13-11-2023,141,False,443,143,False,443,599,False,85,2013,2024
06-11-2023,169,False,368,167,False,368,595,False,85,2013,2024
30-10-2023,170,False,375,167,False,368,593,False,85,2013,2024
23-10-2023,170,False,375,166,False,368,595,False,85,2013,2024
16-10-2023,160,False,386,159,False,368,528,False,101,2013,2024
02-10-2023,157,False,397,146,False,368,534,False,101,2013,2024
25-09-2023,161,False,397,144,False,368,530,False,101,2013,2024
18-09-2023,159,False,397,141,False,368,527,False,101,2013,2024
11-09-2023,156,False,397,139,False,368,526,False,101,2013,2024
28-08-2023,189,False,321,162,False,292,524,False,101,2013,2024
21-08-2023,190,False,321,162,False,292,513,False,101,2013,2024
14-08-2023,191,False,321,158,False,292,514,False,101,2013,2024
07-08-2023,183,False,330,153,False,285,416,False,131,2013,2024
31-07-2023,179,False,334,152,False,278,417,False,131,2013,2024
24-07-2023,178,False,334,144,False,278,418,False,131,2013,2024
17-07-2023,231,False,259,196,False,203,416,False,131,2013,2024
03-07-2023,225,False,261,176,False,203,590,False,86,2013,2024
26-06-2023,222,False,261,175,False,203,581,False,86,2013,2024
19-06-2023,226,False,252,176,False,194,668,False,66,2013,2024
12-06-2023,227,False,252,170,False,194,666,False,66,2013,2024
29-05-2023,254,False,220,187,False,162,690,False,66,2013,2024
22-05-2023,256,False,209,190,False,151,680,False,66,2013,2024
08-05-2023,256,False,212,175,False,149,686,False,66,2013,2024
24-04-2023,347,False,140,287,False,70,679,False,66,2013,2024
17-04-2023,366,False,129,307,False,59,675,True,66,2013,2024
10-04-2023,370,False,129,296,False,59,677,True,66,2013,2024
03-04-2023,372,False,129,287,False,59,680,True,66,2013,2024
20-03-2023,374,False,129,248,False,59,684,True,66,2013,2024
06-03-2023,379,False,129,222,False,59,675,True,66,2013,2024
27-02-2023,387,False,120,232,False,50,668,True,66,2013,2024
20-02-2023,409,False,111,245,False,41,669,False,66,2013,2024
13-02-2023,506,False,70,0,False,0,819,False,46,2013,2024
06-02-2023,509,False,70,0,False,0,816,False,46,2013,2024
30-01-2023,506,False,70,0,False,0,808,False,46,2013,2024
16-01-2023,503,False,70,0,False,0,805,False,46,2013,2024
09-01-2023,504,False,70,0,False,0,807,False,46,2013,2024
02-01-2023,503,False,70,0,False,0,815,False,46,2013,2024
26-12-2022,502,False,70,0,False,0,813,False,46,2013,2024
19-12-2022,501,False,70,0,False,0,815,False,46,2013,2024
12-12-2022,506,False,70,0,False,0,817,False,46,2013,2024
05-12-2022,507,False,70,0,False,0,820,False,46,2013,2024
28-11-2022,505,False,70,0,False,0,818,False,46,2013,2024
21-11-2022,502,False,70,0,False,0,815,True,46,2013,2024
14-11-2022,501,False,70,0,False,0,812,False,46,2013,2024
07-11-2022,500,False,70,500,False,70,815,False,46,2013,2024
31-10-2022,526,False,63,523,False,63,808,True,46,2013,2024
24-10-2022,521,False,63,514,False,63,808,True,46,2013,2024
17-10-2022,565,False,52,549,False,52,994,True,30,2013,2024
10-10-2022,638,False,41,605,False,41,988,True,30,2013,2024
03-10-2022,628,False,41,598,False,41,976,True,30,2013,2024
26-09-2022,484,False,70,589,False,41,965,True,30,2013,2024
19-09-2022,484,False,70,584,False,41,957,True,30,2013,2024
12-09-2022,483,False,70,573,False,41,949,True,30,2013,2024
29-08-2022,468,False,77,552,False,41,938,True,30,2013,2024
22-08-2022,464,False,77,540,False,41,933,True,30,2013,2024
15-08-2022,458,False,77,531,False,41,925,True,30,2013,2024
08-08-2022,504,False,61,629,False,25,0,False,0,2013,2024
01-08-2022,552,False,50,746,False,14,0,False,0,2013,2024
25-07-2022,561,False,50,739,False,14,0,False,0,2013,2024
18-07-2022,565,False,50,725,False,14,0,False,0,2013,2024
11-07-2022,525,False,60,707,False,14,0,False,0,2013,2024
27-06-2022,514,False,66,724,False,12,0,False,0,2013,2024
20-06-2022,466,False,81,713,False,12,0,False,0,2013,2024
13-06-2022,414,False,98,695,False,12,0,False,0,2013,2024
06-06-2022,359,False,124,684,False,12,1143,False,18,2013,2024
23-05-2022,352,False,127,660,False,12,1123,False,18,2013,2024
16-05-2022,348,False,127,646,False,12,1118,False,18,2013,2024
09-05-2022,309,False,155,737,False,7,1124,False,18,2013,2024
02-05-2022,289,False,170,728,False,7,1134,False,18,2013,2024
25-04-2022,280,False,178,0,False,0,1137,False,18,2013,2024
18-04-2022,259,False,196,0,False,0,1149,False,18,2013,2024
11-04-2022,258,False,199,0,False,0,1150,False,18,2013,2024
04-04-2022,251,False,213,0,False,0,1151,False,18,2013,2024
21-03-2022,243,False,228,0,False,0,1163,False,18,2013,2024
07-03-2022,239,False,228,0,False,0,1180,False,18,2013,2024
28-02-2022,205,False,283,0,False,0,1183,False,18,2013,2024
21-02-2022,210,False,283,0,False,0,1186,False,18,2013,2024
14-02-2022,220,False,283,0,False,0,1194,False,18,2013,2024
07-02-2022,217,False,290,0,False,0,1199,False,18,2013,2024
31-01-2022,222,False,290,0,False,0,1201,False,18,2013,2024
17-01-2022,222,False,290,0,False,0,1203,False,18,2013,2024
10-01-2022,222,False,290,0,False,0,1205,False,18,2013,2024
03-01-2022,222,False,290,0,False,0,1205,False,18,2013,2024
27-12-2021,222,False,290,228,False,189,1205,False,18,2013,2024
20-12-2021,222,False,290,228,False,189,1202,False,18,2013,2024
13-12-2021,220,False,290,227,False,189,1203,False,18,2013,2024
06-12-2021,218,False,290,222,False,189,1208,False,18,2013,2024
29-11-2021,218,False,290,220,False,189,1205,False,18,2013,2024
22-11-2021,219,False,290,217,False,189,1198,False,18,2013,2024
15-11-2021,221,False,290,216,False,189,1193,False,18,2013,2024
08-11-2021,217,False,302,215,False,189,1189,False,18,2013,2024
01-11-2021,216,False,302,210,False,189,1187,False,18,2013,2024
25-10-2021,216,False,302,205,False,189,1189,False,18,2013,2024
18-10-2021,215,False,302,203,False,189,1193,False,18,2013,2024
04-10-2021,212,False,309,196,False,189,1213,False,18,2013,2024
27-09-2021,213,False,309,214,False,160,1218,False,18,2013,2024
20-09-2021,185,False,381,207,True,160,955,False,33,2013,2024
13-09-2021,186,False,381,206,False,160,958,False,33,2013,2024
30-08-2021,164,False,456,199,True,153,977,False,33,2013,2024
23-08-2021,165,False,456,194,True,153,971,False,33,2013,2024
16-08-2021,159,False,471,193,False,153,728,False,58,2013,2024
09-08-2021,159,False,471,189,False,153,730,False,58,2013,2024
02-08-2021,159,False,471,188,False,153,732,False,58,2013,2024
26-07-2021,160,False,471,181,False,153,727,False,58,2013,2024
19-07-2021,160,False,471,172,False,153,719,False,58,2013,2024
12-07-2021,154,False,481,171,True,143,708,False,58,2013,2024
28-06-2021,150,False,481,163,True,135,704,False,58,2013,2024
21-06-2021,148,False,495,159,True,135,704,False,58,2013,2024
14-06-2021,144,False,511,151,True,135,701,False,58,2013,2024
31-05-2021,143,False,528,140,True,127,857,True,40,2013,2024
24-05-2021,143,False,528,134,True,127,850,True,40,2013,2024
17-05-2021,142,False,528,126,False,127,850,True,40,2013,2024
10-05-2021,140,False,534,139,True,109,850,True,40,2013,2024
03-05-2021,140,False,529,152,True,94,856,True,40,2013,2024
26-04-2021,137,False,543,146,False,94,854,True,40,2013,2024
19-04-2021,135,False,548,156,False,84,857,True,40,2013,2024
12-04-2021,135,False,548,145,False,84,856,True,40,2013,2024
05-04-2021,136,False,542,149,False,72,856,True,40,2013,2024
22-03-2021,139,False,532,154,False,57,862,True,40,2013,2024
15-03-2021,139,False,532,144,False,57,856,True,40,2013,2024
08-03-2021,139,False,532,129,False,57,853,True,40,2013,2024
01-03-2021,150,False,480,0,False,0,848,True,40,2013,2024
22-02-2021,148,False,480,0,False,0,848,True,40,2013,2024
08-02-2021,144,False,480,0,False,0,834,True,40,2013,2024
01-02-2021,139,False,480,0,False,0,833,True,40,2013,2024
25-01-2021,138,False,480,0,False,0,832,True,40,2013,2024
18-01-2021,137,False,480,0,False,0,831,True,40,2013,2024
11-01-2021,137,False,480,0,False,0,830,True,40,2013,2024
04-01-2021,137,False,480,0,False,108,829,True,40,2013,2024
28-12-2020,136,False,475,0,False,0,828,True,40,2013,2024
21-12-2020,136,False,475,0,False,0,827,True,40,2013,2024
14-12-2020,136,False,475,0,False,0,824,True,40,2013,2024
07-12-2020,136,False,475,0,False,0,823,True,40,2013,2024
30-11-2020,136,False,475,0,False,0,820,True,40,2013,2024
23-11-2020,136,False,475,0,False,0,817,True,40,2013,2024
