rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,471,False,92,708,False,15,350,False,180,2010,2024
27-05-2024,443,False,102,683,False,15,348,False,180,2010,2024
20-05-2024,442,False,102,663,True,15,346,False,180,2010,2024
06-05-2024,438,False,102,641,False,15,343,False,180,2010,2024
22-04-2024,390,False,127,620,False,15,342,False,180,2010,2024
15-04-2024,348,False,147,605,False,15,283,False,225,2010,2024
08-04-2024,325,False,163,584,False,15,282,False,225,2010,2024
01-04-2024,322,False,163,568,False,15,288,False,225,2010,2024
18-03-2024,314,False,173,509,False,15,295,False,225,2010,2024
04-03-2024,281,False,198,476,False,15,292,False,225,2010,2024
26-02-2024,286,False,196,473,False,13,289,True,225,2010,2024
19-02-2024,290,False,196,456,False,13,291,False,225,2010,2024
12-02-2024,288,False,196,435,False,13,289,False,225,2010,2024
05-02-2024,268,False,216,411,False,13,285,True,225,2010,2024
29-01-2024,274,False,209,562,False,6,280,True,225,2010,2024
15-01-2024,264,False,219,442,True,6,277,True,225,2010,2024
08-01-2024,265,False,219,399,True,6,277,True,225,2010,2024
01-01-2024,252,False,239,312,True,6,277,True,225,2010,2024
25-12-2023,252,False,239,306,True,6,277,True,225,2010,2024
18-12-2023,252,False,239,294,True,6,275,True,225,2010,2024
11-12-2023,252,False,239,286,True,6,274,True,225,2010,2024
04-12-2023,254,False,236,346,True,3,276,True,225,2010,2024
27-11-2023,254,False,233,0,False,0,275,False,225,2010,2024
20-11-2023,256,False,233,0,False,0,279,False,225,2010,2024
13-11-2023,257,False,233,259,False,233,283,False,225,2010,2024
06-11-2023,254,False,233,249,False,233,279,False,225,2010,2024
30-10-2023,231,False,261,253,False,226,281,False,225,2010,2024
23-10-2023,226,False,271,249,False,226,279,False,225,2010,2024
16-10-2023,227,False,271,245,False,226,280,False,225,2010,2024
02-10-2023,212,False,291,236,False,226,282,False,225,2010,2024
25-09-2023,202,False,311,231,False,226,198,False,375,2010,2024
18-09-2023,198,False,311,227,False,226,196,False,375,2010,2024
11-09-2023,197,False,311,222,False,226,196,False,375,2010,2024
28-08-2023,187,False,321,213,False,226,190,False,375,2010,2024
21-08-2023,188,False,321,212,False,226,191,False,375,2010,2024
14-08-2023,189,False,321,206,False,226,193,False,375,2010,2024
07-08-2023,187,False,321,200,False,226,195,False,375,2010,2024
31-07-2023,185,False,321,191,False,226,193,False,375,2010,2024
24-07-2023,187,False,321,186,False,226,190,False,375,2010,2024
17-07-2023,184,False,321,177,False,226,192,False,375,2010,2024
03-07-2023,233,False,251,224,False,156,196,False,375,2010,2024
26-06-2023,230,False,251,218,False,156,195,False,375,2010,2024
19-06-2023,228,False,251,211,False,156,301,False,195,2010,2024
12-06-2023,141,False,431,207,False,156,299,False,195,2010,2024
29-05-2023,120,False,521,201,False,146,302,False,195,2010,2024
22-05-2023,120,False,521,196,False,146,299,False,195,2010,2024
08-05-2023,114,False,541,178,False,146,300,False,195,2010,2024
24-04-2023,98,False,606,191,False,121,301,False,195,2010,2024
17-04-2023,94,False,631,205,False,101,371,False,150,2010,2024
10-04-2023,93,False,641,231,False,85,372,False,150,2010,2024
03-04-2023,90,False,641,215,False,85,373,False,150,2010,2024
20-03-2023,85,False,656,200,False,75,373,False,150,2010,2024
06-03-2023,82,False,656,249,False,50,274,False,225,2010,2024
27-02-2023,78,False,656,228,False,50,272,False,225,2010,2024
20-02-2023,77,False,666,207,False,50,277,False,225,2010,2024
13-02-2023,80,False,666,183,False,50,276,False,225,2010,2024
06-02-2023,80,False,666,278,False,30,241,False,270,2010,2024
30-01-2023,80,False,666,253,False,30,244,False,270,2010,2024
16-01-2023,74,False,701,238,False,20,243,False,270,2010,2024
09-01-2023,74,False,701,202,True,20,226,False,290,2010,2024
02-01-2023,76,False,691,0,False,0,226,False,290,2010,2024
26-12-2022,76,False,691,0,False,0,226,False,290,2010,2024
19-12-2022,76,False,691,0,False,0,226,False,290,2010,2024
12-12-2022,76,False,691,0,False,0,228,False,290,2010,2024
05-12-2022,76,False,691,0,False,0,233,False,290,2010,2024
28-11-2022,76,False,691,0,False,0,233,False,290,2010,2024
21-11-2022,65,False,761,0,False,0,234,False,290,2010,2024
14-11-2022,67,False,761,0,False,0,232,False,290,2010,2024
07-11-2022,59,False,821,59,False,821,234,False,290,2010,2024
31-10-2022,57,False,806,56,False,786,230,False,290,2010,2024
24-10-2022,54,False,866,56,False,786,234,False,290,2010,2024
17-10-2022,54,False,866,56,False,786,232,False,290,2010,2024
10-10-2022,55,False,875,56,False,786,231,False,290,2010,2024
03-10-2022,55,False,875,52,False,808,229,False,290,2010,2024
26-09-2022,55,False,875,53,False,794,379,False,140,2010,2024
19-09-2022,52,False,875,50,False,794,384,False,140,2010,2024
12-09-2022,52,False,875,50,False,794,390,False,140,2010,2024
29-08-2022,41,False,1070,47,False,784,385,False,140,2010,2024
22-08-2022,41,False,1070,47,False,771,383,False,140,2010,2024
15-08-2022,41,False,1085,43,False,771,383,False,140,2010,2024
08-08-2022,40,False,1092,41,False,756,386,False,140,2010,2024
01-08-2022,41,False,1092,39,False,771,381,False,140,2010,2024
25-07-2022,40,False,1092,39,False,756,388,False,140,2010,2024
18-07-2022,38,False,1097,35,False,756,387,False,140,2010,2024
11-07-2022,37,False,1097,34,False,756,390,False,140,2010,2024
27-06-2022,36,False,1155,35,False,736,396,False,140,2010,2024
