rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,49,False,961,87,False,355,879,True,45,2016,2024
27-05-2024,51,False,961,81,False,345,374,False,165,2016,2024
20-05-2024,51,False,961,78,False,345,375,False,165,2016,2024
06-05-2024,42,False,1057,74,False,335,369,False,165,2016,2024
22-04-2024,46,False,1057,71,False,325,379,False,165,2016,2024
15-04-2024,44,False,1077,65,False,325,371,False,165,2016,2024
08-04-2024,46,False,1047,86,False,225,371,False,165,2016,2024
01-04-2024,46,False,1057,77,False,225,371,False,165,2016,2024
18-03-2024,45,False,1032,89,False,175,374,False,165,2016,2024
04-03-2024,41,False,1087,77,False,175,370,False,165,2016,2024
26-02-2024,38,False,1087,66,False,175,368,False,165,2016,2024
19-02-2024,46,False,997,136,False,75,368,False,165,2016,2024
12-02-2024,45,False,1012,119,True,75,368,False,165,2016,2024
05-02-2024,45,False,1012,101,True,75,365,False,165,2016,2024
29-01-2024,45,False,1012,91,True,75,358,False,165,2016,2024
15-01-2024,43,False,1052,171,True,25,260,False,255,2016,2024
08-01-2024,43,False,1052,137,True,25,260,False,255,2016,2024
01-01-2024,40,False,1084,0,False,0,260,False,255,2016,2024
25-12-2023,40,False,1084,0,False,0,260,False,255,2016,2024
18-12-2023,40,False,1084,0,False,0,260,False,255,2016,2024
11-12-2023,40,False,1084,0,False,0,260,False,255,2016,2024
04-12-2023,40,False,1084,0,False,0,259,False,255,2016,2024
27-11-2023,40,False,1084,0,False,0,255,False,255,2016,2024
20-11-2023,40,False,1084,0,False,0,258,False,255,2016,2024
13-11-2023,40,False,1084,40,False,1084,258,False,255,2016,2024
06-11-2023,40,False,1110,40,False,1084,261,False,255,2016,2024
30-10-2023,39,False,1110,39,False,1100,262,False,255,2016,2024
23-10-2023,39,False,1110,38,False,1100,263,False,255,2016,2024
16-10-2023,41,False,1030,37,False,1020,260,False,255,2016,2024
02-10-2023,43,False,1030,36,False,1010,264,False,255,2016,2024
25-09-2023,45,False,1030,36,False,1010,269,False,255,2016,2024
18-09-2023,45,False,1030,35,False,1010,269,False,255,2016,2024
11-09-2023,45,False,1030,35,False,1010,268,False,255,2016,2024
28-08-2023,41,False,1065,33,False,1000,265,False,255,2016,2024
21-08-2023,40,False,1065,33,False,1000,264,False,255,2016,2024
14-08-2023,58,False,869,41,False,804,262,False,255,2016,2024
07-08-2023,56,False,885,40,False,784,261,False,255,2016,2024
31-07-2023,57,False,895,38,False,784,261,False,255,2016,2024
24-07-2023,90,False,655,72,False,554,249,False,255,2016,2024
17-07-2023,91,False,655,71,False,554,248,False,255,2016,2024
03-07-2023,93,False,645,63,False,544,244,False,255,2016,2024
26-06-2023,92,False,645,58,False,544,243,False,255,2016,2024
19-06-2023,94,False,635,55,False,544,241,False,255,2016,2024
12-06-2023,90,False,662,52,False,534,242,False,255,2016,2024
29-05-2023,85,False,707,43,False,524,459,False,115,2016,2024
22-05-2023,82,False,707,42,False,524,457,False,115,2016,2024
08-05-2023,77,False,726,53,False,418,469,False,115,2016,2024
24-04-2023,75,False,721,43,False,408,470,False,115,2016,2024
17-04-2023,81,False,701,43,False,388,466,False,115,2016,2024
10-04-2023,94,False,631,52,False,318,465,False,115,2016,2024
03-04-2023,95,False,611,52,False,298,462,False,115,2016,2024
20-03-2023,93,False,611,52,False,273,459,False,115,2016,2024
06-03-2023,101,False,556,60,False,208,451,False,115,2016,2024
27-02-2023,98,False,556,49,False,208,452,False,115,2016,2024
20-02-2023,84,False,611,41,False,208,445,False,115,2016,2024
13-02-2023,91,False,586,33,False,183,446,False,115,2016,2024
06-02-2023,90,False,586,26,False,183,449,False,115,2016,2024
30-01-2023,90,False,586,26,False,183,450,False,115,2016,2024
16-01-2023,113,False,506,36,False,93,1074,False,25,2016,2024
09-01-2023,113,False,506,25,False,93,457,False,115,2016,2024
02-01-2023,120,False,469,65,False,36,463,False,115,2016,2024
26-12-2022,120,False,469,64,False,36,463,False,115,2016,2024
19-12-2022,120,False,469,62,False,36,462,False,115,2016,2024
12-12-2022,120,False,469,62,False,36,464,False,115,2016,2024
05-12-2022,121,False,469,56,False,36,466,False,115,2016,2024
28-11-2022,122,False,469,45,False,36,469,False,115,2016,2024
21-11-2022,121,False,469,31,False,36,467,False,115,2016,2024
14-11-2022,121,False,469,14,True,36,462,False,115,2016,2024
07-11-2022,131,False,433,131,False,433,459,False,115,2016,2024
31-10-2022,107,False,539,128,False,433,461,False,115,2016,2024
24-10-2022,98,False,559,127,False,433,461,False,115,2016,2024
17-10-2022,97,False,559,123,False,433,455,False,115,2016,2024
10-10-2022,94,False,584,119,False,433,450,False,115,2016,2024
03-10-2022,93,False,584,118,False,433,439,False,115,2016,2024
26-09-2022,90,False,584,113,False,433,437,False,115,2016,2024
19-09-2022,90,False,584,108,False,433,439,False,115,2016,2024
12-09-2022,90,False,584,105,False,433,449,False,115,2016,2024
29-08-2022,84,False,629,111,False,388,442,False,115,2016,2024
22-08-2022,82,False,644,110,False,388,440,False,115,2016,2024
15-08-2022,76,False,660,107,False,388,439,False,115,2016,2024
08-08-2022,80,False,644,109,False,372,438,False,115,2016,2024
01-08-2022,83,False,624,115,False,352,437,False,115,2016,2024
25-07-2022,84,False,624,107,False,352,292,False,205,2016,2024
18-07-2022,82,False,647,102,False,352,299,False,205,2016,2024
11-07-2022,85,False,647,98,False,352,304,False,205,2016,2024
27-06-2022,83,False,682,95,False,352,235,False,295,2016,2024
20-06-2022,83,False,702,95,False,352,238,False,295,2016,2024
13-06-2022,92,False,655,103,False,305,242,False,295,2016,2024
06-06-2022,100,False,626,112,False,260,245,False,295,2016,2024
23-05-2022,102,False,616,106,False,250,252,False,270,2016,2024
16-05-2022,103,False,616,105,False,250,252,False,270,2016,2024
09-05-2022,127,False,499,178,False,125,254,False,270,2016,2024
02-05-2022,105,False,609,179,False,120,258,False,270,2016,2024
25-04-2022,108,False,611,169,False,120,255,False,270,2016,2024
18-04-2022,106,False,627,161,False,120,256,False,270,2016,2024
11-04-2022,98,False,691,139,False,120,257,False,270,2016,2024
04-04-2022,99,False,691,127,False,120,252,False,270,2016,2024
21-03-2022,92,False,711,125,False,95,244,False,279,2016,2024
07-03-2022,89,False,721,118,False,85,243,False,279,2016,2024
28-02-2022,90,False,721,115,False,85,246,False,279,2016,2024
21-02-2022,66,False,916,195,True,30,255,False,279,2016,2024
14-02-2022,66,False,955,183,True,30,261,False,279,2016,2024
07-02-2022,66,False,955,161,True,30,260,False,279,2016,2024
31-01-2022,65,False,965,139,True,30,260,False,279,2016,2024
17-01-2022,59,False,1010,87,True,20,264,False,279,2016,2024
10-01-2022,59,False,1010,56,True,20,345,False,189,2016,2024
03-01-2022,61,False,1000,0,False,0,344,False,189,2016,2024
27-12-2021,61,False,1000,52,False,897,344,False,189,2016,2024
20-12-2021,61,False,1000,52,False,897,344,False,189,2016,2024
13-12-2021,61,False,1000,52,False,897,345,False,189,2016,2024
06-12-2021,61,False,1000,52,False,897,342,False,189,2016,2024
29-11-2021,61,False,1000,52,False,897,337,False,189,2016,2024
22-11-2021,61,False,1000,52,False,897,336,False,189,2016,2024
15-11-2021,61,False,1000,52,False,897,335,False,189,2016,2024
08-11-2021,59,False,1000,50,False,897,337,False,189,2016,2024
01-11-2021,71,False,912,54,False,791,338,False,189,2016,2024
25-10-2021,77,False,898,53,False,771,341,False,189,2016,2024
18-10-2021,75,False,912,52,False,771,345,False,189,2016,2024
04-10-2021,71,False,965,53,False,746,352,False,189,2016,2024
27-09-2021,72,False,970,53,False,746,352,False,189,2016,2024
20-09-2021,72,False,970,52,False,746,352,False,189,2016,2024
13-09-2021,71,False,970,50,True,746,346,False,189,2016,2024
30-08-2021,73,False,970,54,False,656,358,False,189,2016,2024
23-08-2021,71,False,970,53,False,641,356,False,189,2016,2024
16-08-2021,74,False,970,55,False,625,356,False,189,2016,2024
09-08-2021,73,False,970,53,False,625,352,False,189,2016,2024
02-08-2021,72,False,970,50,False,625,354,False,189,2016,2024
26-07-2021,73,False,970,48,False,625,514,False,99,2016,2024
19-07-2021,72,False,992,45,True,625,501,False,99,2016,2024
12-07-2021,70,False,992,42,True,625,495,False,99,2016,2024
28-06-2021,67,False,1027,40,False,615,1515,False,9,2016,2024
21-06-2021,67,False,1019,40,False,595,1519,False,9,2016,2024
14-06-2021,67,False,1019,37,True,595,1510,False,9,2016,2024
31-05-2021,63,False,1052,33,False,585,1499,False,9,2016,2024
24-05-2021,62,False,1052,32,False,585,1493,False,9,2016,2024
17-05-2021,62,False,1052,30,False,585,1496,False,9,2016,2024
10-05-2021,61,False,1052,25,False,585,1499,False,9,2016,2024
