rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,200,False,303,320,False,76,0,False,0,2021,2024
27-05-2024,204,False,297,322,False,70,0,False,0,2021,2024
20-05-2024,199,False,304,314,False,70,0,False,0,2021,2024
06-05-2024,185,False,324,284,False,70,0,False,0,2021,2024
22-04-2024,190,False,324,268,False,70,0,False,0,2021,2024
15-04-2024,183,False,336,246,False,70,0,False,0,2021,2024
08-04-2024,171,False,352,236,False,70,0,False,0,2021,2024
01-04-2024,171,False,352,224,False,70,0,False,0,2021,2024
18-03-2024,173,False,362,221,False,64,0,False,0,2021,2024
04-03-2024,169,False,377,196,False,64,2182,True,2,2021,2024
26-02-2024,169,False,377,178,False,64,2185,True,2,2021,2024
19-02-2024,171,False,361,202,True,48,2182,True,2,2021,2024
12-02-2024,171,False,361,183,True,48,2180,True,2,2021,2024
05-02-2024,169,False,361,165,True,48,2175,True,2,2021,2024
29-01-2024,169,False,361,151,True,48,2174,True,2,2021,2024
15-01-2024,187,False,321,353,True,8,2171,True,2,2021,2024
08-01-2024,178,False,341,314,True,8,2171,True,2,2021,2024
01-01-2024,178,False,345,0,False,0,2165,True,2,2021,2024
25-12-2023,178,False,345,0,False,0,2163,True,2,2021,2024
18-12-2023,169,False,360,0,False,0,2160,True,2,2021,2024
11-12-2023,166,False,375,0,False,0,2160,True,2,2021,2024
04-12-2023,162,False,390,0,False,0,2150,True,2,2021,2024
27-11-2023,161,False,390,0,False,0,2156,True,2,2021,2024
20-11-2023,162,False,390,0,False,0,2156,True,2,2021,2024
13-11-2023,161,False,390,162,False,390,2152,True,2,2021,2024
06-11-2023,161,False,390,158,False,390,2159,True,2,2021,2024
30-10-2023,164,False,391,159,False,390,2172,True,2,2021,2024
23-10-2023,155,False,405,156,False,390,1756,True,6,2021,2024
16-10-2023,165,False,374,162,False,358,1754,True,6,2021,2024
02-10-2023,168,False,365,154,False,349,1749,True,6,2021,2024
25-09-2023,171,False,365,152,False,349,1744,True,6,2021,2024
18-09-2023,170,False,365,150,False,349,1741,True,6,2021,2024
11-09-2023,168,False,365,149,False,349,1727,True,6,2021,2024
28-08-2023,176,False,349,143,False,333,1715,True,6,2021,2024
21-08-2023,177,False,349,141,False,333,1712,True,6,2021,2024
14-08-2023,175,False,349,135,False,333,1702,True,6,2021,2024
07-08-2023,241,False,249,190,False,233,1698,True,6,2021,2024
31-07-2023,251,False,233,204,False,217,1688,True,6,2021,2024
24-07-2023,287,False,188,229,False,172,1684,True,6,2021,2024
17-07-2023,296,False,179,230,False,163,1684,True,6,2021,2024
03-07-2023,299,False,179,216,False,163,1671,True,6,2021,2024
26-06-2023,294,False,179,210,False,163,1645,True,6,2021,2024
19-06-2023,289,False,179,207,False,163,1645,True,6,2021,2024
12-06-2023,293,False,179,204,False,163,1644,True,6,2021,2024
29-05-2023,293,False,179,186,False,163,1663,True,6,2021,2024
22-05-2023,295,False,172,187,False,156,1649,True,6,2021,2024
08-05-2023,330,False,152,186,False,136,1643,True,6,2021,2024
24-04-2023,329,False,152,176,False,136,1638,True,6,2021,2024
17-04-2023,342,False,140,177,False,124,1655,True,6,2021,2024
10-04-2023,360,False,132,180,False,108,1651,True,6,2021,2024
03-04-2023,365,False,132,172,False,108,1650,True,6,2021,2024
20-03-2023,381,False,123,168,False,92,1485,True,9,2021,2024
06-03-2023,411,False,111,178,False,77,1448,False,10,2021,2024
27-02-2023,407,False,111,166,False,77,1448,False,10,2021,2024
20-02-2023,408,False,111,148,False,77,1452,False,10,2021,2024
13-02-2023,413,False,111,130,False,77,1451,False,10,2021,2024
06-02-2023,410,False,111,110,False,77,1457,False,10,2021,2024
30-01-2023,411,False,111,99,False,77,1448,False,10,2021,2024
16-01-2023,408,False,111,58,False,77,1444,False,10,2021,2024
09-01-2023,450,False,91,56,False,57,1448,False,10,2021,2024
02-01-2023,475,False,79,39,False,45,1457,False,10,2021,2024
26-12-2022,475,False,79,39,False,45,1454,False,10,2021,2024
19-12-2022,524,False,64,85,True,30,1453,False,10,2021,2024
12-12-2022,601,False,49,182,True,15,1452,False,10,2021,2024
05-12-2022,692,False,34,0,False,0,1458,False,10,2021,2024
28-11-2022,695,False,34,0,False,0,1458,False,10,2021,2024
21-11-2022,696,False,34,0,False,0,1456,False,10,2021,2024
14-11-2022,695,False,34,0,False,0,1466,False,10,2021,2024
07-11-2022,686,False,34,686,False,34,1456,False,10,2021,2024
31-10-2022,696,False,33,687,False,33,1446,False,10,2021,2024
24-10-2022,835,False,18,819,False,18,1650,True,6,2021,2024
17-10-2022,835,False,18,815,False,18,1643,True,6,2021,2024
10-10-2022,838,False,18,810,False,18,1653,True,6,2021,2024
03-10-2022,828,False,18,800,False,18,1637,True,6,2021,2024
26-09-2022,828,False,18,790,False,18,1633,True,6,2021,2024
19-09-2022,830,False,18,785,False,18,1623,True,6,2021,2024
12-09-2022,825,False,18,778,False,18,1608,True,6,2021,2024
29-08-2022,824,False,18,760,False,18,1592,True,6,2021,2024
22-08-2022,816,False,18,744,False,18,1581,True,6,2021,2024
15-08-2022,807,False,18,730,False,18,1559,True,6,2021,2024
08-08-2022,812,False,18,716,False,18,1556,True,6,2021,2024
01-08-2022,812,False,18,696,False,18,1573,True,6,2021,2024
25-07-2022,815,False,18,686,False,18,1582,True,6,2021,2024
18-07-2022,810,False,18,672,False,18,1592,True,6,2021,2024
11-07-2022,816,False,18,660,False,18,1621,True,6,2021,2024
27-06-2022,823,False,18,634,False,18,1633,True,6,2021,2024
20-06-2022,824,False,18,624,False,18,1636,True,6,2021,2024
13-06-2022,823,False,18,611,False,18,1629,True,6,2021,2024
06-06-2022,831,False,18,595,False,18,1649,True,6,2021,2024
23-05-2022,829,False,18,573,False,18,1516,True,8,2021,2024
16-05-2022,824,False,18,561,False,18,1505,True,8,2021,2024
09-05-2022,829,False,18,545,False,18,1505,True,8,2021,2024
02-05-2022,828,False,18,528,False,18,1508,True,8,2021,2024
25-04-2022,825,False,18,513,False,18,1509,True,8,2021,2024
18-04-2022,832,False,18,500,False,18,1514,True,8,2021,2024
11-04-2022,1016,True,10,506,False,10,1518,True,8,2021,2024
04-04-2022,1020,False,10,486,False,10,1522,True,8,2021,2024
21-03-2022,1431,True,3,610,True,3,1597,False,7,2021,2024
07-03-2022,0,False,0,0,False,0,1705,True,6,2021,2024
28-02-2022,0,False,0,0,False,0,1714,True,6,2021,2024
21-02-2022,0,False,0,0,False,0,1712,True,6,2021,2024
14-02-2022,0,False,0,0,False,0,1711,True,6,2021,2024
07-02-2022,0,False,0,0,False,0,1715,True,6,2021,2024
31-01-2022,0,False,0,0,False,0,1716,True,6,2021,2024
17-01-2022,0,False,0,0,False,0,1715,False,6,2021,2024
10-01-2022,0,False,0,0,False,0,1714,True,6,2021,2024
03-01-2022,0,False,0,0,False,0,1712,False,6,2021,2024
27-12-2021,0,False,0,0,False,0,1711,False,6,2021,2024
20-12-2021,0,False,0,0,False,0,1710,False,6,2021,2024
13-12-2021,0,False,0,0,False,0,1714,False,6,2021,2024
06-12-2021,0,False,0,0,False,0,1713,True,6,2021,2024
29-11-2021,0,False,0,0,False,0,1705,True,6,2021,2024
22-11-2021,0,False,0,0,False,0,1695,True,6,2021,2024
15-11-2021,0,False,0,0,False,0,1689,True,6,2021,2024
08-11-2021,0,False,0,0,False,0,1682,True,6,2021,2024
01-11-2021,0,False,0,0,False,0,1674,True,6,2021,2024
