rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,319,False,165,0,False,0,571,False,90,2005,2024
27-05-2024,269,False,210,0,False,0,580,False,90,2005,2024
20-05-2024,267,False,210,0,False,0,432,True,135,2005,2024
06-05-2024,250,False,235,0,False,0,431,True,135,2005,2024
22-04-2024,247,False,235,0,False,0,432,True,135,2005,2024
15-04-2024,242,False,235,0,False,0,431,True,135,2005,2024
08-04-2024,244,False,235,0,False,0,427,True,135,2005,2024
01-04-2024,246,False,235,0,False,0,425,True,135,2005,2024
18-03-2024,235,False,260,0,False,0,420,True,135,2005,2024
04-03-2024,213,False,285,0,False,0,427,True,135,2005,2024
26-02-2024,212,False,285,0,False,0,423,True,135,2005,2024
19-02-2024,212,False,285,0,False,0,422,True,135,2005,2024
12-02-2024,211,False,285,0,False,0,423,True,135,2005,2024
05-02-2024,202,False,305,0,False,0,420,True,135,2005,2024
29-01-2024,202,False,305,0,False,0,425,True,135,2005,2024
15-01-2024,190,False,315,0,False,0,424,True,135,2005,2024
08-01-2024,190,False,315,0,False,0,425,True,135,2005,2024
01-01-2024,192,False,315,0,False,0,421,False,135,2005,2024
25-12-2023,192,False,315,0,False,0,420,False,135,2005,2024
18-12-2023,192,False,315,0,False,0,420,False,135,2005,2024
11-12-2023,193,False,315,0,False,0,421,False,135,2005,2024
04-12-2023,194,False,315,0,False,0,420,False,135,2005,2024
27-11-2023,194,False,315,0,False,0,414,False,135,2005,2024
20-11-2023,193,False,315,0,False,0,418,False,135,2005,2024
13-11-2023,195,False,315,199,False,315,417,False,135,2005,2024
06-11-2023,197,False,315,191,False,315,361,False,165,2005,2024
30-10-2023,198,False,315,194,False,315,357,False,165,2005,2024
23-10-2023,197,False,315,191,False,315,360,False,165,2005,2024
16-10-2023,198,False,315,189,False,315,359,False,165,2005,2024
02-10-2023,194,False,315,178,False,315,359,False,165,2005,2024
25-09-2023,192,False,315,174,False,315,356,False,165,2005,2024
18-09-2023,190,False,315,168,False,315,355,False,165,2005,2024
11-09-2023,189,False,315,166,False,315,351,False,165,2005,2024
28-08-2023,203,False,305,154,False,305,349,False,165,2005,2024
21-08-2023,210,False,305,154,False,305,349,False,165,2005,2024
14-08-2023,209,False,305,150,False,305,352,False,165,2005,2024
07-08-2023,204,False,305,142,False,305,351,False,165,2005,2024
31-07-2023,199,False,305,134,False,305,353,False,165,2005,2024
24-07-2023,228,False,260,156,False,260,639,False,75,2005,2024
17-07-2023,229,False,260,148,False,260,628,False,75,2005,2024
03-07-2023,308,False,170,211,False,170,634,False,75,2005,2024
26-06-2023,334,False,150,224,False,150,624,False,75,2005,2024
19-06-2023,333,False,150,214,False,150,623,False,75,2005,2024
12-06-2023,331,False,150,210,False,150,619,False,75,2005,2024
29-05-2023,423,False,105,248,False,105,638,False,75,2005,2024
22-05-2023,421,False,105,245,False,105,1004,False,30,2005,2024
08-05-2023,484,False,80,281,False,80,1009,False,30,2005,2024
24-04-2023,485,False,80,268,False,80,1011,False,30,2005,2024
17-04-2023,479,False,80,256,False,80,1005,True,30,2005,2024
10-04-2023,477,False,80,244,False,80,1001,True,30,2005,2024
03-04-2023,477,False,80,228,False,80,1010,True,30,2005,2024
20-03-2023,581,False,55,264,False,55,1003,True,30,2005,2024
06-03-2023,739,False,30,360,False,30,1000,False,30,2005,2024
27-02-2023,732,False,30,341,True,30,998,False,30,2005,2024
20-02-2023,729,True,30,316,True,30,998,False,30,2005,2024
13-02-2023,723,False,30,295,True,30,994,False,30,2005,2024
06-02-2023,1018,False,10,486,True,10,992,True,30,2005,2024
30-01-2023,1012,False,10,445,True,10,981,True,30,2005,2024
16-01-2023,0,False,0,0,False,0,977,True,30,2005,2024
09-01-2023,0,False,0,0,False,0,977,True,30,2005,2024
02-01-2023,0,False,0,0,False,0,988,True,30,2005,2024
26-12-2022,0,False,0,0,False,0,989,True,30,2005,2024
19-12-2022,0,False,0,0,False,0,987,True,30,2005,2024
12-12-2022,0,False,0,0,False,0,987,True,30,2005,2024
05-12-2022,0,False,0,0,False,0,990,True,30,2005,2024
28-11-2022,0,False,0,0,False,0,991,True,30,2005,2024
21-11-2022,0,False,0,0,False,0,992,True,30,2005,2024
14-11-2022,0,False,0,0,False,0,991,True,30,2005,2024
07-11-2022,0,False,0,0,False,0,0,False,0,2005,2024
24-10-2022,0,False,0,0,False,0,0,False,0,2005,2024
17-10-2022,0,False,0,0,False,0,0,False,0,2005,2024
10-10-2022,759,True,25,0,False,0,0,False,0,2005,2024
03-10-2022,750,True,25,0,False,0,0,False,0,2005,2024
26-09-2022,748,True,25,0,False,0,0,False,0,2005,2024
19-09-2022,746,True,25,0,False,0,0,False,0,2005,2024
12-09-2022,740,True,25,0,False,0,0,False,0,2005,2024
29-08-2022,484,False,70,0,False,0,0,False,0,2005,2024
