rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,628,False,53,557,False,29,504,False,106,2007,2024
27-05-2024,632,False,53,535,False,29,511,False,106,2007,2024
20-05-2024,629,False,53,519,False,29,511,False,106,2007,2024
06-05-2024,624,False,53,487,False,29,511,False,106,2007,2024
22-04-2024,625,False,53,462,False,29,513,False,106,2007,2024
15-04-2024,623,False,53,450,False,29,520,False,106,2007,2024
08-04-2024,699,False,41,549,False,17,518,False,106,2007,2024
01-04-2024,698,False,41,530,False,17,516,False,106,2007,2024
18-03-2024,724,False,35,581,False,11,566,True,90,2007,2024
04-03-2024,723,False,35,542,False,11,561,True,90,2007,2024
26-02-2024,721,False,35,515,False,11,559,True,90,2007,2024
19-02-2024,757,False,31,592,True,7,564,True,90,2007,2024
12-02-2024,816,False,24,0,False,0,571,True,90,2007,2024
05-02-2024,816,False,24,0,False,0,569,True,90,2007,2024
29-01-2024,486,False,84,0,False,0,576,True,90,2007,2024
15-01-2024,450,False,94,0,False,0,571,True,90,2007,2024
08-01-2024,453,False,94,0,False,0,571,True,90,2007,2024
01-01-2024,437,False,100,0,False,0,575,True,90,2007,2024
25-12-2023,437,False,100,0,False,0,576,True,90,2007,2024
18-12-2023,437,False,100,0,False,0,575,True,90,2007,2024
11-12-2023,438,False,100,0,False,0,576,True,90,2007,2024
04-12-2023,437,False,100,0,False,0,576,True,90,2007,2024
27-11-2023,433,False,100,0,False,0,570,True,90,2007,2024
20-11-2023,434,False,100,0,False,0,570,True,90,2007,2024
13-11-2023,300,False,180,240,False,260,572,True,90,2007,2024
06-11-2023,287,False,196,295,False,180,568,True,90,2007,2024
30-10-2023,287,False,196,282,False,196,568,True,90,2007,2024
23-10-2023,287,False,196,279,False,196,569,True,90,2007,2024
16-10-2023,287,False,196,276,False,196,563,True,90,2007,2024
02-10-2023,220,False,281,263,False,196,575,True,90,2007,2024
25-09-2023,186,False,332,258,False,196,572,True,90,2007,2024
18-09-2023,188,False,316,265,False,180,571,True,90,2007,2024
11-09-2023,187,False,316,263,False,180,575,True,90,2007,2024
28-08-2023,192,False,316,262,False,172,578,True,90,2007,2024
21-08-2023,196,False,316,258,False,172,567,True,90,2007,2024
14-08-2023,168,False,361,256,False,172,562,True,90,2007,2024
07-08-2023,165,False,361,251,False,172,0,False,0,2007,2024
31-07-2023,167,False,361,236,False,172,0,False,0,2007,2024
24-07-2023,165,False,361,228,False,172,0,False,0,2007,2024
17-07-2023,161,False,368,220,False,172,0,False,0,2007,2024
03-07-2023,157,False,368,203,False,172,0,False,0,2007,2024
26-06-2023,157,False,368,199,False,172,0,False,0,2007,2024
19-06-2023,155,False,368,197,False,172,0,False,0,2007,2024
12-06-2023,155,False,379,190,False,172,0,False,0,2007,2024
29-05-2023,158,False,379,174,False,172,0,False,0,2007,2024
22-05-2023,158,False,379,169,False,172,0,False,0,2007,2024
08-05-2023,155,False,379,157,False,172,0,False,0,2007,2024
24-04-2023,157,False,379,134,False,172,0,False,0,2007,2024
17-04-2023,153,False,379,124,False,172,0,False,0,2007,2024
10-04-2023,153,False,379,117,False,172,0,False,0,2007,2024
03-04-2023,156,False,379,107,False,172,0,False,0,2007,2024
20-03-2023,158,False,379,92,False,172,0,False,0,2007,2024
06-03-2023,153,False,387,76,False,172,0,False,0,2007,2024
27-02-2023,139,False,417,63,False,172,0,False,0,2007,2024
20-02-2023,112,False,477,48,False,172,0,False,0,2007,2024
13-02-2023,111,False,477,38,False,172,0,False,0,2007,2024
06-02-2023,100,False,534,32,False,172,0,False,0,2007,2024
30-01-2023,113,False,474,62,False,112,0,False,0,2007,2024
16-01-2023,99,False,560,30,False,102,0,False,0,2007,2024
09-01-2023,94,False,576,21,False,102,0,False,0,2007,2024
02-01-2023,98,False,570,12,False,96,0,False,0,2007,2024
26-12-2022,98,False,570,12,False,96,0,False,0,2007,2024
19-12-2022,98,False,570,12,False,96,0,False,0,2007,2024
12-12-2022,99,False,570,12,False,96,0,False,0,2007,2024
05-12-2022,100,False,570,12,False,96,0,False,0,2007,2024
28-11-2022,100,False,570,11,False,96,0,False,0,2007,2024
21-11-2022,100,False,570,4,False,96,0,False,0,2007,2024
14-11-2022,115,False,490,38,True,16,0,False,0,2007,2024
07-11-2022,118,False,474,118,False,474,0,False,0,2007,2024
31-10-2022,121,False,474,117,False,474,0,False,0,2007,2024
24-10-2022,123,False,474,115,False,474,0,False,0,2007,2024
17-10-2022,121,False,474,114,False,474,0,False,0,2007,2024
