rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,209,False,293,124,False,248,291,False,225,2010,2024
27-05-2024,165,False,363,116,False,248,888,False,45,2010,2024
20-05-2024,165,False,363,114,False,248,881,False,45,2010,2024
06-05-2024,229,False,263,163,False,148,879,False,45,2010,2024
22-04-2024,226,False,263,151,False,148,874,True,45,2010,2024
15-04-2024,225,False,263,148,False,141,649,False,75,2010,2024
08-04-2024,227,False,265,140,False,141,651,False,75,2010,2024
01-04-2024,241,False,252,144,False,128,652,False,75,2010,2024
18-03-2024,242,False,252,119,False,128,653,False,75,2010,2024
04-03-2024,273,False,202,169,False,78,650,False,75,2010,2024
26-02-2024,289,False,195,166,False,71,638,False,75,2010,2024
19-02-2024,305,False,179,184,False,55,646,False,75,2010,2024
12-02-2024,306,False,179,155,False,55,655,False,75,2010,2024
05-02-2024,313,False,172,168,False,48,656,False,75,2010,2024
29-01-2024,315,False,172,154,False,48,1060,True,30,2010,2024
15-01-2024,287,False,197,86,False,48,1064,True,30,2010,2024
08-01-2024,283,False,199,62,False,48,1064,True,30,2010,2024
01-01-2024,329,False,155,0,False,0,865,False,46,2010,2024
25-12-2023,330,False,155,0,False,0,864,False,46,2010,2024
18-12-2023,329,False,155,0,False,0,862,False,46,2010,2024
11-12-2023,329,False,155,0,False,0,860,False,46,2010,2024
04-12-2023,330,False,155,0,False,0,853,False,46,2010,2024
27-11-2023,333,False,155,0,False,0,843,False,46,2010,2024
20-11-2023,335,False,155,0,False,0,840,False,46,2010,2024
13-11-2023,333,False,155,336,False,155,835,False,46,2010,2024
06-11-2023,332,False,155,329,False,155,841,False,46,2010,2024
30-10-2023,335,False,155,328,False,155,836,False,46,2010,2024
23-10-2023,336,False,155,326,False,155,837,False,46,2010,2024
16-10-2023,335,False,155,320,False,155,834,False,46,2010,2024
02-10-2023,339,False,155,308,False,155,836,False,46,2010,2024
25-09-2023,333,False,155,307,False,155,840,False,46,2010,2024
18-09-2023,332,False,155,300,False,155,842,False,46,2010,2024
11-09-2023,367,False,135,322,False,135,851,True,46,2010,2024
28-08-2023,363,False,135,310,False,135,853,True,46,2010,2024
21-08-2023,365,False,135,306,False,135,853,True,46,2010,2024
14-08-2023,365,False,135,302,False,135,847,True,46,2010,2024
07-08-2023,360,False,135,289,False,135,845,True,46,2010,2024
31-07-2023,359,False,135,281,False,135,840,True,46,2010,2024
24-07-2023,358,False,135,276,False,135,840,True,46,2010,2024
17-07-2023,359,False,135,268,False,135,834,True,46,2010,2024
03-07-2023,388,False,119,270,False,119,833,False,46,2010,2024
26-06-2023,386,False,119,267,False,119,826,False,46,2010,2024
19-06-2023,383,False,119,259,False,119,826,False,46,2010,2024
12-06-2023,402,False,110,264,False,110,634,False,71,2010,2024
29-05-2023,675,False,40,445,False,40,654,False,71,2010,2024
22-05-2023,670,False,40,436,False,40,646,False,71,2010,2024
08-05-2023,678,False,40,418,False,40,651,False,71,2010,2024
24-04-2023,471,False,85,391,False,40,644,False,71,2010,2024
17-04-2023,486,False,78,426,False,33,542,False,91,2010,2024
10-04-2023,458,False,92,427,False,31,542,False,91,2010,2024
03-04-2023,454,False,92,416,True,31,545,False,91,2010,2024
20-03-2023,459,False,92,384,True,31,549,False,91,2010,2024
06-03-2023,452,False,92,350,True,31,543,False,91,2010,2024
27-02-2023,451,False,92,333,True,31,539,False,91,2010,2024
20-02-2023,429,False,101,307,True,31,531,False,91,2010,2024
13-02-2023,336,False,146,288,True,31,524,False,91,2010,2024
06-02-2023,335,False,146,270,True,31,530,False,91,2010,2024
30-01-2023,334,False,146,245,True,31,527,False,91,2010,2024
16-01-2023,367,False,128,473,True,6,531,False,91,2010,2024
