rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,212,False,288,249,False,108,534,False,97,2012,2024
27-05-2024,200,False,303,234,False,108,542,False,97,2012,2024
20-05-2024,201,False,303,228,False,108,543,False,97,2012,2024
06-05-2024,197,False,303,214,False,108,543,False,97,2012,2024
22-04-2024,175,False,344,201,False,108,475,False,122,2012,2024
15-04-2024,176,False,344,190,False,108,479,False,122,2012,2024
08-04-2024,172,False,352,208,False,86,475,False,122,2012,2024
01-04-2024,172,False,351,210,False,78,471,False,122,2012,2024
18-03-2024,167,False,378,188,False,78,468,False,122,2012,2024
04-03-2024,168,False,378,170,False,78,578,False,90,2012,2024
26-02-2024,168,False,378,154,False,78,576,False,90,2012,2024
19-02-2024,164,False,380,147,False,71,449,False,126,2012,2024
12-02-2024,166,False,380,125,False,71,451,False,126,2012,2024
05-02-2024,164,False,380,109,False,71,447,False,126,2012,2024
29-01-2024,161,False,398,118,False,59,312,False,201,2012,2024
15-01-2024,154,False,406,60,False,59,237,False,291,2012,2024
08-01-2024,156,False,406,44,False,59,240,False,291,2012,2024
01-01-2024,150,False,419,21,False,59,238,False,291,2012,2024
25-12-2023,150,False,419,21,False,59,238,False,291,2012,2024
18-12-2023,150,False,419,21,False,59,238,False,291,2012,2024
11-12-2023,150,False,419,21,False,59,238,False,291,2012,2024
04-12-2023,150,False,419,21,False,59,239,False,291,2012,2024
27-11-2023,162,False,390,48,False,23,237,False,291,2012,2024
20-11-2023,163,False,390,31,True,16,240,False,291,2012,2024
13-11-2023,158,False,394,152,False,414,218,False,321,2012,2024
06-11-2023,158,False,394,155,False,394,218,False,321,2012,2024
30-10-2023,161,False,394,174,False,344,209,False,337,2012,2024
23-10-2023,160,False,394,173,False,344,209,False,337,2012,2024
16-10-2023,151,False,412,171,False,344,165,False,462,2012,2024
02-10-2023,140,False,435,164,False,337,159,False,502,2012,2024
25-09-2023,140,False,435,161,False,337,158,False,502,2012,2024
18-09-2023,152,False,410,170,False,312,156,False,502,2012,2024
11-09-2023,167,False,367,194,False,264,152,False,502,2012,2024
28-08-2023,174,False,353,194,False,248,155,False,502,2012,2024
21-08-2023,175,False,353,194,False,248,157,False,502,2012,2024
14-08-2023,176,False,345,195,False,239,159,False,502,2012,2024
07-08-2023,173,False,345,187,False,237,159,False,502,2012,2024
31-07-2023,173,False,345,179,False,237,171,False,457,2012,2024
24-07-2023,170,False,345,173,False,237,173,False,457,2012,2024
17-07-2023,170,False,345,163,False,237,174,False,437,2012,2024
03-07-2023,176,False,329,164,False,221,174,False,437,2012,2024
26-06-2023,175,False,329,161,False,221,173,False,437,2012,2024
19-06-2023,175,False,329,155,False,221,169,False,437,2012,2024
12-06-2023,179,False,329,149,False,221,166,False,437,2012,2024
29-05-2023,194,False,314,139,False,208,176,False,437,2012,2024
22-05-2023,194,False,314,136,False,208,175,False,437,2012,2024
08-05-2023,192,False,314,127,False,206,173,False,437,2012,2024
24-04-2023,209,False,273,140,False,167,179,False,412,2012,2024
17-04-2023,210,False,273,129,False,167,177,False,412,2012,2024
10-04-2023,232,False,243,147,False,137,176,False,412,2012,2024
03-04-2023,239,False,236,143,False,130,174,False,412,2012,2024
20-03-2023,272,False,195,176,False,89,177,False,412,2012,2024
06-03-2023,270,False,195,158,False,89,183,False,412,2012,2024
27-02-2023,272,False,195,145,False,89,179,False,412,2012,2024
20-02-2023,284,False,186,143,False,80,189,False,376,2012,2024
13-02-2023,273,False,193,124,False,80,188,False,376,2012,2024
06-02-2023,275,False,193,104,False,80,176,False,406,2012,2024
30-01-2023,303,False,169,147,False,50,206,False,331,2012,2024
16-01-2023,306,False,169,108,False,42,268,False,241,2012,2024
09-01-2023,303,False,169,88,False,42,269,False,241,2012,2024
02-01-2023,334,False,149,130,False,22,270,False,241,2012,2024
26-12-2022,334,False,149,130,False,22,270,False,241,2012,2024
19-12-2022,332,False,149,127,False,22,269,False,241,2012,2024
12-12-2022,332,False,149,119,False,22,270,False,241,2012,2024
05-12-2022,336,False,149,114,False,22,271,False,241,2012,2024
28-11-2022,335,False,149,97,False,22,270,False,241,2012,2024
21-11-2022,335,False,147,63,True,20,268,False,241,2012,2024
14-11-2022,371,False,127,0,False,0,294,False,211,2012,2024
07-11-2022,374,False,127,374,False,127,288,False,211,2012,2024
31-10-2022,478,False,77,475,False,77,300,False,195,2012,2024
24-10-2022,476,False,77,470,False,77,297,False,195,2012,2024
17-10-2022,563,False,52,548,False,52,642,False,70,2012,2024
10-10-2022,562,False,52,539,False,52,990,False,30,2012,2024
03-10-2022,787,False,22,753,False,22,978,True,30,2012,2024
26-09-2022,782,False,22,744,False,22,967,True,30,2012,2024
19-09-2022,674,False,33,750,False,21,606,False,75,2012,2024
12-09-2022,627,False,40,738,False,21,596,False,75,2012,2024
29-08-2022,615,False,40,720,False,21,598,False,75,2012,2024
22-08-2022,608,False,40,704,False,21,600,False,75,2012,2024
15-08-2022,596,False,40,695,False,21,598,False,75,2012,2024
08-08-2022,553,False,49,681,False,21,594,False,75,2012,2024
01-08-2022,479,False,72,663,False,21,475,False,104,2012,2024
25-07-2022,439,False,87,649,False,21,302,False,194,2012,2024
18-07-2022,388,False,107,638,False,21,310,False,194,2012,2024
11-07-2022,371,False,115,622,False,21,270,False,234,2012,2024
27-06-2022,273,False,185,608,False,21,275,False,234,2012,2024
20-06-2022,270,False,185,596,False,21,274,False,234,2012,2024
13-06-2022,275,False,185,586,False,21,210,False,359,2012,2024
06-06-2022,252,False,220,571,False,21,204,False,384,2012,2024
