rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,100,False,612,139,False,228,31,False,2765,2013,2024
27-05-2024,94,False,647,130,False,218,33,False,2675,2013,2024
20-05-2024,92,False,647,127,False,218,33,False,2675,2013,2024
06-05-2024,84,False,710,123,False,200,33,False,2705,2013,2024
22-04-2024,80,False,731,132,False,170,31,False,2755,2013,2024
15-04-2024,78,False,731,123,False,170,31,False,2755,2013,2024
08-04-2024,81,False,731,116,False,170,28,False,2755,2013,2024
01-04-2024,79,False,726,122,False,145,30,False,2755,2013,2024
18-03-2024,68,False,796,114,False,135,30,False,2765,2013,2024
04-03-2024,71,False,796,108,False,125,29,False,2840,2013,2024
26-02-2024,62,False,886,100,False,125,29,False,2840,2013,2024
19-02-2024,51,False,961,98,False,100,29,False,2635,2013,2024
12-02-2024,41,False,1051,87,False,100,29,False,2635,2013,2024
05-02-2024,43,False,1036,103,True,75,33,False,2421,2013,2024
29-01-2024,43,False,1036,93,True,75,32,False,2460,2013,2024
15-01-2024,45,False,1021,179,True,25,33,False,2460,2013,2024
08-01-2024,45,False,1006,0,False,0,33,False,2460,2013,2024
01-01-2024,45,False,1012,0,False,0,35,False,2406,2013,2024
25-12-2023,45,False,1012,0,False,0,35,False,2406,2013,2024
18-12-2023,45,False,1012,0,False,0,35,False,2406,2013,2024
11-12-2023,45,False,1012,0,False,0,35,False,2406,2013,2024
04-12-2023,45,False,1012,0,False,0,35,False,2406,2013,2024
27-11-2023,45,False,1012,0,False,0,35,False,2406,2013,2024
20-11-2023,45,False,1012,0,False,0,35,False,2406,2013,2024
13-11-2023,45,False,1012,45,False,1012,35,False,2406,2013,2024
06-11-2023,45,False,1002,45,False,1002,37,False,2332,2013,2024
30-10-2023,43,False,1022,45,False,992,39,False,2332,2013,2024
23-10-2023,41,False,1041,43,False,992,41,False,2258,2013,2024
16-10-2023,40,False,1041,39,False,992,45,False,1883,2013,2024
02-10-2023,41,False,1047,38,False,982,44,False,1907,2013,2024
25-09-2023,43,False,1047,38,False,982,46,False,1907,2013,2024
18-09-2023,43,False,1047,36,False,982,45,False,1878,2013,2024
11-09-2023,43,False,1047,36,False,982,45,False,1878,2013,2024
28-08-2023,43,False,1048,35,False,972,44,False,2058,2013,2024
