rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,13,False,2710,13,False,1525,0,False,0,2014,2024
27-05-2024,14,False,2655,13,False,1425,0,False,0,2014,2024
20-05-2024,14,False,2655,12,False,1425,0,False,0,2014,2024
06-05-2024,16,False,2300,18,False,1025,0,False,0,2014,2024
22-04-2024,16,False,2350,16,False,975,0,False,0,2014,2024
15-04-2024,16,False,2350,14,False,975,0,False,0,2014,2024
08-04-2024,16,False,2350,12,False,975,0,False,0,2014,2024
01-04-2024,15,False,2350,11,False,975,0,False,0,2014,2024
18-03-2024,14,False,2430,9,False,965,341,False,180,2014,2024
04-03-2024,17,False,2120,16,False,565,342,False,180,2014,2024
26-02-2024,14,False,2375,11,False,565,346,False,180,2014,2024
19-02-2024,14,False,2375,10,False,565,351,False,180,2014,2024
12-02-2024,14,False,2255,11,False,400,352,False,180,2014,2024
05-02-2024,15,False,2050,46,False,150,343,False,180,2014,2024
29-01-2024,15,False,2050,41,False,150,345,False,180,2014,2024
15-01-2024,14,False,2670,72,True,50,344,False,180,2014,2024
08-01-2024,14,False,2665,0,False,0,345,False,180,2014,2024
01-01-2024,13,False,2665,0,False,0,343,False,180,2014,2024
25-12-2023,13,False,2665,0,False,0,343,False,180,2014,2024
18-12-2023,13,False,2665,0,False,0,343,False,180,2014,2024
11-12-2023,13,False,2665,0,False,0,342,False,180,2014,2024
04-12-2023,13,False,2665,0,False,0,339,False,180,2014,2024
27-11-2023,13,False,2665,0,False,0,336,False,180,2014,2024
20-11-2023,13,False,2665,0,False,0,334,False,180,2014,2024
13-11-2023,13,False,2665,13,False,2665,335,False,180,2014,2024
06-11-2023,13,False,2665,13,False,2665,338,False,180,2014,2024
30-10-2023,12,False,2800,12,False,2620,339,False,180,2014,2024
23-10-2023,12,False,2775,12,False,2595,334,False,180,2014,2024
16-10-2023,12,False,2705,12,False,2525,336,False,180,2014,2024
02-10-2023,12,False,2660,12,False,2435,337,False,180,2014,2024
25-09-2023,13,False,2660,12,False,2435,335,False,180,2014,2024
18-09-2023,13,False,2660,12,False,2435,336,False,180,2014,2024
11-09-2023,13,False,2660,12,False,2435,333,False,180,2014,2024
28-08-2023,14,False,2570,12,False,2255,332,False,180,2014,2024
21-08-2023,14,False,2570,12,False,2255,331,False,180,2014,2024
14-08-2023,13,False,2525,12,False,2165,328,False,180,2014,2024
07-08-2023,14,False,2345,12,False,1805,330,False,180,2014,2024
31-07-2023,14,False,2320,12,False,1780,328,False,180,2014,2024
24-07-2023,14,False,2345,11,False,1780,274,False,225,2014,2024
17-07-2023,14,False,2320,12,False,1745,269,False,225,2014,2024
03-07-2023,15,False,2250,12,False,1655,270,False,225,2014,2024
26-06-2023,17,False,2110,14,False,1515,268,False,225,2014,2024
19-06-2023,15,False,2135,13,False,1495,265,False,225,2014,2024
12-06-2023,16,False,2205,12,False,1475,181,False,405,2014,2024
29-05-2023,17,False,2170,11,False,1430,140,False,585,2014,2024
22-05-2023,17,False,2135,11,False,1385,139,False,585,2014,2024
08-05-2023,17,False,2170,10,False,1375,140,False,585,2014,2024
24-04-2023,17,False,2070,11,False,1265,122,False,720,2014,2024
17-04-2023,18,False,2070,9,False,1265,121,False,720,2014,2024
10-04-2023,18,False,2070,7,False,1265,120,False,720,2014,2024
03-04-2023,18,False,2090,7,False,1265,118,False,720,2014,2024
20-03-2023,19,False,2045,6,False,1175,146,False,540,2014,2024
06-03-2023,19,False,2000,4,False,1085,120,False,720,2014,2024
27-02-2023,23,False,1700,6,False,785,116,False,720,2014,2024
20-02-2023,21,False,1790,4,False,785,118,False,720,2014,2024
13-02-2023,18,False,1835,4,False,740,117,False,720,2014,2024
06-02-2023,19,False,1835,4,False,740,116,False,720,2014,2024
30-01-2023,19,False,1835,4,False,740,118,False,720,2014,2024
16-01-2023,35,False,1160,239,True,20,112,False,720,2014,2024
09-01-2023,35,False,1185,0,False,0,114,False,720,2014,2024
02-01-2023,32,False,1210,0,False,0,106,False,765,2014,2024
26-12-2022,32,False,1210,0,False,0,106,False,765,2014,2024
19-12-2022,32,False,1210,0,False,0,106,False,765,2014,2024
12-12-2022,32,False,1210,0,False,0,107,False,765,2014,2024
05-12-2022,32,False,1210,0,False,0,108,False,765,2014,2024
28-11-2022,33,False,1210,0,False,0,108,False,765,2014,2024
21-11-2022,33,False,1210,0,False,0,108,False,765,2014,2024
14-11-2022,33,False,1210,0,False,0,109,False,765,2014,2024
07-11-2022,29,False,1440,29,False,1440,109,False,765,2014,2024
31-10-2022,31,False,1330,32,False,1260,110,False,765,2014,2024
24-10-2022,30,False,1330,31,False,1260,106,False,810,2014,2024
17-10-2022,31,False,1330,31,False,1260,104,False,810,2014,2024
10-10-2022,30,False,1375,31,False,1235,105,False,810,2014,2024
03-10-2022,30,False,1375,30,False,1235,104,False,810,2014,2024
26-09-2022,28,False,1375,29,False,1235,101,False,855,2014,2024
19-09-2022,29,False,1375,29,False,1235,98,False,855,2014,2024
12-09-2022,29,False,1375,29,False,1235,97,False,855,2014,2024
29-08-2022,34,False,1305,29,False,1145,100,False,855,2014,2024
22-08-2022,33,False,1305,29,False,1145,100,False,855,2014,2024
15-08-2022,31,False,1330,29,False,1100,101,False,855,2014,2024
08-08-2022,34,False,1220,32,False,920,101,False,855,2014,2024
01-08-2022,34,False,1220,31,False,920,100,False,855,2014,2024
25-07-2022,36,False,1195,31,False,875,103,False,810,2014,2024
18-07-2022,34,False,1195,30,False,875,104,False,810,2014,2024
11-07-2022,32,False,1208,27,False,875,103,False,810,2014,2024
27-06-2022,32,False,1208,29,False,855,106,False,810,2014,2024
20-06-2022,35,False,1183,30,False,830,108,False,810,2014,2024
