rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
11-09-2023,0,False,0,0,False,0,0,False,0,2002,2023
28-08-2023,0,False,0,0,False,0,0,False,0,2002,2023
21-08-2023,0,False,0,0,False,0,0,False,0,2002,2023
14-08-2023,0,False,0,0,False,0,0,False,0,2002,2023
07-08-2023,0,False,0,0,False,0,0,False,0,2002,2023
31-07-2023,0,False,0,0,False,0,0,False,0,2002,2023
24-07-2023,0,False,0,0,False,0,0,False,0,2002,2023
17-07-2023,0,False,0,0,False,0,0,False,0,2002,2023
03-07-2023,0,False,0,0,False,0,0,False,0,2002,2023
26-06-2023,0,False,0,0,False,0,0,False,0,2002,2023
19-06-2023,0,False,0,0,False,0,0,False,0,2002,2023
12-06-2023,529,False,65,0,False,0,0,False,0,2002,2023
29-05-2023,444,False,97,0,False,0,0,False,0,2002,2023
22-05-2023,439,False,97,0,False,0,0,False,0,2002,2023
08-05-2023,443,False,97,0,False,0,0,False,0,2002,2023
24-04-2023,451,False,97,0,False,0,0,False,0,2002,2023
17-04-2023,453,False,97,0,False,0,0,False,0,2002,2023
10-04-2023,452,False,97,0,False,0,0,False,0,2002,2023
03-04-2023,398,False,117,0,False,0,0,False,0,2002,2023
20-03-2023,396,False,117,0,False,0,0,False,0,2002,2023
06-03-2023,349,False,142,0,False,0,0,False,0,2002,2023
27-02-2023,345,False,142,0,False,0,0,False,0,2002,2023
20-02-2023,344,False,142,0,False,0,0,False,0,2002,2023
13-02-2023,342,False,142,0,False,0,0,False,0,2002,2023
06-02-2023,341,False,142,0,False,0,544,False,90,2002,2023
30-01-2023,340,False,142,0,False,0,541,False,90,2002,2023
16-01-2023,329,False,152,0,False,0,329,False,180,2002,2023
09-01-2023,326,False,152,0,False,0,329,False,180,2002,2023
02-01-2023,328,False,152,0,False,0,327,False,180,2002,2023
26-12-2022,329,False,152,0,False,0,327,False,180,2002,2023
19-12-2022,329,False,152,0,False,0,328,False,180,2002,2023
12-12-2022,329,False,152,0,False,0,329,False,180,2002,2023
05-12-2022,332,False,152,0,False,0,328,False,180,2002,2023
28-11-2022,328,False,152,0,False,0,327,False,180,2002,2023
21-11-2022,326,False,152,0,False,0,322,False,180,2002,2023
14-11-2022,327,False,152,0,False,0,322,False,180,2002,2023
07-11-2022,324,False,152,324,False,152,318,False,180,2002,2023
31-10-2022,323,False,152,319,False,152,324,False,180,2002,2023
24-10-2022,323,False,152,313,False,152,322,False,180,2002,2023
17-10-2022,326,False,152,308,False,152,310,False,180,2002,2023
10-10-2022,308,False,162,300,False,152,238,False,270,2002,2023
03-10-2022,303,False,162,292,False,152,234,False,270,2002,2023
26-09-2022,305,False,162,288,False,152,231,False,270,2002,2023
19-09-2022,303,False,162,282,False,152,233,False,270,2002,2023
12-09-2022,302,False,162,278,False,152,233,False,270,2002,2023
29-08-2022,287,False,172,269,False,152,85,False,990,2002,2023
22-08-2022,281,False,172,256,False,152,86,False,990,2002,2023
15-08-2022,278,False,172,250,False,152,87,False,990,2002,2023
08-08-2022,280,False,172,245,False,152,89,False,990,2002,2023
01-08-2022,282,False,172,238,False,152,89,False,990,2002,2023
25-07-2022,280,False,172,227,False,152,89,False,990,2002,2023
18-07-2022,282,False,172,222,False,152,82,False,1080,2002,2023
11-07-2022,281,False,172,215,False,152,85,False,1080,2002,2023
27-06-2022,157,False,352,202,False,152,85,False,1080,2002,2023
20-06-2022,99,False,577,198,False,152,84,False,1080,2002,2023
13-06-2022,121,False,512,302,False,87,75,False,1170,2002,2023
06-06-2022,107,False,580,385,False,55,78,False,1170,2002,2023
23-05-2022,104,False,580,361,False,55,76,False,1170,2002,2023
16-05-2022,107,False,580,351,False,55,75,False,1170,2002,2023
09-05-2022,107,False,585,333,False,55,76,False,1170,2002,2023
