rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,154,False,393,149,False,201,870,True,45,2015,2024
27-05-2024,139,False,487,139,False,194,885,True,45,2015,2024
20-05-2024,138,False,487,138,False,194,878,True,45,2015,2024
06-05-2024,133,False,487,125,False,194,876,True,45,2015,2024
22-04-2024,117,False,545,117,False,194,872,True,45,2015,2024
15-04-2024,118,False,520,124,False,169,873,True,45,2015,2024
08-04-2024,124,False,495,136,False,144,878,True,45,2015,2024
01-04-2024,119,False,515,123,False,144,880,True,45,2015,2024
18-03-2024,91,False,651,106,False,144,878,True,45,2015,2024
04-03-2024,96,False,631,111,False,124,877,True,45,2015,2024
26-02-2024,91,False,656,102,False,124,875,True,45,2015,2024
19-02-2024,87,False,664,85,False,116,877,True,45,2015,2024
12-02-2024,88,False,666,77,False,116,876,True,45,2015,2024
05-02-2024,89,False,666,64,False,116,875,True,45,2015,2024
29-01-2024,108,False,575,339,False,16,879,True,45,2015,2024
15-01-2024,111,False,575,252,False,16,878,True,45,2015,2024
08-01-2024,115,False,575,220,False,16,875,True,45,2015,2024
01-01-2024,115,False,575,158,False,16,877,True,45,2015,2024
25-12-2023,115,False,575,156,False,16,876,True,45,2015,2024
18-12-2023,115,False,575,149,False,16,875,True,45,2015,2024
11-12-2023,115,False,575,144,False,16,874,True,45,2015,2024
04-12-2023,115,False,575,131,False,16,866,True,45,2015,2024
27-11-2023,111,False,582,82,True,16,855,True,45,2015,2024
20-11-2023,110,False,589,31,True,16,851,True,45,2015,2024
13-11-2023,107,False,582,108,False,582,847,True,45,2015,2024
06-11-2023,110,False,571,110,False,571,852,True,45,2015,2024
30-10-2023,102,False,592,108,False,562,847,True,45,2015,2024
23-10-2023,103,False,592,108,False,562,845,True,45,2015,2024
16-10-2023,103,False,591,102,False,561,843,True,45,2015,2024
02-10-2023,100,False,618,100,False,552,846,True,45,2015,2024
25-09-2023,107,False,572,105,False,504,849,True,45,2015,2024
18-09-2023,108,False,572,104,False,504,851,True,45,2015,2024
11-09-2023,109,False,572,102,False,504,861,True,45,2015,2024
28-08-2023,100,False,583,92,False,495,867,True,45,2015,2024
21-08-2023,102,False,583,92,False,495,868,True,45,2015,2024
14-08-2023,104,False,583,92,False,486,860,True,45,2015,2024
07-08-2023,109,False,583,91,False,476,864,True,45,2015,2024
31-07-2023,107,False,583,90,False,476,857,True,45,2015,2024
24-07-2023,117,False,558,93,False,441,568,False,90,2015,2024
17-07-2023,118,False,535,93,False,418,842,True,45,2015,2024
03-07-2023,118,False,533,84,False,407,851,True,45,2015,2024
26-06-2023,118,False,533,83,False,407,843,True,45,2015,2024
19-06-2023,116,False,533,78,False,407,843,True,45,2015,2024
12-06-2023,114,False,533,76,False,407,641,False,70,2015,2024
29-05-2023,134,False,452,87,False,315,660,False,70,2015,2024
22-05-2023,134,False,452,86,False,315,651,False,70,2015,2024
08-05-2023,132,False,452,79,False,306,656,False,70,2015,2024
24-04-2023,119,False,502,91,False,257,647,False,70,2015,2024
17-04-2023,118,False,502,82,False,257,644,False,70,2015,2024
10-04-2023,119,False,502,76,False,257,580,False,86,2015,2024
03-04-2023,120,False,490,71,False,245,581,False,86,2015,2024
20-03-2023,131,False,450,144,False,117,583,False,86,2015,2024
06-03-2023,131,False,450,129,False,109,579,False,86,2015,2024
27-02-2023,133,False,433,135,False,92,573,False,86,2015,2024
20-02-2023,134,False,424,152,False,76,565,False,86,2015,2024
13-02-2023,131,False,421,148,False,66,561,False,86,2015,2024
06-02-2023,122,False,444,144,False,57,569,False,86,2015,2024
30-01-2023,125,False,444,130,False,57,563,False,86,2015,2024
16-01-2023,122,False,467,88,False,49,492,False,102,2015,2024
09-01-2023,122,False,467,69,False,49,492,False,102,2015,2024
02-01-2023,122,False,465,53,False,40,502,False,102,2015,2024
