rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,15,False,2540,14,False,1375,349,False,180,2018,2024
27-05-2024,13,False,2700,18,False,1175,345,False,180,2018,2024
20-05-2024,13,False,2700,18,False,1175,344,False,180,2018,2024
06-05-2024,12,False,3250,14,False,1125,341,False,180,2018,2024
22-04-2024,12,False,3245,12,False,1075,340,False,180,2018,2024
15-04-2024,12,False,3395,15,False,975,333,False,180,2018,2024
08-04-2024,7,False,3795,17,False,775,574,True,90,2018,2024
01-04-2024,7,False,3795,16,False,775,576,True,90,2018,2024
18-03-2024,7,False,3875,16,False,765,573,True,90,2018,2024
04-03-2024,7,False,3720,17,False,565,573,True,90,2018,2024
26-02-2024,7,False,3700,24,False,365,571,True,90,2018,2024
19-02-2024,7,False,3700,16,False,365,573,True,90,2018,2024
12-02-2024,7,False,3695,19,False,315,580,True,90,2018,2024
05-02-2024,7,False,3775,15,False,315,578,True,90,2018,2024
29-01-2024,7,False,3685,21,True,215,585,True,90,2018,2024
15-01-2024,8,False,3815,10,True,165,579,True,90,2018,2024
08-01-2024,8,False,3815,6,True,165,579,True,90,2018,2024
01-01-2024,8,False,3660,0,False,0,579,False,90,2018,2024
25-12-2023,8,False,3660,0,False,0,580,False,90,2018,2024
18-12-2023,8,False,3660,0,False,0,579,False,90,2018,2024
11-12-2023,8,False,3660,0,False,0,580,False,90,2018,2024
04-12-2023,8,False,3660,0,False,0,580,False,90,2018,2024
27-11-2023,8,False,3660,0,False,0,574,False,90,2018,2024
20-11-2023,8,False,3660,0,False,0,574,False,90,2018,2024
13-11-2023,8,False,3460,8,False,3460,576,True,90,2018,2024
06-11-2023,10,False,3460,8,False,3460,572,True,90,2018,2024
30-10-2023,7,False,4280,8,False,3280,572,False,90,2018,2024
23-10-2023,6,False,4400,8,False,3110,573,False,90,2018,2024
16-10-2023,6,False,4605,8,False,3110,567,False,90,2018,2024
02-10-2023,5,False,4640,8,False,3100,578,False,90,2018,2024
25-09-2023,4,False,4710,8,False,3055,575,False,90,2018,2024
18-09-2023,4,False,4710,7,False,3055,573,True,90,2018,2024
11-09-2023,4,False,4710,7,False,3055,577,True,90,2018,2024
28-08-2023,4,False,4790,7,False,3045,328,False,180,2018,2024
21-08-2023,4,False,4790,7,False,3045,327,False,180,2018,2024
14-08-2023,5,False,4790,7,False,3035,204,False,360,2018,2024
07-08-2023,6,False,4825,7,False,3025,204,False,360,2018,2024
31-07-2023,6,False,4825,7,False,3025,201,False,360,2018,2024
24-07-2023,6,False,4825,7,False,3025,197,False,360,2018,2024
17-07-2023,6,False,4825,6,False,3025,197,False,360,2018,2024
03-07-2023,6,False,4510,5,False,2665,200,False,360,2018,2024
26-06-2023,6,False,4510,5,False,2665,198,False,360,2018,2024
19-06-2023,6,False,4375,5,False,2485,191,False,360,2018,2024
12-06-2023,6,False,4375,5,False,2485,193,False,360,2018,2024
29-05-2023,6,False,4375,7,False,2125,193,False,360,2018,2024
22-05-2023,6,False,4375,7,False,2125,192,False,360,2018,2024
08-05-2023,7,False,3865,9,False,1525,195,False,360,2018,2024
24-04-2023,7,False,4070,8,False,1480,196,False,360,2018,2024
17-04-2023,7,False,3865,11,False,1230,194,False,360,2018,2024
10-04-2023,9,False,3335,16,False,630,235,False,270,2018,2024
03-04-2023,8,False,3370,15,False,630,235,False,270,2018,2024
20-03-2023,8,False,3325,18,False,540,236,False,270,2018,2024
06-03-2023,8,False,3321,18,False,495,240,False,270,2018,2024
27-02-2023,10,False,3161,26,False,315,235,False,270,2018,2024
20-02-2023,10,False,3161,18,False,315,237,False,270,2018,2024
13-02-2023,9,False,3136,20,False,270,197,False,360,2018,2024
06-02-2023,9,False,3046,27,True,180,194,False,360,2018,2024
30-01-2023,9,False,3046,27,True,180,196,False,360,2018,2024
16-01-2023,10,False,2876,0,False,0,194,False,360,2018,2024
09-01-2023,10,False,2876,0,False,0,187,False,380,2018,2024
02-01-2023,11,False,2888,0,False,0,188,False,380,2018,2024
26-12-2022,11,False,2888,0,False,0,188,False,380,2018,2024
19-12-2022,11,False,2888,0,False,0,188,False,380,2018,2024
12-12-2022,11,False,2888,0,False,0,190,False,380,2018,2024
05-12-2022,11,False,2888,0,False,0,191,False,380,2018,2024
28-11-2022,11,False,2888,0,False,0,190,False,380,2018,2024
21-11-2022,11,False,2888,0,False,0,186,False,380,2018,2024
14-11-2022,10,False,2911,0,False,0,187,False,380,2018,2024
07-11-2022,10,False,2911,10,False,2911,185,False,380,2018,2024
31-10-2022,18,False,1991,19,False,1911,188,False,380,2018,2024
24-10-2022,25,False,1703,25,False,1623,185,False,380,2018,2024
17-10-2022,27,False,1461,28,False,1373,180,False,380,2018,2024
10-10-2022,27,False,1461,26,False,1373,181,False,380,2018,2024
03-10-2022,26,False,1461,26,False,1373,174,False,380,2018,2024
26-09-2022,31,False,1336,30,False,1223,174,False,380,2018,2024
19-09-2022,31,False,1348,33,False,1178,176,False,380,2018,2024
12-09-2022,31,False,1365,33,False,1178,175,False,380,2018,2024
29-08-2022,33,False,1310,33,False,1088,221,False,290,2018,2024
22-08-2022,32,False,1310,33,False,1088,220,False,290,2018,2024
15-08-2022,29,False,1380,32,False,1078,451,False,110,2018,2024
08-08-2022,26,False,1425,30,False,1033,453,False,110,2018,2024
01-08-2022,28,False,1388,30,False,988,447,False,110,2018,2024
25-07-2022,27,False,1412,29,False,988,456,False,110,2018,2024
18-07-2022,27,False,1412,28,False,988,464,False,110,2018,2024
11-07-2022,28,False,1420,24,False,988,470,False,110,2018,2024
27-06-2022,29,False,1420,23,False,988,471,False,110,2018,2024
20-06-2022,29,False,1429,23,False,988,472,False,110,2018,2024
13-06-2022,28,False,1429,22,False,988,475,False,110,2018,2024
06-06-2022,28,False,1489,21,False,988,481,False,110,2018,2024
23-05-2022,40,False,1159,32,False,628,470,False,110,2018,2024
16-05-2022,40,False,1089,36,False,538,470,False,110,2018,2024
09-05-2022,42,False,1089,36,False,538,465,False,110,2018,2024
02-05-2022,45,False,1089,30,False,538,465,False,110,2018,2024
25-04-2022,70,False,859,77,False,288,466,False,110,2018,2024
18-04-2022,72,False,857,78,False,268,469,False,110,2018,2024
11-04-2022,79,False,802,101,False,163,475,False,110,2018,2024
04-04-2022,91,False,734,166,False,83,467,False,110,2018,2024
21-03-2022,88,False,734,137,False,83,459,False,110,2018,2024
07-03-2022,86,False,750,182,False,42,475,False,110,2018,2024
28-02-2022,88,False,750,177,False,42,458,False,113,2018,2024
21-02-2022,88,False,750,162,False,42,471,False,113,2018,2024
14-02-2022,90,False,742,213,False,22,1079,False,23,2018,2024
07-02-2022,88,False,742,188,True,22,1085,False,23,2018,2024
31-01-2022,97,False,742,162,True,22,1088,False,23,2018,2024
17-01-2022,99,False,742,113,True,12,1085,False,23,2018,2024
10-01-2022,102,False,742,79,True,12,2058,True,3,2018,2024
03-01-2022,103,False,740,0,False,0,2052,True,3,2018,2024
27-12-2021,103,False,740,67,False,740,2053,True,3,2018,2024
20-12-2021,103,False,740,67,False,740,2047,True,3,2018,2024
13-12-2021,103,False,740,67,False,740,2052,True,3,2018,2024
06-12-2021,103,False,740,67,False,740,2053,True,3,2018,2024
29-11-2021,104,False,740,67,False,740,2042,True,3,2018,2024
22-11-2021,103,False,740,66,False,740,2019,True,3,2018,2024
15-11-2021,108,False,715,69,False,713,1491,True,9,2018,2024
08-11-2021,109,False,715,67,False,713,1491,True,9,2018,2024
01-11-2021,118,False,645,75,False,639,1489,True,9,2018,2024
25-10-2021,121,False,645,72,False,633,1490,True,9,2018,2024
18-10-2021,123,False,645,69,False,633,1498,True,9,2018,2024
04-10-2021,124,False,645,67,False,633,1194,True,19,2018,2024
27-09-2021,124,False,626,67,False,609,1194,True,19,2018,2024
20-09-2021,133,False,589,73,False,552,1190,False,19,2018,2024
13-09-2021,136,False,570,75,False,527,1190,False,19,2018,2024
30-08-2021,145,False,541,74,False,492,1169,False,21,2018,2024
23-08-2021,145,False,541,71,False,492,1162,False,21,2018,2024
16-08-2021,162,False,467,83,False,411,1168,False,21,2018,2024
09-08-2021,191,False,379,103,False,322,1163,False,21,2018,2024
02-08-2021,190,False,379,100,False,322,1163,False,21,2018,2024
26-07-2021,206,False,349,112,False,290,1169,False,21,2018,2024
19-07-2021,204,False,349,102,True,290,1168,False,21,2018,2024
12-07-2021,211,False,332,103,True,270,1160,False,21,2018,2024
28-06-2021,219,False,319,99,True,255,1158,False,21,2018,2024
21-06-2021,236,False,292,104,False,226,1163,False,21,2018,2024
14-06-2021,231,False,293,96,True,226,1162,False,21,2018,2024
31-05-2021,291,False,197,137,True,128,1149,False,21,2018,2024
24-05-2021,313,False,168,163,True,98,1147,False,21,2018,2024
17-05-2021,312,False,168,157,True,97,1148,False,21,2018,2024
10-05-2021,314,False,168,154,True,97,1143,False,21,2018,2024
03-05-2021,314,False,168,146,False,97,1146,False,21,2018,2024
26-04-2021,310,False,168,140,False,97,1142,False,21,2018,2024
19-04-2021,323,False,159,150,False,87,1139,False,21,2018,2024
12-04-2021,322,False,159,137,False,87,1138,False,21,2018,2024
05-04-2021,321,False,159,129,False,87,1137,False,21,2018,2024
22-03-2021,317,False,158,118,False,85,1132,False,21,2018,2024
15-03-2021,317,False,158,107,False,85,1127,False,21,2018,2024
08-03-2021,410,False,102,194,False,28,1129,False,21,2018,2024
01-03-2021,406,False,102,177,False,28,1123,False,21,2018,2024
22-02-2021,405,False,102,150,False,28,1121,False,21,2018,2024
08-02-2021,428,False,91,105,False,16,1106,False,21,2018,2024
01-02-2021,428,False,91,55,False,16,1100,False,21,2018,2024
25-01-2021,458,False,81,63,True,6,1097,False,21,2018,2024
18-01-2021,477,False,75,0,False,0,1097,False,21,2018,2024
11-01-2021,475,False,75,0,False,0,1095,False,21,2018,2024
04-01-2021,474,False,75,0,False,60,1094,False,21,2018,2024
28-12-2020,473,False,75,0,False,0,1093,False,21,2018,2024
21-12-2020,472,False,75,0,False,0,1092,False,21,2018,2024
14-12-2020,473,False,74,0,False,0,1088,False,21,2018,2024
07-12-2020,511,False,64,0,False,0,1084,False,21,2018,2024
