rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,110,False,582,127,False,245,0,False,0,2004,2024
27-05-2024,111,False,578,118,False,245,0,False,0,2004,2024
20-05-2024,111,False,578,116,False,245,0,False,0,2004,2024
06-05-2024,104,False,595,107,False,245,0,False,0,2004,2024
22-04-2024,105,False,590,112,False,202,0,False,0,2004,2024
15-04-2024,108,False,590,106,False,202,0,False,0,2004,2024
08-04-2024,105,False,590,102,False,188,0,False,0,2004,2024
01-04-2024,103,False,590,92,False,188,0,False,0,2004,2024
18-03-2024,105,False,588,95,False,166,0,False,0,2004,2024
04-03-2024,102,False,588,80,False,166,0,False,0,2004,2024
26-02-2024,104,False,583,86,False,141,0,False,0,2004,2024
19-02-2024,96,False,623,112,False,91,0,False,0,2004,2024
12-02-2024,99,False,623,101,False,91,0,False,0,2004,2024
05-02-2024,84,False,688,111,False,66,0,False,0,2004,2024
29-01-2024,86,False,688,101,False,66,0,False,0,2004,2024
15-01-2024,85,False,688,65,False,56,0,False,0,2004,2024
08-01-2024,86,False,688,46,False,56,0,False,0,2004,2024
01-01-2024,89,False,688,25,False,56,0,False,0,2004,2024
25-12-2023,89,False,688,25,False,56,0,False,0,2004,2024
18-12-2023,89,False,688,25,False,56,0,False,0,2004,2024
11-12-2023,89,False,688,25,False,56,0,False,0,2004,2024
04-12-2023,89,False,688,25,False,56,0,False,0,2004,2024
27-11-2023,92,False,679,26,False,36,0,False,0,2004,2024
20-11-2023,96,False,654,0,False,0,0,False,0,2004,2024
13-11-2023,94,False,654,94,False,654,0,False,0,2004,2024
06-11-2023,94,False,644,93,False,644,0,False,0,2004,2024
30-10-2023,94,False,644,92,False,634,0,False,0,2004,2024
23-10-2023,93,False,669,93,False,624,0,False,0,2004,2024
16-10-2023,91,False,669,90,False,624,0,False,0,2004,2024
02-10-2023,93,False,648,93,False,593,0,False,0,2004,2024
25-09-2023,95,False,648,92,False,593,0,False,0,2004,2024
18-09-2023,97,False,628,91,False,558,0,False,0,2004,2024
11-09-2023,95,False,628,90,False,558,0,False,0,2004,2024
28-08-2023,88,False,653,84,False,537,0,False,0,2004,2024
21-08-2023,90,False,663,84,False,537,0,False,0,2004,2024
14-08-2023,89,False,663,84,False,528,0,False,0,2004,2024
07-08-2023,81,False,743,83,False,518,0,False,0,2004,2024
31-07-2023,82,False,733,82,False,508,0,False,0,2004,2024
24-07-2023,65,False,812,80,False,508,0,False,0,2004,2024
17-07-2023,79,False,742,107,False,367,0,False,0,2004,2024
03-07-2023,76,False,752,98,False,348,0,False,0,2004,2024
26-06-2023,72,False,752,94,False,348,0,False,0,2004,2024
19-06-2023,72,False,747,100,False,323,0,False,0,2004,2024
12-06-2023,70,False,747,102,False,312,0,False,0,2004,2024
29-05-2023,67,False,782,97,False,302,567,False,90,2004,2024
22-05-2023,66,False,782,95,False,302,560,False,90,2004,2024
08-05-2023,72,False,745,109,False,245,565,False,90,2004,2024
24-04-2023,60,False,810,103,False,220,571,False,90,2004,2024
17-04-2023,58,False,810,96,False,220,568,False,90,2004,2024
10-04-2023,50,False,880,94,False,210,567,False,90,2004,2024
03-04-2023,52,False,880,80,False,210,569,False,90,2004,2024
20-03-2023,51,False,880,73,False,200,570,False,90,2004,2024
06-03-2023,50,False,890,63,False,190,564,False,90,2004,2024
27-02-2023,50,False,890,53,False,190,560,False,90,2004,2024
20-02-2023,47,False,890,107,False,100,551,False,90,2004,2024
13-02-2023,44,False,915,94,False,100,327,False,180,2004,2024
06-02-2023,54,False,845,493,True,10,327,False,180,2004,2024
30-01-2023,37,False,1075,453,True,10,331,False,180,2004,2024
16-01-2023,37,False,1075,0,False,0,333,False,180,2004,2024
09-01-2023,38,False,1075,0,False,0,333,False,180,2004,2024
02-01-2023,39,False,1075,0,False,0,330,False,180,2004,2024
26-12-2022,39,False,1075,0,False,0,330,False,180,2004,2024
19-12-2022,39,False,1075,0,False,0,331,False,180,2004,2024
12-12-2022,39,False,1075,0,False,0,332,False,180,2004,2024
05-12-2022,39,False,1075,0,False,0,331,False,180,2004,2024
28-11-2022,39,False,1075,0,False,0,330,False,180,2004,2024
21-11-2022,39,False,1075,0,False,0,325,False,180,2004,2024
14-11-2022,39,False,1075,0,False,0,325,False,180,2004,2024
07-11-2022,39,False,1075,39,False,1075,322,False,180,2004,2024
31-10-2022,39,False,1085,39,False,1065,327,False,180,2004,2024
24-10-2022,40,False,1050,39,False,1040,325,False,180,2004,2024
17-10-2022,40,False,1050,37,False,1040,312,True,180,2004,2024
10-10-2022,40,False,1085,36,False,1040,313,True,180,2004,2024
03-10-2022,40,False,1085,36,False,1040,307,True,180,2004,2024
26-09-2022,40,False,1085,36,False,1040,315,True,180,2004,2024
19-09-2022,40,False,1070,37,False,1015,313,True,180,2004,2024
12-09-2022,40,False,1070,37,False,1015,317,True,180,2004,2024
29-08-2022,42,False,1070,36,False,970,316,False,180,2004,2024
22-08-2022,42,False,1050,36,False,950,315,False,180,2004,2024
15-08-2022,40,False,1085,35,False,940,313,False,180,2004,2024
08-08-2022,43,False,1005,36,False,850,318,False,180,2004,2024
01-08-2022,43,False,1005,34,False,850,324,False,180,2004,2024
25-07-2022,52,False,915,38,False,760,323,False,180,2004,2024
18-07-2022,40,False,1040,44,False,670,329,False,180,2004,2024
11-07-2022,38,False,1065,42,False,650,334,False,180,2004,2024
27-06-2022,39,False,1080,42,False,650,333,False,180,2004,2024
20-06-2022,41,False,1080,42,False,650,338,False,180,2004,2024
13-06-2022,40,False,1080,38,False,650,342,False,180,2004,2024
06-06-2022,43,False,1093,36,False,650,348,False,180,2004,2024
23-05-2022,44,False,1058,35,False,605,539,False,90,2004,2024
16-05-2022,42,False,1071,33,False,605,532,False,90,2004,2024
09-05-2022,43,False,1071,31,False,595,524,False,90,2004,2024
02-05-2022,43,False,1106,29,False,585,522,False,90,2004,2024
25-04-2022,31,False,1266,31,False,495,530,False,90,2004,2024
18-04-2022,32,False,1301,30,False,495,529,False,90,2004,2024
11-04-2022,37,False,1221,34,False,405,535,False,90,2004,2024
04-04-2022,33,False,1301,32,False,405,534,False,90,2004,2024
21-03-2022,35,False,1314,28,False,395,522,False,90,2004,2024
07-03-2022,37,False,1314,22,False,395,527,True,90,2004,2024
28-02-2022,33,False,1394,22,False,395,535,True,90,2004,2024
21-02-2022,31,False,1529,31,False,305,540,True,90,2004,2024
14-02-2022,33,False,1499,28,False,260,0,False,0,2004,2024
07-02-2022,32,False,1499,23,False,260,0,False,0,2004,2024
31-01-2022,44,False,1259,230,True,10,0,False,0,2004,2024
17-01-2022,44,False,1259,0,False,0,0,False,0,2004,2024
10-01-2022,44,False,1294,0,False,0,0,False,0,2004,2024
03-01-2022,45,False,1294,0,False,0,0,False,0,2004,2024
27-12-2021,45,False,1294,46,False,965,0,False,0,2004,2024
20-12-2021,45,False,1294,46,False,965,0,False,0,2004,2024
13-12-2021,45,False,1294,46,False,965,0,False,0,2004,2024
06-12-2021,45,False,1294,46,False,965,0,False,0,2004,2024
29-11-2021,45,False,1294,46,False,965,0,False,0,2004,2024
22-11-2021,45,False,1294,45,True,965,0,False,0,2004,2024
15-11-2021,45,False,1294,45,True,965,0,False,0,2004,2024
08-11-2021,44,False,1294,43,False,965,0,False,0,2004,2024
01-11-2021,44,False,1294,42,False,955,0,False,0,2004,2024
25-10-2021,43,False,1294,42,False,955,0,False,0,2004,2024
18-10-2021,45,False,1294,40,False,955,0,False,0,2004,2024
04-10-2021,48,False,1324,40,True,910,0,False,0,2004,2024
27-09-2021,49,False,1324,39,True,910,0,False,0,2004,2024
20-09-2021,46,False,1391,38,True,910,0,False,0,2004,2024
13-09-2021,47,False,1391,38,True,910,0,False,0,2004,2024
30-08-2021,48,False,1400,38,False,865,563,False,90,2004,2024
23-08-2021,48,False,1400,37,False,865,557,False,90,2004,2024
16-08-2021,49,False,1378,37,False,820,568,False,90,2004,2024
09-08-2021,48,False,1378,35,False,810,565,False,90,2004,2024
02-08-2021,48,False,1378,33,False,810,563,False,90,2004,2024
26-07-2021,43,False,1505,33,False,810,558,False,90,2004,2024
19-07-2021,43,False,1563,35,False,720,553,False,90,2004,2024
12-07-2021,41,False,1608,35,False,720,545,False,90,2004,2024
28-06-2021,39,False,1595,34,False,710,546,False,90,2004,2024
21-06-2021,40,False,1595,34,False,710,546,False,90,2004,2024
14-06-2021,38,False,1595,31,False,710,541,False,90,2004,2024
31-05-2021,38,False,1595,20,False,700,541,False,90,2004,2024
24-05-2021,38,False,1595,19,False,700,540,False,90,2004,2024
17-05-2021,39,False,1595,19,False,700,539,False,90,2004,2024
10-05-2021,38,False,1620,15,False,700,539,False,90,2004,2024
03-05-2021,37,False,1610,16,False,655,541,False,90,2004,2024
26-04-2021,46,False,1405,34,False,405,538,False,90,2004,2024
19-04-2021,46,False,1405,37,False,360,539,False,90,2004,2024
12-04-2021,46,False,1405,35,False,350,539,False,90,2004,2024
05-04-2021,47,False,1360,43,False,260,540,False,90,2004,2024
22-03-2021,47,False,1360,38,False,260,541,False,90,2004,2024
15-03-2021,47,False,1360,32,False,260,536,False,90,2004,2024
08-03-2021,47,False,1360,27,False,260,533,False,90,2004,2024
01-03-2021,46,False,1315,37,False,170,530,False,90,2004,2024
22-02-2021,47,False,1210,183,True,20,522,False,90,2004,2024
08-02-2021,46,False,1210,125,True,10,513,False,90,2004,2024
01-02-2021,46,False,1210,0,False,0,509,False,90,2004,2024
25-01-2021,46,False,1210,0,False,0,508,False,90,2004,2024
18-01-2021,46,False,1210,0,False,0,507,False,90,2004,2024
11-01-2021,45,False,1210,0,False,0,505,False,90,2004,2024
04-01-2021,45,False,1210,0,False,330,505,False,90,2004,2024
28-12-2020,46,False,1165,0,False,0,503,False,90,2004,2024
21-12-2020,46,False,1165,0,False,0,503,False,90,2004,2024
14-12-2020,46,False,1165,0,False,0,503,False,90,2004,2024
07-12-2020,46,False,1165,0,False,0,501,False,90,2004,2024
30-11-2020,46,False,1165,0,False,0,501,False,90,2004,2024
23-11-2020,46,False,1165,0,False,0,498,False,90,2004,2024
16-11-2020,46,False,1165,0,False,0,496,False,90,2004,2024
09-11-2020,46,False,1165,0,False,0,491,False,90,2004,2024
02-11-2020,46,False,1165,0,False,0,491,False,90,2004,2024
26-10-2020,46,False,1165,0,False,0,488,False,90,2004,2024
19-10-2020,45,False,1165,0,False,0,483,False,90,2004,2024
