rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,67,False,777,82,False,376,249,False,260,2012,2024
27-05-2024,69,False,772,88,False,326,246,False,260,2012,2024
20-05-2024,73,False,739,99,False,286,248,False,260,2012,2024
06-05-2024,73,False,754,91,False,276,251,False,260,2012,2024
22-04-2024,77,False,744,93,False,253,252,False,260,2012,2024
15-04-2024,79,False,729,95,False,228,251,False,260,2012,2024
08-04-2024,83,False,723,94,False,212,252,False,260,2012,2024
01-04-2024,81,False,723,80,False,212,255,False,260,2012,2024
18-03-2024,82,False,723,75,False,202,258,False,260,2012,2024
04-03-2024,83,False,720,71,False,189,262,False,260,2012,2024
26-02-2024,90,False,665,135,False,89,260,False,260,2012,2024
19-02-2024,86,False,665,116,False,89,263,False,260,2012,2024
12-02-2024,89,False,665,105,False,89,256,False,260,2012,2024
05-02-2024,94,False,635,203,False,39,254,False,260,2012,2024
29-01-2024,93,False,635,184,False,39,252,False,260,2012,2024
15-01-2024,94,False,629,284,True,13,156,False,495,2012,2024
08-01-2024,97,False,626,0,False,0,151,False,495,2012,2024
01-01-2024,96,False,656,0,False,0,152,False,495,2012,2024
25-12-2023,96,False,656,0,False,0,152,False,495,2012,2024
18-12-2023,96,False,656,0,False,0,152,False,495,2012,2024
11-12-2023,96,False,656,0,False,0,152,False,495,2012,2024
04-12-2023,96,False,656,0,False,0,152,False,495,2012,2024
27-11-2023,96,False,656,0,False,0,153,False,495,2012,2024
20-11-2023,95,False,656,0,False,0,153,False,495,2012,2024
13-11-2023,93,False,656,93,False,656,153,False,495,2012,2024
06-11-2023,99,False,621,97,False,621,154,False,495,2012,2024
30-10-2023,99,False,611,97,False,611,157,False,495,2012,2024
23-10-2023,82,False,711,95,False,611,157,False,495,2012,2024
16-10-2023,82,False,711,93,False,611,157,False,495,2012,2024
02-10-2023,68,False,791,90,False,601,160,False,495,2012,2024
25-09-2023,66,False,826,89,False,601,159,False,495,2012,2024
18-09-2023,67,False,826,92,False,556,170,False,450,2012,2024
11-09-2023,67,False,826,91,False,556,169,False,450,2012,2024
28-08-2023,73,False,781,98,False,466,204,False,360,2012,2024
21-08-2023,73,False,781,98,False,466,203,False,360,2012,2024
14-08-2023,64,False,846,96,False,466,189,False,385,2012,2024
07-08-2023,61,False,861,96,False,456,190,False,385,2012,2024
31-07-2023,67,False,836,98,False,421,188,False,385,2012,2024
24-07-2023,80,False,721,132,False,296,186,False,385,2012,2024
17-07-2023,82,False,721,125,False,296,189,False,385,2012,2024
03-07-2023,82,False,722,123,False,286,193,False,385,2012,2024
26-06-2023,85,False,681,147,False,235,192,False,385,2012,2024
19-06-2023,83,False,681,148,False,225,186,False,385,2012,2024
12-06-2023,85,False,681,142,False,225,186,False,385,2012,2024
29-05-2023,78,False,735,166,False,180,155,False,520,2012,2024
22-05-2023,78,False,725,184,False,160,153,False,520,2012,2024
08-05-2023,89,False,711,188,False,135,154,False,520,2012,2024
24-04-2023,80,False,711,178,False,135,152,False,520,2012,2024
17-04-2023,80,False,711,163,False,135,152,False,520,2012,2024
10-04-2023,75,False,721,151,False,135,150,False,520,2012,2024
03-04-2023,76,False,721,141,False,135,151,False,520,2012,2024
20-03-2023,72,False,736,134,False,125,149,False,520,2012,2024
06-03-2023,72,False,737,122,False,115,151,False,520,2012,2024
27-02-2023,72,False,702,177,False,70,150,False,520,2012,2024
20-02-2023,72,False,702,162,False,70,148,False,520,2012,2024
13-02-2023,64,False,782,143,False,70,151,False,520,2012,2024
06-02-2023,68,False,772,159,False,50,151,False,520,2012,2024
30-01-2023,70,False,772,143,False,50,151,False,520,2012,2024
16-01-2023,59,False,807,116,False,40,355,False,160,2012,2024
09-01-2023,45,False,947,94,False,40,355,False,160,2012,2024
02-01-2023,44,False,952,0,False,0,357,False,160,2012,2024
26-12-2022,44,False,952,0,False,0,357,False,160,2012,2024
19-12-2022,44,False,952,0,False,0,355,False,160,2012,2024
12-12-2022,44,False,952,0,False,0,358,False,160,2012,2024
05-12-2022,44,False,952,0,False,0,358,False,160,2012,2024
28-11-2022,44,False,952,0,False,0,360,False,160,2012,2024
21-11-2022,44,False,952,0,False,0,359,False,160,2012,2024
14-11-2022,45,False,952,0,False,0,355,False,160,2012,2024
07-11-2022,44,False,986,44,False,986,357,False,160,2012,2024
31-10-2022,42,False,997,41,False,986,207,False,340,2012,2024
24-10-2022,51,False,897,50,False,887,206,False,340,2012,2024
17-10-2022,51,False,932,50,False,887,202,False,340,2012,2024
10-10-2022,56,False,852,54,False,807,203,False,340,2012,2024
03-10-2022,56,False,852,53,False,807,198,False,340,2012,2024
26-09-2022,58,False,817,57,False,762,196,False,340,2012,2024
19-09-2022,60,False,772,57,False,717,146,False,490,2012,2024
12-09-2022,59,False,805,57,False,717,144,False,490,2012,2024
29-08-2022,58,False,805,58,False,672,138,False,580,2012,2024
22-08-2022,58,False,805,56,False,672,136,False,580,2012,2024
15-08-2022,64,False,730,60,False,597,138,False,555,2012,2024
08-08-2022,67,False,695,61,False,562,136,False,555,2012,2024
01-08-2022,69,False,695,60,False,562,135,False,555,2012,2024
25-07-2022,60,False,785,58,False,562,141,False,555,2012,2024
18-07-2022,55,False,830,58,False,562,130,False,645,2012,2024
11-07-2022,55,False,877,54,False,562,128,False,655,2012,2024
27-06-2022,62,False,901,55,False,551,132,False,655,2012,2024
20-06-2022,61,False,901,52,False,551,133,False,655,2012,2024
13-06-2022,55,False,956,48,False,551,130,False,663,2012,2024
06-06-2022,60,False,946,48,False,531,141,False,663,2012,2024
23-05-2022,68,False,862,63,False,431,153,False,573,2012,2024
16-05-2022,65,False,907,61,False,431,154,False,573,2012,2024
09-05-2022,63,False,907,56,False,431,155,False,573,2012,2024
02-05-2022,61,False,907,48,False,431,156,False,573,2012,2024
25-04-2022,57,False,926,43,False,431,152,False,597,2012,2024
18-04-2022,58,False,948,40,False,431,152,False,597,2012,2024
11-04-2022,59,False,948,38,False,376,155,False,597,2012,2024
04-04-2022,58,False,948,34,False,376,153,False,597,2012,2024
21-03-2022,58,False,940,35,False,351,161,False,597,2012,2024
07-03-2022,57,False,986,32,False,330,161,False,597,2012,2024
28-02-2022,59,False,986,32,False,330,163,False,597,2012,2024
21-02-2022,53,False,1066,27,False,330,157,False,630,2012,2024
14-02-2022,61,False,1042,31,False,240,146,False,710,2012,2024
07-02-2022,60,False,1042,25,False,240,145,False,710,2012,2024
31-01-2022,60,False,1042,20,False,240,141,False,739,2012,2024
17-01-2022,48,False,1178,11,True,195,135,False,786,2012,2024
10-01-2022,58,False,1057,34,True,45,135,False,786,2012,2024
03-01-2022,58,False,1029,0,False,0,133,False,786,2012,2024
