rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,6,False,4710,8,False,2220,106,False,810,2013,2024
27-05-2024,6,False,4700,5,False,2120,105,False,810,2013,2024
20-05-2024,6,False,4700,5,False,2120,104,False,810,2013,2024
06-05-2024,6,False,4740,5,False,2070,108,False,810,2013,2024
22-04-2024,8,False,3830,13,False,1070,51,False,1810,2013,2024
15-04-2024,8,False,3935,12,False,1070,50,False,1810,2013,2024
08-04-2024,6,False,4890,9,False,1060,48,False,1810,2013,2024
01-04-2024,6,False,4890,7,False,1060,47,False,1810,2013,2024
18-03-2024,6,False,4970,6,False,1050,49,False,1810,2013,2024
04-03-2024,5,False,5010,5,False,1000,49,False,1810,2013,2024
26-02-2024,5,False,5110,5,False,800,47,False,1900,2013,2024
19-02-2024,5,False,5105,6,False,750,46,False,1855,2013,2024
12-02-2024,5,False,5050,5,False,650,45,False,1855,2013,2024
05-02-2024,5,False,5050,5,False,650,47,False,1855,2013,2024
29-01-2024,5,False,5050,5,False,650,46,False,1855,2013,2024
15-01-2024,5,False,5010,4,True,250,46,False,1855,2013,2024
08-01-2024,5,False,5010,3,True,250,45,False,1855,2013,2024
01-01-2024,5,False,4805,0,False,0,46,False,1830,2013,2024
25-12-2023,5,False,4805,0,False,0,46,False,1830,2013,2024
18-12-2023,5,False,4805,0,False,0,46,False,1830,2013,2024
11-12-2023,5,False,4805,0,False,0,46,False,1830,2013,2024
04-12-2023,5,False,4805,0,False,0,46,False,1830,2013,2024
27-11-2023,5,False,4805,0,False,0,45,False,1830,2013,2024
20-11-2023,5,False,4805,0,False,0,45,False,1830,2013,2024
13-11-2023,5,False,4805,5,False,4805,45,False,1830,2013,2024
06-11-2023,5,False,5205,5,False,4805,44,False,1830,2013,2024
30-10-2023,5,False,4935,5,False,4445,46,False,1740,2013,2024
23-10-2023,5,False,4765,5,False,4275,47,False,1740,2013,2024
16-10-2023,5,False,4765,5,False,4275,48,False,1740,2013,2024
02-10-2023,7,False,4550,5,False,3675,52,False,1650,2013,2024
25-09-2023,6,False,4515,5,False,3640,57,False,1470,2013,2024
18-09-2023,6,False,4515,5,False,3640,57,False,1470,2013,2024
11-09-2023,6,False,4515,5,False,3640,58,False,1470,2013,2024
28-08-2023,8,False,4515,6,False,3280,56,False,1470,2013,2024
21-08-2023,8,False,4515,6,False,3280,55,False,1470,2013,2024
14-08-2023,8,False,4595,6,False,3270,55,False,1470,2013,2024
07-08-2023,7,False,4595,5,False,3260,60,False,1380,2013,2024
31-07-2023,7,False,4730,4,False,3260,60,False,1380,2013,2024
24-07-2023,7,False,4730,4,False,3215,61,False,1380,2013,2024
17-07-2023,7,False,4525,7,False,2965,58,False,1380,2013,2024
03-07-2023,7,False,4255,6,False,2605,60,False,1380,2013,2024
26-06-2023,7,False,4255,6,False,2605,59,False,1380,2013,2024
19-06-2023,7,False,4000,7,False,2305,59,False,1380,2013,2024
12-06-2023,7,False,4000,7,False,2305,58,False,1380,2013,2024
29-05-2023,7,False,4270,6,False,2215,58,False,1380,2013,2024
22-05-2023,7,False,4270,6,False,2215,58,False,1380,2013,2024
08-05-2023,6,False,4190,6,False,2125,58,False,1380,2013,2024
24-04-2023,6,False,4280,6,False,2035,164,False,470,2013,2024
17-04-2023,6,False,4380,5,False,1885,163,False,470,2013,2024
10-04-2023,6,False,3470,12,False,885,185,False,380,2013,2024
03-04-2023,6,False,3470,12,False,885,184,False,380,2013,2024
20-03-2023,7,False,3390,12,False,795,184,False,380,2013,2024
06-03-2023,7,False,3660,10,False,705,145,False,560,2013,2024
27-02-2023,6,False,3405,15,False,405,161,False,470,2013,2024
20-02-2023,5,False,3860,14,False,360,158,False,470,2013,2024
13-02-2023,5,False,4065,12,False,360,116,False,720,2013,2024
06-02-2023,5,False,4200,10,False,360,115,False,720,2013,2024
30-01-2023,5,False,4200,10,False,360,117,False,720,2013,2024
16-01-2023,6,False,3930,0,False,0,111,False,720,2013,2024
09-01-2023,6,False,3930,0,False,0,113,False,720,2013,2024
02-01-2023,8,False,3930,0,False,0,116,False,700,2013,2024
26-12-2022,8,False,3930,0,False,0,116,False,700,2013,2024
19-12-2022,8,False,3930,0,False,0,116,False,700,2013,2024
12-12-2022,8,False,3930,0,False,0,117,False,700,2013,2024
05-12-2022,8,False,3930,0,False,0,117,False,700,2013,2024
28-11-2022,8,False,3930,0,False,0,117,False,700,2013,2024
21-11-2022,8,False,3930,0,False,0,115,False,700,2013,2024
14-11-2022,7,False,3530,0,False,0,117,False,700,2013,2024
07-11-2022,7,False,3530,7,False,3530,118,False,700,2013,2024
31-10-2022,9,False,3685,7,False,3440,120,False,700,2013,2024
24-10-2022,8,False,3685,6,False,3440,113,False,745,2013,2024
17-10-2022,8,False,3685,6,False,3440,107,False,790,2013,2024
10-10-2022,9,False,3480,6,False,3235,56,False,1390,2013,2024
03-10-2022,9,False,3345,6,False,3055,55,False,1390,2013,2024
26-09-2022,9,False,3390,6,False,3055,56,False,1390,2013,2024
19-09-2022,9,False,3390,6,False,3055,54,False,1390,2013,2024
12-09-2022,9,False,3390,6,False,3055,54,False,1390,2013,2024
29-08-2022,11,False,3120,8,False,2695,53,False,1390,2013,2024
22-08-2022,11,False,3120,8,False,2695,53,False,1390,2013,2024
15-08-2022,8,False,3630,8,False,2605,53,False,1390,2013,2024
08-08-2022,8,False,3710,7,False,2595,54,False,1390,2013,2024
01-08-2022,8,False,3575,7,False,2415,57,False,1390,2013,2024
25-07-2022,8,False,3575,7,False,2415,57,False,1390,2013,2024
18-07-2022,8,False,3540,7,False,2370,56,False,1390,2013,2024
11-07-2022,8,False,3700,8,False,2280,59,False,1390,2013,2024
27-06-2022,8,False,3870,8,False,2280,61,False,1390,2013,2024
20-06-2022,8,False,3870,8,False,2280,61,False,1390,2013,2024
13-06-2022,8,False,4125,6,False,2280,62,False,1390,2013,2024
06-06-2022,8,False,4260,6,False,2280,67,False,1390,2013,2024
23-05-2022,7,False,3945,6,False,1920,68,False,1390,2013,2024
16-05-2022,7,False,3945,6,False,1920,68,False,1390,2013,2024
09-05-2022,7,False,4115,4,False,1910,68,False,1390,2013,2024
02-05-2022,8,False,4025,6,False,1730,70,False,1390,2013,2024
25-04-2022,8,False,4025,6,False,1730,68,False,1390,2013,2024
18-04-2022,8,False,3865,7,False,1480,67,False,1390,2013,2024
11-04-2022,8,False,4375,7,False,1390,64,False,1480,2013,2024
04-04-2022,8,False,4375,7,False,1390,64,False,1480,2013,2024
21-03-2022,7,False,4725,5,False,1380,65,False,1480,2013,2024
07-03-2022,7,False,4590,5,False,1020,63,False,1550,2013,2024
28-02-2022,6,False,5000,5,False,1020,60,False,1640,2013,2024
21-02-2022,7,False,4590,12,False,520,60,False,1640,2013,2024
14-02-2022,7,False,4700,26,False,270,72,False,1390,2013,2024
07-02-2022,7,False,4565,62,True,90,74,False,1390,2013,2024
31-01-2022,7,False,4830,48,True,90,75,False,1390,2013,2024
17-01-2022,6,False,4785,0,False,0,73,False,1390,2013,2024
10-01-2022,5,False,4990,0,False,0,73,False,1390,2013,2024
03-01-2022,5,False,5150,0,False,0,74,False,1390,2013,2024
27-12-2021,5,False,5150,5,False,4210,74,False,1390,2013,2024
20-12-2021,5,False,5150,5,False,4210,74,False,1390,2013,2024
13-12-2021,5,False,5150,5,False,4210,74,False,1390,2013,2024
06-12-2021,5,False,5150,5,False,4210,74,False,1390,2013,2024
29-11-2021,5,False,5150,5,False,4210,74,False,1390,2013,2024
22-11-2021,5,False,5150,5,False,4210,74,False,1390,2013,2024
15-11-2021,5,False,4950,5,False,4210,74,False,1390,2013,2024
08-11-2021,5,False,4950,5,False,4210,75,False,1390,2013,2024
01-11-2021,6,False,5150,5,False,4210,77,False,1390,2013,2024
25-10-2021,6,False,5560,5,False,4165,55,False,2035,2013,2024
18-10-2021,6,False,5560,5,False,4165,59,False,1990,2013,2024
04-10-2021,5,False,6130,5,False,4120,74,False,1480,2013,2024
27-09-2021,5,False,6130,5,False,4030,69,False,1660,2013,2024
20-09-2021,5,False,6130,5,False,4030,69,False,1660,2013,2024
13-09-2021,5,False,6130,5,False,4030,68,False,1660,2013,2024
30-08-2021,7,False,6400,5,False,3940,70,False,1660,2013,2024
23-08-2021,7,False,6400,5,False,3940,70,False,1660,2013,2024
16-08-2021,7,False,6005,5,False,3340,76,False,1570,2013,2024
09-08-2021,7,False,6005,4,False,3250,76,False,1570,2013,2024
02-08-2021,7,False,6005,4,False,3250,73,False,1660,2013,2024
26-07-2021,7,False,6005,4,False,3250,73,False,1660,2013,2024
19-07-2021,7,False,6005,4,False,3250,73,False,1660,2013,2024
12-07-2021,7,False,6255,4,False,3250,75,False,1660,2013,2024
28-06-2021,7,False,6120,3,False,3070,74,False,1660,2013,2024
