rank_date,singles_roll_rank,singles_roll_tie,singles_roll_points,singles_race_rank,singles_race_tie,singles_race_points,doubles_roll_rank,doubles_roll_tie,doubles_roll_points,first_rank_year,last_rank_year
10-06-2024,7,False,4025,4,False,3435,576,True,90,2014,2024
27-05-2024,7,False,4425,4,False,2635,582,False,90,2014,2024
20-05-2024,7,False,4185,4,False,2385,578,False,90,2014,2024
06-05-2024,7,False,4535,3,False,2375,576,False,90,2014,2024
22-04-2024,6,False,4480,3,False,2275,577,False,90,2014,2024
15-04-2024,6,False,4025,4,False,1775,581,False,90,2014,2024
08-04-2024,10,False,3465,8,False,1125,580,False,90,2014,2024
01-04-2024,8,False,3615,9,False,1025,582,False,90,2014,2024
18-03-2024,8,False,3560,10,False,925,579,False,90,2014,2024
04-03-2024,9,False,3405,11,False,725,576,False,90,2014,2024
26-02-2024,11,False,3120,21,False,395,345,False,180,2014,2024
19-02-2024,12,False,2965,40,False,230,573,True,90,2014,2024
12-02-2024,12,False,2965,29,False,230,580,True,90,2014,2024
05-02-2024,12,False,2965,22,False,230,578,True,90,2014,2024
29-01-2024,12,False,2965,18,False,230,585,True,90,2014,2024
15-01-2024,11,False,2910,16,False,130,579,True,90,2014,2024
08-01-2024,11,False,2910,10,False,130,579,True,90,2014,2024
01-01-2024,11,False,2825,0,False,0,581,False,90,2014,2024
25-12-2023,11,False,2825,0,False,0,582,False,90,2014,2024
18-12-2023,11,False,2825,0,False,0,581,False,90,2014,2024
11-12-2023,11,False,2825,0,False,0,582,False,90,2014,2024
04-12-2023,11,False,2825,0,False,0,582,False,90,2014,2024
27-11-2023,11,False,2825,0,False,0,576,False,90,2014,2024
20-11-2023,11,False,2825,0,False,0,576,False,90,2014,2024
13-11-2023,11,False,2825,11,False,2825,579,False,90,2014,2024
06-11-2023,7,False,3625,11,False,2825,575,False,90,2014,2024
30-10-2023,8,False,3705,11,False,2815,574,True,90,2014,2024
23-10-2023,8,False,3705,10,False,2815,575,True,90,2014,2024
16-10-2023,8,False,3685,10,False,2795,569,False,90,2014,2024
02-10-2023,9,False,3605,10,False,2705,581,True,90,2014,2024
25-09-2023,9,False,3560,10,False,2625,578,True,90,2014,2024
18-09-2023,9,False,3560,10,False,2625,578,False,90,2014,2024
11-09-2023,9,False,3560,10,False,2625,582,False,90,2014,2024
28-08-2023,5,False,4715,10,False,2580,584,False,90,2014,2024
21-08-2023,5,False,4715,10,False,2580,573,False,90,2014,2024
14-08-2023,7,False,4715,8,False,2570,570,False,90,2014,2024
07-08-2023,5,False,4985,8,False,2480,572,False,90,2014,2024
31-07-2023,4,False,4985,8,False,2480,565,True,90,2014,2024
24-07-2023,4,False,4905,8,False,2400,570,True,90,2014,2024
17-07-2023,4,False,5005,8,False,2250,562,True,90,2014,2024
03-07-2023,4,False,4960,8,False,2205,565,True,90,2014,2024
26-06-2023,4,False,4960,8,False,2205,553,True,90,2014,2024
19-06-2023,4,False,4960,8,False,2205,552,True,90,2014,2024
12-06-2023,4,False,4960,8,False,2205,550,True,90,2014,2024
29-05-2023,4,False,4960,15,False,1005,553,False,90,2014,2024
22-05-2023,4,False,4915,15,False,960,546,False,90,2014,2024
08-05-2023,4,False,5165,24,False,600,550,False,90,2014,2024
24-04-2023,4,False,5210,21,False,590,560,False,90,2014,2024
17-04-2023,3,False,5255,21,False,545,556,False,90,2014,2024
10-04-2023,4,False,5255,25,False,455,555,False,90,2014,2024
03-04-2023,5,False,5005,83,False,205,558,False,90,2014,2024
20-03-2023,4,False,5560,101,False,160,560,False,90,2014,2024
06-03-2023,4,False,5560,121,False,115,549,True,90,2014,2024
27-02-2023,4,False,5515,176,False,70,0,False,0,2014,2024
20-02-2023,4,False,5515,161,False,70,0,False,0,2014,2024
13-02-2023,4,False,5515,142,False,70,0,False,0,2014,2024
06-02-2023,4,False,5765,120,True,70,0,False,0,2014,2024
30-01-2023,4,False,5765,108,True,70,0,False,0,2014,2024
16-01-2023,3,False,5720,203,True,25,0,False,0,2014,2024
09-01-2023,3,False,5720,167,True,25,0,False,0,2014,2024
02-01-2023,3,False,5820,0,False,0,0,False,0,2014,2024
26-12-2022,3,False,5820,0,False,0,0,False,0,2014,2024
19-12-2022,3,False,5820,0,False,0,0,False,0,2014,2024
12-12-2022,3,False,5820,0,False,0,0,False,0,2014,2024
05-12-2022,3,False,5820,0,False,0,0,False,0,2014,2024
28-11-2022,3,False,5820,0,False,0,0,False,0,2014,2024
21-11-2022,3,False,5820,0,False,0,0,False,0,2014,2024
14-11-2022,4,False,5020,0,False,0,0,False,0,2014,2024
07-11-2022,4,False,5020,4,False,5020,0,False,0,2014,2024
31-10-2022,4,False,5510,4,False,4930,0,False,0,2014,2024
24-10-2022,3,False,5600,4,False,4930,0,False,0,2014,2024
17-10-2022,3,False,5600,3,False,4930,0,False,0,2014,2024
10-10-2022,3,False,5645,3,False,4930,0,False,0,2014,2024
03-10-2022,3,False,5645,3,False,4930,0,False,0,2014,2024
26-09-2022,2,False,5850,3,False,4885,0,False,0,2014,2024
19-09-2022,2,False,5850,3,False,4885,0,False,0,2014,2024
12-09-2022,2,False,5850,3,False,4885,0,False,0,2014,2024
29-08-2022,7,False,4695,4,False,3685,0,False,0,2014,2024
22-08-2022,7,False,4695,4,False,3685,0,False,0,2014,2024
15-08-2022,5,False,4865,4,False,3675,0,False,0,2014,2024
08-08-2022,7,False,4685,4,False,3315,0,False,0,2014,2024
01-08-2022,7,False,4685,4,False,3315,0,False,0,2014,2024
25-07-2022,6,False,4890,4,False,3315,0,False,0,2014,2024
18-07-2022,5,False,4890,4,False,3065,0,False,0,2014,2024
11-07-2022,5,False,5050,4,False,3065,0,False,0,2014,2024
27-06-2022,6,False,5050,4,False,3065,199,False,360,2014,2024
20-06-2022,5,False,5050,4,False,3065,198,False,360,2014,2024
13-06-2022,5,False,5050,4,False,3065,208,False,360,2014,2024
06-06-2022,6,False,5050,4,False,3065,213,False,360,2014,2024
23-05-2022,8,False,3940,8,False,1865,211,False,360,2014,2024
16-05-2022,8,False,3940,9,False,1615,209,False,360,2014,2024
09-05-2022,10,False,3760,9,False,1255,207,False,360,2014,2024
02-05-2022,7,False,4110,8,False,1245,209,False,360,2014,2024
25-04-2022,7,False,4110,8,False,1200,210,False,360,2014,2024
18-04-2022,7,False,4110,8,False,1110,211,False,360,2014,2024
11-04-2022,7,False,4380,8,False,1020,214,False,360,2014,2024
04-04-2022,7,False,4380,8,False,1020,211,False,360,2014,2024
21-03-2022,8,False,3870,22,False,420,211,False,360,2014,2024
07-03-2022,8,False,3915,27,False,375,209,False,360,2014,2024
28-02-2022,8,False,3915,27,False,375,212,False,360,2014,2024
21-02-2022,8,False,3975,21,False,375,215,False,360,2014,2024
14-02-2022,8,False,4065,16,False,375,194,False,450,2014,2024
07-02-2022,8,False,4065,49,False,125,185,False,495,2014,2024
31-01-2022,8,False,4065,36,False,125,187,False,495,2014,2024
17-01-2022,8,False,4155,19,False,125,187,False,495,2014,2024
10-01-2022,8,False,4155,14,False,125,191,False,495,2014,2024
03-01-2022,8,False,4160,0,False,0,180,False,535,2014,2024
27-12-2021,8,False,4160,8,False,3275,180,False,535,2014,2024
20-12-2021,8,False,4160,8,False,3275,180,False,535,2014,2024
13-12-2021,8,False,4160,8,False,3275,180,False,535,2014,2024
